// race-specific variables (must start with _)
_empire                           | Clanul Mrrshan, Clanul Prrshan, Clanul Meowshan, Clanul Clawshan, Clanul Hisshan
GAME_OVER_REBELLION_WIN2          | Comorile acestei galaxii sunt ale tale pentru a fi luate! #Timpul Hanului a început în sfârșit. De la începutul incursiunii tale în galaxia neexploatată, ai întâlnit civilizații care și-au căutat propriile obiective printre marea de stele. Cu toate acestea, în ciuda culturilor lor avansate și a inovațiilor tehnologice, toate au căzut acum în fața ta și a ferocității tale de neegalat. Inițial, ai fost mai mult decât mulțumit să lași aceste civilizații să continue așa cum fuseseră, oferind oamenilor tăi surse nesfârșite de comori uluitoare pe care să le câștige în propriile lor raiduri. Dar când s-au hotărât să formeze o nouă uniune în ceea ce a fost fără îndoială o încercare de a împiedica poporul tău să-și continue modul de viață, ai oferit singurul răspuns potrivit celor care ar îndrăzni să ți se opună. #Cu viclenia, priceperea și tenacitatea ta pe câmpul de luptă aduse împotriva flotelor imperiilor tale rivale, rebeliunea ta împotriva noii ordini galactice s-a încheiat cu o victorie completă și totală. Prada a mii de lumi zace deschisă și neapărată, pentru că cei care au păzit-o au fost îndepărtați din calea ta cu propriile tale mâini. Ia-le, Han măreț! Măriți-vă comorile și pregătiți-vă oamenii pentru prada care se află în celelalte galaxii...
GAME_OVER_REBEL_ALLIANCE_WIN2     | Prada acestei galaxii pentru tine și aliații tăi... #A fost o decizie ușoară să-ți ridici steagul în rebeliune împotriva Noii Republici. Știai că galaxia s-a gândit puțin la oamenii tăi și la modul lor de viață. Pe măsură ce poveștile despre priceperea voastră marțială și raidurile terifiante pe care le-ați executat asupra imperiilor rivale s-au răspândit în întreaga galaxie, știai că un ordin galactic unit va reprezenta o amenințare de netrecut pentru tine odată ce va fi format. Ca un adevărat lider din legendele poporului tău antic, ai acționat mai repede decât ar putea anticipa alții și ai lovit împotriva acestei ordini în război deschis. Și când ai făcut-o, i-ai împiedicat pe dușmanii tăi să-și găsească baza de suport de care ar avea nevoie pentru a copleși flotele Hanatului. #Spre marea ta plăcere, i-ai găsit pe alții nemulțumiți de forma pe care viitorul începea să o ia și, în schimbul unei mici părți din pradă, ai făcut o nouă alianță care te-a ajutat să-ți afirmi dominația asupra forțelor îngrozitor de prost pregătite care s-au adunat împotriva ta. Rivalii tăi au fost distruși în întregime, iar aliații pe care i-ai făcut nu vor avea nicio șansă împotriva puterii tale dacă vor înceta vreodată să-ți mai fie de folos. Tot ce a mai rămas acum de făcut este să te bucuri de recompensele acestei victorii...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Prada ta, cel puțin, va fi în siguranță în această nouă eră... #Nu este un șoc pentru nimeni că Consiliul Galactic nu ar reuși să îți vadă măreția și să refuze să îți acorde conducerea Noii Republici. Raidurile tale asupra altor imperii au făcut poporul tău nepopular și puțini sunt dispuși să privească dincolo de normele tale culturale pentru a-ți înțelege poporul la un nivel cu adevărat semnificativ. Dar fie prin naivitate, fie prin simțul autenticității care i-a câștigat pe alții pentru cauza lor, ai reușit să găsești un teren comun cu specia %6 și, știind că ar fi cea mai bună mișcare pentru poporul vostru, ai ajutat la alegerea acesteia ca lideri ai epocii viitoare. #În recunoștință și cu bunăvoință, ai reușit să îți asiguri siguranța prăzii fără a fi nevoie să plătești despăgubiri celor de la care ai luat prada, datorită generozității aliaților tău %6. Intermediind această pace, ai acceptat fără tragere de inimă să îți pui capăt raidurilor și acum trebuie să explorezi noi căi pentru a valorifica dorințele oamenilor tăi Dar cu siguranță acesta este un viitor mai bun decât viitorul unei anumite anihilări cu care te-ai confrunta dacă ai fi ales să te răzvrătești împotriva aliatului tău...
GAME_OVER_COUNCIL_WIN2            | Această galaxie și comorile ei îți aparțin ție și numai ție! #Cea mai măreață zi din istoria poporului tău a sosit în sfârșit: Hanul Mrrshan a devenit Stăpânul Noii Republici. Încă de la început, oamenii tăi și-au făcut o reputație terifiantă ca corsari violenți. Deși multe strigăte au fost aruncate împotriva ta în trecut, toate vocile tac în timp ce Consiliul Galactic recunoaște puterea ta insurmontabilă. Cu siguranță, unele dintre imperiile care te-au ajutat să fi ales speră să devină prieteni autentici ai poporului tău, dar știi că majoritatea celor care te-au plasat aici au făcut acest lucru din teama de a-ți stârni furia. Și nu ai avea-o altfel! #Din această zi înainte, toate imperiile din Noua Republică îți vor plăti tribut. Iar pentru crima de a încerca să ți se opună în camerele consiliului, imperiile care au votat împotriva ascensiunii tale vor fi pentru totdeauna supuse raidurilor poporului tău, pentru a nu mai câștiga niciodată puterea de care ar avea nevoie pentru a se ridica împotriva ta. Galaxia aparține Mrrshanilor și va continua să îți rămână subordonată până la sfârșitul timpului. Trăiască noua era și trăiască mărețul Han!
GAME_OVER_COUNCIL_MILITARY_WIN2   | Prada acestei galaxii pentru tine și aliații tăi... #Acum domnia ta glorioasă poate începe cu adevărat. Eficacitatea legendară a poporului tău pe câmpul de luptă și poveștile raidurilor teribile pe care le-ai efectuat au dus la a deveni Stăpânul Noii Republici. Dar chiar dacă mulți s-au temut să-ți stârnească furia și au ales să îți urmeze dorințele, au existat totuși cei prea proști pentru a fi influențați de demonstrațiile tale de putere. Dornic să câștige și mai multă pradă și să o adauge la hoardele lor în creștere, poporul tău s-a răspândit pentru a zdrobi rebeliunea și a-și revendica recompensele, de data aceasta cu sprijinul întregii armate unite a Noii Republici pe care o conduci acum. #Rebeliunea s-a încheiat chiar înainte de a începe, iar armatele uzurpatorilor au fost învinse cu un efort minim. Cu comorile lor adunate, Mrrshani examinează prada, oferind chestiile fără valoare imperiilor mai mici care te servesc, pentru a servi ca un fel de recompensă pentru loialitatea lor. Având în vedere că rebelii servesc drept exemplu a ceea ce se întâmplă atunci când ești nemulțumit, nu există motive să crezi că orice rival se va face din nou cunoscut. Îndreaptă-ți acum atenția către alte galaxii, pentru că acestea cu siguranță au multă pradă care așteaptă să fie capturată...
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Comorile tale prețuite sunt acum libere pentru a fi luate... #Deși inițial ai fost capabil să folosești frica pentru a zdrobi disidența rivalilor tăi și a deveni Stăpânul Noii Republici, au fost unii suficient de curajoși să stea împotriva ta și a viitorului pe care l-ai imaginat. Oamenii tăi erau mândri și puternici, împodobiți cu prada nenumăratelor raiduri și dornici să câștige mai multe comori dintr-o altă cucerire inevitabilă. Dar ei nu au văzut, sau nu au putut să vadă pericolul pe care îl reprezenta rebeliunea, iar curajul statornic de care au dat dovadă rebelii s-ar dovedi a fi sfârșitul tău. #Deși te-ai lăudat cu un număr superior de nave, utilizând flotele celor pe care i-ai forțat să ți se supună, nu ai putut opri insurecția din a destabiliza republica și din a te arunca de pe tron. Mai întâi au căzut subordonații tăi, urmați în scurt timp de oamenii tăi. Se pare că până la urmă galaxia însăși a refuzat viitorului pe care l-ai plănuit. La urma urmei, ce este voința unui singur popor, oricât de puternic ar fi, împotriva mâinii nestăpânite a sorții...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | lăcomia nesățioasă a Mrrshanilor înghite
GAME_OVER_REBELLION_LOSS3         | pofta de comori a Mrrshanilor
