// race-specific variables (must start with _)
_empire                           | Darloki, Sarloki, Spyloki, Shadeloki, Nazloki
MAIN_ADVISOR_REBELLION            | Oamenii din %1 și-au pierdut mințile?! Ei uită că doar împreună putem supraviețuii în acest univers! Trebuie să facem un exemplu din această rebeliune imediat!
MAIN_ADVISOR_RESIST_COUNCIL       | Şansele noastre de succes aici au fost întotdeauna cunoscute a fi mici. Lupta împotriva Consiliului Galactic și a aliaților săi nu ne afectează prea mult șansele.
MAIN_ADVISOR_COUNCIL_RESISTED     | Am muncit de prea mult timp să-i manipulăm pe acești proști pentru a respecta voia noastră! Rebeliunea împotriva conducerii noastre nu poate fi tolerată! Distruge-ți imediat!

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Sfârșitul căutării tale, sfârșitul oamenilor tăi... #O tragedie de neimaginat a lovit imperiul tău. Odată o specie disperată să descopere secretele evenimentului care i-a aruncat pe strămoșii tăi din universul lor pe moarte în această dimensiune extraterestră, civilizația ta se află în ruină totală la picioarele locuitorilor mult mai puternici decât poporul tău. Dacă ar fi cunoscut situația ta, ar fi fost mai milostivi, poate chiar te-ar fi ajutat, sau cel puțin ar fi fost mai toleranți cu mijloacele pe care le-ai folosit pentru a-ți atinge scopurile. În schimb, ai obținut doar moartea prematură a speciei tale, în timp ce alte puteri își continuă marșul spre tot ce le rezervă viitorul. #Vai, se pare că Darloki au putut să întâmpine o astfel de soartă! Dacă ți-ai fi jucat mâna altfel, oamenii tăi ar putea fi încă în viață și ar fi putut chiar să fi găsit cheia care ți-ar permite să aduci restul speciei tale în această nouă dimensiune mai stabilă. Poate că, totuși, cărțile tale nu ar fi putut fi jucate mai bine: poate că soarta pur și simplu hotărâse să-ți ofere o mână proastă...
GAME_OVER_MILITARY_WIN2           | Prima fază terminată, începe adevăratul test... #Această galaxie este a ta! Așa cum oamenii tăi au dominat universul din care au venit, la fel și tu ai zdrobit slaba opoziție din această galaxie și ai declarat că tot ceea ce conține este al tău. Tacticile pe care le-ai folosit s-au dovedit prea eficace pentru ca inamicii tăi să le învingă, iar spionajul și intriga pe care le-ai folosit pentru a le câștiga secretele s-au dovedit și mai eficace. Acum, când ultimele fortărețe ale inamicilor tăi cad sub puterea ta, te uiți peste stelele care împrăștie ceea ce va deveni casa permanentă a  Darlokilor. #Dar munca ta nu este încă aproape de finalizare. Ai învățat cum să trăiești în această dimensiune extraterestră și ai făcut o întreagă galaxie sigură pentru ca oamenii tăi să locuiască și să prospere. Cu toate acestea, secretele rupturii interdimensionale care a adus specia ta aici nu au fost încă descoperite, și fiecare zi care trece aici înseamnă că universul tău de origine se apropie de colapsul său inevitabil. Și dacă vreunul dintre imperiile pe care le-ai distrus ar fi avut deja secretul, cucerirea ta militară s-ar putea dovedit încă a fi distrugerea ta...
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Prima fază terminată, începe adevăratul test... #Acum este ora primei tale victorii adevărate! Când oamenii tăi au fost aruncați în această dimensiune, au găsit-o înfricoșătoare, străină și periculoasă. Dar, în loc să se liniștească și să-și trăiască viața cât de bine au putut, ei au mers cu îndrăzneală, jurând că vor stăpâni secretele acestei galaxii și o vor face suficient de sigură pentru a aduce restul poporului tău din universul lor pe moarte. Pe parcurs, s-au făcut inamici și prieteni, iar scena a fost pregătită pentru cea mai mare provocare pe care poporul tău ar fi cunoscut vreodată. #Împreună cu aliații tăi ați reușit să demontați imperiile celor care s-ar opune obiectivelor voastre și să-i spargeți cu flotele voastre, așa cum valul se sparge de țărm. Acum doar tu rămâi, alături de prietenii tăi apropiați, iar prin camaraderia care poate fi câștigată doar prin participarea la victoria războiului, îi vei ajuta cu bucurie pe aliații tăi, așa cum ei te vor ajuta pe tine. Și odată ce oamenii tăi traversează în siguranță dimensiunile și adevăratul tău imperiu renaște, doar cei care s-au dovedit fideli cauzei tale vor putea trăi într-un univers care, fără îndoială, va deveni al tău...
GAME_OVER_COUNCIL_LOSS2           | Planurile tale au fost dejucate, căutarea ta a fost pusă în pericol... #Planurile tale au fost dezvăluite în galaxie și, deși nimeni nu poate spera să-ți egaleze abilitățile în subterfugii, ochii rivalilor tăi s-au dovedit prea vigilenți pentru ca chiar și tu să îi poți ocoli. Odată cu formarea Noii Republici și cu viitorul galaxiei de stabilit, voturile celor din consiliu ți-au distrus toate planurile bine puse. Viitorul aparține speciei %6! #Încercarea de a câștiga capacitatea de a determina cursul galaxiei a fost o strategie ambițioasă. Dacă mașinațiunile tale diplomatice ar fi fost mai subtile, este foarte posibil ca întreaga galaxie să fi sub controlul tău, imperiile acesteia fiind utilizate în căutarea ta. Acum va trebui să te supui voinței speciei %6, dar fiecare zi care trece îi aduce pe cei blocați în universul pe moarte din care provii cu un pas mai aproape de o soartă mai teribilă decât îndrăznești să-ți imaginezi...
GAME_OVER_REBELLION_LOSS2         | Sfârșitul căutării tale, sfârșitul oamenilor tăi... #Soarta nu a favorizat niciodată oamenii tăi de la sosirea ta în acest univers neprimitor. Nu te-a favorizat atunci când ai fost aruncat într-o dimensiune în care nicio tehnologie nu a funcționat corect. Nu te-a favorizat când locuitorii nativi ai acestei galaxii au votat împotriva ta pentru a conduce Noua Republică. Și acum, la sfârșitul tuturor lucrurilor, nu te-a favorizat în timp ce te lupți împotriva rivalilor tăi pentru a-ți asigura nu doar conducerea galaxiei, ci însăși supraviețuirea ta. #Oamenii tăi au fost tenace, puternici și hotărâți, dar cele mai bune eforturile ale acestora, cât și dorința de a câștiga prin orice mijloace necesare pur și simplu nu au fost suficiente pentru a le acorda victoria împotriva puterii copleșitoare a armatelor Noii Republici. Curajul tău a fost demn de amintit: nimeni nu poate nega acest lucru. Dar, pe măsură ce ultima dintre armatele tale și chiar lumile tale cad în mâinile dușmanilor tăi, imperiul tău este bătut, spart și în curând uitat...
GAME_OVER_REBELLION_WIN2          | Prima fază terminată, începe adevăratul test... #Acum, în sfârșit, acești proști inferiori văd puterea și voința ta dezlănțuită! În zadar, dușmanii tăi au căutat să te împiedice în încercarea ta de a-ți elibera rudele blocate de soarta lor supremă și au folosit toate trucurile pe care le-au putut folosi pentru a te împiedica. De la amenințări la spionaj la ostilitate deschisă, dorința lor de a te împiedica să îți atingi obiectivul a fost la apogeu atunci când au votat împotriva ta pentru a conduce Noua Republică, deși tu ești cel mai demn să faci asta. Cu puțină alegere și lipsit de o conștiință grea, ai dezlănțuit asupra lor aceeași furie îngrozitoare care a condus poporul tău la dominația totală în universul de unde ai venit. #Acum, această galaxie este a ta și, deși timpul este scurt înainte ca universul tău de acasă să se prăbușească și cei rămași în urmă să sufere o soartă mai rea decât moartea, cel puțin acum nu a mai rămas nimeni în această dimensiune care ți se va împotrivi. Acum, în sfârșit, acești proști inferiori văd puterea și voința ta dezlănțuită! Sau cel puțin ar face-o, dacă vreunul dintre ei ar fi fost lăsat în viață să facă asta...
GAME_OVER_REBEL_ALLIANCE_WIN2     | Prima fază terminată, începe adevăratul test... #De la bun început ai știut că locuitorii acestei galaxii nu vor avea niciodată încredere în tine pentru a conduce o alianță unificată a imperiilor spațiale. Necinstite și neîncrezătoare, imperiile native care locuiesc în acest univers făcuseră tot ce le-a stat în putință pentru a îți zădărnici planurile și au votat cu bucurie împotriva ta când a început formarea Noii Republici. Dar ești înțelept și viclean și, văzând mașinațiunile lor la fel de ușor cum citești cuvinte pe o pagină, ți-ai concentrat eforturile diplomatice doar asupra celor mai demni să stea alături de tine. Iar când a venit momentul în care dușmanii tăi au crezut că te-au prins în capcană, s-au trezit într-o capcană care fusese de mult aruncată. #Acum tu și aliații tăi stați victorioși pe cenușa celor care au îndrăznit să se considere mai buni decât tine. Soarta galaxiei este în mâinile tale, deoarece ești liber să găsești o modalitate de a-ți aduce rudele blocate peste barierele dimensionale, într-un univers pregătit să fie cucerit. Și dacă cei pe care i-ai ales ca tovarăși te vor împiedică să îți atingi obiectivele, îi vei trata la fel de hotărâtor cum i-ai tratat pe toți ceilalți...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Prima fază terminată, începe adevăratul test... #Cu mult timp în urmă, o mică bandă din oamenii tăi au fost aruncată din universul lor pe moarte și împinse în acest univers nou și extraterestru. Pe măsură ce ai început să cauți o modalitate de a-i aduce pe cei care erau blocați să ți se alăture în această galaxie nouă și stabilă, întâlnirile tale cu cei care locuiau deja printre aceste stele te-au învățat repede că nu vei putea găsi răspunsurile pe care le căutai în timp ce ești forțat să lupți în războaie mărunte și prelungite. În schimb, ai căutat să manipulezi cursul istoriei în timp ce te afli în umbră, iar acum, în sfârșit, acele planuri au fost realizate. Specia #%7 a câștigat conducerea Noii Republici și s-au dovedit a fi maleabili și receptivi la planurile tale și la consiliul tău. În calitate de confidenti și consilieri, oamenii tăi se află într-o poziție unică de a conduce puterea galaxiei în sine sub conducerea aliatului tău. Ești prea departe de autoritatea directă pentru a simți vreodată reacțiile în cazul în care lucrurile ar eșua. Dacă reușești, creșterea forțelor tale prin sosirea rudelor tale de mult pierdute va fi mai mult decât suficientă pentru a începe o nouă eră și pentru a înclina balanța în favoarea ta...
GAME_OVER_COUNCIL_WIN2            | Prima fază terminată, începe adevăratul test... #Camerele consiliului izbucnesc în urale pe măsură ce îți începi domnia ca Stăpân al Noii Republici. Ai acceptat cu umilință povara administrației care ți-a fost acordată de către imperiile care fac parte din Consiliul Galactic, știind că acest sfârșit a fost rezultatul unui plan de lungă durată. La scurt timp după ce oamenii tăi au ajuns în această dimensiune și au aflat despre misterele ei, ai știut că ar fi fost imposibil să găsești de unul singur o modalitate de a le permite fraților și surorilor blocați să facă călătoria către acest univers înainte ca universul lor să se prăbușească complet. Acum, după ani și ani de diplomație, spionaj și manipulare politică, nu mai ești singur. #Acum, această galaxie este a ta pentru a o modela, sculpta și ghida de-a lungul cursului care ți se pare cel mai bun. În curând, vei utiliza tehnologia, puterea și inovațiile aliaților tăi pentru a te ajuta să deschizi un portal către universul tău nativ și să îți reconstruiești civilizația aici cu cât mai mulți dintre oamenii tăi. Și dacă ar îndrăznii cineva să încerce să te oprească, acum ai armatele Noii Republici să zdrobești disidența odată pentru totdeauna...
GAME_OVER_COUNCIL_MILITARY_WIN2   | Prima fază terminată, începe adevăratul test... #Acum, controlul tău asupra acestei galaxii este justificat atât în cuvânt cât și în faptă. După nenumărați ani de manipulare a rivalilor tăi interstelari pentru a te ajuta să-ți avansezi obiectivele, planurile tale s-au realizat în sfârșit când ai câștigat titlul de „Maestru al Noii Republici”. Și când vocile dizidenților tăi s-au ridicat împotriva ta, ai pus deja în mișcare planuri în cadrul altor planuri care ți-au permis să învingi rebeliunea într-un mod decisiv. Ei s-au luptat, tu ai câștigat, iar acum întreaga galaxie este a ta să faci orice dorești în ea. #Cu dușmanii tăi transformați în praf și împrăștiați pe vânturile solare, îți îndrepți atenția către adevăratul tău obiectiv: să găsești o modalitate de a-ți aduce oamenii peste prăpastia dimensională și în acest univers nou și stabil în care imperiul tău poate renaște. Nimeni nu ar îndrăzni să vorbească împotriva ta acum, nu după ce a văzut ce s-a întâmplat cu acei suficient de proști încât să facă asta deja...
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Sfârșitul căutării tale, sfârșitul oamenilor tăi... #Cea mai tristă soartă pe care ai fi putut-o obține pentru oamenii tăi a fost transformată în realitate. Abilitatea ta de neegalat de subterfugiu și manipulare a fost dejucată de specii inferioare care nu puteau spera să înțeleagă marea lucrare pe care încercai să o îndeplinești. Deși ai reușit în sarcina monumentală de a deveni conducătorul ales al galaxiei, păstrând totuși secretul care ți-a învăluit obiectivele, nu ai reușit să zdrobești rebeliunea care a apărut în curând. #Acum este prea târziu pentru tine să conduci viitorul galaxiei pe calea pe care o consideri potrivită. Rebeliunea a distrus Noua Republică, aceasta fiind acum puțin mai mult decât niște ruine pe care învingătorii le vor prăda. Iar moartea Darlokilor pecetluiește soarta celor care rămân prinși într-un univers condamnat, neavând nicio speranță de scăpare. Eșecul tău a pecetluit soarta imperiului tău nu în una, ci în două dimensiuni și, ca atare, este mai monumental decât ar putea înțelege oricare dintre dușmanii tăi...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | strânsoarea întunecată a Darlokilor sugrumă
GAME_OVER_REBELLION_LOSS3         | mașinațiunile incognoscibile ale Darlokilor
