// race-specific variables (must start with _)
_empire                           | Dominionul Meklar, Dominionul Mechanar, Dominionul Cybernar, Dominionul Digitar, Dominionul Technar
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Cu dușmanii tăi eliminați, acum te poți concentra pe nemurire... #„Ce a determinat aceste creaturi să declare război poporului nostru?” Aceasta este întrebarea la care se ocupă acum Mainframe-ul. Acesta, împreună cu toate mințile Meklare sunt nedumerite de ce creaturi aparent inteligente ar acționa într-un mod care doar le-ar grăbi moartea inevitabilă, confruntându-se cu forțele tale. Și așa cum a prezis inteligența superioară care conduce societatea ta, la fel au căzut și ei. #Din fericire, nu toți au fost atât de proști încât să se creadă capabili să te împiedice să-ți atingi obiectivele de nemurire. Ai reușit să-ți faci aliați care te-au ajutat în războaiele tale și ai făcut ca soarta cu care se confruntă dușmanii tăi să fie cu atât mai sigură. Ești bucuros să împarți resursele și secretele acestei galaxii cu cei care le-au câștigat alături de tine. Și când va veni ziua în care poporul tău își va atinge scopul vieții veșnice, poate că vei fi bucuros să împărtășești asta și aliaților tăi. Poate...
GAME_OVER_COUNCIL_LOSS2           | Căutarea ta este acum în pericol... #Rivalii tăi te-au dejucat fără să știe că au făcut-o. Crearea unei republici unificate a imperiilor interstelare și mersul împreună spre viitor sub un singur steag a fost cel mai logic mod de a asigura pacea în întreaga galaxie. Dar probabilitatea ca oamenii tăi să poată descoperi cheia adevăratei nemuriri a fost redusă la zero, deoarece legăturile birocrației vor afecta acum cu siguranță orice progres pe care îl faci. Acolo unde odată aveai opțiunea de a elimina pur și simplu o specie care insista să se transforme în obstacol, nu îndrăznești să faci asta acum și să riști să aduci mânia întregii galaxii asupra ta. #Mai rău decât atât, supraviețuirea poporului tău depinde acum de poziția ta față de specia %6, care au devenit liderii aleși ai acestei Noi Republici. Orice mișcare pe care o faci și care îi înfurie, fără îndoială, îți va complica planurile. Când o insultă minoră poate duce la îngreunarea libertății tale de mișcare și de informare pe teritoriul Republicii, ridicarea furiei lor suficient va însemna cu siguranță dispariția ta și a poporul tău...
GAME_OVER_REBELLION_LOSS2         | Amintit dureros de limitele mortalității tale... #Dispariția poporului tău este cea mai gravă dintre nedreptăți pe care poporul tău trebuie acum le îndure. Mainframe-ul, înțelept dincolo de toate nivelurile de înțelegere și posedând o inteligență peste măsură, hotărâse că ascensiunea speciei %6 ca conducători ai Noii Republici le va lua Meklarilor capacitatea de a-și îndeplini vreodată scopul final. Pentru a preveni acest lucru, ți s-a ordonat să organizezi o revoltă deschisă împotriva întregii galaxii pentru a îți proteja viitorul. Chiar dacă Mainframe-ul nu îți dădea nicio incertitudine că rezultatul ar fi probabil dispariția, aceasta a fost o soartă preferabilă unui viitor sub călcâiul noilor tăi stăpâni. #Acum singura nemurire pe care Meklari o va avea vreodată este aceea care este dată celor care sunt înregistrați în istorie. Cunoștințele și tehnologia ta vor fi deschise pentru toți să le vadă și să le folosească în propriile scopuri, iar în viitor, chiar și unul dintre rivalii tăi formali poate reuși acolo unde ai eșuat și dezvăluie secretele nemuririi...
GAME_OVER_REBELLION_WIN2          | Fără alte obstacole în căutarea nemuririi! #Mainframe-ul a oferit încă o dată informațiile de care aveai nevoie pentru a asigura existența poporului tău. Când extratereștrii cunoscuți ca „%6” au devenit conducătorii Noii Republici, Mainframe-ul știa că nu există niciun viitor pentru civilizația ta sub călcâiul unui astfel de imperiu opresiv şi răzbunător. Deși poporul tău știa că probabilitatea victoriei împotriva flotelor combinate ale galaxiei, ei au mers înainte către război cu bucurie, crezând în înțelepciunea oracolului tău antic mai presus de orice. Cu vigoare și determinare, Meklari au luptat mult și din greu, iar acum, în sfârșit, au câștigat. #Nimeni nu rămâne capabil să zădărnicească sau chiar să împiedice poporul tău în căutarea nemuririi. Cunoștințele rivalilor tăi căzuți vor fi în curând extrase, studiate și folosite sau aruncate după cum considerați de cuviință. Fiecare lume din această galaxie este a ta, la fel ca și toate secretele pe care le conțin. Este doar o chestiune de timp până când timpul în sine nu mai contează, pentru că în viitorul foarte apropiat poporul tău va învăța să înșele moartea și să trăiască pentru totdeauna...
GAME_OVER_REBEL_ALLIANCE_WIN2     | Cu dușmanii tăi eliminați, acum te poți concentra pe nemurire... #Tu și aliații tăi ați schimbat cursul istoriei. Când specia %6, o specie vicioasă și plină de ură, a devenit Stăpânii Noii Republici, ai știut, fără să fie nevoie să consulți Mainframe-ul, că oamenii tăi se aflau într-un pericol grav. Adunându-vă flotele pentru a ataca amenințarea %6 și pe cei care i-au fost alături, ați răsunat un chemare la rebeliune care a răsunat în toată galaxie. Înainte chiar să înceapă războiul, chemarea a răsunat printre aliații tăi adevărați, deoarece doar ei erau suficient de înțelepți pentru a vedea unde va duce viitorul. #Împreună ați zdrobit forțele Noii Republici și v-ați afirmat viziunea asupra viitorului ca fiind adevărata cale către un viitor mai bun. Odată cu războiul câștigat, poți urmări nemurirea în pace. Îți vei lăsa cu plăcere aliații în voia lor, în speranța că ei vor întoarce cu plăcere favoarea. Dacă decid să nu o facă, fie acum, fie în viitor, chemarea războiului ar putea fi auzită din nou în toată galaxie...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Fiind refuzat tronul, căutarea ta poate continua... #Puțini ar putea spera vreodată să înțeleagă cât de profund tânjesc oamenii tăi să atingă nemurirea. De când ați întâlnit pentru prima dată alte civilizații care aveau capacitatea de a călători printre stele, ați fost priviți ca fiind ciudați, dacă nu chiar periculoși, de toți cei pe care i-ați întâlnit. Singura excepție de la ignoranța rivalilor tăi a fost specia %6, care te-a privit cu respectul pe care îl merită cultura ta mândră și străveche. Acum ei poartă povara conducerii Noii Republici, iar poporul tău stă să culeagă recompensele. #Prin diplomație atentă și ascunzându-ți intențiile, crezi că va fi o chestiune simplă să menții relații armonioase cu noul conducător al galaxiei și, astfel, vei asigura nu numai viitorul civilizației Meklar, ci și viitorul căutării tale. Cu Mainframe-ul care te ghidează și sprijinul oamenilor tăi, nimic nu ar putea merge prost...
GAME_OVER_COUNCIL_WIN2            | Fără alte obstacole în căutarea nemuririi! #Meklari au devenit acum stăpânii acestei galaxii! Poporul tău a fost întotdeauna cel mai hotărât dintre toate imperiile care au pornit să cucerească stelele. Acum, răbdarea lor i-a condus către acest viitor în care dorințele lor vor modela viitorul acestor nenumărate stele. Căutarea ta pentru nemurire este absolută, iar acum că conduci Noua Republică fără opoziție, toate resursele acestei galaxii sunt acum la dispoziție ta. #Cele mai mari minți ale imperiilor subordonate vor fi folosite pentru a descoperi secretele care vor duce la viața veșnică pentru poporul tău. Chiar și cei mai agresivi dintre foștii tăi rivali vor fi înfricoșați de amenințarea puterii pe care ai putea să o aduci acum împotriva lor. Având Mainframe-ul care te va ghida și hotărârea oamenilor tăi mai puternică decât oricând, poți fi sigur, fără îndoială, că nemurirea a devenit acum o inevitabilitate!
GAME_OVER_COUNCIL_MILITARY_WIN2   | Fără alte obstacole în căutarea nemuririi! #În sfârșit, această diplomație neînsemnată s-a încheiat. Prea mult timp ai fost forțat să înduri monotonia de a te ocupa de specii mai mici și de motivațiile lor triviale. Ai sperat că se va termina când ai devenit Stăpânul Noii Republici, permițându-ți să petreci mai puțin timp cu eforturile de ați ține rivalii mulțumiți și mai mult timp concentrându-te pe căutarea nemuririi. Dar viața este rareori așa ordonată și, desigur, au fost proști care au respins ascensiunea ta și s-au ridicat împotriva ta. Din fericire, ai știut modalitatea de a pune capăt acestor distrageri odată pentru totdeauna. #Cu furie unică, ți-ai îndreptat flotele și pe cele ale aliaților tăi pentru a elimina rebeliunea fără prejudecăți. Pe măsură ce lumile dușmanilor tăi au căzut pe rând, te-ai apropiat cu atât mai mult de a-ți putea urmări liber visul suprem. Acum că rebeliunea s-a terminat, ești fericit să-ți lași aliații să încerce să atingă orice obiective slabe pe care le au. Vei fi mult prea ocupat să devii nemuritor ca să-ți faci griji pentru ei oricum!
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Amintit dureros de limitele mortalității tale... #Evenimentele care te-au condus în acest punct au fost atât de imprevizibile, încât nici măcar Mainframe-ul nu l-a considerat un rezultat fezabil. Fiecare pas al planului tău a decurs exact așa cum a prezis Mainframe-ul, de la poziția ta diplomatică favorabilă printre imperiile galaxiei și până la primirea poziția de Stăpân al Noii Republici. O disidență suficient de puternică pentru a stârni rebeliunea a fost întotdeauna probabilă, iar când una a început să se formeze, nu ai fost luat prin surprindere. Ceea ce nu ai reușit să realizezi și nu ai reușit să reacționezi, a fost forța copleșitoare pe care o poseda rebeliunea, iar acum prețul este de plătit. #Deși majoritatea liderilor din Noua Republică ți-au stat alături și și-au mutat flotele pentru a apăra noua ordinea unificată, ai fost neputincios înaintea rebeliunii pe care te-ai crezut capabil să o zdrobești. Pe măsură ce imperiul tău s-a prăbușit în jurul tău, visele proprii ale poporului tău de a atinge longevitatea veșnică au murit odată cu ei. Și așa cum aliații tăi au căzut alături de tine, la fel au căzut și speranțele și visele lor pentru un viitor pașnic pentru toți...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | precizia mecanică a Meklarilor înghite 
GAME_OVER_REBELLION_LOSS3         | insensibilitatea rece a Meklarilor 
