// race-specific variables (must start with _)
_empire                           | Конклав Сауронцев, Конклав Рептар, Конклав Сауран, Конклав Рапторов, Конклав Тиранна
MAIN_ADVISOR_SCOUT                | Наконец-то мы можем начать совершенствовать окружающую среду других миров. Главный Магистр, отправьте наши разведчики и колонизатор к ближайшим планетам как можно скорее!
MAIN_ADVISOR_TRANSPORT            | Мы основали свою первую колонию на совершенно новой планете. Запуск транспортов позволит увеличить население и решить экологические загадки планеты %1 еще быстрее!
MAIN_ADVISOR_DIPLOMACY            | Найден какой-то народ, имеющий технологии межзвездного полета. Давайте поговорим с ними и узнаем, как они обращаются со своими мирами. Тогда мы поймем как лучше всего поступить с ними.
MAIN_ADVISOR_SHIP_ENGINE          | Мы создали намного более эффективные межзвездные двигатели. Мы можем создать новый класс корабля, использующий эту технологию, как только у нас на это будет время.
MAIN_ADVISOR_RALLY_POINTS         | Похоже что наши соседи с нами... не согласны. Точки Сбора позволят направить наши корабли к одной системе и предотвратить нанесение какого-либо ущерба нашим прекрасным новым планетам.
MAIN_ADVISOR_MISSILE_BASES        | Не хочется так осквернять наши миры, но строительство оборонительных ракетных баз могло бы предотвратить нанесение ещё более серьезного ущерба в будущем.
MAIN_ADVISOR_SHIP_WEAPON          | Наши ученые недавно нашли еще более эффективный способ по обезвреживанию кораблей наших противников. Необходимо использовать это открытие во всех новых кораблях, которые мы будем строить.
MAIN_ADVISOR_COUNCIL              | Так называемый "Галактический Совет", посетят все продвинутые цивилизации Галактики. Это будет хорошей возможностью узнать, какие из империй против... расширения территории Конклава.
MAIN_ADVISOR_REBELLION            | Магистр! На колонии %1 началось восстание. Я не знаю, что послужило ему причиной, но я знаю, как нам надо отреагировать!
MAIN_ADVISOR_RESIST_COUNCIL       | Мы ни за что не позволим им это сделать, верно? Мы пойдем войной против Совета, да?! Если мы этого не сделаем, подумайте о том, что станет с этими бедными планетами!
MAIN_ADVISOR_COUNCIL_RESISTED     | Ох уж, эти гадкие мятежники! Мы с трудом терпели их существование, а теперь они ещё хотят восстать против нас? Отдайте приказ их уничтожить: все их планеты скоро будут принадлежать Конклаву!
 

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Судьба всех миров решена...#Когда-то, Вы были единственной надеждой бесчисленных планет, усеивающих Галактику... Когда Вы покинули свой родной мир, Вашей единственной заботой было узнать и усовершенствовать уникальную экологию каждого нового мира, который Вы встречали на своем пути. И по мере того как накапливались свои знания, увеличивалось и рвение Вашего народа, и какое-то время казалось, что общая мечта всех Сауронцев наконец-то сбудется. И если бы Ваши враги не были такими жадными в своем желании максимально расширить свои владения, возможно, так бы оно и случилось.#Все Ваши колонии были захвачены, а любовь и забота, которую Вы проявляли к своим биомам, была растоптана Вашими кровожадными межзвездными соперниками. И в то время, как Ваш последний форпост полыхает вокруг Вас, и Вы готовитесь к своей неизбежной смерти, Вы на мгновение задумываетесь о том, смогут ли эти глупцы, уничтожившие Ваш народ, когда-либо научится жить в гармонии с планетами, которые они так бездумно захватили. Но ответ на этот вопрос слишком очевиден и ужасен, чтобы о нем думать, Главный Магистр...
GAME_OVER_MILITARY_WIN2           | Спасение всех миров не за горами!#Победа! Победа для Вашего народа, и для всех планет Галактики! С того дня, когда Конклав Сауронцев вырвался с его родной планеты в поиске новых биосфер, нуждающихся в защите, Вы знали, что мечта Вашего народа сбудется, не смотря ни на что. Ваши соперники заблуждались, не понимая важности уделения приоритетного внимания вопросу безопасности экосистем этой галактики, но верхом их глупости, выходящей за грань понимания, было думать, что их силы было достаточно, чтобы помешать Вам достигнуть Вашей цели.#Выбрав самое простое и прямое решение, Вы устранили угрозу, которую представляли другие империи, и тем самым предотвратили неоправданные страдания всех биосфер, которые они, словно дикари, разрушали ради своих жалких целей! И теперь в Вашем распоряжении вечность для того, чтобы исправить то зло, которое они причинили, так как в Галактике больше нет никого, кто мог бы Вам помешать. И словно течением могучей реки Ваш народ разнесется по всей Галактике, где каждая планета - её приток, медленно и мирно развивающийся под Вашим мудрым руководством. Наслаждайтесь плодами Вашего тяжелого труда, и предвкушайте те новые вызовы, которые стоят перед Сауронцами на этом пути в будущее!
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Спасение всех миров вскоре станет реальностью...#Хотя это не тот финал, которого Вы жаждали достигнуть, Вы улыбаетесь, наслаждаясь Вашей заслуженной победой. Вы знали, что в этой Галактике найдутся другие расы, рассматривающие свои планеты как простые источники ресурсов, и эксплуатирующие их, игнорируя мудрость Вашей философии. Ваш народ был готов сражаться за неприкосновенность каждой планеты, какой бы маленькой она ни была. Теперь Ваши враги превратились в пыль, и Вы знаете, что хрупкое равновесие каждой экосистемы никогда больше не станет предметом прихотей тех, кто причинял им вред.#Вы были рады найти союзников, которые вняли Вашему призыву и были готовы начать уважительно обращаться со своими планетами после того, как Вы поделились с ними своими знаниями. К Вашему большому удивлению, они даже взялись за оружие, несомненно, защищая свои собственные интересы в первую очередь, но в то же время, помогая защищать и Ваши. И теперь Вы можете начать залечивать раны, нанесенные мирам этой галактики многочисленными невежественными войнами, надеясь, что со временем Вам удастся убедить Ваших друзей поступить со своими мирами так же...
GAME_OVER_COUNCIL_LOSS2           | Судьба всех миров решена...#Махинации империй Ваших соперников оказались причиной Вашего поражения. Было неизбежно, что продвигаясь по Галактике и совершенствуя экосистемы каждой найденной планеты, Вы обнаружите миры, колонизированные другими расами, которые останутся за пределами Вашей досягаемости. Благодаря дипломатии и политическим маневрам, Вы наверняка смогли бы спасти эти биосферы, даже если бы они продолжали принадлежать инопланетным властям. По крайней мере, так Вы думали.#Теперь Галактический Совет распущен и реформирован в Новую Республику под руководством [leader_empire_rodit]. Ваша неспособность убедить другие империи разглядеть мудрость в Ваших действиях, несомненно, приведет к ужасным последствиям как для Вашего народа, так и для планет, которые Вы отчаянно пытались спасти. Вам остается только надеяться, что новые правители Галактики проявят милосердие к Вашему народу. Не только ради него самого, но и ради каждой планеты в этой Галактике...
GAME_OVER_REBELLION_LOSS2         | Судьба всех миров решена...#К этому привели Ваше упорство и идеализм. Враги уничтожили Ваши вооруженные силы и сотворили с Вашими мирами доселе немыслимые вещи. Когда-то Вы думали, что если будете умело играть в их политические игры, Вы сможете склонить их взгляды в сторону Вашего мировоззрения. Но когда злые [leader_race_plural] возглавили Новую Республику, Вы поняли, что мирные переговоры больше невозможны. Вечные борцы за экологическое равновесие, Сауронцы поклялись предотвратить жестокое обращение с планетами Галактики, и были готовы отдать свою жизнь в борьбе за это.#Именно это и произошло - Ваши миры были завоеваны и результаты всех Ваших великих деяний сведены на нет. Ваш народ был вынужден отступить, чтобы принять смертельный бой в своем последнем оплоте, где все они и погибли, защищая Ваши идеалы. И по скольку Сауронцы являлись самыми ярыми сторонниками соблюдения экологического равновесия планет, их гибель окажется большой потерей не только для Вас, но и для всей Галактики...
GAME_OVER_REBELLION_WIN2          | Спасение всех миров не за горами!#Настал звездный час Конклава Сауронцев! Вы преодолели все препятствия, с которыми столкнулись при создании Вашей межзвездной империи, никогда не забывая, что Ваша первая обязанность заключалась в защите естественного великолепия миров, которые Вы провозгласили Вашими. Любой, кто осмелился выступить против Вас, был вынужден быстро признать свою ошибку, и когда раса [leader_race_plural_rod] заняла трон Новой Республики, Вы решили доказать всей Галактике насколько неправильным был этот выбор, и сделали это самым прямым образом из всех возможных.#Теперь нет врагов, которые могли бы противостоять Вашей воле, и нет глупцов, способных нанести вред защищаемым Вами планетам, и Ваш народ теперь может не торопясь решать экологические задачи различных биосфер этой Галактики. И когда все эти планеты под Вашим руководством достигнут совершенную гармонию природы, Вы будете готовы взять под свою защиту миры и других галактик. Да здравствует Конклав Сауронцев!
GAME_OVER_REBEL_ALLIANCE_WIN2     | Спасение всех миров вскоре станет реальностью...#Сказать, что эта последовательность событий была неожиданной - значит не сказать ничего. Поначалу, более мирные решения споров между империями казались лучшим способом предотвратить ненужный урон удивительным планетам, составляющим эту Галактику. Однако, Вы были вынуждены отбросить этот план, когда Галактический Совет выбрал другого лидера Новой Республики. Вы подняли знамя восстания против всей системы, тем самым бросив жребий судьбе всей Галактики.#Неожиданно Вы обнаружили, что и другие расы готовы поддержать Вас и освободить Галактику от того, кто определенно занимался ее гнусным притеснением. И те, кто сражался на Вашей стороне, оказались такими же стойкими, как и Ваш народ, вместе с Вами уничтожив этот ложный порядок (лже-правительство) и установив новое галактическое правительство, в котором благополучие планет стало приоритетом. И если Ваши союзники когда-либо решат отказаться от этого направления в будущем, Вы обладаете знанием, как эффективно противостоять их тактике и стратегиям. А уверенность, что несмотря ни на что, каждая планета в Галактике под Вашим руководством скоро достигнет своего полного потенциала, несомненно радует Ваше сердце...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Спасение всех миров вскоре станет реальностью...#Поистине, это был лучший результат, на который Вы, учитывая обстоятельства, могли надеяться. Начиная с Ваших первых встреч с другими империями, Вы понимали, что их различные недостатки не позволят им когда-либо узреть истину в Вашем мировоззрении. Вместо этого Вы решили завести дружбу между Вашим народом и [leader_race_plural_tvor], и затем помочь им достичь положения, которое было бы выгодным для Вас и Ваших планов. Теперь они восседают на троне Новой Республики, и, как их самые близкие соратники, Сауронцы приготовились насладиться плодами этого восхождения.#Вы будете продолжать влиять на Ваших союзников, чтобы обеспечить неприкосновенность каждого мира в Республике. И если какая-нибудь строптивая империя попытается помешать этому, Вы полностью уверены, что сможете легкостью с ними справиться. В этом - сила Вашей связи с [leader_race_plural_tvor], и именно так Вы обеспечите безопасность планет этой Галактики отныне и во веки веков...
GAME_OVER_COUNCIL_WIN2            | Спасение всех миров не за горами!#Вы добились победы, к которой Ваш народ стремился с тех пор, как он впервые отправился в космос. Все эти странными миры с их удивительными экологиями оказались полезнейшим испытанием для Вашего народа. Однако дипломатия оказалась для Вашего собственного разума гораздо более сложной задачей. Но, в конце концов, Вы теперь обладаете самым большим авторитетом в Галактике - теперь Вы и только Вы являетесь Властелином Новой Республики.#Благодаря своему новому положению, Вы обеспечите уважение и заботу каждой планете в Галактике. И если какие-либо империи в Республике, преследуя свои жалкие цели, решаться возразить этому железному закону - теперь в Вашем распоряжении объединенные вооруженные силы всей Галактики, которыми Вы сможете заставить их подчинится Вам. И когда все эти миры будут доведены Вами до совершенства, перед Вами откроется будущее, полное исследований других галактик и распространения Вашего благословенного руководства на их планеты. Так вперед, Главный Магистр, ведь Ваша работа только начинается...
GAME_OVER_COUNCIL_MILITARY_WIN2   | Спасение всех миров не за горами!#Хотя Вы и потерпели несколько неудач, Ваша воля теперь беспрепятственно руководит Галактикой. Это был нелегкий шаг - стать Властелином Новой Республики, но Вы смогли приспособиться к другим империям и к их хитроумным махинациям. И когда некоторые заблудшие члены Республики вознамерились поднять восстание, в попытке сохранить право разрушать свои миры, Вам не потребовалось много времени, чтобы прийти к выводу, что они должны быть истреблены.#Теперь повстанцы подавлены и их судьба послужит примером для тех, кто осмелиться поставить свои личные желания выше благополучия своих планет. Повстанцы также сумели принести Вам пользу, которую Вы не могли предвидеть - остальная часть Галактики, объединившаяся против общего врага, теперь купается в лучах общей победы, что делает ее более податливой к Вашей воле. Пришло время для реализации Ваших планов, и независимо от того, способны ли Ваши подчиненные понять их или нет, глубоко в сердце Вы знаете, что, в конце концов, Галактика будет Вам благодарна...
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Судьба всех миров решена...#Катастрофа постигла Новую Республику еще до того, как она была по-настоящему создана. По мере того как весть о Вашей мудрости и сострадании к биосферам других миров распространялась по межзвездным державам Галактики, становилось все более и более очевидным, что именно Вы будете избраны лидером Галактики, как только она объединится под единым флагом. Но вскоре после Вашего восхождения на этот новый верховный трон, начало зреть, пока наконец не разразилось, восстание. И в тот момент, когда Галактика поделилась на две стороны, Вы и те, кем Вы руководили, думали, что превосходящие силы и мощь объединенной Галактики обеспечат Вам легкую победу. Это самодовольство, похоже, в конечном итоге и привело к Вашей гибели.#Те, кто восстал против Вас были ещё более уверены в своих силах, и из-за этой уверенности Ваша империя начала рушится вокруг Вас. Теперь, вся Новая Республика уничтожена, все её флоты превратились в космический мусор, а каждый её мир завоеван теми, кто жаждал власти любой ценой. Повстанцы теперь поведут Галактику в будущее, соответствущее их ужасным планам, и в момент, когда сознание начинает покидать Ваше тело, Вы умираете с последней надеждой, что они окажут завоеванным ими планетам ту милость, в которой они отказали Вам...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | преданность экологиям Сауронцев
GAME_OVER_REBELLION_LOSS3         | непоколебимые убеждения Сауронцев поглотили
