// race-specific variables (must start with _)
_empire                           | Фершанское Ханство, Лишанское Ханство, Мяушанское Ханство, Когшанское Ханство, Хишанское Ханство
MAIN_ADVISOR_RESIST_COUNCIL       | Неужели они думали, что мы просто так позволим им заключить мир во всей Галактике? Приступим к набегам, Хан - народ жаждет сокровищ!
MAIN_ADVISOR_COUNCIL_RESISTED     | Эти глупцы-повстанцы бросают вызов нашему правлению! Давайте продемонстрируем им наше золотое правило: сильные берут, слабые дают!

COMPUTER_0_BRIEF   | Уровень Атаки IV
COMPUTER_1_BRIEF   | Уровень Атаки V
COMPUTER_1_DETAIL  | Добавляет 5 уровней к точности оружий.
COMPUTER_2_BRIEF   | Уровень Атаки VI
COMPUTER_2_DETAIL  | Добавляет 6 уровней к точности оружий.
COMPUTER_3_BRIEF   | Уровень Атаки VII
COMPUTER_3_DETAIL  | Добавляет 7 уровней к точности оружий.
COMPUTER_4_BRIEF   | Уровень Атаки VIII
COMPUTER_4_DETAIL  | Добавляет 8 уровней к точности оружий.
COMPUTER_5_BRIEF   | Уровень Атаки IX
COMPUTER_5_DETAIL  | Добавляет 9 уровней к точности оружий.
COMPUTER_6_BRIEF   | Уровень Атаки X
COMPUTER_6_DETAIL  | Добавляет 10 уровней к точности оружий.
COMPUTER_7_BRIEF   | Уровень Атаки XI
COMPUTER_7_DETAIL  | Добавляет 11 уровней к точности оружий.
COMPUTER_8_BRIEF   | Уровень Атаки XII
COMPUTER_8_DETAIL  | Добавляет 12 уровней к точности оружий.
COMPUTER_9_BRIEF   | Уровень Атаки XIII
COMPUTER_9_DETAIL  | Добавляет 13 уровней к точности оружий.
COMPUTER_10_BRIEF  | Уровень Атаки XIV
COMPUTER_10_DETAIL | Добавляет 14 уровней к точности оружий.
COMPUTER_11_BRIEF  | Уровень Атаки XV
COMPUTER_11_DETAIL | Добавляет 15 уровней к точности оружий.

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Ваши заветные сокровища теперь доступны всем желающим...#Наводящие ужас флоты Ханских налётчиков, которые когда-то разили, как молния, захватывая всё на своем пути, заставляли целые цивилизации опасаться разведывать ранее неизведанные регионы Галактики. Когда-то, Вы присваивали себе богатства целых культур и добавляли их к своей коллекции, которая содержала реликвии сотен миров. Но похоже, благодаря глупости, высокомерию, жадности, или какой-то комбинации всех этих качеств, Ваш народ в конце концов наткнулся на врагов, которые, как оказалось, сражались лучше, чем Ваши лучшие воины. И когда эти враги перешли в наступление, Вы были беспомощны и могли только наблюдать, как Ваша цивилизация разлеталась в прах.#Когда-то, даже простой слух, что Ваш народ где-то рядом, заставлял целые звездные системы и всех их обитателей дрожать от страха. Теперь же Ваш народ полностью истреблен, оставшись в памяти лишь страшилками для детей победителей, которых хотят припугнуть в случае их плохого поведения. А Ваши заветные сокровища, собранные со стольких планет, были разграблены и теперь украшают музеи и дома богачей, как реликвии далекого полузабытого прошлого, так же как и сам Ваш народ...
GAME_OVER_MILITARY_WIN2           | Все сокровища этой галактики - Ваши!#Сегодня ночью, весь Ваш родной мир ликует, празднуя полную победу Вашего народа над всеми другими, ибо эта ночь - начало новой эпохи, в которой Фершанские Ханства будут единолично контролировать Галактику. То, что в начале было простыми набегами ради трофеев и славы, что всегда являлось важной частью культуры Вашего народа, позже переросло в полномасштабные войны, которые затрагивали целые планеты, звездные системы, а в конце концов - всю эту галактику. Несмотря ни на что Вы боролись со множеством разных рас, и каждая межзвездная империя этой галактики пала под натиском Вашей всеподавляющей свирепости и мощи.#Поскольку слабые империи были завоеваны Вами без особых усилий, у Вашего народа не было нужды искать союзников. Избегая политических лабиринтов и ужасной скуки дипломатии, Вы уничтожили последнюю крепость последней сопротивляющейся империи, и теперь, трофеи тысячи миров только и ждут, пока Вы решите их себе забрать. И когда Вы полностью опустошите эту галактику... горе тем, кто живет за её пределами...
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Все трофеи этой галактики теперь принадлежат Вам и Вашим союзникам...#Ваши набеги и войны наконец-то увенчались успехом и принесли бесценные плоды. С самого начала Вашего вступления в мир дипломатии стало ясно, что Ваш гордый народ никогда не сможет мирно сосуществовать с теми, кто имеет невероятные сокровища, но не имеет силы, необходимой, чтобы защитить их. Вы знали, что войны будут неизбежны. Но были удивлены встретить кого-то в глубинах космоса, кто не только имел силу, необходимую для защиты своих ценностей, но и желание увеличить их количество.#Вместе, Вы и Ваши союзники вели войны, о которых будут рассказывать в легендах до самого конца времен. Вместе Вы завоевывали планетами и их сокровища. И в то время, как трупы Ваших слабосильных врагов устилают дорогу к будущему, Вам остается только переместить все их трофеи и насладиться своей победой. Но будьте бдительны, Золотой Хан: как бы верно Ваши союзники ни сражались вместе с Вами, те, кто жаждут золота, могут в конце концов и предать своих друзей, если больше не осталось врагов, у которых его можно отобрать...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | По крайней мере, Ваши трофеи теперь находятся в безопасности в этой новой эпохе...#Неудивительно, что Галактический Совет не разглядел Ваше величие и отказался назначить Вас лидером Новой Республики. Ваши набеги на другие империи произвели менее чем позитивное впечатление о Вашем народе, и мало кто вообще попытался понять Ваши культурные нормы и ценности, чтобы выстраивать с Вами более или менее осмысленные отношения. Но будь-то наивность или искренность, чувства, которые привлекли многих других на их сторону, Вы в конце концов оказались союзником %6. Вы смогли найти с ними общий язык, и, зная, что в данной ситуации это станет лучшим выбором для Вашего народа, помогли им стать избранными лидерами этой новой эры.#В благодарность и с великодушием, щедрость Ваших союзников, позволила Вам обеспечить безопасность Ваших трофеев даже без необходимости платить репарации тем, у кого Вы их отобрали. К сожалению, одним из условий этой новой эпохи мира, стала необходимость прекращения набегов на другие империи, а также радикальная перестройка Вашего общества. Но, безусловно, это лучше, чем неминуемое уничтожение, которое грозило бы Вам, в случае, если бы Вы решили восстать против своего союзника...
GAME_OVER_COUNCIL_LOSS2           | Ваши набеги и Ваш образ жизни в целом, подошли к внезапному концу...#Вы наконец-то осознали размер величайшей угрозы для культуры Вашего народа. После бесчисленных лет исследования космоса и покорения звёзд, остальные империи этой галактики решили забыть вражду и обиды прошлого и объединиться вместе в мирном сосуществовании, отныне известном, как Новая Республика. И поскольку каждая новая эра требует новых лидеров, Галактический Совет выбрал того, кто бы повел их в эту новую эпоху. Достаточно сказать, что они выбрали не Вас...#И хотя Вы очень старались научиться играм дипломатии, гармоничное сосуществование никогда не было сильной стороной Вашего народа. Недоверие к Вам, вызванное Вашими постоянными набегами и старые обиды тех, кто терпел их, нанесли непоправимый удар Вашей репутации среди империй, входящих в Совет. И так как теперь единство Галактики стало несомненным фактом, против которого Вы бессильны, Ваши набеги за сокровищами и славой навсегда закончились. Ваш народ должен приспособиться к этой новой эре или умереть...
GAME_OVER_REBELLION_LOSS2         | Ваши заветные сокровища теперь доступны всем желающим...#Эра завоевания удивительных сокровищ этой галактики, к сожалению, подошла к концу. Когда %6 объединили Галактику под флагом Новой Республики, Вы знали, что священные обряды культуры Вашего народа будут обречены, если Вы не выступите против наступления этой, утратившей ориентиры, новой эры. Но, то ли из-за слепого повиновения своему новому хозяину, либо из страха перед Вашим народом и репутации, которую он себе заработал в Галактике, никто не поддержал Вас в Вашем восстании.#Ваши враги, зная, что никто в одиночку не мог сразиться с Вашим народом и надеяться на победу, объединили все свои ресурсы и флоты, и выступили плечом к плечу против Вашего восстания. И хотя Ваш народ сражался с достойной легенд самоотверженностью, внушавшей страх всей Галактике, но ни они, ни Вы не могли надеяться превзойти объединенные силы Новой Республики. Ваше восстание подошло к своему печальному концу, и теперь ничто не сможет помешать победителям присвоить себе Ваши трофеи...
GAME_OVER_REBELLION_WIN2          | Все сокровища этой галактики - Ваши!#Время Ханств наконец настало. Едва начав свой поход на эту неизведанную Галактику, Вы столкнулись с другими космическими цивилизациями, которые преследовали свои собственные цели среди этого моря звёзд. Но несмотря на их более развитые культуры и технологические новшества, все они пали перед Вами и Вашей свирепостью. По началу, Вы были более чем довольны позволять этим цивилизациям существовать в их естественном состоянии, давая тем самым Вашему народу неисчерпаемый источник для захватывающих дух сокровищ, которые они получали во время набегов. Но когда они решили создать новый союз, несомненно пытаясь воспрепятствовать Вашему народу продолжать вести привычный для себя образ жизни, Вы ответили единственно правильным образом, которого заслуживают те, кто смеет противостоять Вам.#Благодаря Вашей хитрости, знаниям и стойкости в сражениях против флотов других империй, Ваше восстание против нового галактического порядка закончилось полной и абсолютной победой. Сокровища тысячи миров лежат и ждут, когда Вы заберете их себе, ибо все те, кто хранил их были уничтожены. Берите их, Золотой Хан, несите их в свои сокровищницы, и готовьте свой народ к завоеванию сокровищ всей Вселенной...
GAME_OVER_REBEL_ALLIANCE_WIN2     | Все трофеи этой галактики теперь принадлежат Вам и Вашим союзникам...#Начать Ваше восстание против Новой Республики было логичным решением. Вы знали, что отношение Галактики к Вашему народу и его образу жизни было крайне отрицательным. Когда слухи о Вашем военной доблести и наводящих ужас набегах, которые Вы совершали на своих врагов, распространились по всей Галактике, Вы знали, что объединённая Галактика поставила бы Вас перед непреодолимой угрозой, как только она была бы создана. Как настоящий вождь из легенд Вашего древнего народа, Вы поступили быстрее, чем кто-либо мог предвидеть, и нанесли удар галактическому союзу, открыто объявив им войну, тем самым помешав врагам найти опору, которая понадобилась бы им, чтобы сокрушить флот Ханства.#К своему огромному удовольствию, Вы обнаружили, что не только Вы были недовольны будущим, которое представляла собой Новая Республика и, в обмен на небольшую долю добычи, Вы заключили с ними новый союз, который помог Вам утвердить свое господство над абсолютно не подготовленными силами, которые ополчились против Вашего народа. Ваши враги были полностью уничтожены, а у Ваших новых союзников нет никаких шансов противопоставить что-либо Вашей мощи, в случае если они когда-либо перестанут быть Вам полезными. Все, что Вам нужно сделать, это взять себе то, за что Вы так долго и упорно боролись...
GAME_OVER_COUNCIL_WIN2            | Эта галактика и ее сокровища принадлежат Вам и только Вам!#Наконец-то настал величайший день в истории Вашего народа - Золотой Хан Фершанского Клана восседает на троне Новой Республики и безраздельно правит всеми другими империями этой галактики. Своими набегами на другие империи, Ваш народ заработал себе ужасающую репутацию, и хотя в прошлом в Галактике раздавалось множество недовольных голосов, все они умолкли с тех пор, как Галактический Совет признал Вашу непреодолимую силу. Конечно, некоторые из империй, которые помогли Вам взойти на трон, желали бы стать настоящими друзьями Вашего народа, однако, Вы знаете, что большинство из тех, кто проголосовал за Вас, сделали это из страха перед Вашей мощью. И Вас это абсолютно устраивает!#Начиная с этого дня, все империи в Новой Республике будут платить Вам дань. А за попытку противостоять Вам в залах Совета, империи, голосовавшие против Вас будут вечно подвергаться набегам со стороны Вашего народа, и никогда больше не обретут силу необходимую для восстания против Вас. Галактика принадлежит Фершанам, и она будет продолжать подчиняться Вам до конца времен. Слава новой эпохе, и слава Золотому Хану!
GAME_OVER_COUNCIL_MILITARY_WIN2   | Все трофеи этой галактики теперь принадлежат Вам и Вашим союзникам...#Наконец-то Ваше правление может начаться по-настоящему. Легендарная военная мощь Вашего народа и истории об ужасных набегах, которые Вы совершали на другие империи, обусловили Ваше становление Властелином Новой Республики. Но даже несмотря на то, что большинство, из страха вызвать Ваш гнев, следовали Вашим приказам, всё же были глупцы, посмевшие восстать против Вашей власти. Жаждая заполучить сокровища, Ваш народ поспешил сокрушить восстание и овладеть обещанными трофеями, в этот раз, имея поддержку всех объединенных вооруженных сил Новой Республики, находящимися под Вашим управлением.#Восстание закончилось, даже толком не успев начаться, а армии узурпаторов были разгромлены с минимальными усилиями. Овладев сокровищами, Фершане перебирают свою добычу, отдавая хлам и мусор меньшим империям, как награду за службу Вам. И поскольку повстанцы служат примером того, что станет если Вас разозлить, у Вас мало оснований полагать, что новое восстание когда-либо заявит о себе. А теперь, обратите свой взгляд на другие Галактики, ибо они полны незадачливых жертв, ожидающих момента, когда на них начнется охота, и множества сияющих сокровищ, которые жаждут быть добавленными в Вашу коллекцию...
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Ваши заветные сокровища, теперь достанутся другим...#Ваше правление закончилось, до того как оно могло даже начаться. И хотя вначале Вы успешно использовали страх, чтобы сокрушить инакомыслие в других империях и занять позицию лидера Новой Республики, были те, кто имел достаточно храбрости бросить вызов Вам и тому беспощадному будущему, которое Вы собой представляли. Ваш гордый и сильный народ, украшенный трофеями бесчисленных набегов, жаждал завоевать еще больше богатств в очередной неизбежной войне. Но он не осознал или не был в состоянии осознать опасность, которую представляло собой восстание, и стойкое мужество, проявленное повстанцами, оказалось причиной Вашего поражения.#Хотя Вы хвастались размерами объединенных вооруженных сил, пользуя флоты всех, кого подчинили себе, Вы оказались бессильны противостоять мятежникам в дестабилизации Республики и Вашем свержении с трона. Вначале поражение потерпели Ваши подчиненные, а потом и Ваш народ, и кажется, что в конце концов сама Галактика была против будущего, которое Вы пытались создать. Ибо что есть воля одного народа, каким бы сильным он ни был, против неукротимой руки судьбы...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | жажда сокровищ Фершан
GAME_OVER_REBELLION_LOSS3         | ненасытная жадность Фершан охватывает
