// race-specific variables (must start with _)
_empire                           | Империя Урсы, Империя Медвяти, Империя Урсати, Империя Пандати, Империя Гризляти
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Ярость Вашей Империи усмирена.#Многое произошло с тех пор, как Вы повели свой народ с их родного мира, надеясь помочь им найти свое место в Галактике. Ваши победы дали многое Вашему народу, и многие планеты были включены в состав Империи, чтобы обеспечить всем Урсанам светлое будущее. К сожалению, главный приз - возглавить Новую Республику - так и остался недосягаемым. Возможно, Ваша свирепость на поле боя слишком напугала других, чтобы позволить Вам достичь этой цели.#Но не все потеряно - надежный союзник возглавил Совет вместо Вас и убедил другие империи в правоте своего видения будущего Галактики. Хотя Ваш народ хотел бы видеть Вас правителем этой новой эпохи, Вы знаете, что Ваш выбор союзников верен - %8 поможет Вам обеспечить своему народу место в будущем этой Галактики, независимо от того, каким оно будет...
GAME_OVER_REBELLION_LOSS2         | Ярость Вашей Империи сокрушена.#Войны в этой галактике подошли к концу. Ваш народ дрался изо всех сил, с гневом и яростью, неприсущими ни одной другой империи, но в конце концов, Ваши победы могли послужить причиной Вашей гибели. Свирепость, с которой сражался Ваш народ, обернулась против Вас, ведь врагу было поручено управлять Новой Республикой, ибо они убедили других членов Совета, что Ваш народ попросту слишком дикий, чтобы доверять ему. Поскольку %8 всю Галактику, Вы ничего не могли поделать, кроме как отложить неизбежное.#В конце концов, Империя Урсы пала. Ваша территория разделена между победителями, а Ваши реликвии и города превращаются в пыль, которая будет развеяна ветрами истории...#Легенды о Вашем народе и о его доблестной последней битве вряд ли будут внушать страх потомкам тех, кто унаследует эту галактику. В конце концов, историю пишут победители...
GAME_OVER_REBELLION_WIN2          | Ярость Вашей Империи царствует безраздельно!#Наконец-то, Вы достигли того, что, как Вы знали, судьба готовила для Вас - полное уничтожение всех других рас этой галактики! Ваша непревзойденная ярость оказалась непреодолимой для врагов Урсан, которые из-за своей трусости стремились объединиться против Вас. Надеясь, что их объединённой силы будет достаточно, чтобы уничтожить Вас, они, словно крысы, сновали по звездам, пытаясь сжечь Ваши миры до тла. Какими же глупцами они были, чтобы верить в это - Ваш народ показал им, насколько тщетными оказались их планы.#Узрите, Великий Иерарх, - эта галактика принадлежит Вам. В свое удовольствие Вы будете присоединять миры к Вашей Империи, и только Ваш народ и никто другой будет собирать богатства этих бесчисленных планет, не встречая ни малейшего сопротивления. И когда Вы завладеете всем, что может дать эта галактика, настанет время направить свои силы на другие неизведанные галактики, лежащие за пределами этой...
GAME_OVER_REBEL_ALLIANCE_WIN2     | Не осталось никого, кто осмелился бы бросить вызов Вашему гневу.#Восходящее солнце озаряет то, что когда-то являлось Новой Республикой, и Вы занимаете место, которое должно было принадлежать Вам с самого начала. Было несложно угадать, как поведут себя Ваши бывшие враги, объединившиеся против Вас из-за страха перед Вами, который был настолько велик, что сплотил их в своей параноидальности перед Вашей силой. Ваше восстание было справедливым - никто и никогда не дождался бы, чтобы такая великая раса воинов, как Ваша, стала бы пресмыкаться и умолять о пощаде, словно заискивающие ничтожества. Вы также утверждали, что Ваших врагов ждет только гибель, какими бы многочисленными они ни были. Если бы только эти глупцы Вас послушали!#Впрочем, Вам знакомо чувство милосердия. Те, кому хватило мудрости заключить с Вами союз, будут наслаждаться плодами щедрого будущего, и их храбрость и благоразумие будут почитаться во всей Вашей новой Империи. Они послужат живым доказательством Вашей милости, и у них никогда больше не будет врагов, которых нужно бояться. Конечно, до тех пор, пока они хранят верность Империи Урсы...
GAME_OVER_COUNCIL_WIN2            | Ярость Вашей Империи царствует безраздельно!#Эта галактика и ее жители принадлежат Вам. С начала Вашего межзвездного путешествия, Вы повстречали много врагов и не так много друзей. И хотя в битвах приходилось туго - вкус победы доставался Вашему народу, когда те, кто был слишком глуп, чтобы понять ошибочность своего пути, были вынуждены столкнуться с вымиранием. Те же, кто остался жив, увидели в Вас не только силу, которую следует бояться, но и интеллект, который требует уважения, и на последнем заседании Галактического Совета Вы были избраны, чтобы привести то, что будет отныне известно как Новая Республика, в светлое будущее. Испытание Вашей силы подошло к концу - пришло время испытать Вашу мудрость. Будущее, уготовленное для Республики, возглавляемой королем-мыслителем Империи Урсы, пока неизвестно. Но одно можно сказать наверняка - не осталось никого, кто выступил бы против Вашего правления, ибо Ваша несокрушимая сила несет в себе все, чтобы развеять любые сомнения и страхи со стороны Ваших новообретенных подданных. Слава Новой Республике и слава Великому Иерарху Империи Урсы!
GAME_OVER_COUNCIL_MILITARY_WIN2   | Не осталось никого, кто осмелился бы бросить вызов Вашей ярости.#Новая эпоха мира должна была начаться после Вашего восхождения на трон Новой Республики... Но в то время, как многие империи были рады следовать за сильным лидером, ведущим их к светлому будущему, некоторые недальновидные глупцы посчитали себя мудрее и сильнее, законно избранного правителя Галактики. И вскоре настало Ваше первое испытание в качестве правителя Новой Республики - Ваши быстрые и решительные действия не только подавили это восстание, но и тем же ударом укрепили Ваши позиции лидера.#Ваши враги - враги Галактики. Сломленные и побежденные пали они перед объединенной мощью Вашей империи и флотов подчиненных Вам цивилизаций. Они послужат предостережением тем, кто осмелится угрожать Республике в будущем - остерегайтесь, несущие войну, ибо этой галактикой правит самый могущественный король из когда-либо существовавших. Да здравствует Великий Иерарх, и пусть Ваше нелегко давшееся будущее светит ярче, чем Ваш народ может себе представить!
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Ярость Вашей Империи сокрушена.#Увы, история Империи Урсы закончилась. После столетий завоеваний и прогресса, Ваше желание взойти на трон Галактики и стать ее мудрым и могущественным правителем, сбылось. Мятеж против Вашего правления, казался небольшим и обреченным на провал перед лицом мощи объединенной Галактики. Но повстанцы обладали хитростью, которой Вы от них не ожидали, и умели использовать ее, чтобы противостоять Вашему невероятному физическому превосходству, на каждом шагу. Ваши бездарные союзники оказались бесполезны в оборонительных разработках, и, даже не сбывшись, мечта о Новой Республике канула в Лету, как и цивилизации, которые когда-то ее составляли.#Если бы все пошло иначе, эта Галактика и ее обитатели вместе двинулись бы вперед, к светлому, не знающему раздоров и войн, будущему. Но теперь это будущее находится в руках коварных и жадных мятежников, которые были готовы на все, лишь бы свергнуть Вас с престола. Однако, они сами в конце концов проиграют, ибо без Вашей мудрости, их безумие несомненно приведет их к самым ужасным последствиям...


// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3   | непревзойденная ярость Урсан
GAME_OVER_REBELLION_LOSS3 | необузданная ярость Урсан охватывает
