// race-specific variables (must start with _)
_empire                           | Назлоки, Сарлоки, Лепы, Тени, Назинцы
MAIN_ADVISOR_COUNCIL_RESISTED     | Мы слишком долго старались подчинить этих глупцов своей воле! Сопротивление нашей власти недопустимо! Их надо немедленно уничтожить!

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Конец Ваших поисков, конец Вашего народа...#Невероятная трагедия постигла Вашу империю. Когда-то, Ваш народ был расой, отчаянно пытавшейся разгадать тайну события, которое переместило Ваших предков из их умирающей Вселенной в это инопланетное измерение. Теперь - полностью разрушенная цивилизация, лежащая у ног тех, кто оказался гораздо сильнее, чем Вы могли себе представить. Если бы они знали о вашей тяжелой участи, возможно, они были бы более милосердными, и может даже оказали бы Вам помощь, или, по крайней мере, были бы более терпимыми к тому, как Вы действовали, в попытке достигнуть своих целей. Вместо этого, Вы добились только преждевременной гибели Вашего вида, в то время как другие расы продолжают свое движение к их будущему.#Как жаль, что Назлокам досталась такая судьба! Если бы Вы действовали по другому, Ваш народ, возможно, всё ещё был бы жив и, возможно, даже нашел бы способ, как перенести остальную часть Вашей расы в это новое, более стабильное измерение. Впрочем, возможно ничего нельзя было поделать - возможно судьба попросту решила, что история Назлоков должна подойти к концу...
GAME_OVER_MILITARY_WIN2           | Первый этап закончен. Настоящее испытание только начинается...#Эта галактика - Ваша! Подобно тому, как Ваш народ доминировал в своей родной Вселенной, Вы сокрушили жалкое сопротивление этой галактики и объявили всё, что в ней есть своим. Ваши тактические приемы оказались слишком сложными для Ваших врагов, а искусству маскировки и скрытности, которые Вы использовали, чтобы овладеть их тайнами, они буквально ничего не смогли противопоставить. И в момент, когда последние базы Ваших врагов вот-вот падут перед лицом Вашей мощи, Вы вглядываетесь в звёзды, усеивающие галактику, которая отныне будет постоянным домом Назлоков.#Но Ваша миссия еще не закончена. Вы научились жить в этом чуждом измерении и сделали всю эту галактику безопасной для выживания и процветания Вашего народа. Однако, знание, как воссоздать межпространственную трещину, которая привела сюда Вашу расу, Вам всё еще недоступно, и каждый день в этом мире, приближает Вашу родную Вселенную к своей неизбежной гибели. И если хотя бы одна из уничтоженных Вами империй, владела этим знанием, то все Ваши военные завоевания были тщетны и привели Ваш народ не к спасению, а к гибели...
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Первый этап закончен. Настоящее испытание только начинается...#Ваша первая истинная победа! Когда Ваш народ перенесся в это измерение, оно показалось ему ужасающим, противоестественным, и опасным. Но вместо того, чтобы прятаться и просто пытаться выжить в нём, он смело пошел вперед, поклявшись овладеть тайнами этой галактики и обезопасить её, чтобы спасти тех, кто остался в его родной Вселенной. На этом пути Вы повстречали и врагов, и друзей, и подготовились к величайшему испытанию, с которым Ваша цивилизация когда-либо сталкивалась.#Вместе со своими союзниками, Вам удалось уничтожить тех, кто противостоял Вашим целям, и разбить их мощью своих флотов, подобно волнам, обрушивающимся на берег. Теперь остались только Вы и Ваши близкие друзья, и благодаря родству, которое можно получить лишь разделив победу в войне, Вы с радостью поможете своим друзьям в их бедах, так же, как они помогут Вам в Ваших. И когда Ваш народ благополучно пересечет измерения и Ваша настоящая империя возродится, только те, кто доказал свою верность Вашей миссии, смогут жить во вселенной, которая, несомненно, станет Вашей...
GAME_OVER_COUNCIL_LOSS2           | Ваши планы сорваны, Ваши поиски под угрозой...#Ваши намерения были разоблачены галактикой - хотя никто не может сравниться с Вами в мастерстве уловок и шпионажа, Вы не смогли уклониться от зорких глаз Ваших соперников. С созданием Новой Республики и пока ещё неясным будущим галактики, голоса членов Совета обернулись для Ваших хитроумных планов величайшим провалом. Теперь [leader_race_plural] будут определять будущее галактики!#Попытка заполучить рычаги управления галактикой была грандиозной затеей. Если бы Ваши дипломатические ходы были бы более тонкими, вполне возможно, что общая воля всех империй была-бы направлена на помощь Вашим поискам. Но увы, теперь Вам придется подчиниться воле лидера Новой Республики, и каждый прошедший день приближает Ваших, застрявших в своей родной гибнувшей Вселенной, соплеменников на один день ближе к своему теперь неизбежному концу...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Первый этап закончен. Настоящее испытание только начинается...#Давным-давно, небольшая группа Вашего народа была вырвана из своей умирающей Вселенной и заброшена в это новое и чужое Вам измерение. Когда Вы начали поиски возможностей воссоединения в этой новой и стабильной галактике с теми, кто остался в затруднительном положении в Вашей родной Вселенной, столкновения с теми, кто уже жил среди этих звёзд, быстро дали Вам понять, что Вы не сможете найти ответы, которые Вы ищете, одновременно ведя мелкие и затяжные войны. Вместо этого, Вы решили начать манипулировать ходом истории тонко и незаметно, и теперь, наконец, эти планы осуществились.#[leader_race_plural] возглавили Новую Республику, и оказались податливыми и восприимчивыми к Вашим планам и советам, как Вы на то и надеялись. Как доверенные лица и советники, Ваш народ занял уникальное положение, позволяющее управлять мощью этой галактики, технически находящейся под руководством другого лидера. Вы слишком далеки от непосредственного руководства, чтобы в случае провала почувствовать какую-либо ответственность за его последствия. Однако, в случае успеха, укрепление Ваших позиций, связанное с прибытием в это измерение Ваших давно потерянных соплеменников, сыграет роль более чем достаточную, чтобы склонить чашу весов в Вашу пользу и начать движение к новой эре...
GAME_OVER_REBELLION_WIN2          | Первый этап закончен. Настоящее испытание только начинается...#Напрасно Ваши враги пытались, используя всевозможные уловки, помешать Вам в стремлении освободить находящихся в затруднительном положении соплеменников от окончательной гибели. От угроз, до шпионажа и открытой вражды - их желание помешать Вам достичь Вашей цели было очевидным. В конце концов, во время выборов правителя Новой Республики, они проголосовали против Вас, несмотря на то, что среди всех кандидатов только Вы были достойны этого. Не имея другого выбора и с чистой совестью, Вы обрушили на них ту ужасную ярость, которая привела Ваш народ к полному господству во Вселенной, из которой он прибыл.#Теперь эта галактика принадлежит Вам, и хотя осталось совсем немного времени, прежде чем ваше родное измерение достигнет своего коллапса, унося жизни оставшихся позади, по крайней мере, здесь, в этом измерении не осталось никого, кто мог бы противостоять Вам.#Наконец эти глупцы увидели Вашу безграничную силу и решимость! Или, по крайней мере, увидели бы, если кто-то из них остался бы жив...
GAME_OVER_REBELLION_LOSS2         | Конец Ваших поисков, конец Вашего народа...#С момента Вашего прибытия в это неприветливое место, судьба никогда не баловала Ваш народ. Она не была к нему благосклонной, когда Вы оказались в измерении, где ни одна из Ваших технологий не работала должным образом. Не улыбнулась Вам, когда Вы повстречали обитателей этой галактики, и когда они голосовали против Вас, выбирая правителя Новой Республики. И сейчас, в свой последний час, Вы так и не дождались милости от своей судьбы, когда были вынуждены атаковать своих соперников не столько ради галактического господства, но ради самого выживания Вашего вида.#Ваш народ был стойким, сильным и решительным, но всех их усилий и готовности сделать всё, что требовалось для достижения успеха, было недостаточно, чтобы обеспечить им победу над подавляющей мощью армий Новой Республики. Ваша храбрость достойна упоминания - с этим никто не может поспорить. Но теперь, когда последняя из Ваших армий и Ваших крепостей пали перед врагом - Ваша разрушенная империя лежит в руинах и скоро будет забыта навсегда...
GAME_OVER_REBEL_ALLIANCE_WIN2     | Первый этап закончен. Настоящее испытание только начинается...#С самого начала Вы знали, что жители этой галактики никогда бы добровольно не доверили Вам позицию лидера объединенного союза межзвездных империй. Нечестные и недоверчивые туземные империи, населяющие эти планеты, делали всё возможное, чтобы сорвать Ваши планы, и радостно проголосовали против Вас во время выборов лидера Новой Республики. Но Вы были мудры и изобретательны, и читая их ходы так же легко, как слова на странице, Вы сосредоточили свои дипломатические усилия на тех, кого считали достойными стать Вашими союзниками. И когда Ваши враги решили, что заманили Вас в западню, они сами оказались в давным-давно приготовленной Вами для них ловушке.#Теперь Вы и Ваши союзники победили, в то время как от Ваших врагов, осмелившихся посчитать себя лучше Вас, остался лишь пепел. Судьба этой галактики в Ваших руках, и ничто не сможет помешать Вам найти способ провести своих сбившихся с пути соплеменников через межпространственные барьеры в эту новую, готовую к завоеванию, вселенную. А если те, кого Вы выбрали своими соратниками, станут мешать Вам в достижении Ваших целей, Вы уничтожите их так же решительно, как Вы уничтожили все другие империи этой галактики...
GAME_OVER_COUNCIL_WIN2            | Первый этап закончен. Настоящее испытание только начинается...#Залы Совета взрываются ликованием, приветствуя Вас в роли лидера Новой Республики. Вы покорно принимаете бремя руководства, возложенного на Вас империями, входящими в Галактический Совет, зная, что итог этот - результат давно разработанного плана. Вскоре после того, как Ваш народ прибыл в это измерение и узнал о его тайнах, Вы поняли, что в одиночку Вы не сможете найти способ, который позволил бы Вашим оказавшимся в ловушке родственникам совершить путешествие в это измерение до того, как их родная Вселенная полностью погибнет. И теперь, после многих лет дипломатии, хитрости и политических манипуляций, Вы больше не одиноки.#Теперь эта галактика Ваша, и Вы можете её менять, лепить и направлять куда Вам заблагорассудится. Вскоре Вы заставите технологии, силу и инновации своих союзников работать на Вас, чтобы помочь Вам открыть портал в Вашу родную Вселенную и, воссоединившись со своим народом, помочь восстановить свою цивилизацию здесь. И если кто-то осмелится попытаться остановить Вас, теперь у Вас есть армии Новой Республики, которые помогут заставить их замолчать раз и навсегда...
GAME_OVER_COUNCIL_MILITARY_WIN2   | Первый этап закончен. Настоящее испытание только начинается...#Теперь Ваше правление этой галактикой подтверждено словом и делом. После бесчисленных лет манипуляций в попытке заставить межзвёздных соперников служить Вашим интересам, Ваши планы наконец-то увенчались успехом, и Вы получили титул лидера Новой Республики. И когда голоса инакомыслящих поднялись против Вас, Вы привели в действие давно подготовленный план, который позволил Вам решительно подавить восстание.#Теперь вся галактика принадлежит Вам, и Вы можете делать с ней все, что пожелаете. И поскольку теперь Ваши враги обращены в прах и развеяны по свету солнечными ветрами, Вы можете уделить внимание своей истинной цели - отыскать способ провести свой разрозненный народ через межпространственную пропасть в эту новую и стабильную Вселенную, где Ваша империя сможет возродиться. Ведь теперь никто не осмелится выступить против Вас, особенно после того, как вся галактика увидела, что происходит с глупцами, которые так поступают...
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Конец Ваших поисков, конец Вашего народа...#Ваш народ постигла самая печальная участь. Вашему непревзойденному мастерству шпионажа и политических интриг помешали низшие виды, которым не было дано понять ту великую миссию, которую Вы пытались реализовать. И хотя Вы преуспели в грандиозной задаче стать избранным правителем галактики, сохраняя при этом свои истинные цели в тайне, Вы не смогли подавить восстание, вспыхнувшее против Вашей зарождающейся власти.#Теперь уже совершенно невозможно управлять будущим галактики, продвигая интересы Вашего народа. Восстание превратило Новую Республику в руины, которые повстанцы сначала разграбят, а затем застроят своими империями. Гибель Вашей расы определила судьбу и остальных Назлоков, теперь уже навсегда заключенных в ловушке их обреченной Вселенной, из которой они никогда больше не смогут убежать. Ваша неудача положила конец Вашему народу не в одной, а в двух Вселенных сразу, и постичь ее ужасающий масштаб неподвластно ни одному из Ваших врагов...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | темная хватка Назлоков
GAME_OVER_REBELLION_LOSS3         | непознаваемые махинации Назлоков опутывают
