// race-specific variables (must start with _)
_empire                           | Холданский Улей, Насеконский Улей, Петаронский Улей, Улей Индивида, Колютонский Улей
TECH_DERELICT_TITLE               | Я Нашел Древнюю Технологию
TECH_PLUNDERED_TITLE              | Среди Руин Планеты %1, Я Нашел
TECH_GUARDIAN_TITLE               | Я Извлек Древнее Оружие
TECH_TOP_TIER_DETAIL              | Исследование этой технологии даст Вам возможность исследовать более продвинутые технологии.
TECH_COMPLETED_COMPUTER           | Достигнуты пределы развития Компьютерных технологий. Дальнейшие исследования в этой области невозможны.
TECH_COMPLETED_CONSTRUCTION       | Достигнуты пределы развития Строительных технологий. Дальнейшие исследования в этой области невозможны.
TECH_COMPLETED_FORCE_FIELD        | Достигнуты пределы развития технологий Силовых Полей. Дальнейшие исследования в этой области невозможны.
TECH_COMPLETED_PLANETOLOGY        | Достигнуты пределы развития Планетологических технологий. Дальнейшие исследования в этой области невозможны.
TECH_COMPLETED_PROPULSION         | Достигнуты пределы развития технологий Движения. Дальнейшие исследования в этой области невозможны.
TECH_COMPLETED_WEAPON             | Достигнуты пределы развития Оружейных технологий. Дальнейшие исследования в этой области невозможны.
TECH_COMPLETED_ALL                | Достигнуты пределы развития науки. Время для учёбы прошло. Все будущие расходы на исследования будут переведены в казну империи.
NOTICE_ESPIONAGE_TITLE            | Вы проникли в базу [alien_race_plural_rod].
NOTICE_ESPIONAGE_FRAME_TITLE      | Вам удалось переложить вину за кражу на другую расу.
NOTICE_SPIES_LOST_DESC            | • Служба Имперской Безопасности [alien_empire_rodit] ликвидировало %1 Ваших шпионских сетей.
NOTICE_SPIES_LOST_CONFESSED       | Из Ваших шпионов была извлечена информация о запланированных диверсиях.
NOTICE_SPIES_LOST_CONFESSED2      | Из Ваших шпионов была извлечена информация о запланированной краже технологии.
NOTICE_SPIES_LOST_CONFESSED3      | Из Ваших шпионов была "извлечена" информация о планированных диверсиях.
NOTICE_SPIES_CAUGHT_DESC          | • Вы ликвидировали %1 шпионских сетей [alien_empire_rodit].
NOTICE_SPIES_FRAMED               | • Вас ложно обвинили в краже технологии [alien_empire_rodit].
NOTICE_SPIES_ESPIONAGE            | • Вы успешно украли технологию %1 от [alien_empire_rodit].
NOTICE_SPIES_ESPIONAGE_FRAME      | Вам удалось переложить вину за эту кражу на [framed_empire].
NOTICE_SPIES_SABOTAGE_FACTORIES   | • Вы успешно уничтожили %1 заводов на планете %2.
NOTICE_SPIES_SABOTAGE_BASES       | • Вы успешно уничтожили %1 ракетных баз на планете %2.
NOTICE_SPIES_SABOTAGE_REBELS      | • Вы успешно радикализировали повстанцев в системе %2.
NOTICE_SPIES_SABOTAGE_REBELLION   | • Вы успешно вызвали восстание в системе %2.
NOTICE_SPIES_LEARNED_TECH         | • [alien_empire] владеет данными неизвестными Вам технологиями: %1
SHIP_COMBAT_TITLE_DESC            | Я встретил враждебный флот [alien_race_plural_rod].
SHIP_COMBAT_TITLE_MONSTER_DESC    | Я встретил агрессивное существо "%1".
RACES_DIPLOMACY_RELATIONS_UNKNOWN | [alien_race_plural]. Их мотивы и мнение о Вас непостижимы.
RACES_DIPLOMACY_BUREAU            | Дипломатия
RACES_DIPLOMACY_BUREAU_DESC_RANGE | Вы не можете связаться с империями, которые находятся вне диапазона действия Ваших кораблей.
RACES_DIPLOMACY_BUREAU_DESC_FINAL | Вы участвуйте в последней войне. Дипломатия невозможна.
RACES_DIPLOMACY_TRADE_DESC_RANGE  | Вы не можете заключать торговые договора с [alien_race_plural_tvor], в то время как они находятся вне диапазона действия Ваших кораблей.
RACES_DIPLOMACY_TRADE_DESC_FINAL  | Вы участвуйте в последней войне. Торговля невозможна. 
RACES_DIPLOMACY_FOREIGN_RANGE     | Вы не сможете узнать об отношениях других империй с [alien_race_plural_tvor] пока не будет установлен дипломатический контакт.
RACES_DIPLOMACY_COUNTER_BUREAU    | Контрразведка
RACES_INTEL_BUREAU_TITLE          | Разведка
RACES_INTEL_SPY_WARNING           | При обнаружении, эта миссия нарушит Ваш договор с [alien_empire_tvor].
RACES_INTEL_KNOWN_TECH_DESC       | [alien_race_plural] освоили следующие технологии. Технологии, неизвестные Вам выделены.
RACES_INTEL_UNKNOWN_TECH_DESC     | Другие расы освоили следующие технологии, неизвестные Вам.
RACES_STATUS_THE_EMPIRE           | Вы
SABOTAGE_TITLE                    | Вы инфильтрировались в колониях [alien_race_plural_rod] и готовы совершить диверсию.
SABOTAGE_WARNING                  | Любая диверсия разорвет Ваш договор с [alien_empire_tvor]!
SABOTAGE_FACTORIES_RESULT         | Я уничтожил %1 заводов.
SABOTAGE_BASES_RESULT             | Я уничтожил %1 ракетные базы.
SABOTAGE_REBELS_TOTAL             | Я радикализировал %1 повстанцев, %2% населения.
SABOTAGE_REBELS_REVOLT            | Я спровоцировал восстание!
COUNCIL_SKIP_TO_PLAYER            | Перейти к Вашей очереди
COUNCIL_CAST_PROMPT               | Вы должны голосовать (Вы имеете %1 голосов)...
SYSTEMS_STATUS_SUPERNOVA          | Звезда этой системы станет сверхновой через %1 лет. Необходимо %2 ЕИ, чтобы предотвратить эту катастрофу.
GAME_OVER_NO_COLONIES_LOSS        | Коллапс
GAME_OVER_DIPLOMATIC_WIN          | Лидер Объединенной Галактики
GAME_OVER_MILITARY_ALLIANCE_WIN   | Лидер Союза
GAME_OVER_NEW_REPUBLIC_WIN        | Лидер Новой Республики
GAME_OVER_REBEL_ALLIANCE_WIN      | Лидер Повстанческого Союза
GAME_OVER_ALLIANCE_WIN            | Союзник Лидера Галактики
GAME_OVER_NO_COLONIES_LOSS2       | Вы были погублены своей собственной некомпетентностью.#Не имея цивилизованных миров, куда можно было бы безопасно приземлиться, ни одно из ваших выживших тел не сможет поддерживать Ваши технологические достижения.#Варварство - это естественное состояние общества. Цивилизация - вещь неестественная, прихоть обстоятельств. И варварство, в конце концов, должно восторжествовать.


// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Вас постигла ужасная судьба.#В начале Вашего путешествия в неизведанное, Вы с оптимизмом отправились в космос в надежде найти другую форму жизни, столь же уникальную, как и Вы. К сожалению, Ваша мечта так и осталась неосуществленной до самой Вашей кончины. Мало того, что другие разумные формы жизни, которые Вы нашли, оказались в высшей степени непохожими на Вас, они к тому же оказались жестокими и совершенно безразличными к Вашим поискам. Это насилие погубило Вашу надежду, и все Ваши миры теперь оказались в руках тех, кто ненавидел Вас с момента первой встречи.#Каждое из Ваших тел лежит изуродованным и безжизненным там, где оно было убито, начиная от Вашего родного мира до самых далеких бывших колоний. И в то время как свет меркнет в глазах Вашего последнего оставшегося смертного тела, Вы понимаете, что Вселенная вот-вот потеряет свою самую уникальную форму жизни навсегда...
GAME_OVER_MILITARY_WIN2           | Ваши поиски подошли к концу... на данный момент.#Вы возлагали большие надежды на смелую мечту найти другое сознание, подобное Вашему, где-то в глубинах космоса. И хотя Вы повстречали множество форм жизни даже с более высоким интеллектом чем Ваш, было очевидно, что ни одна из них даже близко не обладала той уникальностью, которая была присуща только Вам. И что еще хуже - в страхе перед непонятным, они напали на Вас, спровоцировав ужасный ответ от Вас и бесчисленных тел, которые Вы населяете. С болью в сердце Вы уничтожили их, и с еще большой болью Вы осознаете себя теперь единственной разумной формой жизни, населяющей эту галактику.#Тем не менее, ещё не всё потеряно. Хотя эти инопланетные расы во всей своей уникальности не удовлетворили запросам Ваших поисков, Вы понимаете, что перед Вами целая Вселенная, которую можно исследовать. Всё, что Вам осталось, это распространиться по всем уголкам этой галактики и начать поиски заново...
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Ваш поиск подошел к концу... на данный момент.#Вы безмерно огорчены действиями, которые Вы были вынуждены предпринять. Вместо того чтобы найти себе подобных среди планет этой Галактики, Вам встретились исключительно с множеством невежественных существ, которые возненавидели Вас за то, как сильно Вы от них отличались. И когда их ненависть дошла до насилия, Вы нанесли им удар, чтобы защитить себя и свои интересы, все это время надеясь, что они поймут, насколько сильно ошибались и осознают, какой уникальной формой жизни Вы являетесь. В конце концов, Ваши надежды не оправдались, и Вы заставили всех тех, кто встретил Вас агрессией, замолчать навсегда.#Но не горюйте, древнее сознание! Хотя Вы не смогли найти никого себе подобного, зато в конце концов Вам удалось найти надежных и сильных союзников. Как ни странно, они относятся к Вам так же дружелюбно, как и Вы к ним. И если у Вас снова появится желание узнать один Вы такой во Вселенной или нет, Вы сможете отправиться в другие Галактики, когда пожелаете. Ну а пока, Вы можете просто расслабиться и насладиться чувством товарищества, которое Вы обрели, и всеми преимуществами, которые оно может принести.
GAME_OVER_COUNCIL_LOSS2           | Ваши поиски подошли к концу... на данный момент.#Это был не тот финал, который Вы ждали от своих поисков подобному Вам разума в этом море звезд. Хотя Вы встретили множество странных и удивительных существ во время своих поисков, Вы так же повстречали множество подлых и вспыльчивых народов. Увы, самый невыносимый из тех, с кем Вы столкнулись, теперь выбран в качестве лидера Новой Республики. Вас одолевают сомнения - будет ли этот новый лидер добр к Вам, ведь весь Ваш прошлый опыт общения с ним, говорит об обратном. Вы всего лишь желали найти кого-то, кто был бы столь же уникален, как и Вы. Но теперь Вам остается только подчиниться и покорно ожидать милости стоя на коленях перед большей властью. Вы молитесь, чтобы [leader_name] оставил Вас в покое, ибо если он поступит иначе, вся мощь Галактики будет обращена против Вас...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Ваши поиски подошли к концу... на данный момент.#Начинается новая эпоха в истории Холданца. Ваш верный друг [leader_name] теперь готов возглавить и вести Новую Республику вперед в славное будущее. И хотя их народ не похож на Вас во многих отношениях, они относятся к Вам с интересом и пониманием, и Вы верите, что они позволят Вам продолжить поиски после того, как работа над новым союзом будет завершена. Таким разным видам потребуется много времени, чтобы достичь гармоничного сосуществования, но Вы знаете, что %8 превратит эту мечту в реальность.#Вы полностью удовлетворены таким результатом, и поскольку Вы всё равно никогда особо не заботились о тонкостях политических маневров - Вы рады, что Ваш друг навсегда снимет с Ваших плеч это бремя. Всё, чего Вы хотели - было найти душу, подобную Вашей где-нибудь в этой галактике. И вполне возможно, когда-то в будущем, Вы её найдете...
GAME_OVER_REBELLION_LOSS2         | Вас постигла ужасная судьба.#Вы остались в том же одиночестве, как и в самом начале. Не сумев обнаружить конечный объект своих поисков, Вы скитались по Галактике, встречаясь на своем пути то с одной странной цивилизацией, то с другой, пока те, кто был более дальновиден чем Вы, не объединились, чтобы сформировать Новую Республику. И поскольку [leader_name] принял должность лидера, Вы, поняв, что Ваш поиск теперь может быть сорван, предпочли сопротивляться, а не покорно подчиниться им. Конечно, это не было первой ошибкой, совершенной Вами в этом путешествии, но получилось так, что она стала последней.#И теперь, когда %8 Галактику, в последние минуты своей жизни Вы тихо размышляете, находя утешение в том, что смерть, по крайней мере, принесет конец Вашим страданиям. О, если бы Вы только смогли найти подобного Вам, или хотя бы кого-то, кто понимал, кем и чем Вы являетесь, возможно, объединив свои силы, Вы смогли бы переломить ход событий...
GAME_OVER_REBELLION_WIN2          | Ваши поиски подошли к концу... на данный момент.#Вопреки Вашему заветному желанию, Галактика выступила против Вас и вынудила Вас отплатить ей тем же. Не в силах принять решение Совета выбрать ксенофобского тирана лидером Новой Республики, Вы в одиночку боролись, чтобы защитить себя и свои деяния от его ужасного правления. Вы понимали, что те, кем манипулировал этот диктатор, скорее всего выступят против Вас, но продолжение Ваших поисков не могло быть поставлено под угрозу ни при каких обстоятельствах. С тяжелым сердцем, Вы истребили всех, кто противостоял Вам.#Если бы хоть одна из этих цивилизаций не поддалась страху перед тираническим лидером Новой Республики, сеющего ненависть к неизвестному, возможно, они смогли бы в будущем жить с Вами в мирном сосуществовании. Но все таки положение дел не столь прискорбно. По крайней мере, Вы сможете поделиться этой жуткой историей с тем, кто является объектом Ваших поисков, если Вам когда-нибудь удастся их найти...
GAME_OVER_REBEL_ALLIANCE_WIN2     | Ваш поиск подошел к концу... на данный момент.#Вы знали, что это произойдет с самого первого заседания Галактического Совета. Несмотря на Ваши предупреждения другим империям, населявшим Галактику, предательский и подлый [leader_name] сумел стать правителем Новой Республики и пригрозил заразить Галактику своей гнусной ксенофобией. Вы храбро сражались с ним, и хотя многие в Галактике решили выступить против Вас, в конце концов Вы смогли успешно отстоять свои интересы.#Возможно, самым хорошим из всего, что случились с Вами, была поддержка, которую Вы получили от своих друзей в этой последней войне. Они оказались достаточно мудрыми, чтобы предвидеть опасности, и достаточно сострадательны, чтобы прийти к Вам на помощь, и поэтому Вы были счастливы, что не участвовали в этой битве в одиночку. Теперь Вы можете достичь подлинно мирного сосуществования и вместе разделить дары этой галактики. И в скором времени Вы сможете найти свой путь в ещё более глубокий космос и покинуть Галактику в надежде встретить того, кого искали так очень, очень долго...
GAME_OVER_COUNCIL_WIN2            | Ваш поиск подошел к неожиданному концу.#Вы многое узнали с тех пор, как впервые покинули поверхность своего древнего родного мира в поисках сознания, подобного Вашему собственному. Хотя Вам еще предстоит осуществить эту мечту, знания и дружба, полученные от тех, с кем Вы столкнулись, оказались действительно хорошей наградой. Ваши союзники не только преодолели свой страх перед Вашей уникальной самобытностью, но и избрали Вас правителем Новой Республики. Будущее, которое Вы даже не могли себе представить, теперь лежит перед Вами, и Вы приведете в него своих новых друзей за всё то терпение и доверие, которое они Вам показали.#Возможно, когда-то в будущем, Вы снова отправитесь на поиски, чтобы найти себе подобного. Но на данный момент Вам предстоит совершить множество великих дел, и поэтому Ваш поиск необходимо будет пока отложить. И когда все эти дела будут сделаны, возможно Вы обнаружите, что Ваше изначальное стремление больше не кажется для Вас таким уж важным. В конце концов, впервые за Вашу долгую жизнь, Вы больше не одиноки.
GAME_OVER_COUNCIL_MILITARY_WIN2   | Ваш поиск подошел к неожиданному концу.#Наконец-то, Ваши войны подошли к концу. После того как Вы стали правителем Новой Республики, Вам удалось привести все высшие формы жизни в этой галактике к мирному сосуществованию. По крайней мере, до того момента, когда против Вас вспыхнуло безнадежно неподготовленное восстание, основанное на ксенофобии и страхе перед тем, чем Вы были. Те, кто пытался свергнуть Вас, не могли постичь ни глубины целеустремленной силы Вашего единого сознания, ни яростной готовности Ваших союзников защитить республику. Они были раздавлены, и вскоре мир растечется по Галактике, как вода течет по рекам многочисленных миров, в которых теперь обитают миллиарды Ваших тел.#И в то время, как Вы и Ваши союзники делите территории повстанцев между собой, Вы на какой-то момент задумываетесь о той миссии, ради которой Вы покинули поверхность своего родного мира когда-то очень, очень давно. Это правда - Вы так и не нашли объект своих поисков, и во многом Вы так и остались одиноки во Вселенной. Но Вы понимаете, что с союзниками, которых Вы повстречали в своем путешествии, Вы больше никогда не будете действительно одиноки.
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Вас постигла ужасная судьба.#Никто не может сказать ничего плохого о Вас и Вашей надежде привести Галактику к миру в качестве лидера Новой Республики. Никто не может сказать ничего плохого о том, что Вы изо всех сил старались свести вместе так много совершенно разных цивилизаций. Но, несмотря на все Ваши усилия, восстание против Вас смогло не только вспыхнуть, но и свергнуть Вас с престола, сокрушив Новую Республику и всю ее силу, которую она смогла мобилизировать. Ваши союзники, теперь уже давно погибшие, возможно, пожалели о том, что выбрали Вас лидером Галактики, в момент, когда их империи обратились в пепел на их глазах. Но, по крайней мере, Вы не услышите их стенаний, ибо повстанцы заставили замолчать их голоса навсегда.#Последние из Ваших тел готовятся принять свою судьбу в убежищах, которые они выкопали, все еще надеясь спастись от Ваших врагов. Но не имея ни воды ни еды, их время подходит к концу. О, если бы Вы только смогли найти подобного себе, того, кто действительно понимал бы Вас и сражался на Вашей стороне так же стойко, как Вы ради них - закончилось бы все иначе? Может быть. Но увы, ответ на этот вопрос Вы никогда не узнаете...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | безошибочная целеустремленность Холданца
GAME_OVER_REBELLION_LOSS3         | бездушные орды Холданца доминируют
