//
// Dialogue that is not race-specific
//
// 第一次校对：2021.12.04

DIPLO_TECH_REQUEST_MENU_01   | 你对哪一个技术感兴趣？
DECLINE_ESPIONAGE_01       | 你们的间谍正在偷走我们的研究成果，你怎么还敢期待我们接受你？
DECLINE_ESPIONAGE_01       | 撤回你的间谍，然后我们再聊。

DECLINE_SABOTAGE_01        | 我们还没有忘记你们的上一次破坏行动。除非你能证明值得更多信任，否则我们不会再跟你们打交道。
DECLINE_SABOTAGE_01        | 我们的民众因为你们的破坏行动而遭殃。除非你们停止，否则我们不会与你们打交道。
DECLINE_SABOTAGE_01        | 什么？你期待我们在你还在破坏 [target] 的时候同意你们的协议吗？
DECLINE_SABOTAGE_01        | 你破坏了我们的 [target]，为什么我们要跟你打交道？
DECLINE_SABOTAGE_01        | 等你停止破坏我们的 [target]，我们就会进一步考虑这件事情。

DECLINE_BUILDUP_01         | 当你在我们的国界召集舰队的时候，我们不会与你谈话。
DECLINE_BUILDUP_01         | 让你的舰队从我们的国界离开我们的国界，否则我们不会与你谈话。
DECLINE_BUILDUP_01         | 我们不害怕你在我们国界处集结的舰队。但只要它们还在那里，我们就不会跟你们打交道。
DECLINE_BUILDUP_01         | 如果你想跟 [my_empire] 打交道，就把你的舰队派往别的地方，别派来我们这里。

DECLINE_ENCROACH_01        | 你的舰队入侵了[my_race]的空间。把它们挪走，然后我们才对话。

DECLINE_SKIRMISH_01        | 你没有理由地攻击了我们的舰队，你还期待我们接受你们的提议？我们拒绝。
DECLINE_SKIRMISH_01        | 我们不能接受攻击我们舰队的人的提议。
DECLINE_SKIRMISH_01        | 等你们的舰队停止攻击我方舰队，我们再谈。
DECLINE_SKIRMISH_01        | 如果你想跟[my_empire]打交道，就别碰我们的舰队。
DECLINE_SKIRMISH_01        | [my_name][my_nameTitle]对你们摧毁我们舰队的事情很不满意。我们拒绝。

DECLINE_ATTACK_01          | 你对[system]的无理由进攻可不会给你谈判的筹码。
DECLINE_ATTACK_01          | 我们还没有忘记你们对[system]殖民地的进攻。我们不可能接受的。

DECLINE_INVASION_01        | 我们的人民不会同意跟[system]的刽子手打交道。请先补偿你的过错。
DECLINE_INVASION_01        | [system]的鲜血是你的污点。我们拒绝你的提议。
DECLINE_INVASION_01        | [system]的死难者哭喊着报仇。他们的哭喊声比你们的提议更响亮。

DECLINE_BIOWEAPONS_01      | [my_race]不会与使用生化武器的种族做交易。

DECLINE_BIOWEAPONS_01      | 我们不会与疯狂到使用生化武器的种族做交易。
DECLINE_BIOWEAPONS_01      | 你的武器对无辜的人们造成了不可描述的恐怖。我们拒绝跟这样的疯子打交道。
DECLINE_BIOWEAPONS_01      | 神明憎恨使用生化武器消灭一个星球的人。[my_race]绝不会接受。
DECLINE_BIOWEAPONS_01      | 你的生化武器杀死了太多无辜者。我们不会接受你的提议。

DECLINE_TECH_TRADE_01      | 你的技术我们不感兴趣。
DECLINE_TECH_TRADE_01      | 我们不需要[your_race]的玩具。
DECLINE_TECH_TRADE_01      | 你的原始发明我们不感兴趣。
DECLINE_TECH_TRADE_01      | [my_race]的技术已经远远超过了你们。
DECLINE_TECH_TRADE_01      | [your_name][your_nameTitle]，我们并不需要你们科学家提供的东西。
DECLINE_TECH_TRADE_01      | [my_name][my_nameTitle]对你们的科学不感兴趣。

OFFER_TECH_EXCHANGE_01     | [your_empire]非常需要你们的[tech]技术。也许你愿意跟我们做一做交换。
OFFER_TECH_EXCHANGE_01     | [your_empire]了解到你已经掌握了[tech]的秘密。我们可以提供一些自己的技术跟你做交换吗？
OFFER_TECH_EXCHANGE_01     | [your_empire]的[your_name][your_nameTitle]希望能学习[tech]技术。你是否愿意用它来交换我方的先进技术呢？

OFFER_TECH_EXCHANGE_01     | [your_race]种族惊叹于[tech]的科学奇迹。我们能给您提供什么以换取这个技术呢？

ACCEPT_TECH_EXCHANGE_01    | 很好。[my_name][my_nameTitle]愿意用[my_race]的[techGiven]交换技术[techReceived]。
ACCEPT_FINANCIAL_AID_01    | [my_name][my_nameTitle]感谢你赠送的[amt] BC 馈赠。
ACCEPT_TECHNOLOGY_AID_01   | [my_name][my_nameTitle]接受你赠予的[tech]。

BREAK_TRADE_01             | [my_race]公民不再需要[your_empire]的商品。

ANNOUNCE_TRADE_01          | 从[year]开始，[my_empire]和[your_empire]同意每年交易[amt] BC的商品。

ANNOUNCE_PEACE_01          | [year]年，[my_race]和[your_race]同意终止所有的敌对活动。
ANNOUNCE_PEACE_01          | [my_name][my_nameTitle]在此宣布双方暂停敌对关系。
ACCEPT_PEACE_01            | 我同意是时候终止我们之间的小矛盾了。
ACCEPT_PEACE_01            | 我们同意你的停战协议。如果你停止向[my_race]的军队进攻，我们也会停止进攻你的军队。
ACCEPT_PEACE_01            | 我们对无谓的破坏感到厌倦了。[my_empire]接受你的和平提议。
BREAK_PACT_01              | [my_race]向[your_empire]发出警告：我们的互不侵犯协议不再有效！
ANNOUNCE_PACT_01           | [year]年，[my_empire]许诺遵守互不侵犯协议，不会攻击[your_race]的舰队，除非它们出现在我方殖民地的轨道上。
ACCEPT_PACT_01             | [my_empire]接受互不侵犯协议。双方都不会攻击彼此的舰队，除非它们驶入对方殖民地的轨道。
ACCEPT_PACT_01             | 如果你同意不再把舰队派往我方殖民地，[my_race]人民就同意不再攻击你的飞船。
ACCEPT_PACT_01             | [my_name][my_nameTitle]同意了你提出的互不侵犯条约。既已协约，便当履行。
ACCEPT_PACT_01             | 同意了。只要你不攻击我方殖民地，[my_empire]就会遵守互不侵犯条约。

BREAK_ALLIANCE_01          | [my_empire]不能再与[your_empire]维持盟友关系。
ANNOUNCE_ALLIANCE_01       | [year]年，[my_empire]与[your_empire]同意结成联盟，不会攻击彼此的舰队和殖民地。

ANNOUNCE_ALLIANCE_01       | 我们的联盟已经建立。你的舰队可以随时造访我们的殖民地，从我们的基地补充燃料。

ACCEPT_ALLIANCE_01         | [my_name][my_nameTitle]欢迎我们的好盟友，[your_name][your_nameTitle]。
ACCEPT_ALLIANCE_01         | [my_empire]和[your_empire]于今日结成同盟。让我们的敌人颤抖吧！
ACCEPT_ALLIANCE_01         | [my_name][my_nameTitle]认为与[your_empire]的结盟是明智的。就按您说的做。

OFFER_JOINT_WAR_01         | 是时候让[your_empire]和[my_empire]携手向[other_race]开战了。
ACCEPT_JOINT_WAR_01        | [other_empire]必须臣服于[my_empire]和[your_empire]的联合力量！
ACCEPT_JOINT_WAR_01        | 在[my_race]和[your_race]的联手下，[other_race]将迅速溃败。
ACCEPT_JOINT_WAR_01        | [year]年，[my_empire]和[your_empire]将携手消灭宇宙的祸害[other_race]。
COUNTER_JOINT_WAR_01       | 我们将会加入你对抗[other_empire]的战争，只要你提供如下报酬：
RESPOND_CLOSE_EMBASSY_01   | 到此为止。我们之间将不会有更多的交流了。

RESPOND_BREAK_TRADE_01     | 我们会记住这一切的。
RESPOND_BREAK_TRADE_01     | 所以，[your_name][your_nameTitle]，你说到却做不到。我们会记住这一切的。

RESPOND_BREAK_PACT_01      | 我们会把你所背弃的协议刻在你的墓碑上，[your_name][your_nameTitle]。
RESPOND_BREAK_PACT_01      | [your_empire]会因自己背弃了承诺而毁灭。

RESPOND_BREAK_ALLIANCE_01  | 你违背了协议。联盟破裂了。
RESPOND_BREAK_ALLIANCE_01  | 非常好，你令人怀疑的意图已经暴露了。联盟破裂了。
RESPOND_BREAK_ALLIANCE_01  | 我们不需要一个不被遵守的协议。联盟就此解散。
RESPOND_BREAK_ALLIANCE_01  | 就这样吧，联盟就此解散。
