// race-specific variables (must start with _)
_empire                           | 人类同盟, 地球人同盟, 泰拉同盟, 原人同盟, 智人同盟
GAME_OVER_MILITARY_LOSS2          | 您周密的计划彻底失败了。#你的种族克服了种种困难，有外部世界的困难，也有自身创造的困境。但在宇宙的深空中，你的种族碰到了一个没有任何希望战胜的对手。即使人类在这个共同的敌人面前团结一致，人类的力量和智慧也在各个维度上被超越了。人类，一个擅长创造强大外交关系的帝国，输给了一个无法通过外交去对付的对手。#不会再有地球人的梦想，不会再有书籍、艺术和音乐。人类那曾经在宇宙中回响的充满希望的歌声变成了轻声细语，这些微弱的声音变成了一曲挽歌，而后便是永恒的沉默……
GAME_OVER_MILITARY_WIN2           | 您的计划成功了。祝贺您，执政官！#您多年的准备和周密的规划收获了胜利的果实。只有杰出的外交家能够在与这么多帝国保持友好关系的同时把敌人各个击破。只有优秀的战略家能够带领我们的军队击败如此强大的敌人。毫无疑问，曾经被您的巧舌如簧说服成为盟友的帝国会在他们一息尚存之时诅咒您的背叛。如今他们只是历史书上的一页了，而这还依赖于您的允许。#很快我们将会举行一个人类历史上从未见过的盛大的庆典。人类第一次抬头仰望星空的时，一定怀疑过自己是否是宇宙中唯一的智慧生物。百万年之后的今天，这个问题终于有了确凿无疑的答案。
GAME_OVER_MILITARY_ALLIANCE_WIN2  | 您周密的计划成功了！#只有傻瓜会认为一个帝国的领导者可以不依靠盟友就实现永久的和平。毫无疑问，你不是个傻瓜，不像那些想把你从银河系消灭的人。在你最困难的时候，不是你的力量也不是你的狡诈，而是你强大的友谊拯救了你。如今，你的敌人在阴间体会着失败的苦涩，而你和你的盟友将会永久地享受甜蜜的胜利果实。#这场战斗、这次胜利与最终的和平，将给我们的后人带来启迪。他们会知道，盟友比致命的武器更强大。放松吧，执政官，享受你的胜利果实，你的人民也将永远地享受和平……

GAME_OVER_COUNCIL_LOSS2           | 您周密的计划失败了！#这本该是你加冕的时刻：一场决定性的外交胜利将会确保你在宇宙的地位高于其他帝国。然后，你的希望在最后时刻破灭了。新共和国的篡夺者手下的外交官比你的外交官更有说服力和魅力。毫无疑问，你为建立外交联盟而投入的精力将会反噬你：因为宇宙的新统治者将说服大家他才是真正的盟友，而你的说辞只是为了满足一己私利而吐出的花言巧语。#你的外交目标将从实现自己的理想变成种族的生存。一步走错，你的人民就会陷入背水一战。执政者，小心了，哪怕最小和最不起眼的征兆都可能成为帝国的终结……
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | 您周密的计划让人类得以生存。#也许不同的决策会让你，而不是你的盟友，成为新帝国的首领。但谁也无法否认，你优秀的政治技巧把你放在了一个能够选择的位置。因为你与[leader_race]牢不可破的盟友关系，没有人胆敢侵犯你。你见识了%8及其力量。作为新共和国霸主的心腹，你有能力保证自己人民的需求得到满足，不管代价如何。#从结果来看，生存本身即是一种胜利。无论如何，你的人民都将能够在未知的未来中保证生存。成为宇宙的霸主固然是好的，但执政官啊，也许能够向宇宙霸主进言也会带来不错的回报……

GAME_OVER_REBELLION_LOSS2         | 您周密的计划失败了。#人类从内心深处有着反抗压迫的冲动，这可能是一种力量，也可能是一种错误。这种冲动成为了人类覆灭的原因。在人类竞选新共和国领导的努力失败之后，这一切也许就注定了。[leader_race]种族的理念与人类对未来的想象完全不符合。而它们又是太过于强大的敌人，坚韧如人类也无法打败。有很多的“如果“值得思考，但除了沉默我们不会再得到回答了。#随着%8控制了宇宙，人类同盟的最后抵抗被瓦解，人类帝国归于尘土。在最后时刻，你的人民做出了值得铭记的抗争：他们毫无疑问地知道，成为历史的幽灵已经是他们最好的选择……
GAME_OVER_REBELLION_WIN2          | 您周密的计划成功了。#有人认为你只是个擅长外交谈判的温顺的领导者，这些人活着看到了他们后悔的那一天。即使你同意外交协商是通往和平的正确道路，你也清楚地知道宇宙需要人类作为领导者，来引导它走向可能的未来。那些没有给你投票的人可以跟着新共和国的灰烬一起下葬了：没有人能够否定人类在宇宙中的地位！#你勇敢而果断的行动不仅消灭了其他帝国，还让另外两个恐惧你能力的执政官将权柄拱手相让。[player_name]，请作为皇帝登上你的宝座，并大胆将宇宙带向只有你能实现的未来吧！

GAME_OVER_REBEL_ALLIANCE_WIN2     | 您周密的计划成功了#“只要人类的意志被忽略，就不可能有真正的和平”，当宇宙委员会背叛你时，这是你向他们说的话，这也是最终胜利到来时，你向你的人民和盟友所重复的话。年复一年的辛苦的外交努力并没有带来期望的结果，但这些努力并没有完全浪费。如今，在你即将登上王座之时，你知道那些在反叛战争中敢于加入你的盟友没有理由再反对你登基。#与居住在其他星球的外星生命建立亲密关系是一件好事，他们帮助你消灭了叛逆的新共和国。你会保证他们是未来共和国创建的一份子，他们也会获取相应的回报。新共和国已经消失了，执政官：现在即将存在的是你的大共和国！享受未来的挑战和回报吧，这些是你应得的。

GAME_OVER_COUNCIL_WIN2            | 你周密的计划成功了。#那么多年后，棋子们都去到了计划中的位置上，你的诡计结出了果实。在如此多样和分散的文明之间建立统一，需要前无古人的外交技巧。你的策略有过挫折，也有过重新调整，但你现在终于成为了新共和国的首领，你的脑海中不再有需要担心的事情。没有人胆敢叛变，宇宙的未来在你的掌握中。你只需要把任务交给你的支持者们，他们会保证完成。#你会被写入历史书，不只以新共和国首任领袖的身份，还作为一个传奇的外交家，你的魅力和能力足以让相互仇恨的文明放下成见，一起建立一个稳固的联盟。数代以后，共和国大学的研究者们会把你当作研究对象，他们会嫉妒你所生活的这个时代，他们会梦想自己能够看到传说背后伟人的真容……

GAME_OVER_COUNCIL_MILITARY_WIN2   | 您周密的计划终于成功了。#新共和国是你的了，执政官。你被人认为是足智多谋的外交家和公正的领袖，你的阴谋诡计帮助你成为了宇宙未来的主导者。叛军在你登上王座之际宣布起义，这让人们感到震惊，但叛军之外的宇宙都站你这边，他们骄傲地宣称愿意为你而死。尽管许多勇者献出了他们的生命，但新共和国仍然击败叛军，获得了最终的胜利。#如今你的和平年代要开始了。尽管未来还有很多工作要做，但没人能否认你的成就将在历史中扮演最重要的角色，前无古人，且后无来者。请为你的成就感到骄傲吧。各个文明拥有着不同的哲学，能够激发出他们忠诚的你，是了不起的。趁此机会，好好休息吧，执政官，因为你的外交技巧肯定会在不远的未来迎来新的挑战……

GAME_OVER_COUNCIL_MILITARY_LOSS2  | 您周密的计划被永远的挫败了。#作为新共和国的领导，你犯了很多错误：你高估了盟友，也低估了敌人，很难说哪一点更为致命。叛军的存在并不让人意外：总会有人不惜一切代价拒绝变化的发生，不管这种变化以何种形式存在。让人惊讶的是，叛军以如此快的速度席卷了宇宙。人数和实力都处于劣势的你，只能等待不可避免的失败。#叛军胜利了，执政官和盟友会随着新共和国一起毁灭。战争的战利品将属于反叛军，他们将会决定从今天开始宇宙将往什么方向改变。如果你能被以任何方式记住的话，那就是你不光彩的战败了。如果你能征善战，也许宇宙能够维持和平、不会经历这场全面的战争……

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | 擅长外交的人类
GAME_OVER_REBELLION_LOSS3         | 满脑子阴谋诡计的人类
