// race-specific variables (must start with _)
_empire                    | 硅帝国, 火岩帝国, 赛德米德帝国, 花岗岩帝国, 岩浆帝国
GAME_OVER_COUNCIL_LOSS2           | 你的圣战已经惨淡收场。#在你穿越银河系的旅程中，你打过仗，征服了世界，并与众多外星文明结盟。然而，尽管你尽了最大的努力，你发现自己既无法说服散布在宇宙中的帝国相信克拉隆的后代对他们构成的威胁，也无法使用强大的军事力量来迫使他们遵守圣战的原则。现在他们选择了卑鄙的[leader_race]种族来带领他们走向未来。#虽然他们希望未来能够繁荣与和平，但只有你知道未来的真相。或许，在未来，另一位水晶皇帝会在你失败的地方成功，有一天你的圣战之火可能会再次燃烧……
GAME_OVER_REBELLION_LOSS2         | 你的圣战已经惨淡收场。#随着邪恶的[leader_race]种族领导下新共和国形成，你唯一可能的选择是一场命运多舛的叛乱。为了追求你的正义，战争是唯一的选择。虽然在你所选择的路线上从未充满希望，但希望仍然存在。如果你的决定更加明智，也许你甚至已经沐浴在胜利的光芒中。#但没有光留给你或帝国了。当%8银河系，你最后想到的是克拉隆和他的后代们，你未能找到并摧毁他们。现在等待着这个银河系的是残酷的命运，你的人民不再能够保卫它……
GAME_OVER_REBELLION_WIN2          | 你的圣战以至高无上的胜利结束！#可悲的星际委员会做出了最愚蠢的选择。他们在悲惨的[leader_race]种族的旗帜下团结起来。拒绝了你的圣战之路后，他们自己和银河系其他人的命运也被注定。但你，水晶皇帝，知道这是不能忍受的，你带领你的人民在一场不可能的战争中战胜了整个银河系！#如果那群傻瓜们听从你的警告，也许他们会活着看到他们的错误。但是现在，银河系终于可以享受真正的和平。向胜利致敬，水晶皇帝！为硅帝国的强大而欢呼！
GAME_OVER_REBEL_ALLIANCE_WIN2     | 你的圣战终于收获了果实。#当你最后的敌人倒在你面前时，你终于感觉到圣战开始以来你们取得的进展。居住在这个宇宙的可怜种族选择[leader_race]种族来带领他们，这是错误的。他们背弃了你的智慧，违背了你和克莱斯隆的预言：这是一种无法容忍的行为。如果他们活得足够长，他们无疑会后悔。#只有那些足够聪明的人听从了你的警告，并在你的战争中为你提供帮助。现在你们可以陶醉在银河系新发现的和平中，因为你们一劳永逸地消除了克拉隆人的威胁。除非，你的盟友是伪装起来的克拉隆的后代……
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | 你的圣战以意想不到的方式结束。#硅帝国在整个银河系的探索中做了很多工作。在您的领导下，您的人民遇到了无数外星文明。其中某些种族可能是克拉隆邪恶血液的携带者。然而出乎意料的是，另外一些种族已经证明自己是你们古老帝国的朋友。现在，在新共和国成立的前夕，你已经为[leader_empire]投了票，让他们统治银河系，创造一个和平的新时代。#当你准备将未来让给%8，你只希望他们的力量和智慧足以保护银河系，免受你古代预言里最大的敌人的荼毒。如果你判断错误了，缔结这个联盟所承诺的和平将被证明是短暂的……
GAME_OVER_COUNCIL_WIN2            | 你的圣战终于取得了成果。#你曾经是硅帝国的水晶皇帝，现在你是由星际委员会各个帝国组成的新共和国的主人。没有一个种族敢于反对这个注定的命运，因为他们意识到他们的精力应该用于帮助你的事业。帝国的敌人现在是银河系的敌人，这只能为克拉隆的后代们带来厄运。#如果你发现他们在银河系中潜伏，每个种族都会在你的旗帜下团结起来并彻底消灭他们。如果你发现他们隐藏在议会的种族中，那些胆敢瞒你这么久的人就要遭殃了……
GAME_OVER_COUNCIL_MILITARY_WIN2   | 你的圣战终于取得了成果。#在你当选为新共和国的领导者之后，一个新的篇章已经准备就绪，克拉隆人的污渍即将在这个银河系中被清除。对你的叛乱从最开始就是失策的，他们的失败已经注定。在镇压叛乱时死掉的生命并不是浪费：你证明了自己作为指挥官的领导力，这不仅巩固了你作为新共和国主人的地位，也让其他种族对你产生了恐惧。#新共和国的所有军事力量都聚集在你的旗帜下，他们会做任何圣战所要求他们做的事情，你的宿敌将无处躲藏。如果他们被发现隐藏在你所统治的种族，那么整个银河系的力量会让他们瞬间被消灭。你只需要找到他们的藏身之处，开启最终决战，然后整个银河系就将收获和平……
GAME_OVER_COUNCIL_MILITARY_LOSS2  | 你的远征以意想不到的方式结束。#你作为新共和国的主人，准备带领军队与预言之宿敌作战。然而，叛乱是出乎意料的，而且不幸的是，这对你来说太难处理了。无论是因为你的追随者的懦弱还是因为你作为指挥官所犯的军事错误，硅帝国都将不复存在。卑微的物种现在在你的世界中肆虐。#随着帝国的垮台和短暂的新共和国的死亡，现在没有人能够找到克拉隆人的后裔，更不用说击败他们并为银河系带来和平了。也许如果你更善于指挥你的军队，预言就会应验并避免灾难。现在随着你的失败，那个预言被埋葬在时间的沙子里，永远不会再被实现，甚至不会被人知道……

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | 硅人的不屈不挠
GAME_OVER_REBELLION_LOSS3         | 硅人的狂热统治了
