

//
// Armor techs
// 
ARMOR_0_NAME     | Titanium Armor
COMPUTER_10_ITEM   | Mark X
COMPUTER_10_BRIEF  | Attack Level X
COMPUTER_10_DETAIL | Increases weapon accuracy to Level 10.

COMPUTER_11_NAME   | Battle Computer Mark XI
COMPUTER_11_ITEM   | Mark XI
COMPUTER_11_BRIEF  | Attack Level XI
COMPUTER_11_DETAIL | Increases weapon accuracy to Level 11.


//
// Battle Suit techs for ground combat
// 
// this is for default, no-bonus armor that player starts with
BATTLESUIT_0_NAME    | Armor
BATTLESUIT_0_DETAIL  |

BATTLESUIT_1_NAME    | Battle Suits
BATTLESUIT_1_DETAIL  | Armor that not only protects but also boosts strength. Adds 10 to all ground combat rolls.

BATTLESUIT_2_NAME    | Armored Exoskeleton
BATTLESUIT_2_DETAIL  | Advanced mobile suits that not only boost power and increase defenses but also offer limited flight to ground troops. Adds 20 to all ground combat rolls.

BATTLESUIT_3_NAME    | Powered Armor
BATTLESUIT_3_DETAIL  | Combines high mobility, anti-grav flight, and heavy armored plating to form the most advanced armor available for ground troops. Adds 30 to all ground combat rolls.


//
// Energy Focus techs for beam weapons
// 
BEAMFOCUS_0_NAME    | High Energy Focus
BEAMFOCUS_0_BRIEF   | Adds +3 to energy weapon range
BEAMFOCUS_0_DETAIL  | Increases the firing range of all energy weapons by three.

BEAMFOCUS_1_NAME    | Oracle Interface
BEAMFOCUS_1_BRIEF   | Concentrate beam weapons, halve enemy's shield
BEAMFOCUS_1_DETAIL  | Coordinates all beam weapon attacks into one simultaneous burst of concentrated fire, halving the enemy's shield strength.


//
// Biological antidote techs 
// 
BIOANTIDOTE_0_NAME    | Bio Toxin Antidote
BIOANTIDOTE_0_DETAIL  | Reduces casualties taken from biological weapons by 1M per attack.

BIOANTIDOTE_1_NAME    | Universal Antidote
BIOANTIDOTE_1_DETAIL  | Reduces casualties taken from biological weapons by 2M per attack.


//
// Biological weapon techs 
// 
BIOWEAPON_0_NAME     | Death Spores
BIOWEAPON_0_BRIEF    | Biological Weapon
BIOWEAPON_0_DETAIL   | Horrible biological weapons capable of reducing the maximum planetary populations by 1M per attack.

BIOWEAPON_1_NAME     | Doom Virus
BIOWEAPON_1_BRIEF    | Biological Weapon
BIOWEAPON_1_DETAIL   | Dreadful biological weapons capable of reducing planetary populations by 2M per attack.

BIOWEAPON_2_NAME     | Bio Terminator
BIOWEAPON_2_BRIEF    | Biological Weapon
BIOWEAPON_2_DETAIL   | Abominable biological weapons capable of reducing planetary populations by 3M per attack.

//
// Black Hole Generator tech
//
BLACKHOLE_0_NAME     | Black Hole Generator
BLACKHOLE_0_DETAIL   | Creates a sub-space field that warps normal space, creating a black hole that destroys 25% to 100% of enemy ships or missile bases, less 2% per shield class.


//
// Bomb weapon tech
//
BOMB_0_NAME     | Nuclear Bomb
BOMB_0_BRIEF    | Ground Attacks Only
BOMB_0_DETAIL   | Bombs that explode for 3-12 points of damage on ground targets only.

BOMB_1_NAME     | Fusion Bomb
BOMB_1_BRIEF    | Ground Attacks Only
BOMB_1_DETAIL   | Bombs that explode for 5-20 points of damage on ground targets only.

BOMB_2_NAME     | Anti-Matter Bomb
BOMB_2_BRIEF    | Ground Attacks Only
BOMB_2_DETAIL   | Bombs that explode for 10-40 points of damage against planetary targets only.

BOMB_3_NAME     | Omega-V Bomb
BOMB_3_BRIEF    | Ground Attacks Only
BOMB_3_DETAIL   | Bombs that explode for 20-50 points of damage on ground targets only.

BOMB_4_NAME     | Neutronium Bomb
BOMB_4_BRIEF    | Ground Attacks Only
BOMB_4_DETAIL   | Bombs that explode for 40-70 points of damage on ground targets only.


//
// Cloaking tech
//
CLOAK_0_NAME     | Cloaking Device
CLOAK_0_BRIEF    | Renders ship nearly invisible
CLOAK_0_DETAIL   | Renders ship nearly invisible until they attack, improving their defenses by +5. Ships must uncloak to attack and will automatically recloak on any turn in which they don't attack.


//
// Cloning tech
//
CLONE_0_NAME     | Cloning
CLONE_0_DETAIL   | Allows bio engineered colonists to be grown at a rate of 1M per 10 BC.

CLONE_1_NAME     | Advanced Cloning
CLONE_1_DETAIL   | Allows bio-engineered colonists to be grown at a rate of 1M per 5 BC.


//
// Combat Transporter tech
//
COMBATTRANSPORT_0_NAME     | Combat Transporters
COMBATTRANSPORT_0_DETAIL   | Transports equipped with these devices have a 50% chance of beaming down onto enemy surfaces before they can be attacked by enemy ships and missile defense bases.


//
// Control Environment tech
//
CONTROLENV_0_NAME    | Controlled Normal Environment
CONTROLENV_0_ITEM    | Standard Colony Base
CONTROLENV_0_BRIEF   | Allows Normal Planet Landings
CONTROLENV_0_DETAIL  | Permits the colonization of standard planets.

CONTROLENV_1_NAME    | Controlled Barren Environment
CONTROLENV_1_ITEM    | Barren Colony Base
CONTROLENV_1_BRIEF   | Allows Barren Planet Landings
CONTROLENV_1_DETAIL  | Permits the colonization of barren planets.

CONTROLENV_2_NAME    | Controlled Tundra Environment
CONTROLENV_2_ITEM    | Tundra Colony Base
CONTROLENV_2_BRIEF   | Allows Tundra Planet Landings
CONTROLENV_2_DETAIL  | Permits the colonization of tundra planets.

CONTROLENV_3_NAME    | Controlled Dead Environment
CONTROLENV_3_ITEM    | Dead Colony Base
CONTROLENV_3_BRIEF   | Allows Dead Planet Landings
CONTROLENV_3_DETAIL  | Permits the colonization of dead planets.

CONTROLENV_4_NAME    | Controlled Inferno Environment
CONTROLENV_4_ITEM    | Inferno Colony Base
CONTROLENV_4_BRIEF   | Allows Inferno Planet Landings
CONTROLENV_4_DETAIL  | Permits the colonization of inferno planets.

CONTROLENV_5_NAME    | Controlled Toxic Environment
CONTROLENV_5_ITEM    | Toxic Colony Base
CONTROLENV_5_BRIEF   | Allows Toxic Planet Landings
CONTROLENV_5_DETAIL  | Permits the colonization of toxic planets.

CONTROLENV_6_NAME    | Controlled Irradiated Environment
CONTROLENV_6_ITEM    | Radiated Colony Base
CONTROLENV_6_BRIEF   | Allows Irradiated Planet Landings
CONTROLENV_6_DETAIL  | Permits the colonization of irradiated planets.


//
// Deflector Shield tech
//
// this is the entry on Ship Design for selecting no deflector shield
DEFLECTOR_0_NAME      | 
DEFLECTOR_0_ITEM      |   
DEFLECTOR_0_BRIEF     |  
DEFLECTOR_0_DETAIL    | 

DEFLECTOR_1_NAME      | Class I Deflector Shields
DEFLECTOR_1_ITEM      | Class I
DEFLECTOR_1_BRIEF     | Absorbs 1 hit
DEFLECTOR_1_DETAIL    | Absorbs 1 point of damage from all attacks.

DEFLECTOR_2_NAME      | Class II Deflector Shields
DEFLECTOR_2_ITEM      | Class II
DEFLECTOR_2_BRIEF     | Absorbs 2 hits
DEFLECTOR_2_DETAIL    | Absorbs 2 points of damage from all attacks.

DEFLECTOR_3_NAME      | Class III Deflector Shields
DEFLECTOR_3_ITEM      | Class III
DEFLECTOR_3_BRIEF     | Absorbs 3 hits
DEFLECTOR_3_DETAIL    | Absorbs 3 points of damage from all attacks.

DEFLECTOR_4_NAME      | Class IV Deflector Shields
DEFLECTOR_4_ITEM      | Class IV
DEFLECTOR_4_BRIEF     | Absorbs 4 hits
DEFLECTOR_4_DETAIL    | Absorbs 4 points of damage from all attacks.

DEFLECTOR_5_NAME      | Class V Deflector Shields
DEFLECTOR_5_ITEM      | Class V
DEFLECTOR_5_BRIEF     | Absorbs 5 hits
DEFLECTOR_5_DETAIL    | Absorbs 5 points of damage from all attacks.

DEFLECTOR_6_NAME      | Class VI Deflector Shields
DEFLECTOR_6_ITEM      | Class VI
DEFLECTOR_6_BRIEF     | Absorbs 6 hits
DEFLECTOR_6_DETAIL    | Absorbs 6 points of damage from all attacks.

DEFLECTOR_7_NAME      | Class VII Deflector Shields
DEFLECTOR_7_ITEM      | Class VII
DEFLECTOR_7_BRIEF     | Absorbs 7 hits
DEFLECTOR_7_DETAIL    | Absorbs 7 points of damage from all attacks.

DEFLECTOR_8_NAME      | Class IX Deflector Shields
DEFLECTOR_8_ITEM      | Class IX
DEFLECTOR_8_BRIEF     | Absorbs 9 hits
DEFLECTOR_8_DETAIL    | Absorbs 9 points of damage from all attacks.

DEFLECTOR_9_NAME      | Class XI Deflector Shields
DEFLECTOR_9_ITEM      | Class XI
DEFLECTOR_9_BRIEF     | Absorbs 11 hits
DEFLECTOR_9_DETAIL    | Absorbs 11 points of damage from all attacks.

DEFLECTOR_10_NAME     | Class XIII Deflector Shields
DEFLECTOR_10_ITEM     | Class XIII
DEFLECTOR_10_BRIEF    | Absorbs 13 hits
DEFLECTOR_10_DETAIL   | Absorbs 13 points of damage from all attacks.

DEFLECTOR_11_NAME     | Class XV Deflector Shields
DEFLECTOR_11_ITEM     | Class XV
DEFLECTOR_11_BRIEF    | Absorbs 15 hits
DEFLECTOR_11_DETAIL   | Absorbs 15 points of damage from all attacks.


//
// Displacement tech
//
DISPLACEMENT_0_NAME   | Displacement Device
DISPLACEMENT_0_BRIEF  | 1/3 of all enemy attacks miss
DISPLACEMENT_0_DETAIL | Randomly shifts the equipped ships in and out of normal space, allowing them to avoid 1/3 of all non-area weapon attacks.


//
// ECM Jammer tech
//
// this is the entry on Ship Design for selecting no ECM Jammer
ECMJAMMER_0_NAME      | 
ECMJAMMER_0_ITEM      | 
ECMJAMMER_0_BRIEF     | Missile Def 0
ECMJAMMER_0_DETAIL    | 

ECMJAMMER_1_NAME      | ECM Jammer Mark I
ECMJAMMER_1_ITEM      | Jammer I
ECMJAMMER_1_BRIEF     | Missile Def 1
ECMJAMMER_1_DETAIL    | Adds 1 level to defense against enemy missile attacks.

ECMJAMMER_2_NAME      | ECM Jammer Mark II
ECMJAMMER_2_ITEM      | Jammer II
ECMJAMMER_2_BRIEF     | Missile Def 2
ECMJAMMER_2_DETAIL    | Adds 2 levels to defense against enemy missile attacks. 

ECMJAMMER_3_NAME      | ECM Jammer Mark III
ECMJAMMER_3_ITEM      | Jammer III
ECMJAMMER_3_BRIEF     | Missile Def 3
ECMJAMMER_3_DETAIL    | Adds 3 levels to defense against enemy missile attacks.

ECMJAMMER_4_NAME      | ECM Jammer Mark IV
ECMJAMMER_4_ITEM      | Jammer IV
ECMJAMMER_4_BRIEF     | Missile Def 4
ECMJAMMER_4_DETAIL    | Adds 4 levels to defense against enemy missile attacks.

ECMJAMMER_5_NAME      | ECM Jammer Mark V
ECMJAMMER_5_ITEM      | Jammer V
ECMJAMMER_5_BRIEF     | Missile Def 5
ECMJAMMER_5_DETAIL    | Adds 5 levels to defense against enemy missile attacks.

ECMJAMMER_6_NAME      | ECM Jammer Mark VI
ECMJAMMER_6_ITEM      | Jammer VI
ECMJAMMER_6_BRIEF     | Missile Def 6
ECMJAMMER_6_DETAIL    | Adds 6 levels to defense against enemy missile attacks.

ECMJAMMER_7_NAME      | ECM Jammer Mark VII
ECMJAMMER_7_ITEM      | Jammer VII
ECMJAMMER_7_BRIEF     | Missile Def 7
ECMJAMMER_7_DETAIL    | Adds 7 levels to defense against enemy missile attacks.

ECMJAMMER_8_NAME      | ECM Jammer Mark VIII
ECMJAMMER_8_ITEM      | Jammer VIII
ECMJAMMER_8_BRIEF     | Missile Def 8
ECMJAMMER_8_DETAIL    | Adds 8 levels to defense against enemy missile attacks.

ECMJAMMER_9_NAME      | ECM Jammer Mark IX
ECMJAMMER_9_ITEM      | Jammer IX
ECMJAMMER_9_BRIEF     | Missile Def 9
ECMJAMMER_9_DETAIL    | Adds 9 levels to defense against enemy missile attacks.

ECMJAMMER_10_NAME     | ECM Jammer Mark X
ECMJAMMER_10_ITEM     | Jammer X
ECMJAMMER_10_BRIEF    | Missile Def 10
ECMJAMMER_10_DETAIL   | Adds 10 levels to defense against enemy missile attacks.


//
// Ecological Restoration techs
//
ECORESTORATION_0_NAME   | Ecological Restoration
ECORESTORATION_0_DETAIL | Eliminates 2 units of industrial waste for a cost of 1 BC.

ECORESTORATION_1_NAME   | Improved Eco Restoration
ECORESTORATION_1_DETAIL | Eliminates 3 units of industrial waste for a cost of 1 BC.

ECORESTORATION_2_NAME   | Enhanced Eco Restoration
ECORESTORATION_2_DETAIL | Eliminates 5 units of industrial waste for a cost of 1 BC.

ECORESTORATION_3_NAME   | Advanced Eco Restoration
ECORESTORATION_3_DETAIL | Eliminates 10 units of industrial waste for a cost of 1 BC.

ECORESTORATION_4_NAME   | Complete Eco Restoration
ECORESTORATION_4_DETAIL | Eliminates 20 units of industrial waste for a cost of 1 BC.


//
// Energy Pulsar techs
//
PULSAR_0_NAME     | Energy Pulsar
PULSAR_0_BRIEF    | Expands to inflict 1-5 hits
PULSAR_0_DETAIL   | A potent engine modification which generates a sudden spherical burst of energy striking all adjacent ships for up to 5 points of damage +1 per two ships.

PULSAR_1_NAME     | Ionic Pulsar
PULSAR_1_BRIEF    | Expands to inflict 2-10 hits
PULSAR_1_DETAIL   | A powerful engine modification capable of generating a spherical burst of phased energy striking all adjacent ships for up to 10 points of damage +1 per attacking ship.


//
// Engine techs
//
ENGINE_0_NAME    | Retro Engines 
ENGINE_0_DETAIL  | Moves ships at Warp 1, and allows a maximum maneuverability of class I in combat.
ENGINE_0_ITEM    | Retros
ENGINE_0_ITEM2   | Class 1
ENGINE_0_BRIEF   | Warp 1  Def %1
ENGINE_0_BRIEF2  | Combat Speed %1

ENGINE_1_NAME    | Nuclear Engines 
ENGINE_1_DETAIL  | Moves ships at Warp 2, and allows a maximum maneuverability of class II in combat.
ENGINE_1_ITEM    | Nuclear
ENGINE_1_ITEM2   | Class 2
ENGINE_1_BRIEF   | Warp 2  Def %1
ENGINE_1_BRIEF2  | Combat Speed %1

ENGINE_2_NAME    | SubLight Drives 
ENGINE_2_DETAIL  | Moves ships at Warp 3, and allows a maximum maneuverability of class III in combat.
ENGINE_2_ITEM    | SubLight
ENGINE_2_ITEM2   | Class 3
ENGINE_2_BRIEF   | Warp 3  Def %1
ENGINE_2_BRIEF2  | Combat Speed %1

ENGINE_3_NAME    | Fusion Drives 
ENGINE_3_DETAIL  | Moves ships at Warp 4, and allows a maximum maneuverability of class IV in combat.
ENGINE_3_ITEM    | Fusion
ENGINE_3_ITEM2   | Class 4
ENGINE_3_BRIEF   | Warp 4  Def %1
ENGINE_3_BRIEF2  | Combat Speed %1

ENGINE_4_NAME    | Impulse Engines 
ENGINE_4_DETAIL  | Moves ships at Warp 5, and allows a maximum maneuverability of class V in combat.
ENGINE_4_ITEM    | Impulse
ENGINE_4_ITEM2   | Class 5
ENGINE_4_BRIEF   | Warp 5  Def %1
ENGINE_4_BRIEF2  | Combat Speed %1

ENGINE_5_NAME    | Ion Drives 
ENGINE_5_DETAIL  | Moves ships at Warp 6, and allows a maximum maneuverability of class VI in combat.
ENGINE_5_ITEM    | Ion
ENGINE_5_ITEM2   | Class 6
ENGINE_5_BRIEF   | Warp 6  Def %1
ENGINE_5_BRIEF2  | Combat Speed %1

ENGINE_6_NAME    | Anti-Matter Engines
ENGINE_6_DETAIL  | Moves ships at Warp 7, and allows a maximum maneuverability of class VII in combat.
ENGINE_6_ITEM    | Anti-Matter
ENGINE_6_ITEM2   | Class 7
ENGINE_6_BRIEF   | Warp 7  Def %1
ENGINE_6_BRIEF2  | Combat Speed %1

ENGINE_7_NAME    | Inter-Phased Drives
ENGINE_7_DETAIL  | Moves ships at Warp 8, and allows a maximum maneuverability of class VIII in combat.
ENGINE_7_ITEM    | Inter-Phased
ENGINE_7_ITEM2   | Class 8
ENGINE_7_BRIEF   | Warp 8  Def %1
ENGINE_7_BRIEF2  | Combat Speed %1

ENGINE_8_NAME    | Hyper Drives
ENGINE_8_DETAIL  | Moves ships at Warp 9, and allows a maximum maneuverability of class IX in combat.
ENGINE_8_ITEM    | Hyper
ENGINE_8_ITEM2   | Class 9
ENGINE_8_BRIEF   | Warp 9  Def %1
ENGINE_8_BRIEF2  | Combat Speed %1


//
// Fuel Range techs
//
FUELRANGE_0_NAME   | Fuel Cells
FUELRANGE_0_DETAIL | Fuel reserves allow ships to move up to 3 light-years away from colony planets.

FUELRANGE_1_NAME   | Hydrogen Fuel Cells
FUELRANGE_1_DETAIL | Fuel reserves allow ships to move up to 4 light-years away from colony planets.

FUELRANGE_2_NAME   | Deuterium Fuel Cells
FUELRANGE_2_DETAIL | Fuel reserves allow ships to move up to 5 light-years away from colony planets.

FUELRANGE_3_NAME   | Irridium Fuel Cells
FUELRANGE_3_DETAIL | Fuel reserves allow ships to move up to 6 light-years away from colony planets.

FUELRANGE_4_NAME   | Dotomite Crystals
FUELRANGE_4_DETAIL | Fuel reserves allow ships to move up to 7 light-years away from colony planets.

FUELRANGE_5_NAME   | Uridium Fuel Cells
FUELRANGE_5_DETAIL | Fuel reserves allow ships to move up to 8 light-years away from colony planets.

FUELRANGE_6_NAME   | Reajax II Fuel Cells
FUELRANGE_6_DETAIL | Fuel reserves allow ships to move up to 9 light-years away from colony planets.

FUELRANGE_7_NAME   | Trilithium Crystals
FUELRANGE_7_DETAIL | Fuel reserves allow ships to move up to 10 light-years away from colony planets.

FUELRANGE_8_NAME   | Thorium Cells
FUELRANGE_8_DETAIL | Fuel reserves allow ships to move any distance away from colony planets.


//
// Future Computer techs
//
FUTURECOMP_0_NAME    | Future Computer I
FUTURECOMP_0_DETAIL  | General Improvements in Computer Technology.

FUTURECOMP_1_NAME    | Future Computer II
FUTURECOMP_1_DETAIL  | General Improvements in Computer Technology.

FUTURECOMP_2_NAME    | Future Computer III
FUTURECOMP_2_DETAIL  | General Improvements in Computer Technology.

FUTURECOMP_3_NAME    | Future Computer IV
FUTURECOMP_3_DETAIL  | General Improvements in Computer Technology.

FUTURECOMP_4_NAME    | Future Computer V
FUTURECOMP_4_DETAIL  | General Improvements in Computer Technology.

FUTURECOMP_5_NAME    | Future Computer VI
FUTURECOMP_5_DETAIL  | General Improvements in Computer Technology.

FUTURECOMP_6_NAME    | Future Computer VII
FUTURECOMP_6_DETAIL  | General Improvements in Computer Technology.

FUTURECOMP_7_NAME    | Future Computer VIII
FUTURECOMP_7_DETAIL  | General Improvements in Computer Technology.

FUTURECOMP_8_NAME    | Future Computer IX
FUTURECOMP_8_DETAIL  | General Improvements in Computer Technology.

FUTURECOMP_9_NAME    | Future Computer X
FUTURECOMP_9_DETAIL  | General Improvements in Computer Technology.


//
// Future Construction techs
//
FUTURECONST_0_NAME    | Future Construction I
FUTURECONST_0_DETAIL  | General Improvements in Construction Technology.

FUTURECONST_1_NAME    | Future Construction II
FUTURECONST_1_DETAIL  | General Improvements in Construction Technology.

FUTURECONST_2_NAME    | Future Construction III
FUTURECONST_2_DETAIL  | General Improvements in Construction Technology.

FUTURECONST_3_NAME    | Future Construction IV
FUTURECONST_3_DETAIL  | General Improvements in Construction Technology.

FUTURECONST_4_NAME    | Future Construction V
FUTURECONST_4_DETAIL  | General Improvements in Construction Technology.

FUTURECONST_5_NAME    | Future Construction VI
FUTURECONST_5_DETAIL  | General Improvements in Construction Technology.

FUTURECONST_6_NAME    | Future Construction VII
FUTURECONST_6_DETAIL  | General Improvements in Construction Technology.

FUTURECONST_7_NAME    | Future Construction VIII
FUTURECONST_7_DETAIL  | General Improvements in Construction Technology.

FUTURECONST_8_NAME    | Future Construction IX
FUTURECONST_8_DETAIL  | General Improvements in Construction Technology.

FUTURECONST_9_NAME    | Future Construction X
FUTURECONST_9_DETAIL  | General Improvements in Construction Technology.


//
// Future Force Field techs
//
FUTUREFORCE_0_NAME    | Future Force Field I
FUTUREFORCE_0_DETAIL  | General Improvements in Force Field Technology.

FUTUREFORCE_1_NAME    | Future Force Field II
FUTUREFORCE_1_DETAIL  | General Improvements in Force Field Technology.

FUTUREFORCE_2_NAME    | Future Force Field III
FUTUREFORCE_2_DETAIL  | General Improvements in Force Field Technology.

FUTUREFORCE_3_NAME    | Future Force Field IV
FUTUREFORCE_3_DETAIL  | General Improvements in Force Field Technology.

FUTUREFORCE_4_NAME    | Future Force Field V
FUTUREFORCE_4_DETAIL  | General Improvements in Force Field Technology.

FUTUREFORCE_5_NAME    | Future Force Field VI
FUTUREFORCE_5_DETAIL  | General Improvements in Force Field Technology.

FUTUREFORCE_6_NAME    | Future Force Field VII
FUTUREFORCE_6_DETAIL  | General Improvements in Force Field Technology.

FUTUREFORCE_7_NAME    | Future Force Field VIII
FUTUREFORCE_7_DETAIL  | General Improvements in Force Field Technology.

FUTUREFORCE_8_NAME    | Future Force Field IX
FUTUREFORCE_8_DETAIL  | General Improvements in Force Field Technology.

FUTUREFORCE_9_NAME    | Future Force Field X
FUTUREFORCE_9_DETAIL  | General Improvements in Force Field Technology.


//
// Future Planetology techs
//
FUTUREPLANET_0_NAME    | Future Planetology I
FUTUREPLANET_0_DETAIL  | General Improvements in Planetology Technology.

FUTUREPLANET_1_NAME    | Future Planetology II
FUTUREPLANET_1_DETAIL  | General Improvements in Planetology Technology.

FUTUREPLANET_2_NAME    | Future Planetology III
FUTUREPLANET_2_DETAIL  | General Improvements in Planetology Technology.

FUTUREPLANET_3_NAME    | Future Planetology IV
FUTUREPLANET_3_DETAIL  | General Improvements in Planetology Technology.

FUTUREPLANET_4_NAME    | Future Planetology V
FUTUREPLANET_4_DETAIL  | General Improvements in Planetology Technology.

FUTUREPLANET_5_NAME    | Future Planetology VI
FUTUREPLANET_5_DETAIL  | General Improvements in Planetology Technology.

FUTUREPLANET_6_NAME    | Future Planetology VII
FUTUREPLANET_6_DETAIL  | General Improvements in Planetology Technology.

FUTUREPLANET_7_NAME    | Future Planetology VIII
FUTUREPLANET_7_DETAIL  | General Improvements in Planetology Technology.

FUTUREPLANET_8_NAME    | Future Planetology IX
FUTUREPLANET_8_DETAIL  | General Improvements in Planetology Technology.

FUTUREPLANET_9_NAME    | Future Planetology X
FUTUREPLANET_9_DETAIL  | General Improvements in Planetology Technology.


//
// Future Propulsion techs
//
FUTUREPROP_0_NAME    | Future Propulsion I
FUTUREPROP_0_DETAIL  | General Improvements in Propulsion Technology.

FUTUREPROP_1_NAME    | Future Propulsion II
FUTUREPROP_1_DETAIL  | General Improvements in Propulsion Technology.

FUTUREPROP_2_NAME    | Future Propulsion III
FUTUREPROP_2_DETAIL  | General Improvements in Propulsion Technology.

FUTUREPROP_3_NAME    | Future Propulsion IV
FUTUREPROP_3_DETAIL  | General Improvements in Propulsion Technology.

FUTUREPROP_4_NAME    | Future Propulsion V
FUTUREPROP_4_DETAIL  | General Improvements in Propulsion Technology.

FUTUREPROP_5_NAME    | Future Propulsion VI
FUTUREPROP_5_DETAIL  | General Improvements in Propulsion Technology.

FUTUREPROP_6_NAME    | Future Propulsion VII
FUTUREPROP_6_DETAIL  | General Improvements in Propulsion Technology.

FUTUREPROP_7_NAME    | Future Propulsion VIII
FUTUREPROP_7_DETAIL  | General Improvements in Propulsion Technology.

FUTUREPROP_8_NAME    | Future Propulsion IX
FUTUREPROP_8_DETAIL  | General Improvements in Propulsion Technology.

FUTUREPROP_9_NAME    | Future Propulsion X
FUTUREPROP_9_DETAIL  | General Improvements in Propulsion Technology.


//
// Future Weapon techs
//
