// race-specific variables (must start with _)
_empire                           | Nazlok, Sarloks, Spyloks, Shadeloks, Draloks
GAME_OVER_COUNCIL_LOSS2           | Your schemes foiled, your quest endangered...#Your plans have been laid bare to the galaxy, and though none can hope to match your skill in subterfuge, the eyes of your rivals proved too watchful for even you to circumvent. With the forging of the New Republic and the future of the galaxy to be determined, the votes for those on the council floor have proven to unmake your well laid plans. The future belongs to the [leader_race] race!#Attempting to gain the ability to steer the course of the galaxy was an ambitious strategy. Had your diplomatic machinations been subtler it is very possible that the entire will of the galaxy could have been bent to serving your quest. Now you will have to submit to the will of the [leader_race] race, but every day that passes brings those stranded in the collapsing universe you come from one day closer to a fate more terrible than you dare to imagine...
GAME_OVER_REBELLION_LOSS2         | The end of your quest, the end of your people...#Fortune has never favored your people since your arrival into this unwelcoming plane. It did not favor you when you were flung to a dimension where none of your technology functioned properly. It did not favor you when the native denizens of this galaxy voted against you to lead the New Republic. And now, at the very end of all things, it did not favor you as you strike against your rivals to secure not just leadership of the galaxy, but your very survival.#Your people were tenacious, strong, and determined, but their best efforts and willingness to win by any means necessary simply were not enough to grant them victory against the overwhelming might of the New Republic's armies. Your bravery was worthy of remembrance: of that no one could argue. But as the last of your armies, and your very worlds, fall to your foes, your broken empire lies beaten, broken, and soon to be forgotten...
GAME_OVER_REBELLION_WIN2          | The first phase finished, the true test begins...#Now at last these inferior fools see your power and will unleashed! In vain your enemies sought to impede you in the quest to free your stranded kin from their ultimate doom, and they used every trick they could to obstruct you. From threats to espionage to open hostility, their desire to prevent you from reaching your goal was at its apex when they voted against you to lead the New Republic despite you being the one worthiest to do so. With little choice and absent of a heavy conscience, you unleashed upon them the same dreadful fury that led your people to total dominance in the universe from whence you came.#Now this galaxy is yours, and though time is short before your home plane collapses and those left behind suffer a fate worse than death, at least now there are none left in this dimension who will oppose you. Now at last these inferior fools see your power and will unleashed! Or at least they would, if any of them were left alive to do so...
GAME_OVER_REBEL_ALLIANCE_WIN2     | The first phase ended, the true test begins...#From the very beginning you knew that the denizens of this galaxy would never willingly trust you to lead a unified alliance of spacefaring empires. Dishonest and mistrustful, the native empires that inhabit this plane had done all they could to foil your plans, and gleefully voted against you when the New Republic's formation began. But you are wise, and you are cunning, and seeing their machinations as easily as one reads words on a page, you focused your diplomatic efforts only on those worthiest to stand beside you. And when the time came that your enemies thought they trapped you, they found themselves in a trap that had long since been sprung.#Now you and your allies stand victorious on the ashes of those who dared think themselves your betters. The fate of the galaxy is in your hands as you are free to find a way to bring your stranded kin across the dimensional barriers and into a new universe ripe for the taking. And should those you chose as comrades obstruct you from your goals, you will deal with them as decisively as you dealt with all the others...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | The first phase ended, the true test begins...#Long ago a small band of your people were flung from their dying universe and thrust into this new and alien plane. As you began to search for a way to bring those who were stranded to join you in this new and stable galaxy, your encounters with those who already dwelt among these stars taught you quickly that you would not be able to find the answers you sought while fighting petty and prolonged wars. Instead you sought to manipulate the course of history while veiled in shadows, and now at last those plans have come to fruition.#The [leader_race] race has assumed mastery of the New Republic, and they have proven themselves malleable and receptive to your designs and your council. As confidants and advisors, your people are in a unique position to steer the power of the galaxy itself under the leadership of your ally. You are too far removed from direct authority to ever feel the backlash should things fail. If you succeed, the bolstering of your ranks by the arrival of your long-lost kin will be more than enough to begin a new age and tip the scales overwhelmingly in your favor...
GAME_OVER_COUNCIL_WIN2            | The first phase finished, the true test now begins...#The council chambers erupt in cheers as you begin your reign as Master of the New Republic. You humbly accept the burden of stewardship that has been granted to you by the empires that comprise the Galactic Council, knowing that this end was the result of a plan long in the making. Shortly after your people arrived in this dimension and learned of its mysteries, you knew that it would be impossible for you alone to find a way to enable your trapped brothers and sisters to make the journey to this plane before their universe collapsed entirely. Now, after years upon years of diplomacy, stealth, and political manipulation, you no longer have to.#Now, this galaxy is yours to shape and sculpt and steer along the course that seems best to you. You will soon bend the technology, strength, and innovation of your allies towards helping you open a portal to your home and re-build your civilization here with as many of your people as you can usher in. And should anyone dare to try and stop you, you now have the armies of the New Republic to crush their dissent once and for all...
GAME_OVER_COUNCIL_MILITARY_WIN2   | The first phase finished, the true test now begins...#Now your rule of this galaxy is vindicated in word and in deed. After countless years of manipulating your interstellar rivals into helping you advance your goals, your plans finally came to fruition when you gained the title "Master of the New Republic". And when the voices of your dissidents rose against you, you had already set into motion plans within plans that enabled you to quash the rebellion decisively. They fought, you won, and now the entire galaxy is yours to do with as you please.#With your enemies ground to dust and scattered upon the solar winds, you turn your attention to your true goal: to find a way to bring your sundered people across the dimensional chasm and into this new and stable universe where your empire can be reborn. No one would dare to speak out against you now, not after seeing what happened to those foolish enough to do so...
GAME_OVER_COUNCIL_MILITARY_LOSS2  | The end of your quest, the end of your people...#The saddest fate you could have achieved for your people has been made into reality. Your unmatched ability for subterfuge and manipulation has been foiled by inferior species who could not hope to understand the great work you were trying to accomplish. Though you succeeded in the monumental task of becoming the elected ruler of the galaxy while still maintaining the secrecy that shrouded your goals, you were unable to stifle the rebellion that soon rose up to meet your burgeoning rule.#Now it is too late for you to steer the future of the galaxy along the path you deem fit. The rebellion has left the New Republic as nothing more than ruins for the victors to loot and build over. And the death of the Nazloks seals the fate of those who remain trapped in a doomed universe they have no hope of escaping. Your failure has sealed the fate of your empire in not one but two universes, and as such is more monumental than any of your enemies could even comprehend...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | the unknowable machinations of the Nazloks
GAME_OVER_REBELLION_LOSS3         | the shadowy grip of the Nazloks ensnares
