// race-specific variables (must start with _)
_empire                           | Klan Mrršan, Klan Prršan, Klan Mňaušan, Klan Pazúraň, Klan Hisšan
// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Vaše poklady sú k dispozícii na uchmatnutie...# Strašné flotily chanátskych nájazdníkov, ktoré udierali ako blesky, kedysi spôsobovali, že sa celé civilizácie báli cestovať príliš ďaleko od domova. Na svojom vrchole ste brali bohatstvo celých civilizácií a pridali ho k hordám, ktoré obsahovali relikvie rozprestierajúce sa na stovkách svetov. Zdá sa však, že kvôli hlúposti, arogancii, chamtivosti alebo ich kombinácii si tvoj ľud nakoniec našiel nepriateľov. Nepriateľov, ktorí sa ukázali byť viac, než si dokázal zvládnuť. Keď títo nepriatelia prešli do ofenzívy, boli ste bezmocní zabrániť osudu, ktorý vás postihol.#Iba zvesti o blížiacej sa Mrršanskej flotile kedysi spôsobili, že sa celé hviezdne systémy triasli od strachu. Teraz boli vaši ľudia z tejto galaxie vymazaní a zostali len ako príbehy, ktoré majú vystrašiť deti víťazov, aby sa správali slušnejšie. Všetky vzácne poklady odvezené z toľkých svetov boli ukradnuté a umiestnené do bohatých domov a múzeí. Stali sa relikviami nedávnej minulosti, tak ako i váš ľud...
GAME_OVER_MILITARY_WIN2           | Všetky poklady tejto galaxie sú vaše!#V túto noc celý povrch vašej domovskej planéty vybuchne v reve oslavujúcom víťazstvo vášho ľudu. Táto noc je prvou nocou nového veku. Veku, keď galaxiu ovládajú len Mrršanské chanáty. Čo sa kedysi začalo ako jednoduché nájazdy za korisťou a slávou, sa nakoniec stalo rozsiahlou kampaňou, ktorá obsiahla planéty, hviezdne systémy a nakoniec celú známu galaxiu. Každá ríša sa zrútila pod ťarchou vašej ohromujúcej krutosti a moci. # Váš ľud nevidel potrebu spojencov, keď vám slabší súperi padali jeden za druhým k nohám. Vyhli ste sa politickým pletkám a ťažobe diplomacie. Dobyli ste posledné pevnosti, ktoré sa vám postavili, a korisť tisícov svetov je teraz vaša. A keď už vám táto galaxia dala všetko, čo má, beda tým, ktorí žijú vo hviezdach ešte ďalej. Budú sa triasť pred vaším príchodom a ich korisť bude tiež vaša!...
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Korisť tejto galaxie pre teba a tvojich spojencov... #Tvoje nájazdy konečne priniesli trblietavé ovocie, ktoré má nezmerateľnú hodnotu. Od vašich prvotných pokusných výpadov do diplomacie bolo zrejmé, že vaša hrdá kultúra nikdy nebude schopná mierového spolužitia s tými, ktorí vlastnia také úžasné poklady. Poklady, ktoré však nemajú silu ubrániť. Vedeli ste, že vojny budú nevyhnutné. Prekvapivo ste však v hlbinách vesmíru našli i zopár ďalších. Takých, ktorí mali nielen silu brániť svoju korisť, ale aj záujem napĺnať svoje vlastné pokladnice.#Spolu so svojimi spojencami ste viedli vojny, o ktorých sa bude hovoriť v legendách až do konca vekov. Podelili ste sa o víťazstvá aj bohatstvo. Kým telá vašich krehkých nepriateľov ležia polámané na ceste budúcnosti, vám zostáva len rozdeliť si korisť a vychutnať si vzrušenie z víťazstva. Ale jedno varovanie, zlatý chán. Bez ohľadu na to, ako odhodlane bojovali tvoji spojenci po tvojom boku si dávaj pozor na tých, ktorí túžia po zlate a ich pohľad skĺzne po tvojom bohatstve...
GAME_OVER_COUNCIL_LOSS2           | Vaše nájazdy a váš spôsob života sa náhle skončili...Najväčšia hrozba pre kultúru vášho ľudu sa konečne naplnila. Po nespočetných rokoch skúmania vesmíru a dobývania hviezd sa rôzne ríše, ktoré tvoria túto galaxiu, rozhodli zanechať spory z minulosti a spojiť sa do jednotného spolužitia, ktoré nazvali Nová republika. A keďže všetky nové veky si zaslúžia nových vodcov, Galaktická rada si vybrala jedného, ktorý ich do tohto nového veku povedie. Stačí povedať, že si nevybrali teba.# Hoci si sa snažil zo všetkých síl o diplomaciu, harmonické spolužitie nikdy nebolo silnou stránkou tvojho ľudu. Nedôvera, ktorá pramenila z vašich neustálych nájazdov, a staré rany, ktoré spôsobili tým, ktorí im podliehali, spôsobili, že vaše diplomatické postavenie medzi radou sa nenávratne pošramotilo. Keďže jednota galaxie je teraz istotou, ktorú neobídete vaše nájazdy za pokladmi a slávou sa tým natrvalo skončili. Tvoj ľud sa musí prispôsobiť tejto novej dobe, alebo zomrieť, keď sa o to pokúsi...
GAME_OVER_REBELLION_LOSS2         | Vaše drahocenné poklady sú teraz k uchmatnutiu...# Dni, keď vaši ľudia plienili túto galaxiu o jej najúžasnejšie poklady, sa skončili. So vznikom Novej republiky a zjednotením galaxie pod zástavou rasy [leader_race_akuzativ] ste vedeli, že posvätné rituály vášho ľudu budú odsúdené na zánik. Ale či už zo slepej poslušnosti voči svojmu novému pánovi, alebo zo strachu o svoj ľud a povesť ste proti tejto vzbure bojovali sami. # Vaši súperi vedeli, že nemôžu bojovať proti armádam Mrršanov sami a odísť víťazne, a tak namiesto toho spojili svoje zdroje a flotily. Hoci tvoj ľud bojoval s legendárnou húževnatosťou, ktorá vzbudzovala strach v celej galaxii, ani oni, ani ty ste nemohli dúfať, že prekonáte spojené sily Novej republiky. Teraz sa vaše povstanie nešťastne skončilo a víťazom nezostáva nič iné ako si zobrať vašu nahromadenú korisť pre seba...
GAME_OVER_REBELLION_WIN2          | Poklady tejto galaxie sú vaše!#Čas chánov sa začal. Od samého začiatku svojho výletu do neprebádanej galaxie ste sa stretávali s vesmírnymi civilizáciami, ktoré hľadali svoje vlastné ciele medzi morom hviezd. Napriek ich vyspelým kultúram a technologickým inováciám však teraz všetky padli pred vami a vašou krutosťou. Spočiatku ste boli viac než spokojní s tým, že ste tieto civilizácie nechali pokračovať v ich doterajšej činnosti a poskytli ste svojim ľuďom nekonečné zdroje úchvatných pokladov. Pokladov, ktoré ste mohli získať pre seba pri svojich nájazdoch. Keď sa však rozhodli vytvoriť nový zväz, čo bol nepochybne pokus zabrániť tvojmu ľudu pokračovať v jeho spôsobe života, prijal si jedinú odpoveď vhodnú pre tých, ktorí sa ti odvážili postaviť na odpor. # Svojou ľstivosťou, zručnosťou a vytrvalosťou na bojovom poli, ktorú si priniesol proti flotilám konkurenčných ríš, sa tvoja vzbura proti novému galaktickému poriadku skončila úplným a totálnym víťazstvom. Korisť tisícov svetov leží otvorená a nechránená, pretože tí, ktorí ju strážili, boli vašimi vlastnými rukami odstránení z vašej cesty. Vezmi si ich, Zlatý chán! Zober si svoju korisť a priprav svoj ľud na korisť, ktorá leží v galaxiách za hranicami...
GAME_OVER_REBEL_ALLIANCE_WIN2     | Korisť tejto galaxie pre teba a tvojich spojencov...Bolo to ľahké rozhodnutie zdvihnúť zástavu odporu proti Novej republike. Vedeli ste, že galaxia si o vašom ľude a jeho spôsobe života myslí málo. Keď sa po celej galaxii rozšírili príbehy o vašich bojových schopnostiach a desivých nájazdoch, ktoré ste podnikali na konkurenčné ríše, vedeli ste, že zjednotený galaktický poriadok by pre vás po jeho vytvorení predstavoval neprekonateľnú hrozbu. Ako pravý vodca z legiend tvojho starobylého ľudu si konal rýchlejšie, než ostatní dokázali predvídať, a zasiahol si proti tomuto poriadku v otvorenej vojne. A keď si to urobil, zabránil si svojim nepriateľom, aby našli oporu, ktorú potrebovali na prevalcovanie flotily chanátu.#Na tvoje veľké potešenie si našiel ďalších nespokojných s podobou, ktorú začala nadobúdať budúcnosť, a výmenou za malý podiel na koristi si uzavrel nové spojenectvo. Spojenectvo, ktoré ti pomohlo presadiť sa nad žalostne zle pripravenými silami, ktoré sa proti tebe zhromaždili. Tvoji súperi boli úplne zlikvidovaní a spojenci, ktorých si získal, nebudú mať žiadnu šancu proti tvojej moci, ak ti niekedy prestanú byť užitoční. Teraz ti zostáva len vziať si to, o čo si tak tvrdo bojoval...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Tvoja korisť bude v tomto novom veku aspoň v bezpečí...Nikoho neprekvapí, že Galaktická rada nepostrehla tvoju veľkosť a odmietla ti udeliť vedenie Novej republiky. Vaše nájazdy na iné impériá urobili váš ľud nepopulárnym a len málokto je ochotný pochopiť vaše kultúrne normy. Ale či už vďaka naivite, alebo zmyslu pre úprimnosť, si dokázali nájsť spoločnú reč s rasou [leader_race_akuzativ]. S vedomím, že to bude pre váš ľud najlepší krok, ste ich pomohli zvoliť za vodcov nadchádzajúceho veku. #Vďačne a s láskavosťou ste dokázali zabezpečiť bezpečnosť svojej koristi bez toho, aby ste museli platiť odškodné tým, ktorým ste ju vzali, vďaka veľkorysosti vašich spojencov [leader_race_akuzativ]. Pri sprostredkovaní tohto mieru ste neochotne súhlasili s ukončením svojich nájazdov a teraz musíte preskúmať nové cesty, ako využiť svoj ľudu. Určite je to však lepšie ako budúcnosť istého vyhladenia, ktorej by ste čelili, keby ste sa rozhodli vzbúriť proti svojmu spojencovi...
GAME_OVER_COUNCIL_WIN2            | Táto galaxia a jej poklady patria len a len tebe!#Najvýznamnejší deň v histórii tvojho ľudu konečne nastal: Zlatý chán sa stal pánom Novej republiky. Od samého začiatku si tvoj ľud získal desivú povesť násilných nájazdníkov. Hoci v minulosti sa proti vám ozývalo mnoho výkrikov, všetky hlasy utíchli, keď Galaktická rada uznala vašu neprekonateľnú silu. Určite niektoré z ríš, ktoré vás pomohli zvoliť, dúfajú, že sa stanú skutočnými priateľmi vášho ľudu, ale vy viete, že väčšina tých, ktorí vás sem dosadili, tak urobila zo strachu, aby nevzbudili váš hnev.#Od tohto dňa vám budú všetky ríše v Novej republike vzdávať hold. A za zločin, že sa ti pokúsili postaviť na snemovni Rady, budú impériá, ktoré hlasovali proti tvojmu povýšeniu, navždy vystavené nájazdom tvojich ľudí a už nikdy nezískajú moc, ktorú by potrebovali na to, aby proti tebe povstali. Galaxia patrí Mrršanom a zostane vám podriadená až do konca vekov. Nech žije nový vek a nech žije Zlatý chán!
GAME_OVER_COUNCIL_MILITARY_WIN2   | Korisť tejto galaxie pre teba a tvojich spojencov... #Tu sa tvoja slávna vláda môže skutočne začať. Legendárna zdatnosť tvojho ľudu na bojisku a príbehy o strašných nájazdoch, ktoré si uskutočnil, viedli k tomu, že si sa stal pánom Novej republiky. No hoci sa mnohí obávali, že si vzbudia tvoj hnev natoľko, aby sa podriadili tvojim želaniam, stále sa našli aj takí, ktorí boli príliš hlúpi na to, aby sa nechali ovplyvniť prejavmi tvojej moci. Tvoji ľudia, dychtiaci po tom, aby sa zmocnili svojho pokladu a pridali ho k svojim rastúcim hordám, sa vrhli na potlačenie povstania a vyžiadali si odmenu, tentoraz s podporou celej zjednotenej armády Novej republiky, ktorej teraz vládneš.# Povstanie sa skončilo ešte skôr, ako sa začalo, a armády uzurpátorov boli porazené s minimálnym úsilím. Po zozbieraní pokladov sa Mrrshan prehrabáva v koristi a vyhadzuje odpadky, ktoré sa rozdajú ako odmena menším ríšam, ktoré vám slúžia. Keďže povstalci slúžia ako príklad toho, čo sa stane, keď sa vám nepáči, nemáte veľa dôvodov veriť, že sa nejaký súper ešte niekedy prejaví. Obráťte teraz svoju pozornosť na iné galaxie, pretože majú nešťastnú korisť, ktorá čaká na lov, a ešte viac trblietavých pokladov, ktoré môžete pridať do svojej zbierky...
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Tvoje drahocenné poklady sú teraz k uchmatnutiu... Hoci si spočiatku dokázal využiť strach na potlačenie nesúhlasu svojich rivalov a stal si sa pánom Novej republiky, našli sa aj takí, ktorí mali dosť odvahy postaviť sa proti tebe a budúcnosti, ktorú si si predstavoval. Tvoj ľud bol hrdý a silný, ozdobený korisťou z nespočetných nájazdov a dychtivý získať ďalšie poklady z ďalšieho dobývania. Nevideli však, alebo nemohli vidieť nebezpečenstvo, ktoré povstanie predstavovalo, a nezlomná odvaha, ktorú povstalci preukázali sa ukázala ako váš koniec. # Hoci ste sa mohli pochváliť početnou prevahou pri využívaní flotily tých, ktorých ste silou-mocou donútili k podriadeniu, nedokázali ste zabrániť povstaniu, aby destabilizovalo republiku a zosadilo vás z trónu. Najprv padli tvoji podriadení a krátko po nich i tvoj ľud. Zdá sa, že galaxia sa nakoniec sama rozhodla proti budúcnosti, ktorú ste plánovali. Koniec koncov, čo je vôľa jedného národa, nech je akokoľvek silná, proti nezmieriteľnej ruke osudu...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | túžba po poklade Mrrshan
GAME_OVER_REBELLION_LOSS3         | nenásytná chamtivosť Mrrshan pohlcuje
