// race-specific variables (must start with _)
_empire                           | Impérium Bulrati, Impérium Medveďan, Impérium Ursinat, Impérium Tlabkan, Impérium Grizliat
MAIN_ADVISOR_COUNCIL_RESISTED | Ha ha! Zaujímalo by ma, aké to je byť taký hlúpy a postaviť sa proti našej vláde. Bez ohľadu nato, títo maličkí bezvýznamní rebeli budú rozdrvení našou labou!

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Besnenie vášho impéria utichlo.#Zúrivosť vášho ľudu nestačila na zastavenie narastajúcej vlny cudzích vojenských síl. Hoci ste urputne bojovali do posledného vojaka, táto kapitola dejín Bulratov sa skončila. Kedysi ste boli veľkým hierarchom mocnej ríše. Vodcom hrdej rasy bojovníkov a  filozofov, ktorí sa vydali ku hviezdam, aby našli miesto vo vesmíre a vyskúšali svoju silu proti tým, ktorí sa vám odvážili postaviť. Teraz ste už len zabudnuté meno v kronikách minulosti tejto galaxie.#Možno keby ste vedeli o tom aký koniec čaká váš ľud, netlačili by ste sa do vesmíru tak bezhlavo. Teraz však z vás i vášho ľudu zostal len prach nenaplnených ambícií a zle uskutočnených plánov...
GAME_OVER_MILITARY_WIN2           | Besnenie vašej ríše počuť po celej galaxií!#Stojíte na prahu úplného víťazstva nad každou ríšou, s ktorou ste sa kedy stretli. Pochabo si mysleli, že sú schopní vzdorovať vašej vojenskej presile, len aby zistili, že ich flotily sú rozdrtené a ich ľudia rozprášení. Teraz musia čeliť potupnému koncu. Čo nevideli zbesilosť vo vašich srdciach? Čo nevycítili húževnatosť vášho presvedčenia? Teraz už na tom pramálo záleží, pretože víťazi sa nemusia zaoberať myšlienkami porazených. Nezostane nikto, kto by spochybnil skutočnosť, že vy a len vy ste ovládli všetkých a všetko čo vám stálo v ceste.#Váš ľud sa vydal na cestu, aby našiel svoje miesto v tomto vesmíre. Vy ste mu ukázali, že váš ľud je predurčený tejto galaxii vládnuť. Sláva víťazstvu, veľký hierarcha! Nech žije ríša Bulratovs! 
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Teraz už nezostal nikto, kto by sa odvážil vzdorovať tvojmu hnevu.#Ako veľký hierarcha ríše Bulratov si sa najviac obával, že tí, ktorých si stretol vo vesmíre, nebudú kompatibilní s tvojou víziou budúcnosti a nakoniec ich bude treba zničiť. A skutočne sa ukázalo, že mnohí z nich túto obavu napĺňajú. Našli ste však i iných. Tí neboli takí nepríjemní a zbytoční a na konci tejto dlhej a búrlivej cesty ste ich mohli nazvať schopnými spojencami. #Možno je nakoniec lepšie, že ste predsa len našli iných, s ktorými sa môžete deliť o túto galaxiu. Odmeny týchto svetov sú bohaté a filozofie, ktorými sa vaši spojenci riadia, sa ukážu ako zaujímavé úvahy, nad ktorými budú vaše veľké mysle premýšľať celé stáročia. Samozrejme, pokiaľ s tým budú súhlasiť...
GAME_OVER_COUNCIL_LOSS2           | Hnev vašej ríše utíchol.#Nikto by nemohol označiť vaše úsilie za menej než statočné. Proti obrovskej presile si tvoj ľud vydobyl život v hlbinách vesmíru a získal pre impérium svety v celej galaxii. Nanešťastie, vaša krutosť sa nedokázala vyrovnať vynikajúcim technologickým inováciám a politickým manévrom mimozemských rás, s ktorými ste sa vo vesmíre stretli. Keď ste videli, že nemáte k dispozícii žiadnu cestu, ktorá by vám umožnila zvíťaziť nad Galaktickou radou, rozhodli ste sa pre jedinú možnú voľbu: podriadiť sa vodcovi Novej republiky, aby ste zabránili vojne, ktorá by určite znamenala záhubu pre celé vaše impérium. #Hoci váš bojovný duch dostal zdrvujúci úder, viete, že vaše rozhodnutie bolo správne. Aspoň ste zabezpečili prežitie svojho ľudu a jeho miesto v galaxií. Alternatíva k tomu rozhodnutiu bola jednoducho príliš strašná na to, aby ste si ju dokázali predstaviť...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Hnev tvojho impéria utíchol.#Od chvíle, keď si odviedol svoj ľud z jeho domovského sveta v nádeji, že mu pomôžeš nájsť jeho miesto v galaxii, sa toho veľa stalo. Tvoje víťazstvá priniesli tvojmu ľudu veľa a mnohé krajiny boli pričlenené k územiu ríše, aby sa Bulratom zabezpečila svetlá budúcnosť. Nanešťastie, konečná cena v podobe vedenia Novej republiky nebola na dosah, tvoja divokosť na bojisku možno vzbudzovala príliš veľa strachu na to, aby ti umožnila dosiahnuť tvoj najžiadanejší cieľ. #Ale nie je všetko stratené: dôveryhodný spojenec sa postavil do čela Rady namiesto teba a úspešne presvedčil ostatné impériá, že ich pohľad na budúcnosť je ten správny. Hoci tvoj ľud túži vidieť ťa ako vládcu tejto novej budúcnosti, vieš, že si si spojencov vybral dobre: spolu s nimi zabezpečíš svojmu ľudu miesto v budúcnosti tejto galaxie bez ohľadu na to, čo budúcnosť prinesie...
GAME_OVER_REBELLION_LOSS2         | Hnev vášho impéria bol potlačený.#Vojny v tejto galaxii sa skončili. Tvoj ľud bojoval tvrdo, s hnevom a zúrivosťou akú iné ríše nepoznajú. No nakoniec sú to ich víťazstvá ktoré stáli za tvojou záhubou. Správu Novej republiky dostal nepriateľ, ktorý presvedčil členov Rady, že ste jednoducho príliš divokí na to, aby vám mohli dôverovať. Nemohli ste urobiť nič iné, len oddialiť nevyhnutné. #Ríša Bulrathi nakoniec padla pred svojimi nepriateľmi. Vaše územie sa rozdelí medzi víťazov a vaše pamiatky a mestá sa rozbijú na prach. Rasa Bulrati sa rozptýli vo vetre dejín a legendy o vašom ľude a jeho statočnom poslednom odpore pravdepodobne nebudú vzbudzovať strach v potomkoch tých, ktorí zdedia túto galaxiu. Koniec koncov, sú to víťazi, ktorí rozhodujú o tom, aké príbehy bude história rozprávať... 
GAME_OVER_REBELLION_WIN2          | Zúrivosť tvojho impéria nepozná hraníc!#Konečne sa naplnil osud, o ktorom si vedel že sa naplní: úplné vyhladenie všetkých ostatných rás v galaxii! Tvoja bezkonkurenčná zúrivosť sa ukázala zdrvujúca pre tvojich nepriateľov. Tí sa vo svojej zbabelosti snažili o spojenectvo proti tebe. V nádeji, že ich spoločná sila bude stačiť na tvoje zničenie, sa ako škodcovia rozutekali po hviezdach v snahe spáliť vaše svety na popol. Boli to hlupáci a tvoj ľud im ukázal, aké márne boli ich ambície. # Hľa, veľký hierarcha, galaxia je tvoja. Vo voľnom čase si pridáš všetky svety do svojho lona: tvoji ľudia a len tvoji ľudia budú bez odporu zbierať bohatstvo nespočetných planét. A keď si zoberieš všetko, čo ti táto galaxia môže poskytnúť, príde čas, aby si svoju moc nasmeroval do galaxií, ktoré ležia za jej hranicami...
GAME_OVER_REBEL_ALLIANCE_WIN2 | Teraz už nezostal nikto, kto by sa odvážil vzdorovať tvojmu hnevu.#Slnko vychádza na mieste, ktoré kedysi patrilo Novej republike, a ty zaujímaš miesto, ktoré si mal zaujať od samého začiatku. Bolo zrejmé, ako budú tvoji bývalí nepriatelia konať. Že sa spoja, pretože ich strach z teba bol taký veľký, že ich zjednotil v ich paranoji. Tvoja vzbura bola spravodlivá. Aby sa taká veľká a bojovná rasa plazila a prosila ako prostoduchí slabochovia. To predsa nikto nemohol od teba čakať. Tí čo sa Bulratom postavili na odpor čakala len záhuba!#Nie si však bez milosti. Tí, ktorí boli dostatočne múdri na to, aby sa s tebou spojili, sa budú tešiť z plodov hojnej budúcnosti a ich odvaha a múdrosť budú uctievaná v celej tvojej ríši. Sú živým svedectvom tvojho milosrdenstva a už nikdy sa nebudú musieť báť žiadneho nepriateľa. Samozrejme, pokiaľ si zachovajú vernosť ríši Bulratov...
GAME_OVER_COUNCIL_WIN2 | Hnev tvojho impéria vládne!#Táto galaxia a jej obyvatelia sú ti vydaní na milosť a nemilosť. Od začiatku svojho medzihviezdneho ťaženia ste stretli mnoho nepriateľov a len málo priateľov. Hoci vaše bitky boli tvrdé, vzrušenie z víťazstva patrilo Bulratom. Tí, ktorí boli príliš hlúpi na to, aby videli chybu a postavili sa ti, museli čeliť zániku. Tí, ktorí zostali, videli nielen silu, ktorej by sa mali báť, ale aj intelekt, ktorý si vyžadoval rešpekt. Na poslednom zasadnutí Galaktickej rady ste boli zvolení, aby ste viedli to, čo bude známe ako Nová republika. #Čas skúšania vašej sily sa skončil: teraz začína čas skúšania vašej múdrosti. Aká budúcnosť čaká republiku vedenú kráľom-filozofom ríše Bulratov nie je známe. Jedno je však isté: teraz už nezostane nikto, kto by sa postavil tvojim rozhodnutiam. Tvoja nezdolná sila poskytuje záruky potrebné na to, aby si všetkých svojich poddaných zbavil akýchkoľvek pochybností a strachu. Nech žije Nová republika a nech žije veľký hierarcha Bulratského impéria!
GAME_OVER_COUNCIL_MILITARY_WIN2 | Teraz už nezostal nikto, kto by sa odvážil vzdorovať tvojmu hnevu.#Nový vek mieru sa mal začať, keď si nastúpil na trón Novej republiky. Zatiaľ čo mnohé impériá našli radosť v nasledovaní silného vodcu niekoľko krátkozrakých hlupákov si myslelo, že sú múdrejší a silnejší ako riadne zvolený vládca galaxie. Čoskoro ťa čakala prvá skúška ako pána Novej republiky a tvoje rýchle a rozhodné činy nielenže potlačili povstanie, ale jedným ťahom upevnili tvoju pozíciu vodcu. #Tvoji nepriatelia už neboli len tvoji nepriatelia, ale nepriatelia galaxie. Dnes ležia zlomení a porazení silou tvojho impéria a flotilami civilizácií, ktoré ti slúžia. Budú slúžiť ako varovanie pre tých, ktorí budú republiku ohrozovať v budúcnosti: Dajte si pozor, tí, ktorí chcú vyvolať vojnu, pretože tejto galaxii vládne najmocnejší kráľ, akého kedy poznali. Nech dlho vládneš, veľký hierarcha! Nech je tvoja ťažko vydobytá budúcnosť svetlejšia, než si tvoj ľud kedy dokázal predstaviť!
GAME_OVER_COUNCIL_MILITARY_LOSS2 | Hnev tvojho impéria utíchol.#Bohužiaľ, tieto zlé dni sú tvoje. Po stáročiach dobývania a skúmania ste dosiahli svoju túžbu byť pripravený viesť galaxiu múdrou a mocnou vládou. Povstanie, ktoré vzniklo, aby sa postavilo proti vašej vláde, sa zdalo byť malé a odsúdené na neúspech tvárou v tvár vašej zjednotenej aliancii mocných impérií. Povstalci však disponovali dôvtipom, ktorý ste nečakali, a využili ho na to, aby sa na každom kroku postavili proti vašej ohromujúcej fyzickej zdatnosti. Vaši neschopní spojenci sa ukázali ako nepoužiteľní pri formulovaní obrany. Ešte skôr, než sa skutočne začal, bol sen o Novej republike mŕtvy rovnako ako civilizácie, z ktorých sa kedysi skladala.#Keby sa veci vyvíjali inak, táto galaxia a všetci, ktorí ju obývali, by spoločne napredovali do novej a svetlejšej éry bez sporov a vojen. Teraz je budúcnosť v rukách zákerných a chamtivých rebelov, ktorí vás zvrhli z trónu. Nakoniec to však budú oni, kto prehrá, pretože bez vašej múdrosti, ktorá by ich viedla, ich hlúposť určite povedie k najhoršiemu z možných koncov...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3 | bezkonkurenčná zúrivosť Bulrathi
GAME_OVER_REBELLION_LOSS3 | neprekonateľná zúrivosť Bulrathi dominuje
