

//
// Armor techs
// 
ARMOR_0_NAME     | Titanijum Oklop
CLONE_0_DETAIL   | Omogućava uzgoj kolonista sa bioinženjeringom po stopi od 1M za 10 MK.

CLONE_1_NAME     | Napredno Kloniranje
CLONE_1_DETAIL   | Omogućava uzgoj kolonista sa bioinženjeringom po stopi od 1M za 5 MK.


//
// Combat Transporter tech
//
COMBATTRANSPORT_0_NAME     | Borbeni Transporteri
COMBATTRANSPORT_0_DETAIL   | Transporteri opremljeni ovim uređajima imaju  50% šansi da slete na nerpijateljsko tlo pre nego što neprijateljski brodovi i raketne baze mogu da ih napadnu.


//
// Control Environment tech
//
CONTROLENV_0_NAME    | Kontrolisano Normalno Okruženje
CONTROLENV_0_ITEM    | Standardna Baza Kolonista
CONTROLENV_0_BRIEF   | Dozvoljava Sletanje na Normalne Planete
CONTROLENV_0_DETAIL  | Dopušta kolonizaciju standardnih planeta.

CONTROLENV_1_NAME    | Kontrolisano Jalovo Okruženje
CONTROLENV_1_ITEM    | Jalova Baza Kolonista
CONTROLENV_1_BRIEF   | Dozvoljava Sletanje na Jalove Planete
CONTROLENV_1_DETAIL  | Dopušta kolonizaciju jalovih i manje nepristupačnih planeta.

CONTROLENV_2_NAME    | Kontrolisano Tundra Okruženje
CONTROLENV_2_ITEM    | Tundra Baza Kolonista
CONTROLENV_2_BRIEF   | Dozvoljava Sletanje na Tundra Planete
CONTROLENV_2_DETAIL  | Dopušta kolonizaciju tundra i manje nepristupačnih planeta.

CONTROLENV_3_NAME    | Kontrolisano Mrtvo Okruženje
CONTROLENV_3_ITEM    | Mrtva Baza Kolonista
CONTROLENV_3_BRIEF   | Dozvoljava Sletanje na Mrtve Planete
CONTROLENV_3_DETAIL  | Dopušta kolonizaciju mrtvih i manje nepristupačnih planeta.

CONTROLENV_4_NAME    | Kontrolisano Pakleno Okruženje
CONTROLENV_4_ITEM    | Paklena Baza Kolonista
CONTROLENV_4_BRIEF   | Dozvoljava Sletanje na Paklene Planete
CONTROLENV_4_DETAIL  | Dopušta kolonizaciju paklenih i manje nepristupačnih planeta.

CONTROLENV_5_NAME    | Kontrolisano Otrovno Okruženje
CONTROLENV_5_ITEM    | Otrovna Baza Kolonista
CONTROLENV_5_BRIEF   | Dozvoljava Sletanje na Otrovne Planete
CONTROLENV_5_DETAIL  | Dopušta kolonizaciju otrovnih i manje nepristupačnih planeta.

CONTROLENV_6_NAME    | Kontrolisano Ozračeno Okruženje
CONTROLENV_6_ITEM    | Ozračena Baza Kolonista
CONTROLENV_6_BRIEF   | Dozvoljava Sletanje na Ozračene Planete
CONTROLENV_6_DETAIL  | Dopušta kolonizaciju ozračenih i manje nepristupačnih planeta.


//
// Deflector Shield tech
//
// this is the entry on Ship Design for selecting no deflector shield
DEFLECTOR_0_NAME      | 
DEFLECTOR_0_ITEM      |   
DEFLECTOR_0_BRIEF     |  
DEFLECTOR_0_DETAIL    | 

DEFLECTOR_1_NAME      | Klasa I Deflektorski Štitovi
DEFLECTOR_1_ITEM      | Klasa I
DEFLECTOR_1_BRIEF     | Apsorbuje 1 poen
DEFLECTOR_1_DETAIL    | Apsorbuje 1 poen oštećenja od svih napada.

DEFLECTOR_2_NAME      | Klasa II Deflektorski Štitovi
DEFLECTOR_2_ITEM      | Klasa II
DEFLECTOR_2_BRIEF     | Apsorbuje 2 poena
DEFLECTOR_2_DETAIL    | Apsorbuje 2 poena oštećenja od svih napada.

DEFLECTOR_3_NAME      | Klasa III Deflektorski Štitovi
DEFLECTOR_3_ITEM      | Klasa III
DEFLECTOR_3_BRIEF     | Apsorbuje 3 poena
DEFLECTOR_3_DETAIL    | Apsorbuje 3 poena oštećenja od svih napada.

DEFLECTOR_4_NAME      | Klasa IV Deflektorski Štitovi
DEFLECTOR_4_ITEM      | Klasa IV
DEFLECTOR_4_BRIEF     | Apsorbuje 4 poena
DEFLECTOR_4_DETAIL    | Apsorbuje 4 poena oštećenja od svih napada.

DEFLECTOR_5_NAME      | Klasa V Deflektorski Štitovi
DEFLECTOR_5_ITEM      | Klasa V
DEFLECTOR_5_BRIEF     | Apsorbuje 5 poena
DEFLECTOR_5_DETAIL    | Apsorbuje 5 poena oštećenja od svih napada.

DEFLECTOR_6_NAME      | Klasa VI Deflektorski Štitovi
DEFLECTOR_6_ITEM      | Klasa VI
DEFLECTOR_6_BRIEF     | Apsorbuje 6 poena
DEFLECTOR_6_DETAIL    | Apsorbuje 6 poena oštećenja od svih napada.

DEFLECTOR_7_NAME      | Klasa VII Deflektorski Štitovi
DEFLECTOR_7_ITEM      | Klasa VII
DEFLECTOR_7_BRIEF     | Apsorbuje 7 poena
DEFLECTOR_7_DETAIL    | Apsorbuje 7 poena oštećenja od svih napada.

DEFLECTOR_8_NAME      | Klasa IX Deflektorski Štitovi
DEFLECTOR_8_ITEM      | Klasa IX
DEFLECTOR_8_BRIEF     | Apsorbuje 9 poena
DEFLECTOR_8_DETAIL    | Apsorbuje 9 poena oštećenja od svih napada.

DEFLECTOR_9_NAME      | Klasa XI Deflektorski Štitovi
DEFLECTOR_9_ITEM      | Klasa XI
DEFLECTOR_9_BRIEF     | Apsorbuje 11 poena
DEFLECTOR_9_DETAIL    | Apsorbuje 11 poena oštećenja od svih napada.

DEFLECTOR_10_NAME     | Klasa XIII Deflektorski Štitovi
DEFLECTOR_10_ITEM     | Klasa XIII
DEFLECTOR_10_BRIEF    | Apsorbuje 13 poena
DEFLECTOR_10_DETAIL   | Apsorbuje 13 poena oštećenja od svih napada.

DEFLECTOR_11_NAME     | Klasa XV Deflektorski Štitovi
DEFLECTOR_11_ITEM     | Klasa XV
DEFLECTOR_11_BRIEF    | Apsorbuje 15 poena
DEFLECTOR_11_DETAIL   | Apsorbuje 15 poena oštećenja od svih napada.


//
// Displacement tech
//
DISPLACEMENT_0_NAME   | Uređaj Prebacivanja
DISPLACEMENT_0_BRIEF  | 1/3 neprijateljskih napada promašuje
DISPLACEMENT_0_DETAIL | Nasumično prebacuje opremljene brodove unutar i izvan normalnog prostora, omogućavajući im da izbegnu 1/3 svih napada oružjem koje nije širokog delovanja.


//
// ECM Jammer tech
//
// this is the entry on Ship Design for selecting no ECM Jammer
ECMJAMMER_0_NAME      | 
ECMJAMMER_0_ITEM      | 
ECMJAMMER_0_BRIEF     | Raketna Odb 0
ECMJAMMER_0_DETAIL    | 

ECMJAMMER_1_NAME      | EPM Ometač Serija I
ECMJAMMER_1_ITEM      | Ometač I
ECMJAMMER_1_BRIEF     | Raketna Odb 1
ECMJAMMER_1_DETAIL    | Dodaje 1 nivo odbrane protiv neprijateljskih raketnih napada.

ECMJAMMER_2_NAME      | EPM Ometač Serija II
ECMJAMMER_2_ITEM      | Ometač II
ECMJAMMER_2_BRIEF     | Raketna Odb 2
ECMJAMMER_2_DETAIL    | Dodaje 2 nivoa odbrane protiv neprijateljskih raketnih napada. 

ECMJAMMER_3_NAME      | EPM Ometač Serija III
ECMJAMMER_3_ITEM      | Ometač III
ECMJAMMER_3_BRIEF     | Raketna Odb 3
ECMJAMMER_3_DETAIL    | Dodaje 3 nivoa odbrane protiv neprijateljskih raketnih napada.

ECMJAMMER_4_NAME      | EPM Ometač Serija IV
ECMJAMMER_4_ITEM      | Ometač IV
ECMJAMMER_4_BRIEF     | Raketna Odb 4
ECMJAMMER_4_DETAIL    | Dodaje 4 nivoa odbrane protiv neprijateljskih raketnih napada.

ECMJAMMER_5_NAME      | EPM Ometač Serija V
ECMJAMMER_5_ITEM      | Ometač V
ECMJAMMER_5_BRIEF     | Raketna Odb 5
ECMJAMMER_5_DETAIL    | Dodaje 5 nivoa odbrane protiv neprijateljskih raketnih napada.

ECMJAMMER_6_NAME      | EPM Ometač Serija VI
ECMJAMMER_6_ITEM      | Ometač VI
ECMJAMMER_6_BRIEF     | Raketna Odb 6
ECMJAMMER_6_DETAIL    | Dodaje 6 nivoa odbrane protiv neprijateljskih raketnih napada.

ECMJAMMER_7_NAME      | EPM Ometač Serija VII
ECMJAMMER_7_ITEM      | Ometač VII
ECMJAMMER_7_BRIEF     | Raketna Odb 7
ECMJAMMER_7_DETAIL    | Dodaje 7 nivoa odbrane protiv neprijateljskih raketnih napada.

ECMJAMMER_8_NAME      | EPM Ometač Serija VIII
ECMJAMMER_8_ITEM      | Ometač VIII
ECMJAMMER_8_BRIEF     | Raketna Odb 8
ECMJAMMER_8_DETAIL    | Dodaje 8 nivoa odbrane protiv neprijateljskih raketnih napada.

ECMJAMMER_9_NAME      | EPM Ometač Serija IX
ECMJAMMER_9_ITEM      | Ometač IX
ECMJAMMER_9_BRIEF     | Raketna Odb 9
ECMJAMMER_9_DETAIL    | Dodaje 9 nivoa odbrane protiv neprijateljskih raketnih napada.

ECMJAMMER_10_NAME     | EPM Ometač Serija X
ECMJAMMER_10_ITEM     | Ometač X
ECMJAMMER_10_BRIEF    | Raketna Odb 10
ECMJAMMER_10_DETAIL   | Dodaje 10 nivoa odbrane protiv neprijateljskih raketnih napada.


//
// Ecological Restoration techs
//
ECORESTORATION_0_NAME   | Ekološka Restoracija
ECORESTORATION_0_DETAIL | Eliminiše 2 jedinice industrijskog otpada po ceni od 1 MK.

ECORESTORATION_1_NAME   | Poboljšana Eko Restoracija
ECORESTORATION_1_DETAIL | Eliminiše 3 jedinice industrijskog otpada po ceni od 1 MK.

ECORESTORATION_2_NAME   | Unapređena Eko Restoracija
ECORESTORATION_2_DETAIL | Eliminiše 5 jedinica industrijskog otpada po ceni od 1 MK.

ECORESTORATION_3_NAME   | Napredna Eko Restoracija
ECORESTORATION_3_DETAIL | Eliminiše 10 jedinica industrijskog otpada po ceni od 1 MK.

ECORESTORATION_4_NAME   | Kompletna Eko Restoracija
ECORESTORATION_4_DETAIL | Eliminiše 20 jedinica industrijskog otpada po ceni od 1 MK.


//
// Energy Pulsar techs
//
PULSAR_0_NAME     | Energetski Pulsar
PULSAR_0_BRIEF    | Proširuje se i šteti 1-5 poena
PULSAR_0_DETAIL   | Snažna modifikacija motora koja generiše iznenadni sferni nalet energije koji pogađa sve susedne brodove za do 5 poena oštećenja, +1 za svaka dva broda.

PULSAR_1_NAME     | Jonski Pulsar
PULSAR_1_BRIEF    | Proširuje se i šteti 2-10 poena
PULSAR_1_DETAIL   | Snažna modifikacija motora koja generiše iznenadni sferni nalet energije koji pogađa sve susedne brodove za do 5 poena oštećenja, +1 za svaki brod.


//
// Engine techs
//
ENGINE_0_NAME    | Retro Motori 
ENGINE_0_DETAIL  | Pokreće brodove hiperbrzinom %1, i omogućava maksimalo manevrisanje klase I u borbi.
ENGINE_0_ITEM    | Retro
ENGINE_0_ITEM2   | Klasa 1
ENGINE_0_BRIEF   | Hiperbrzina 1  Odb %1
ENGINE_0_BRIEF2  | Borbena Brzina %1

ENGINE_1_NAME    | Nuklearni Motori 
ENGINE_1_DETAIL  | Pokreće brodove hiperbrzinom %1, i omogućava maksimalo manevrisanje klase II u borbi.
ENGINE_1_ITEM    | Nuklearni
ENGINE_1_ITEM2   | Klasa 2
ENGINE_1_BRIEF   | Hiperbrzina 2  Odb %1
ENGINE_1_BRIEF2  | Borbena Brzina %1

ENGINE_2_NAME    | Pod-Prostorni Pogon 
ENGINE_2_DETAIL  | Pokreće brodove hiperbrzinom %1, i omogućava maksimalo manevrisanje klase III u borbi.
ENGINE_2_ITEM    | PodProstorni
ENGINE_2_ITEM2   | Klasa 3
ENGINE_2_BRIEF   | Hiperbrzina 3  Odb %1
ENGINE_2_BRIEF2  | Borbena Brzina %1

ENGINE_3_NAME    | Fuzioni Pogon 
ENGINE_3_DETAIL  | Pokreće brodove hiperbrzinom %1, i omogućava maksimalo manevrisanje klase IV u borbi.
ENGINE_3_ITEM    | Fuzioni
ENGINE_3_ITEM2   | Klasa 4
ENGINE_3_BRIEF   | Hiperbrzina 4  Odb %1
ENGINE_3_BRIEF2  | Borbena Brzina %1

ENGINE_4_NAME    | Impuls Motori 
ENGINE_4_DETAIL  | Pokreće brodove hiperbrzinom %1, i omogućava maksimalo manevrisanje klase V u borbi.
ENGINE_4_ITEM    | Impuls
ENGINE_4_ITEM2   | Klasa 5
ENGINE_4_BRIEF   | Hiperbrzina 5  Odb %1
ENGINE_4_BRIEF2  | Borbena Brzina %1

ENGINE_5_NAME    | Jonski Pogon 
ENGINE_5_DETAIL  | Pokreće brodove hiperbrzinom %1, i omogućava maksimalo manevrisanje klase VI u borbi.
ENGINE_5_ITEM    | Jonski
ENGINE_5_ITEM2   | Klasa 6
ENGINE_5_BRIEF   | Hiperbrzina 6  Odb %1
ENGINE_5_BRIEF2  | Borbena Brzina %1

ENGINE_6_NAME    | Anti-Materijski Motori
ENGINE_6_DETAIL  | Pokreće brodove hiperbrzinom %1, i omogućava maksimalo manevrisanje klase VII u borbi.
ENGINE_6_ITEM    | Anti-Materijski
ENGINE_6_ITEM2   | Klasa 7
ENGINE_6_BRIEF   | Hiperbrzina 7  Odb %1
ENGINE_6_BRIEF2  | Borbena Brzina %1

ENGINE_7_NAME    | Među-Fazni Pogon
ENGINE_7_DETAIL  | Pokreće brodove hiperbrzinom %1, i omogućava maksimalo manevrisanje klase VIII u borbi.
ENGINE_7_ITEM    | Među-Fazni
ENGINE_7_ITEM2   | Klasa 8
ENGINE_7_BRIEF   | Hiperbrzina 8  Odb %1
ENGINE_7_BRIEF2  | Borbena Brzina %1

ENGINE_8_NAME    | Hiper Pogon
ENGINE_8_DETAIL  | Pokreće brodove hiperbrzinom %1, i omogućava maksimalo manevrisanje klase IX u borbi.
ENGINE_8_ITEM    | Hiper
ENGINE_8_ITEM2   | Klasa 9
ENGINE_8_BRIEF   | Hiperbrzina 9  Odb %1
ENGINE_8_BRIEF2  | Borbena Brzina %1


//
// Fuel Range techs
//
FUELRANGE_0_NAME   | Gorivne Ćelije
FUELRANGE_0_DETAIL | Rezerve goriva omogućavaju brodovima da se udalje do %1 svetlosnih godina od kolonizovanih planeta .

FUELRANGE_1_NAME   | Hidrogenske Gorivne Ćelije
FUELRANGE_1_DETAIL | Rezerve goriva omogućavaju brodovima da se udalje do %1 svetlosnih godina od kolonizovanih planeta .

FUELRANGE_2_NAME   | Deuterijumske Gorivne Ćelije
FUELRANGE_2_DETAIL | Rezerve goriva omogućavaju brodovima da se udalje do %1 svetlosnih godina od kolonizovanih planeta .

FUELRANGE_3_NAME   | Iridijumske Gorivne Ćelije
FUELRANGE_3_DETAIL | Rezerve goriva omogućavaju brodovima da se udalje do %1 svetlosnih godina od kolonizovanih planeta .

FUELRANGE_4_NAME   | Dolomitske Crystals
FUELRANGE_4_DETAIL | Rezerve goriva omogućavaju brodovima da se udalje do %1 svetlosnih godina od kolonizovanih planeta .

FUELRANGE_5_NAME   | Uridijumske Gorivne Ćelije
FUELRANGE_5_DETAIL | Rezerve goriva omogućavaju brodovima da se udalje do %1 svetlosnih godina od kolonizovanih planeta .

FUELRANGE_6_NAME   | Rejdžaks II Gorivne Ćelije
FUELRANGE_6_DETAIL | Rezerve goriva omogućavaju brodovima da se udalje do %1 svetlosnih godina od kolonizovanih planeta .

FUELRANGE_7_NAME   | Trilitijumski Kristali
FUELRANGE_7_DETAIL | Rezerve goriva omogućavaju brodovima da se udalje do %1 svetlosnih godina od kolonizovanih planeta .

FUELRANGE_8_NAME   | Torijumske Ćelije
FUELRANGE_8_DETAIL | Rezerve goriva omogućavaju brodovima da se kreću na bilo kojoj udaljenosti od kolonizovanih planeta.


//
// Future Computer techs
//
FUTURECOMP_0_NAME    | Budući Računari I
FUTURECOMP_0_DETAIL  | Opšta Poboljšanja Računarskih Tehnologija.

FUTURECOMP_1_NAME    | Budući Računari II
FUTURECOMP_1_DETAIL  | Opšta Poboljšanja Računarskih Tehnologija.

FUTURECOMP_2_NAME    | Budući Računari III
FUTURECOMP_2_DETAIL  | Opšta Poboljšanja Računarskih Tehnologija.

FUTURECOMP_3_NAME    | Budući Računari IV
FUTURECOMP_3_DETAIL  | Opšta Poboljšanja Računarskih Tehnologija.

FUTURECOMP_4_NAME    | Budući Računari V
FUTURECOMP_4_DETAIL  | Opšta Poboljšanja Računarskih Tehnologija.

FUTURECOMP_5_NAME    | Budući Računari VI
FUTURECOMP_5_DETAIL  | Opšta Poboljšanja Računarskih Tehnologija.

FUTURECOMP_6_NAME    | Budući Računari VII
FUTURECOMP_6_DETAIL  | Opšta Poboljšanja Računarskih Tehnologija.

FUTURECOMP_7_NAME    | Budući Računari VIII
FUTURECOMP_7_DETAIL  | Opšta Poboljšanja Računarskih Tehnologija.

FUTURECOMP_8_NAME    | Budući Računari IX
FUTURECOMP_8_DETAIL  | Opšta Poboljšanja Računarskih Tehnologija.

FUTURECOMP_9_NAME    | Budući Računari X
FUTURECOMP_9_DETAIL  | Opšta Poboljšanja Računarskih Tehnologija. 


//
// Future Construction techs
//
FUTURECONST_0_NAME    | Buduća Konstrukcija I
FUTURECONST_0_DETAIL  | Opšta Poboljšanja Tehnologija Konstrukcije.

FUTURECONST_1_NAME    | Buduća Konstrukcija II
FUTURECONST_1_DETAIL  | Opšta Poboljšanja Tehnologija Konstrukcije.

FUTURECONST_2_NAME    | Buduća Konstrukcija III
FUTURECONST_2_DETAIL  | Opšta Poboljšanja Tehnologija Konstrukcije.

FUTURECONST_3_NAME    | Buduća Konstrukcija IV
FUTURECONST_3_DETAIL  | Opšta Poboljšanja Tehnologija Konstrukcije.

FUTURECONST_4_NAME    | Buduća Konstrukcija V
FUTURECONST_4_DETAIL  | Opšta Poboljšanja Tehnologija Konstrukcije.

FUTURECONST_5_NAME    | Buduća Konstrukcija VI
FUTURECONST_5_DETAIL  | Opšta Poboljšanja Tehnologija Konstrukcije.

FUTURECONST_6_NAME    | Buduća Konstrukcija VII
FUTURECONST_6_DETAIL  | Opšta Poboljšanja Tehnologija Konstrukcije.

FUTURECONST_7_NAME    | Buduća Konstrukcija VIII
