//
// Armor techs
// 
ARMOR_0_NAME     | Pancerz z Tytanu
COMPUTER_6_NAME    | Komputer Bitewny Typu VI
COMPUTER_6_ITEM    | Typ VI
COMPUTER_6_BRIEF   | Poziom ataku VI
COMPUTER_6_DETAIL  | Zwiększa celność broni do poziomu 6.

COMPUTER_7_NAME    | Komputer Bitewny Typu VII
COMPUTER_7_ITEM    | Typ VII
COMPUTER_7_BRIEF   | Poziom ataku VII
COMPUTER_7_DETAIL  | Zwiększa celność broni do poziomu 7.

COMPUTER_8_NAME    | Komputer Bitewny Typu VIII
COMPUTER_8_ITEM    | Typ VIII
COMPUTER_8_BRIEF   | Poziom ataku VIII
COMPUTER_8_DETAIL  | Zwiększa celność broni do poziomu 8.

COMPUTER_9_NAME    | Komputer Bitewny Typu IX
COMPUTER_9_ITEM    | Typ IX
COMPUTER_9_BRIEF   | Poziom ataku IX
COMPUTER_9_DETAIL  | Zwiększa celność broni do poziomu 9.

COMPUTER_10_NAME   | Komputer Bitewny Typu X
COMPUTER_10_ITEM   | Typ X
COMPUTER_10_BRIEF  | Poziom ataku X
COMPUTER_10_DETAIL | Zwiększa celność broni do poziomu 10.

COMPUTER_11_NAME   | Komputer Bitewny Typu XI
COMPUTER_11_ITEM   | Typ XI
COMPUTER_11_BRIEF  | Poziom ataku XI
COMPUTER_11_DETAIL | Zwiększa celność broni do poziomu 11.


//
// Battle Suit techs for ground combat
// 
// this is for default, no-bonus armor that player starts with
BATTLESUIT_0_NAME    | Pancerz
BATTLESUIT_0_DETAIL  |

BATTLESUIT_1_NAME    | Pancerz Bitewny
BATTLESUIT_1_DETAIL  | Pancerz, który nie tylko chroni ale też dodaje siły. Plus 10 do wszystkich ataków naziemnych.

BATTLESUIT_2_NAME    | Opancerzony Egzoszkielet
BATTLESUIT_2_DETAIL  | Zaawansowany pancerz mobilny, który nie tylko dodaje mocy i zapewnia lepszą ochronę, ale również umożliwia lewitację. Plus 20 do wszystkich ataków naziemnych.

BATTLESUIT_3_NAME    | Powered Armor
BATTLESUIT_3_DETAIL  | Połączenie wysokiej mobilności, technik antygrawitacyjnych i ciężkiego pancerza w celu stworzenia najbardziej zaawansowanego rozwiązania dla wojsk naziemnych. Plus 30 do wszystkich ataków naziemnych.

//
// Energy Focus techs for beam weapons
// 
BEAMFOCUS_0_NAME    | Wysokie Skupienie Energii
BEAMFOCUS_0_BRIEF   | Plus 3 do zasięgu broni energetycznych
BEAMFOCUS_0_DETAIL  | Zwiększa zasięg broni energetycznych o 3.

BEAMFOCUS_1_NAME    | Interfejs Wyroczni
BEAMFOCUS_1_BRIEF   | Koncentracja broni promieniowych, połowa wrogich osłon
BEAMFOCUS_1_DETAIL  | Koncentruje atak broni promieniowych w jeden skupiony promień, ignorując połowę siły wrogich osłon.

//
// Biological antidote techs 
// 
BIOANTIDOTE_0_NAME    | Antidotum na Biotoksyny
BIOANTIDOTE_0_DETAIL  | Zmniejsza straty spowodowane bronią biologiczną o 1M na atak.

BIOANTIDOTE_1_NAME    | Antidotum Uniwersalne
BIOANTIDOTE_1_DETAIL  | Zmniejsza straty spowodowane bronią biologiczną o 2M na atak.

//
// Biological weapon techs 
// 
BIOWEAPON_0_NAME     | Spory Śmierci
BIOWEAPON_0_BRIEF    | Broń biologiczna
BIOWEAPON_0_DETAIL   | Okropna broń biologiczna zdolna do redukji maksymalnej populacji planet o 1M na atak.

BIOWEAPON_1_NAME     | Wirus Zagłady
BIOWEAPON_1_BRIEF    | Broń biologiczna
BIOWEAPON_1_DETAIL   | Straszliwa broń biologiczna zdolna do redukji maksymalnej populacji planet o 2M na atak.

BIOWEAPON_2_NAME     | Bioterminator
BIOWEAPON_2_BRIEF    | Broń biologiczna
BIOWEAPON_2_DETAIL   | Potworna broń biologiczna zdolna do redukji maksymalnej populacji planet o 3M na atak.

//
// Black Hole Generator tech
//
BLACKHOLE_0_NAME     | Generator Czarnych Dziur
BLACKHOLE_0_DETAIL   | Tworzy pole zakrzywiające czas i przestrzeń powodując powstanie czarnej dziury niszczącej 25% do 100% wrogich statków lub baz rakietowych, minus 2% na klasę osłony.

//
// Bomb weapon tech
//
BOMB_0_NAME     | Bomba Nuklearna
BOMB_0_BRIEF    | Tylko do ataków naziemnych
BOMB_0_DETAIL   | Bomby, których eksplozja powoduje 3-12 punktów obrażeń u celów naziemnych.

BOMB_1_NAME     | Bomba Fuzyjna
BOMB_1_BRIEF    | Tylko do ataków naziemnych
BOMB_1_DETAIL   | Bomby, których eksplozja powoduje 5-20 punktów obrażeń u celów naziemnych.

BOMB_2_NAME     | Bomba Przeciwmaterii
BOMB_2_BRIEF    | Tylko do ataków naziemnych
BOMB_2_DETAIL   | Bomby, których eksplozja powoduje 10-40 punktów obrażeń u celów naziemnych.

BOMB_3_NAME     | Bomba Omega-V 
BOMB_3_BRIEF    | Tylko do ataków naziemnych
BOMB_3_DETAIL   | Bomby, których eksplozja powoduje 20-50 punktów obrażeń u celów naziemnych.

BOMB_4_NAME     | Bomba Neutronowa
BOMB_4_BRIEF    | Tylko do ataków naziemnych
BOMB_4_DETAIL   | Bomby, których eksplozja powoduje 40-70 punktów obrażeń u celów naziemnych.


//
// Cloaking tech
//
CLOAK_0_NAME     | Urządzenie Maskujące
CLOAK_0_BRIEF    | Czyni statek prawie całkowicie niewidzialnym
CLOAK_0_DETAIL   | Czyni statek prawie całkowicie niewidzialnym do momentu jego ataku, dodając 5 do obrony. Statki stają się widzialne w celu ataku oraz automatycznie stają się niewidzialne w trakcie rundy, w której nie zaatakują.


//
// Cloning tech
//
CLONE_0_NAME     | Klonowanie
CLONE_0_DETAIL   | Umożliwia klonowanie kolonistów kosztem 10 BC za 1M.

CLONE_1_NAME     | Zaawansowane Klonowanie
CLONE_1_DETAIL   | Umożliwia klonowanie kolonistów kosztem 5 BC za 1M.


//
// Combat Transporter tech
//
COMBATTRANSPORT_0_NAME     | Transporter Bitewny
COMBATTRANSPORT_0_DETAIL   | Transportery wyposażone w te urządzenia mają 50% szans na bezpieczne lądowanie przed wykryciem przez wrogie statki lub bazy rakietowe.


//
// Control Environment tech
//
CONTROLENV_0_NAME    | Kontrola Środowiska Typu Zwykłego
CONTROLENV_0_ITEM    | Baza Kolonii Standardowej
CONTROLENV_0_BRIEF   | Pozwala lądować na planetach Normalnych
CONTROLENV_0_DETAIL  | Umożliwia kolonizację standardowych planet.

CONTROLENV_1_NAME    | Kontrola Środowiska Typu Jałowego
CONTROLENV_1_ITEM    | Baza Kolonii Jałowej
CONTROLENV_1_BRIEF   | Pozwala lądować na planetach Jałowych
CONTROLENV_1_DETAIL  | Umożliwia kolonizację jałowych planet.

CONTROLENV_2_NAME    | Kontrola Środowiska Typu Tundra
CONTROLENV_2_ITEM    | Baza Kolonii Tundrowej
CONTROLENV_2_BRIEF   | Pozwala lądować na planetach Tundrowych
CONTROLENV_2_DETAIL  | Umożliwia kolonizację tundrowych planet.

CONTROLENV_3_NAME    | Kontrola Środowiska Typu Martwego
CONTROLENV_3_ITEM    | Baza Kolonii Martwej
CONTROLENV_3_BRIEF   | Pozwala lądować na planetach Martwych
CONTROLENV_3_DETAIL  | Umożliwia kolonizację martwych planet.

CONTROLENV_4_NAME    | Kontrola Środowiska Typu Inferno
CONTROLENV_4_ITEM    | Baza Kolonii Inferno
CONTROLENV_4_BRIEF   | Pozwala lądować na planetach Inferno
CONTROLENV_4_DETAIL  | Umożliwia kolonizację piekielnych planet.

CONTROLENV_5_NAME    | Kontrola Środowiska Toksycznego
CONTROLENV_5_ITEM    | Baza Kolonii Toksycznej
CONTROLENV_5_BRIEF   | Pozwala lądować na planetach Toksycznych
CONTROLENV_5_DETAIL  | Umożliwia kolonizację toksycznych planet.

CONTROLENV_6_NAME    | Kontrola Środowiska Typu Radiacja
CONTROLENV_6_ITEM    | Baza Kolonii Napromieniowanej
CONTROLENV_6_BRIEF   | Pozwala lądować na planetach Napromieniowanych
CONTROLENV_6_DETAIL  | Umożliwia kolonizację napromieniowanych planet.



//
// Deflector Shield tech
//
// this is the entry on Ship Design for selecting no deflector shield
DEFLECTOR_0_NAME      | 
DEFLECTOR_0_ITEM      |   
DEFLECTOR_0_BRIEF     |  
DEFLECTOR_0_DETAIL    | 

DEFLECTOR_1_NAME      | Tarcza Deflektorowa Klasy I
DEFLECTOR_1_ITEM      | Klasa I
DEFLECTOR_1_BRIEF     | Pochłania 1 uderzenie
DEFLECTOR_1_DETAIL    | Pochłania 1 pkt obrażeń z ataków.

DEFLECTOR_2_NAME      | Tarcza Deflektorowa Klasy II
DEFLECTOR_2_ITEM      | Klasa II
DEFLECTOR_2_BRIEF     | Pochłania 2 uderzenia
DEFLECTOR_2_DETAIL    | Pochłania 2 pkt obrażeń z ataków.

DEFLECTOR_3_NAME      | Tarcza Deflektorowa Klasy III
DEFLECTOR_3_ITEM      | Klasa III
DEFLECTOR_3_BRIEF     | Pochłania 3 uderzenia
DEFLECTOR_3_DETAIL    | Pochłania 3 pkt obrażeń z ataków.

DEFLECTOR_4_NAME      | Tarcza Deflektorowa Klasy IV
DEFLECTOR_4_ITEM      | Klasa IV
DEFLECTOR_4_BRIEF     | Pochłania 4 uderzenia
DEFLECTOR_4_DETAIL    | Pochłania 4 pkt obrażeń z ataków.

DEFLECTOR_5_NAME      | Tarcza Deflektorowa Klasy V
DEFLECTOR_5_ITEM      | Klasa V
DEFLECTOR_5_BRIEF     | Pochłania 5 uderzeń
DEFLECTOR_5_DETAIL    | Pochłania 5 pkt obrażeń z ataków.

DEFLECTOR_6_NAME      | Tarcza Deflektorowa Klasy VI
DEFLECTOR_6_ITEM      | Klasa VI
DEFLECTOR_6_BRIEF     | Pochłania 6 uderzeń
DEFLECTOR_6_DETAIL    | Pochłania 6 pkt obrażeń z ataków.

DEFLECTOR_7_NAME      | Tarcza Deflektorowa Klasy VII
DEFLECTOR_7_ITEM      | Klasa VII
DEFLECTOR_7_BRIEF     | Pochłania 7 uderzeń
DEFLECTOR_7_DETAIL    | Pochłania 7 pkt obrażeń z ataków.

DEFLECTOR_8_NAME      | Tarcza Deflektorowa Klasy IX
DEFLECTOR_8_ITEM      | Klasa IX
DEFLECTOR_8_BRIEF     | Pochłania 9 uderzeń
DEFLECTOR_8_DETAIL    | Pochłania 9 pkt obrażeń z ataków.

DEFLECTOR_9_NAME      | Tarcza Deflektorowa Klasy XI
DEFLECTOR_9_ITEM      | Klasa XI
DEFLECTOR_9_BRIEF     | Pochłania 11 uderzeń
DEFLECTOR_9_DETAIL    | Pochłania 11 pkt obrażeń z ataków.

DEFLECTOR_10_NAME     | Tarcza Deflektorowa Klasy XIII
DEFLECTOR_10_ITEM     | Klasa XIII
DEFLECTOR_10_BRIEF    | Pochłania 13 uderzeń
DEFLECTOR_10_DETAIL   | Pochłania 13 pkt obrażeń z ataków.

DEFLECTOR_11_NAME     | Tarcza Deflektorowa Klasy XV
DEFLECTOR_11_ITEM     | Klasa XV
DEFLECTOR_11_BRIEF    | Pochłania 15 uderzeń
DEFLECTOR_11_DETAIL   | Pochłania 15 pkt obrażeń z ataków.



//
// Displacement tech
//
DISPLACEMENT_0_NAME   | Urządzenie Unikowe
DISPLACEMENT_0_BRIEF  | Unikanie 1/3 wszystkich ataków
DISPLACEMENT_0_DETAIL | Losowo zmienia stan skupienia wyposażonych statków, pozwalając im na uniknięcie 1/3 wszystkich ataków nie będących atakami obszarowymi.


//
// ECM Jammer tech
//
// this is the entry on Ship Design for selecting no ECM Jammer
ECMJAMMER_0_NAME      | 
ECMJAMMER_0_ITEM      | 
ECMJAMMER_0_BRIEF     | Obrona przeciwrakietowa 0
ECMJAMMER_0_DETAIL    | 

ECMJAMMER_1_NAME      | Zakłócacz ECM Typ I
ECMJAMMER_1_ITEM      | Zakłócacz I
ECMJAMMER_1_BRIEF     | Obrona przeciwrakietowa 1
ECMJAMMER_1_DETAIL    | Dodaje 1 poziom do obrony przeciw wrogim atakom rakietowym.

ECMJAMMER_2_NAME      | Zakłócacz ECM Typ II
ECMJAMMER_2_ITEM      | Zakłócacz II
ECMJAMMER_2_BRIEF     | Obrona przeciwrakietowa 2
ECMJAMMER_2_DETAIL    | Dodaje 2 poziomy do obrony przeciw wrogim atakom rakietowym.

ECMJAMMER_3_NAME      | Zakłócacz ECM Typ III
ECMJAMMER_3_ITEM      | Zakłócacz III
ECMJAMMER_3_BRIEF     | Obrona przeciwrakietowa 3
ECMJAMMER_3_DETAIL    | Dodaje 3 poziomy do obrony przeciw wrogim atakom rakietowym.

ECMJAMMER_4_NAME      | Zakłócacz ECM Typ IV
ECMJAMMER_4_ITEM      | Zakłócacz IV
ECMJAMMER_4_BRIEF     | Obrona przeciwrakietowa 4
ECMJAMMER_4_DETAIL    | Dodaje 4 poziomy do obrony przeciw wrogim atakom rakietowym.

ECMJAMMER_5_NAME      | Zakłócacz ECM Typ V
ECMJAMMER_5_ITEM      | Zakłócacz V
ECMJAMMER_5_BRIEF     | Obrona przeciwrakietowa 5
ECMJAMMER_5_DETAIL    | Dodaje 5 poziomów do obrony przeciw wrogim atakom rakietowym.

ECMJAMMER_6_NAME      | Zakłócacz ECM Typ VI
ECMJAMMER_6_ITEM      | Zakłócacz VI
ECMJAMMER_6_BRIEF     | Obrona przeciwrakietowa 6
ECMJAMMER_6_DETAIL    | Dodaje 6 poziomów do obrony przeciw wrogim atakom rakietowym.

ECMJAMMER_7_NAME      | Zakłócacz ECM Typ VII
ECMJAMMER_7_ITEM      | Zakłócacz VII
ECMJAMMER_7_BRIEF     | Obrona przeciwrakietowa 7
ECMJAMMER_7_DETAIL    | Dodaje 7 poziomów do obrony przeciw wrogim atakom rakietowym.

ECMJAMMER_8_NAME      | Zakłócacz ECM Typ VIII
ECMJAMMER_8_ITEM      | Zakłócacz VIII
ECMJAMMER_8_BRIEF     | Obrona przeciwrakietowa 8
ECMJAMMER_8_DETAIL    | Dodaje 8 poziomów do obrony przeciw wrogim atakom rakietowym.

ECMJAMMER_9_NAME      | Zakłócacz ECM Typ IX
ECMJAMMER_9_ITEM      | Zakłócacz IX
ECMJAMMER_9_BRIEF     | Obrona przeciwrakietowa 9
ECMJAMMER_9_DETAIL    | Dodaje 9 poziomów do obrony przeciw wrogim atakom rakietowym.

ECMJAMMER_10_NAME     | Zakłócacz ECM Typ X
ECMJAMMER_10_ITEM     | Zakłócacz X
ECMJAMMER_10_BRIEF    | Obrona przeciwrakietowa 10
ECMJAMMER_10_DETAIL   | Dodaje 10 poziomów do obrony przeciw wrogim atakom rakietowym.



//
// Ecological Restoration techs
//
ECORESTORATION_0_NAME   | Odnowa Ekologiczna
ECORESTORATION_0_DETAIL | Eliminuje 2 jednostki odpadów przemysłowych kosztem 1 BC.

ECORESTORATION_1_NAME   | Ulepszona Odnowa Ekologiczna
ECORESTORATION_1_DETAIL | Eliminuje 3 jednostki odpadów przemysłowych kosztem 1 BC.

ECORESTORATION_2_NAME   | Wzmocniona Odnowa Ekologiczna
ECORESTORATION_2_DETAIL | Eliminuje 5 jednostki odpadów przemysłowych kosztem 1 BC.

ECORESTORATION_3_NAME   | Zaawansowana Odnowa Ekologiczna
ECORESTORATION_3_DETAIL | Eliminuje 10 jednostki odpadów przemysłowych kosztem 1 BC.

ECORESTORATION_4_NAME   | Kompletna Odnowa Ekologiczna
ECORESTORATION_4_DETAIL | Eliminuje 20 jednostki odpadów przemysłowych kosztem 1 BC.


//
// Energy Pulsar techs
//
PULSAR_0_NAME     | Pulsar Energetyczny
PULSAR_0_BRIEF    | Rozpręża się powodując 1-5 uderzeń
PULSAR_0_DETAIL   | Silna modyfikacja silnika generująca nagły sferyczny impuls energii, który uderza wszystkie pobliskie statki za 5 pkt obrażeń, +1 pkt na dwa statki.

PULSAR_1_NAME     | Pulsar Jonowy
PULSAR_1_BRIEF    | Rozpręża się powodując 2-10 uderzeń
PULSAR_1_DETAIL   | Potężna modyfikacja silnika generująca nagły sferyczny impuls energii, który uderza wszystkie pobliskie statki za 10 pkt obrażeń, +1 pkt na każdy atakujący statek.


//
// Engine techs
//
ENGINE_0_NAME    | Silnik Retro
ENGINE_0_DETAIL  | Przemieszcza statki z prędkością Warp %1 i umożliwia manewrowość klasy I w walce.
ENGINE_0_ITEM    | Retro
ENGINE_0_ITEM2   | Klasa 1
ENGINE_0_BRIEF   | Warp 1  Obrona %1
ENGINE_0_BRIEF2  | Szybkość Bitewna %1

ENGINE_1_NAME    | Silnik Nuklearny
ENGINE_1_DETAIL  | Przemieszcza statki z prędkością Warp %1 i umożliwia manewrowość klasy II w walce.
ENGINE_1_ITEM    | Nuklearny
ENGINE_1_ITEM2   | Klasa 2
ENGINE_1_BRIEF   | Warp 2  Obrona %1
ENGINE_1_BRIEF2  | Szybkość Bitewna %1

ENGINE_2_NAME    | Silnik Podświetlny
ENGINE_2_DETAIL  | Przemieszcza statki z prędkością Warp %1 i umożliwia manewrowość klasy III w walce.
ENGINE_2_ITEM    | Podświetlny
ENGINE_2_ITEM2   | Klasa 3
ENGINE_2_BRIEF   | Warp 3  Obrona %1
ENGINE_2_BRIEF2  | Szybkość Bitewna %1

ENGINE_3_NAME    | Silnik Fuzyjny
ENGINE_3_DETAIL  | Przemieszcza statki z prędkością Warp %1 i umożliwia manewrowość klasy IV w walce.
ENGINE_3_ITEM    | Fuzyjny
ENGINE_3_ITEM2   | Klasa 4
ENGINE_3_BRIEF   | Warp 4  Obrona %1
ENGINE_3_BRIEF2  | Szybkość Bitewna %1

ENGINE_4_NAME    | Silnik Impulsowy
ENGINE_4_DETAIL  | Przemieszcza statki z prędkością Warp %1 i umożliwia manewrowość klasy V w walce.
ENGINE_4_ITEM    | Impulsowy
ENGINE_4_ITEM2   | Klasa 5
ENGINE_4_BRIEF   | Warp 5  Obrona %1
ENGINE_4_BRIEF2  | Szybkość Bitewna %1

ENGINE_5_NAME    | Silnik Jonowy
ENGINE_5_DETAIL  | Przemieszcza statki z prędkością Warp %1 i umożliwia manewrowość klasy VI w walce.
ENGINE_5_ITEM    | Jonowy
ENGINE_5_ITEM2   | Klasa 6
ENGINE_5_BRIEF   | Warp 6  Obrona %1
ENGINE_5_BRIEF2  | Szybkość Bitewna %1

ENGINE_6_NAME    | Silnik Antymaterii
ENGINE_6_DETAIL  | Przemieszcza statki z prędkością Warp %1 i umożliwia manewrowość klasy VII w walce.
ENGINE_6_ITEM    | Antymateria
ENGINE_6_ITEM2   | Klasa 7
ENGINE_6_BRIEF   | Warp 7  Obrona %1
ENGINE_6_BRIEF2  | Szybkość Bitewna %1

ENGINE_7_NAME    | Silnik Międzyfazowy
ENGINE_7_DETAIL  | Przemieszcza statki z prędkością Warp %1 i umożliwia manewrowość klasy VIII w walce.
ENGINE_7_ITEM    | Międzyfazowy
ENGINE_7_ITEM2   | Klasa 8
ENGINE_7_BRIEF   | Warp 8  Obrona %1
ENGINE_7_BRIEF2  | Szybkość Bitewna %1

ENGINE_8_NAME    | Silnik Hiper
ENGINE_8_DETAIL  | Przemieszcza statki z prędkością Warp %1 i umożliwia manewrowość klasy IX w walce.
ENGINE_8_ITEM    | Hiper
ENGINE_8_ITEM2   | Klasa 9
ENGINE_8_BRIEF   | Warp 9  Obrona %1
ENGINE_8_BRIEF2  | Szybkość Bitewna %1


//
// Fuel Range techs
//
FUELRANGE_0_NAME   | Zbiorniki Paliwa
FUELRANGE_0_DETAIL | Rezerwy paliwa pozwalają statkom podróżować na odległość do %1 lat świetlnych od najbliższej kolonii.

FUELRANGE_1_NAME   | Ogniwa Paliwa Wodorowego
FUELRANGE_1_DETAIL | Rezerwy paliwa pozwalają statkom podróżować na odległość do %1 lat świetlnych od najbliższej kolonii.

FUELRANGE_2_NAME   | Ogniwa Paliwa Irydowego
FUELRANGE_2_DETAIL | Rezerwy paliwa pozwalają statkom podróżować na odległość do %1 lat świetlnych od najbliższej kolonii.

FUELRANGE_3_NAME   | Ogniwa Paliwa Irydowego
FUELRANGE_3_DETAIL | Rezerwy paliwa pozwalają statkom podróżować na odległość do %1 lat świetlnych od najbliższej kolonii.

FUELRANGE_4_NAME   | Kryształy Dotomitu
FUELRANGE_4_DETAIL | Rezerwy paliwa pozwalają statkom podróżować na odległość do %1 lat świetlnych od najbliższej kolonii.

FUELRANGE_5_NAME   | Ogniwa Paliwa Uridium
FUELRANGE_5_DETAIL | Rezerwy paliwa pozwalają statkom podróżować na odległość do %1 lat świetlnych od najbliższej kolonii.

FUELRANGE_6_NAME   | Ogniwa Paliwa Reajax II
FUELRANGE_6_DETAIL | Rezerwy paliwa pozwalają statkom podróżować na odległość do %1 lat świetlnych od najbliższej kolonii.

FUELRANGE_7_NAME   | Kryształy Trójlitium
FUELRANGE_7_DETAIL | Rezerwy paliwa pozwalają statkom podróżować na odległość do %1 lat świetlnych od najbliższej kolonii.

FUELRANGE_8_NAME   | Ogniwa Thorium
FUELRANGE_8_DETAIL | Rezerwy paliwa pozwalają statkom podróżować na dowolny dystans od najbliższej kolonii.


//
// Future Computer techs
//
FUTURECOMP_0_NAME    | Komputer Przyszłości I
FUTURECOMP_0_DETAIL  | Ogólne usprawnienia technologii komputerowych.

FUTURECOMP_1_NAME    | Komputer Przyszłości II
FUTURECOMP_1_DETAIL  | Ogólne usprawnienia technologii komputerowych.

FUTURECOMP_2_NAME    | Komputer Przyszłości III
FUTURECOMP_2_DETAIL  | Ogólne usprawnienia technologii komputerowych.

FUTURECOMP_3_NAME    | Komputer Przyszłości IV
FUTURECOMP_3_DETAIL  | Ogólne usprawnienia technologii komputerowych.

FUTURECOMP_4_NAME    | Komputer Przyszłości V
FUTURECOMP_4_DETAIL  | Ogólne usprawnienia technologii komputerowych.

FUTURECOMP_5_NAME    | Komputer Przyszłości VI
FUTURECOMP_5_DETAIL  | Ogólne usprawnienia technologii komputerowych.

FUTURECOMP_6_NAME    | Komputer Przyszłości VII
FUTURECOMP_6_DETAIL  | Ogólne usprawnienia technologii komputerowych.

FUTURECOMP_7_NAME    | Komputer Przyszłości VIII
FUTURECOMP_7_DETAIL  | Ogólne usprawnienia technologii komputerowych.

FUTURECOMP_8_NAME    | Komputer Przyszłości IX
FUTURECOMP_8_DETAIL  | Ogólne usprawnienia technologii komputerowych.

FUTURECOMP_9_NAME    | Komputer Przyszłości X
FUTURECOMP_9_DETAIL  | Ogólne usprawnienia technologii komputerowych.


//
// Future Construction techs
//
FUTURECONST_0_NAME    | Konstrukcja Przyszłości I
FUTURECONST_0_DETAIL  | Ogólne usprawnienia technologii konstrukcyjnych.

FUTURECONST_1_NAME    | Konstrukcja Przyszłości II
FUTURECONST_1_DETAIL  | Ogólne usprawnienia technologii konstrukcyjnych.

FUTURECONST_2_NAME    | Konstrukcja Przyszłości III
FUTURECONST_2_DETAIL  | Ogólne usprawnienia technologii konstrukcyjnych.

FUTURECONST_3_NAME    | Konstrukcja Przyszłości IV
FUTURECONST_3_DETAIL  | Ogólne usprawnienia technologii konstrukcyjnych.

FUTURECONST_4_NAME    | Konstrukcja Przyszłości V
FUTURECONST_4_DETAIL  | Ogólne usprawnienia technologii konstrukcyjnych.

FUTURECONST_5_NAME    | Konstrukcja Przyszłości VI
FUTURECONST_5_DETAIL  | Ogólne usprawnienia technologii konstrukcyjnych.

FUTURECONST_6_NAME    | Konstrukcja Przyszłości VII
FUTURECONST_6_DETAIL  | Ogólne usprawnienia technologii konstrukcyjnych.

FUTURECONST_7_NAME    | Konstrukcja Przyszłości VIII
