

//
// Armor techs
// 
ARMOR_0_NAME     | Θωράκιση Τιτανίου
COMPUTER_3_NAME    | Υπολογιστής Μάχης Βαθμού III
COMPUTER_3_ITEM    | Βαθμός III
COMPUTER_3_BRIEF   | Επίπεδο Επίθεσης III
COMPUTER_3_DETAIL  | Αυξάνει την ακρίβεια των όπλων στο Επίπεδο 3.

COMPUTER_4_NAME    | Υπολογιστής Μάχης Βαθμού IV
COMPUTER_4_ITEM    | Βαθμός IV
COMPUTER_4_BRIEF   | Επίπεδο Επίθεσης IV
COMPUTER_4_DETAIL  | Αυξάνει την ακρίβεια των όπλων στο Επίπεδο 4.

COMPUTER_5_NAME    | Υπολογιστής Μάχης Βαθμού V
COMPUTER_5_ITEM    | Βαθμός V
COMPUTER_5_BRIEF   | Επίπεδο Επίθεσης V
COMPUTER_5_DETAIL  | Αυξάνει την ακρίβεια των όπλων στο Επίπεδο 5.

COMPUTER_6_NAME    | Υπολογιστής Μάχης Βαθμού VI
COMPUTER_6_ITEM    | Βαθμός VI
COMPUTER_6_BRIEF   | Επίπεδο Επίθεσης VI
COMPUTER_6_DETAIL  | Αυξάνει την ακρίβεια των όπλων στο Επίπεδο 6.

COMPUTER_7_NAME    | Υπολογιστής Μάχης Βαθμού VII
COMPUTER_7_ITEM    | Βαθμός VII
COMPUTER_7_BRIEF   | Επίπεδο Επίθεσης VII
COMPUTER_7_DETAIL  | Αυξάνει την ακρίβεια των όπλων στο Επίπεδο 7.

COMPUTER_8_NAME    | Υπολογιστής Μάχης Βαθμού VIII
COMPUTER_8_ITEM    | Βαθμός VIII
COMPUTER_8_BRIEF   | Επίπεδο Επίθεσης VIII
COMPUTER_8_DETAIL  | Αυξάνει την ακρίβεια των όπλων στο Επίπεδο 8.

COMPUTER_9_NAME    | Υπολογιστής Μάχης Βαθμού IX
COMPUTER_9_ITEM    | Βαθμός IX
COMPUTER_9_BRIEF   | Επίπεδο Επίθεσης IX
COMPUTER_9_DETAIL  | Αυξάνει την ακρίβεια των όπλων στο Επίπεδο 9.

COMPUTER_10_NAME   | Υπολογιστής Μάχης Βαθμού X
COMPUTER_10_ITEM   | Βαθμός X
COMPUTER_10_BRIEF  | Επίπεδο Επίθεσης X
COMPUTER_10_DETAIL | Αυξάνει την ακρίβεια των όπλων στο Επίπεδο 10.

COMPUTER_11_NAME   | Υπολογιστής Μάχης Βαθμού XI
COMPUTER_11_ITEM   | Βαθμός XI
COMPUTER_11_BRIEF  | Επίπεδο Επίθεσης XI
COMPUTER_11_DETAIL | Αυξάνει την ακρίβεια των όπλων στο Επίπεδο 11.


//
// Battle Suit techs for ground combat
// 
// this is for default, no-bonus armor that player starts with
BATTLESUIT_0_NAME    | Θωράκιση
BATTLESUIT_0_DETAIL  |

BATTLESUIT_1_NAME    | Στολές Μάχης
BATTLESUIT_1_DETAIL  | Αρματωσιά που δεν προστατεύει μόνο, αλλά και αυξάνει τη δύναμη. Προσθέτει 10 σε όλες τις ζαριές μαχών εδάφους.

BATTLESUIT_2_NAME    | Θωρακισμένος Εξωσκελετός
BATTLESUIT_2_DETAIL  | Εξελιγμένες στολές ευκινησίας που δεν αυξάνουν απλώς την ισχύ και ενισχύουν την άμυνα, αλλά και προσφέρουν περιορισμένη ικανότητα πτήσης στους στρατούς εδάφους. Προσθέτει 20 σε όλες τις ζαριές μαχών εδάφους.

BATTLESUIT_3_NAME    | Πανοπλία Υπερισχύος
BATTLESUIT_3_DETAIL  | Συνδυάζει υψηλή ευκινησία, πτήση αντιβαρύτητας, και πλάκες βαρειάς θωράκισης στην πιο εξελιγμένη αρματωσιά που είναι διαθέσιμη για στρατούς εδάφους. Προσθέτει 30 σε όλες τις ζαριές μαχών εδάφους.


//
// Energy Focus techs for beam weapons
// 
BEAMFOCUS_0_NAME    | Ισχυρή Επικέντρωση Ενέργειας
BEAMFOCUS_0_BRIEF   | Προσθέτει +3 στην ακτίνα δράσης ενεργειακών όπων
BEAMFOCUS_0_DETAIL  | Αυξάνει την εμβέλεια πυρών όλων των ενεργειακών όπλων κατά τρείς μονάδες.

BEAMFOCUS_1_NAME    | Περιβάλλον Χρήσης Τύπου: Μαντείο
BEAMFOCUS_1_BRIEF   | Συμπυκνώνει ακτινικά όπλα, ασπίδα εχθρού στο ήμισυ
BEAMFOCUS_1_DETAIL  | Συντονίζει όλες τις επιθέσεις από ενεργειακά όπλα σε μία ταυτόχρονη έκρηξη συγκεντρωμένων πυρών, μειώνοντας κατά το ήμισυ την αντοχή των εχθρικών ασπίδων.


//
// Biological antidote techs 
// 
BIOANTIDOTE_0_NAME    | Αντίδοτο Βιο-Τοξινών
BIOANTIDOTE_0_DETAIL  | Μειώνει τις απώλειες που υφίστανται από τη χρήση βιολογικών όπλων κατά 1εκ. ανά επίθεση.

BIOANTIDOTE_1_NAME    | Καθολικό Αντίδοτο
BIOANTIDOTE_1_DETAIL  | Μειώνει τις απώλειες που υφίστανται από τη χρήση βιολογικών όπλων κατά 2εκ. ανά επίθεση.


//
// Biological weapon techs 
// 
BIOWEAPON_0_NAME     | Σπόροι Θανάτου
BIOWEAPON_0_BRIEF    | Βιολογικό Όπλο
BIOWEAPON_0_DETAIL   | Φρικτά βιολογικά όπλα με ικανότητα μείωσης του μέγιστου των πλανητικών πληθυσμών κατά 1εκ. ανά επίθεση.

BIOWEAPON_1_NAME     | Ιός της Αποκάλυψης
BIOWEAPON_1_BRIEF    | Βιολογικό Όπλο
BIOWEAPON_1_DETAIL   | Φοβερά βιολογικά όπλα με ικανότητα μείωσης πλανητικών πληθυσμών κατά 2εκ. ανά επίθεση.

BIOWEAPON_2_NAME     | Bio Terminator
BIOWEAPON_2_BRIEF    | Βιολογικό Όπλο
BIOWEAPON_2_DETAIL   | Απαίσια βιολογικά όπλα με ικανότητα μείωσης πλανητικών πληθυσμών κατά 3εκ. ανά επίθεση.

//
// Black Hole Generator tech
//
BLACKHOLE_0_NAME     | Γεννήτρια Μαύρων Οπών
BLACKHOLE_0_DETAIL   | Δημιουργεί ένα υπο-διαστημικό πεδίο που στρεβλώνει το κανονικό διάστημα, δημιουργώντας μια μαύρη οπή που καταστρέφει 25% έως 100% των εχθρικών σκαφών ή πυραυλικών βάσεων, μειωμένο κατά 2% ανά επίπεδο ασπίδας.


//
// Bomb weapon tech
//
BOMB_0_NAME     | Πυρηνική Βόμβα
BOMB_0_BRIEF    | Μόνο Επίγειες Επιθέσεις
BOMB_0_DETAIL   | Βόμβες που εκρήγνυνται για 3-12 πόντους ζημιών, μόνο εναντίων στόχων εδάφους.

BOMB_1_NAME     | Βόμβα Σύντηξης
BOMB_1_BRIEF    | Μόνο Επίγειες Επιθέσεις
BOMB_1_DETAIL   | Βόμβες που εκρήγνυνται για 5-20 πόντους ζημιών, μόνο εναντίων στόχων εδάφους.

BOMB_2_NAME     | Βόμβα Αντιύλης
BOMB_2_BRIEF    | Μόνο Επίγειες Επιθέσεις
BOMB_2_DETAIL   | Βόμβες που εκρήγνυνται για 10-40 πόντους ζημιών, μόνο εναντίων πλανητικών στόχων.

BOMB_3_NAME     | Βόμβα Ωμέγα-Β
BOMB_3_BRIEF    | Μόνο Επίγειες Επιθέσεις
BOMB_3_DETAIL   | Βόμβες που εκρήγνυνται για 20-50 πόντους ζημιών, μόνο εναντίων στόχων εδάφους.

BOMB_4_NAME     | Βόμβα Νετρονίων
BOMB_4_BRIEF    | Μόνο Επίγειες Επιθέσεις
BOMB_4_DETAIL   | Βόμβες που εκρήγνυνται για 40-70 πόντους ζημιών, μόνο εναντίων στόχων εδάφους.


//
// Cloaking tech
//
CLOAK_0_NAME     | Συσκευή Απόκρυψης
CLOAK_0_BRIEF    | Καθιστά το σκάφος σχεδόν αόρατο
CLOAK_0_DETAIL   | Καθιστά το σκάφος σχεδόν αόρατο μέχρι να επιτεθεί, βελτιώνοντας την άμυνα του κατά +5. Τα σκάφη πρέπει να άρουν την απόκρυψη για να επιτεθούν και περνούν ξανά σε κατάσταση απόκρυψης για κάθε γύρο που δεν επιτίθενται.


//
// Cloning tech
//
CLONE_0_NAME     | Κλωνοποίηση
CLONE_0_DETAIL   | Επιτρέπει βιο-κατασκευασμένους αποικιστές να καλλιεργούνται με ρυθμό 1 εκατομμυρίου ανά 10 ΔΙΣ.

CLONE_1_NAME     | Εξελιγμένη Κλωνοποίηση
CLONE_1_DETAIL   | Επιτρέπει βιο-κατασκευασμένους αποικιστές να καλλιεργούνται με ρυθμό 1 εκατομμυρίου ανά 5 ΔΙΣ.


//
// Combat Transporter tech
//
COMBATTRANSPORT_0_NAME     | Τηλεμεταφορέας Μάχης
COMBATTRANSPORT_0_DETAIL   | Μεταγωγικά εφοδιασμένα με αυτές τις συσκευές έχουν 50% πιθανότητες να τηλεμεταφερθούν στην επιφάνεια ξένων πλανητών πριν τους επιτεθούν εχθρικά σκάφη και αμυντικές πυραυλικές βάσεις.


//
// Control Environment tech
//
CONTROLENV_0_NAME    | Έλεγχος Κανονικού Περιβάλλοντος
CONTROLENV_0_ITEM    | Συνήθης Βάση Αποικισμού
CONTROLENV_0_BRIEF   | Αποβάσεις σε Κανονικούς Πλανήτες
CONTROLENV_0_DETAIL  | Επιτρέπει τον Αποικισμό Μη Εχθρικών Πλανητών.

CONTROLENV_1_NAME    | Έλεγχος Άγονου Περιβάλλοντος
CONTROLENV_1_ITEM    | Βάση Αποικ. Άγονου Πλανήτη
CONTROLENV_1_BRIEF   | Αποβάσεις σε Άγονους Πλανήτες
CONTROLENV_1_DETAIL  | Επιτρέπει τον Αποικισμό Άγονων και λιγότερο εχθρικών Πλανητών.

CONTROLENV_2_NAME    | Έλεγχος Περιβάλλοντος Τούντρας
CONTROLENV_2_ITEM    | Βάση Αποικ. Πλανήτη Τούντρα
CONTROLENV_2_BRIEF   | Αποβάσεις σε Πλανήτες Τούντρα
CONTROLENV_2_DETAIL  | Επιτρέπει τον Αποικισμό Πλανητών Τούντρα και λιγότερο εχθρικών.

CONTROLENV_3_NAME    | Έλεγχος Νεκρού Περιβάλλοντος
CONTROLENV_3_ITEM    | Βάση Αποικ. Νεκρού Πλανήτη
CONTROLENV_3_BRIEF   | Αποβάσεις σε Νεκρούς Πλανήτες
CONTROLENV_3_DETAIL  | Επιτρέπει τον Αποικισμό Νεκρών και λιγότερο εχθρικών Πλανητών.

CONTROLENV_4_NAME    | Έλεγχος Περιβάλλοντος Κολαστηρίου
CONTROLENV_4_ITEM    | Βάση Απκ. Πλαν Κολαστηρίου
CONTROLENV_4_BRIEF   | Αποβάσεις σε Πλανήτες Κολαστήριο
CONTROLENV_4_DETAIL  | Επιτρέπει τον Αποικισμό Πλανητών Κολαστηρίου και λιγότερο εχθρικών.

CONTROLENV_5_NAME    | Έλεγχος Τοξικού Περιβάλλοντος
CONTROLENV_5_ITEM    | Βάση Απκ. Τοξικού Πλανήτη
CONTROLENV_5_BRIEF   | Αποβάσεις σε Τοξικούς Πλανήτες
CONTROLENV_5_DETAIL  | Επιτρέπει τον Αποικισμό Τοξικών και λιγότερο εχθρικών Πλανητών.

CONTROLENV_6_NAME    | Έλεγχος Ραδιενεργού Περιβάλλοντος
CONTROLENV_6_ITEM    | Βάση Απκ. Ραδιενεργού Πλανήτη
CONTROLENV_6_BRIEF   | Αποβάσεις σε Ραδιενεργούς Πλανήτες
CONTROLENV_6_DETAIL  | Επιτρέπει τον Αποικισμό Ραδιενεργών και λιγότερο εχθρικών Πλανητών.


//
// Deflector Shield tech
//
// this is the entry on Ship Design for selecting no deflector shield
DEFLECTOR_0_NAME      | 
DEFLECTOR_0_ITEM      |   
DEFLECTOR_0_BRIEF     |  
DEFLECTOR_0_DETAIL    | 

DEFLECTOR_1_NAME      | Ασπίδες Εκτροπής Κλάσης Ι
DEFLECTOR_1_ITEM      | Κλάση I
DEFLECTOR_1_BRIEF     | Απορροφά 1 πλήγμα
DEFLECTOR_1_DETAIL    | Απορροφά 1 πόντο ζημιάς από όλες τις επιθέσεις.

DEFLECTOR_2_NAME      | Ασπίδες Εκτροπής Κλάσης ΙI
DEFLECTOR_2_ITEM      | Κλάση II
DEFLECTOR_2_BRIEF     | Απορροφά 2 πλήγματα
DEFLECTOR_2_DETAIL    | Απορροφά 2 πόντους ζημιάς από όλες τις επιθέσεις.

DEFLECTOR_3_NAME      | Ασπίδες Εκτροπής Κλάσης ΙII
DEFLECTOR_3_ITEM      | Κλάση III
DEFLECTOR_3_BRIEF     | Απορροφά 3 πλήγματα
DEFLECTOR_3_DETAIL    | Απορροφά 3 πόντους ζημιάς από όλες τις επιθέσεις.

DEFLECTOR_4_NAME      | Ασπίδες Εκτροπής Κλάσης ΙV
DEFLECTOR_4_ITEM      | Κλάση IV
DEFLECTOR_4_BRIEF     | Απορροφά 4 πλήγματα
DEFLECTOR_4_DETAIL    | Απορροφά 4 πόντους ζημιάς από όλες τις επιθέσεις.

DEFLECTOR_5_NAME      | Ασπίδες Εκτροπής Κλάσης V
DEFLECTOR_5_ITEM      | Κλάση V
DEFLECTOR_5_BRIEF     | Απορροφά 5 πλήγματα
DEFLECTOR_5_DETAIL    | Απορροφά 5 πόντους ζημιάς από όλες τις επιθέσεις.

DEFLECTOR_6_NAME      | Ασπίδες Εκτροπής Κλάσης VΙ
DEFLECTOR_6_ITEM      | Κλάση VI
DEFLECTOR_6_BRIEF     | Απορροφά 6 πλήγματα
DEFLECTOR_6_DETAIL    | Απορροφά 6 πόντους ζημιάς από όλες τις επιθέσεις.

DEFLECTOR_7_NAME      | Ασπίδες Εκτροπής Κλάσης VIΙ
DEFLECTOR_7_ITEM      | Κλάση VII
DEFLECTOR_7_BRIEF     | Απορροφά 7 πλήγματα
DEFLECTOR_7_DETAIL    | Απορροφά 7 πόντους ζημιάς από όλες τις επιθέσεις.

DEFLECTOR_8_NAME      | Ασπίδες Εκτροπής Κλάσης ΙX
DEFLECTOR_8_ITEM      | Κλάση IX
DEFLECTOR_8_BRIEF     | Απορροφά 9 πλήγματα
DEFLECTOR_8_DETAIL    | Απορροφά 9 πόντους ζημιάς από όλες τις επιθέσεις.

DEFLECTOR_9_NAME      | Ασπίδες Εκτροπής Κλάσης XΙ
DEFLECTOR_9_ITEM      | Κλάση XI
DEFLECTOR_9_BRIEF     | Απορροφά 11 πλήγματα
DEFLECTOR_9_DETAIL    | Απορροφά 11 πόντους ζημιάς από όλες τις επιθέσεις.

DEFLECTOR_10_NAME     | Ασπίδες Εκτροπής Κλάσης XIIΙ
DEFLECTOR_10_ITEM     | Κλάση XIII
DEFLECTOR_10_BRIEF    | Απορροφά 13 πλήγματα
DEFLECTOR_10_DETAIL   | Απορροφά 13 πόντους ζημιάς από όλες τις επιθέσεις.

DEFLECTOR_11_NAME     | Ασπίδες Εκτροπής Κλάσης XV
DEFLECTOR_11_ITEM     | Κλάση XV
DEFLECTOR_11_BRIEF    | Απορροφά 15 πλήγματα
DEFLECTOR_11_DETAIL   | Απορροφά 15 πόντους ζημιάς από όλες τις επιθέσεις.


//
// Displacement tech
//
DISPLACEMENT_0_NAME   | Συσκευή Μετατόπισης
DISPLACEMENT_0_BRIEF  | 1/3 από όλες τις εχθρικές επιθέσεις αστοχούν
DISPLACEMENT_0_DETAIL | Μετακινεί τυχαία τα εξοπλισμένα σκάφη εντός και εκτός του κανονικού διαστήματος, επιτρέποντας τους να αποφύγουν το 1/3 απο όλες τις επιθέσεις που δεν αφορούν επιθέσεις περιοχής.


//
// ECM Jammer tech
//
// this is the entry on Ship Design for selecting no ECM Jammer
//Το μεταφράζω ώς Παρεμβολέας Ηλεκτρονικών ΑντίΜετρων(ΗΑΜ).
ECMJAMMER_0_NAME      | 
ECMJAMMER_0_ITEM      | 
ECMJAMMER_0_BRIEF     | Πυραυλ Αμ 0
ECMJAMMER_0_DETAIL    | 

ECMJAMMER_1_NAME      | Παρεμβολέας ΗΑΜ Βαθμού I
ECMJAMMER_1_ITEM      | Παρεμβολέας I
ECMJAMMER_1_BRIEF     | Πυραυλ Αμ 1
ECMJAMMER_1_DETAIL    | Προσθέτει 1 επίπεδο στην άμυνα εναντίον πυραυλικών επιθέσεων.

ECMJAMMER_2_NAME      | Παρεμβολέας ΗΑΜ Βαθμού II
ECMJAMMER_2_ITEM      | Παρεμβολέας II
ECMJAMMER_2_BRIEF     | Πυραυλ Αμ 2
ECMJAMMER_2_DETAIL    | Προσθέτει 2 επίπεδα στην άμυνα εναντίον πυραυλικών επιθέσεων.

ECMJAMMER_3_NAME      | Παρεμβολέας ΗΑΜ Βαθμού III
ECMJAMMER_3_ITEM      | Παρεμβολέας III
ECMJAMMER_3_BRIEF     | Πυραυλ Αμ 3
ECMJAMMER_3_DETAIL    | Προσθέτει 3 επίπεδα στην άμυνα εναντίον πυραυλικών επιθέσεων.

ECMJAMMER_4_NAME      | Παρεμβολέας ΗΑΜ Βαθμού IV
ECMJAMMER_4_ITEM      | Παρεμβολέας IV
ECMJAMMER_4_BRIEF     | Πυραυλ Αμ 4
ECMJAMMER_4_DETAIL    | Προσθέτει 4 επίπεδα στην άμυνα εναντίον πυραυλικών επιθέσεων.

ECMJAMMER_5_NAME      | Παρεμβολέας ΗΑΜ Βαθμού V
ECMJAMMER_5_ITEM      | Παρεμβολέας V
ECMJAMMER_5_BRIEF     | Πυραυλ Αμ 5
ECMJAMMER_5_DETAIL    | Προσθέτει 5 επίπεδα στην άμυνα εναντίον πυραυλικών επιθέσεων.

ECMJAMMER_6_NAME      | Παρεμβολέας ΗΑΜ Βαθμού VI
ECMJAMMER_6_ITEM      | Παρεμβολέας VI
ECMJAMMER_6_BRIEF     | Πυραυλ Αμ 6
ECMJAMMER_6_DETAIL    | Προσθέτει 6 επίπεδα στην άμυνα εναντίον πυραυλικών επιθέσεων.

ECMJAMMER_7_NAME      | Παρεμβολέας ΗΑΜ Βαθμού VII
ECMJAMMER_7_ITEM      | Παρεμβολέας VII
ECMJAMMER_7_BRIEF     | Πυραυλ Αμ 7
ECMJAMMER_7_DETAIL    | Προσθέτει 7 επίπεδα στην άμυνα εναντίον πυραυλικών επιθέσεων.

ECMJAMMER_8_NAME      | Παρεμβολέας ΗΑΜ Βαθμού VIII
ECMJAMMER_8_ITEM      | Παρεμβολέας VIII
ECMJAMMER_8_BRIEF     | Πυραυλ Αμ 8
ECMJAMMER_8_DETAIL    | Προσθέτει 8 επίπεδα στην άμυνα εναντίον πυραυλικών επιθέσεων.

ECMJAMMER_9_NAME      | Παρεμβολέας ΗΑΜ Βαθμού IX
ECMJAMMER_9_ITEM      | Παρεμβολέας IX
ECMJAMMER_9_BRIEF     | Πυραυλ Αμ 9
ECMJAMMER_9_DETAIL    | Προσθέτει 9 επίπεδα στην άμυνα εναντίον πυραυλικών επιθέσεων.

ECMJAMMER_10_NAME     | Παρεμβολέας ΗΑΜ Βαθμού X
ECMJAMMER_10_ITEM     | Παρεμβολέας X
ECMJAMMER_10_BRIEF    | Πυραυλ Αμ 10
ECMJAMMER_10_DETAIL   | Προσθέτει 10 επίπεδα στην άμυνα εναντίον πυραυλικών επιθέσεων.


//
// Ecological Restoration techs
//
ECORESTORATION_0_NAME   | Οικολογική Αποκατάσταση
ECORESTORATION_0_DETAIL | Εξαλείφει 2 μονάδες βιομηχανικών αποβλήτων με κόστος 1 ΔΙΣ.

ECORESTORATION_1_NAME   | Βελτιωμένη Οικολογική Αποκατάσταση
ECORESTORATION_1_DETAIL | Εξαλείφει 3 μονάδες βιομηχανικών αποβλήτων με κόστος 1 ΔΙΣ.

ECORESTORATION_2_NAME   | Επαυξημένη Οικολογική Αποκατάσταση
ECORESTORATION_2_DETAIL | Εξαλείφει 5 μονάδες βιομηχανικών αποβλήτων με κόστος 1 ΔΙΣ.

ECORESTORATION_3_NAME   | Προηγμένη Οικολογική Αποκατάσταση
ECORESTORATION_3_DETAIL | Εξαλείφει 10 μονάδες βιομηχανικών αποβλήτων με κόστος 1 ΔΙΣ.

ECORESTORATION_4_NAME   | Πλήρης Οικολογική Αποκατάσταση
ECORESTORATION_4_DETAIL | Εξαλείφει 20 μονάδες βιομηχανικών αποβλήτων με κόστος 1 ΔΙΣ.


//
// Energy Pulsar techs
//
PULSAR_0_NAME     | Παλλόμενος Αστήρ
PULSAR_0_BRIEF    | Επεκτείνεται και προκαλεί 1-5 πλήγματα
PULSAR_0_DETAIL   | Μια δραστική τροποποίηση κινητήρα που παράγει μια ξαφνική σφαιρική έκρηξη ενέργειας που χτυπά όλα τα κοντινά σκάφη για έως 5 πόντους ζημιάς +1 ανά δύο σκάφη.

PULSAR_1_NAME     | Παλλόμενος Αστήρ Ιόντων
PULSAR_1_BRIEF    | Επεκτείνεται και προκαλεί 2-10 πλήγματα
PULSAR_1_DETAIL   | Μια ισχυρή τροποποίηση κινητήρα που παράγει μια ξαφνική σφαιρική έκρηξη συντονισμένης ενέργειας που χτυπά όλα τα κοντινά σκάφη για έως 10 πόντους ζημιάς +1 ανά επιτιθέμενο σκάφος.


//
// Engine techs
//
ENGINE_0_NAME    | Αναχρονιστικός Κινητήρας
ENGINE_0_DETAIL  | Κινεί τα σκάφη με Ταχύτητα Στρέβλωσης %1, και επιτρέπει μέγιστη κινητικότητα κλάσης I στη μάχη.
ENGINE_0_ITEM    | Αναχρονιστικός
ENGINE_0_ITEM2   | Κλάση 1
ENGINE_0_BRIEF   | Στρέβλωση 1  Αμ %1
ENGINE_0_BRIEF2  | Ταχύτητα Μάχης %1

ENGINE_1_NAME    | Πυρηνικός Κινητήρας
ENGINE_1_DETAIL  | Κινεί τα σκάφη με Ταχύτητα Στρέβλωσης %1, και επιτρέπει μέγιστη κινητικότητα κλάσης II στη μάχη.
ENGINE_1_ITEM    | Πυρηνικός
ENGINE_1_ITEM2   | Κλάση 2
ENGINE_1_BRIEF   | Στρέβλωση 2  Αμ %1
ENGINE_1_BRIEF2  | Ταχύτητα Μάχης %1

ENGINE_2_NAME    | Υποφωτικός Κινητήρας
ENGINE_2_DETAIL  | Κινεί τα σκάφη με Ταχύτητα Στρέβλωσης %1, και επιτρέπει μέγιστη κινητικότητα κλάσης III στη μάχη.
ENGINE_2_ITEM    | Υποφωτικός
ENGINE_2_ITEM2   | Κλάση 3
ENGINE_2_BRIEF   | Στρέβλωση 3  Αμ %1
ENGINE_2_BRIEF2  | Ταχύτητα Μάχης %1

ENGINE_3_NAME    | Κινητήρας Σύντηξης
ENGINE_3_DETAIL  | Κινεί τα σκάφη με Ταχύτητα Στρέβλωσης %1, και επιτρέπει μέγιστη κινητικότητα κλάσης IV στη μάχη.
ENGINE_3_ITEM    | Σύντηξης
ENGINE_3_ITEM2   | Κλάση 4
ENGINE_3_BRIEF   | Στρέβλωση 4  Αμ %1
ENGINE_3_BRIEF2  | Ταχύτητα Μάχης %1

ENGINE_4_NAME    | Κινητήρας Κρουστικού Παλμού 
ENGINE_4_DETAIL  | Κινεί τα σκάφη με Ταχύτητα Στρέβλωσης %1, και επιτρέπει μέγιστη κινητικότητα κλάσης V στη μάχη.
ENGINE_4_ITEM    | Κρουστικού Παλμού
ENGINE_4_ITEM2   | Κλάση 5
