//
// Dialogue that is not race-specific
//

DIPLO_TECH_REQUEST_MENU_01   | Jaki rodzaj technologii was interesuje?
DECLINE_SABOTAGE_01        | Co?! Oczekujecie że się zgodzimy kiedy jednocześnie niszczycie [target]?
DECLINE_SABOTAGE_01        | Kiedy przestaniecie sabotować [target], możemy rozważyć tę sprawę ponownie.

DECLINE_BUILDUP_01         | Nie będziemy o tym mówić, gdy gromadzicie statki w pobliżu naszych granic.
DECLINE_BUILDUP_01         | Usuńcie swoje statki z naszych granic, a rozważymy przyjęcie tej propozycji. Do tego czasu nie jesteśmy zainteresowani.
DECLINE_BUILDUP_01         | Wasze statki na naszych granicach nie stanowią dla nas zagrożenia. Odmawiamy jednak zawarcia umowy, dopóki one tam się znajdują.
DECLINE_BUILDUP_01         | Jeśli chcecie się układać z imperium znanym jako [my_empire] to wysyłajcie swoje statki aby zagrażały innym a nie nam.

DECLINE_ENCROACH_01        | Wasze floty wkraczają w przestrzeń rasy [my_race3]. Usuńcie je, to porozmawiamy.

DECLINE_SKIRMISH_01        | Atakujecie nasze statki bez prowokacji i oczekujecie, że się zgodzimy? Nie będziemy się układać.
DECLINE_SKIRMISH_01        | Nie możemy przyjąć oferty od kogoś, kto atakuje naszą flotę.
DECLINE_SKIRMISH_01        | Porozmawiamy jak tylko wasze floty przestaną atakować nasze.
DECLINE_SKIRMISH_01        | Jeśli chcecie się układać z imperium znanym jako [my_empire] to zostawcie nasze floty w spokoju.
DECLINE_SKIRMISH_01        | [my_nameTitle] [my_name] nie pochwala niszczenia naszych flot. Nie zgadzam się.

DECLINE_ATTACK_01          | Wasz nieuzasadniony atak na system [system] daje wam niewielkie pole do negocjacji.
DECLINE_ATTACK_01          | Nie zapomnieliśmy ataku na kolonię [system]. Nie ma mowy, żebyśmy się zgodzili.

DECLINE_INVASION_01        | Nie chcemy mieć do czynienia z rzeźnikami systemu [system]. Najpierw to zrekompensujcie.
DECLINE_INVASION_01        | Nasza krew w systemie [system] plami wasze słowa. Nie możemy przyjąć waszej oferty.
DECLINE_INVASION_01        | Nasza strata w systemie [system] woła o odpłatę. Ból, który czujemy, jest większy niż wasza oferta.

DECLINE_BIOWEAPONS_01      | Rasa [my_race3] nie będzie wchodzić w układy z kimś, kto użyłby broni biologicznej.
DECLINE_BIOWEAPONS_01      | Nie możemy układać się z kimś na tyle zdesperowanym, by używać broni biologicznej.
DECLINE_BIOWEAPONS_01      | Używacie broni, która wywołuje u nas niewyobrażalne przerażenie. Nie chcemy mieć nic do czynienia z takim szaleństwem.
DECLINE_BIOWEAPONS_01      | Bogowie brzydzą się tymi, którzy niszczą planety bronią biologiczną. Rasa [my_race3] nie może na to pozwolić.
DECLINE_BIOWEAPONS_01      | Ból zadawany nam przez waszą broń biologiczną wypełnia nasze uszy. Nie możemy wysłuchać waszej oferty.

DECLINE_ANNOYED_01         | Rasa [your_race3] dużo gada a mało robi. Męczy nas wasze gadanie.
DECLINE_ANNOYED_01         | [your_nameTitle] [your_name], testujesz naszą cierpliwość. Być może porozmawiamy później.
DECLINE_ANNOYED_01         | [my_nameTitle] [my_name] usłyszał dość. Porozmawiamy później.
DECLINE_ANNOYED_01         | Negocjacje nas męczą. Będziemy mogli porozmawiać później.
DECLINE_ANNOYED_01         | Te rozmowy do niczego nie prowadzą. Musimy odejść.
DECLINE_ANNOYED_02         | Żegnamy.
DECLINE_ANNOYED_03         | Ogromnie przepraszamy, [your_nameTitle] [your_name], ale inne obowiązki wzywają.
DECLINE_ANNOYED_03         | Proszę nam wybaczyć, ale nasz czas dobiegł końca.
DECLINE_ANNOYED_03         | Mamy mało czasu i wiele do zrobienia. Może porozmawiamy później.

DECLINE_TECH_TRADE_01      | Nie posiadacie technologii, która by nas interesowała.
DECLINE_TECH_TRADE_01      | Nie potrzebujemy zabawek rasy [your_race3].
DECLINE_TECH_TRADE_01      | Wasze prymitywne wynalazki nas nie interesują.
DECLINE_TECH_TRADE_01      | Rasa [my_race3] jest daleko poza waszą technologią.
DECLINE_TECH_TRADE_01      | [your_nameTitle] [your_name] tego nie potrzebuje.
DECLINE_TECH_TRADE_01      | [my_nameTitle] [my_name] nie jest zainteresowany waszą technologią.

OFFER_TECH_EXCHANGE_01     | Imperium znane jako [my_empire] bardzo potrzebuje technologii o nazwie [tech]. Być może jesteście skłonni wymienić ją na którąś z naszych?
OFFER_TECH_EXCHANGE_01     | Imperium znane jako [my_empire] wie, że poznaliście następujący sekret: [tech]. Czy możemy zaoferować wam w zamian nieco naszej technologii?
OFFER_TECH_EXCHANGE_01     | [my_nameTitle] [my_name] z imperium znanego jako [my_empire] chciałby poznać tajniki technologii o nazwie [tech]. Czy wymienicie je na jeden z naszych?
OFFER_TECH_EXCHANGE_01     | Jestem zachwycony naukowymi cudami rasy [your_race3] a szczególnie technologią nazwie [tech]. Co możemy zaoferować wam za jej sekret?

ACCEPT_TECH_EXCHANGE_01    | Doskonale. [my_nameTitle] [my_name] zgadza się wymienić cudowne sekrety rasy [my_race3] o nazwie [techGiven] na [techReceived].
ACCEPT_FINANCIAL_AID_01    | [my_nameTitle] [my_name] przyjmuje wasz dar w wysokości [amt] BC.
ACCEPT_TECHNOLOGY_AID_01   | [my_nameTitle] [my_name] przyjmuje wasz dar w postaci technologii o nazwie [tech].

BREAK_TRADE_01             | [my_race] nie mają dalszego zapotrzebowania na towary handlowe od imperium znanego jako [your_empire].
ANNOUNCE_TRADE_01          | Od [year], imperia znane jako [my_empire] i [your_empire] zgadzają się na wymianę handlową [amt] BC rocznie.

ANNOUNCE_PEACE_01          | W roku [year], rasa [my_race3] i [your_race3] zgadzają się zakończyć wszelkie działania wojenne.
ANNOUNCE_PEACE_01          | [my_nameTitle] [my_name] rozkazuje niniejszym zakończyć wszelkie działania wojenne między wami a mną.
ACCEPT_PEACE_01            | Zgadzamy się, że nadszedł czas aby zakończyć nasze drobne sprzeczki.
ACCEPT_PEACE_01            | Przyjmujemy waszą ofertę pokoju. Wstrzymajcie ogień w stronę rasy [my_race3], a my przestaniemy atakować wasze siły.
ACCEPT_PEACE_01            | Męczą nas te bezsensowne zniszczenia a więc zgoda. Imperium [my_empire] pragnie tylko pokoju.

BREAK_PACT_01              | Ostrzeżenie od [my_race3] dla imperium znanego jako [your_empire]: nasz Pakt o Nieagresji został złamany!
ANNOUNCE_PACT_01           | W roku [year] imperium znane jako [your_empire] zobowiązuje się przestrzegać Paktu o Nieagresji i nie atakować flot rasy [your_race3], chyba że będą one orbitować wokół jednej z naszych kolonii.
ACCEPT_PACT_01             | Imperium  [my_empire] zgadza się na Pakt o Nieagresji. Żadna ze stron nie będzie atakować flot drugiej, chyba że ta wejdzie na orbitę kolonii przeciwnika.
ACCEPT_PACT_01             | Jeśli zgodzicie się nie wysyłać flot do naszych kolonii, rasa [my_race3] zobowiązuje się nie atakować żadnego z waszych statków.
ACCEPT_PACT_01             | [my_nameTitle] [my_name] zgadza się na proponowany przez was Pakt o Nieagresji. Jak zostało zapisane, tak się stanie!
ACCEPT_PACT_01             | A zatem zgoda. Dopóki nie zaatakujecie naszych kolonii, mocarstwo znane jako [my_empire] będzie przestrzegać Paktu o Nieagresji.

BREAK_ALLIANCE_01          | Sojusz pomiędzy imperiami znanymi jako [my_empire] a [your_empire] nie może dłużej istnieć.
ANNOUNCE_ALLIANCE_01       | W roku [year] imperia znane jako [my_empire] i [your_empire] zgadzają się zawrzeć sojusz, w którym żadna ze stron nie będzie atakować flot ani kolonii drugiej strony.
ANNOUNCE_ALLIANCE_01       | Tak oto nasz Sojusz został zawarty. Wasze statki mogą odwiedzać nasze kolonie kiedy tylko zechcecie i pobierać paliwo z naszych baz.
ACCEPT_ALLIANCE_01         | [my_nameTitle] [my_name] cieszy się z Sojuszu z naszym dobrym przyjacielem o imieniu [your_nameTitle] [your_name].
ACCEPT_ALLIANCE_01         | [my_empire] i [your_empire] zawierają dziś Sojusz. Śmierć naszym wrogom!
ACCEPT_ALLIANCE_01         | [my_nameTitle] [my_name] widzi mądrość w Sojuszu z imperium znanym jako [your_empire]. Niech tak będzie!

OFFER_JOINT_WAR_01         | Nadszedł czas na połączenie siły imperiów znanych jako [your_empire] oraz [my_empire] w wojnie przeciwko rasie [other_race3].
ACCEPT_JOINT_WAR_01        | Imperium znane jako [other_empire] musi upaść przed połączonymi siłami imperiów znanych jako [your_empire] oraz [my_empire].
ACCEPT_JOINT_WAR_01        | Kiedy rasy [my_race3] i [your_race3] są sojusznikami, [other_race] will not last long.
ACCEPT_JOINT_WAR_01        | W roku [year], [my_empire] oraz [your_empire] połączyły siły aby pozbyć się z galaktyki zagrożenia w postaci rasy [other_race3].
COUNTER_JOINT_WAR_01       | Dołączymy w waszej wojnie przeciwko imperium znanemu jako [other_empire] w zamian za następującą rekompensatę:
RESPOND_CLOSE_EMBASSY_01   | Niech będzie i tak. Nasze imperia nie będą więcej negocjować.

RESPOND_BREAK_TRADE_01     | Zapamiętamy to.
RESPOND_BREAK_TRADE_01     | A więc [your_nameTitle] [your_name] nie jest w stanie dotrzymać danego słowa. Nie zapomnimy tego.

RESPOND_BREAK_PACT_01      | Wyryjemy słowa twoich złamanych traktatów na Twoim nagrobku, liderze znany jako [your_nameTitle] [your_name].
RESPOND_BREAK_PACT_01      | Mocarstwo znane jako [your_empire] zostanie pogrzebane pod ciężarem swoich własnych złamanych obietnic.

RESPOND_BREAK_ALLIANCE_01  | Zhańbiliście umowę. Sojusz zostaje zerwany.
RESPOND_BREAK_ALLIANCE_01  | Bardzo dobrze. Wasze niegodne zaufania intencje zostały ujawnione. Sojusz zostaje zerwany.
RESPOND_BREAK_ALLIANCE_01  | Nie potrzebujemy traktatów, które nie są honorowane. Sojusz zostaje zerwany.
RESPOND_BREAK_ALLIANCE_01  | Niech będzie i tak. Sojusz zostaje zerwany.
