

//
// Armor techs
// 
ARMOR_0_NAME     | Титанијум Оклоп
ECMJAMMER_1_BRIEF     | Ракетна Одб 1
ECMJAMMER_1_DETAIL    | Додаје 1 ниво одбране против непријатељских ракетних напада.

ECMJAMMER_2_NAME      | ЕПМ Ометач Серија II
ECMJAMMER_2_ITEM      | Ометач II
ECMJAMMER_2_BRIEF     | Ракетна Одб 2
ECMJAMMER_2_DETAIL    | Додаје 2 нивоа одбране против непријатељских ракетних напада. 

ECMJAMMER_3_NAME      | ЕПМ Ометач Серија III
ECMJAMMER_3_ITEM      | Ометач III
ECMJAMMER_3_BRIEF     | Ракетна Одб 3
ECMJAMMER_3_DETAIL    | Додаје 3 нивоа одбране против непријатељских ракетних напада.

ECMJAMMER_4_NAME      | ЕПМ Ометач Серија IV
ECMJAMMER_4_ITEM      | Ометач IV
ECMJAMMER_4_BRIEF     | Ракетна Одб 4
ECMJAMMER_4_DETAIL    | Додаје 4 нивоа одбране против непријатељских ракетних напада.

ECMJAMMER_5_NAME      | ЕПМ Ометач Серија V
ECMJAMMER_5_ITEM      | Ометач V
ECMJAMMER_5_BRIEF     | Ракетна Одб 5
ECMJAMMER_5_DETAIL    | Додаје 5 нивоа одбране против непријатељских ракетних напада.

ECMJAMMER_6_NAME      | ЕПМ Ометач Серија VI
ECMJAMMER_6_ITEM      | Ометач VI
ECMJAMMER_6_BRIEF     | Ракетна Одб 6
ECMJAMMER_6_DETAIL    | Додаје 6 нивоа одбране против непријатељских ракетних напада.

ECMJAMMER_7_NAME      | ЕПМ Ометач Серија VII
ECMJAMMER_7_ITEM      | Ометач VII
ECMJAMMER_7_BRIEF     | Ракетна Одб 7
ECMJAMMER_7_DETAIL    | Додаје 7 нивоа одбране против непријатељских ракетних напада.

ECMJAMMER_8_NAME      | ЕПМ Ометач Серија VIII
ECMJAMMER_8_ITEM      | Ометач VIII
ECMJAMMER_8_BRIEF     | Ракетна Одб 8
ECMJAMMER_8_DETAIL    | Додаје 8 нивоа одбране против непријатељских ракетних напада.

ECMJAMMER_9_NAME      | ЕПМ Ометач Серија IX
ECMJAMMER_9_ITEM      | Ометач IX
ECMJAMMER_9_BRIEF     | Ракетна Одб 9
ECMJAMMER_9_DETAIL    | Додаје 9 нивоа одбране против непријатељских ракетних напада.

ECMJAMMER_10_NAME     | ЕПМ Ометач Серија X
ECMJAMMER_10_ITEM     | Ометач X
ECMJAMMER_10_BRIEF    | Ракетна Одб 10
ECMJAMMER_10_DETAIL   | Додаје 10 нивоа одбране против непријатељских ракетних напада.


//
// Ecological Restoration techs
//
ECORESTORATION_0_NAME   | Еколошка Ресторација
ECORESTORATION_0_DETAIL | Елиминише 2 јединице индустријског отпада по цени од 1 МК.

ECORESTORATION_1_NAME   | Побољшана Еко Ресторација
ECORESTORATION_1_DETAIL | Елиминише 3 јединице индустријског отпада по цени од 1 МК.

ECORESTORATION_2_NAME   | Унапређена Еко Ресторација
ECORESTORATION_2_DETAIL | Елиминише 5 јединица индустријског отпада по цени од 1 МК.

ECORESTORATION_3_NAME   | Напредна Еко Ресторација
ECORESTORATION_3_DETAIL | Елиминише 10 јединица индустријског отпада по цени од 1 МК.

ECORESTORATION_4_NAME   | Комплетна Еко Ресторација
ECORESTORATION_4_DETAIL | Елиминише 20 јединица индустријског отпада по цени од 1 МК.


//
// Energy Pulsar techs
//
PULSAR_0_NAME     | Енергетски Пулсар
PULSAR_0_BRIEF    | Проширује се и штети 1-5 поена
PULSAR_0_DETAIL   | Снажна модификација мотора која генерише изненадни сферни налет енергије који погађа све суседне бродове за до 5 поена оштећења, +1 за свака два брода.

PULSAR_1_NAME     | Јонски Пулсар
PULSAR_1_BRIEF    | Проширује се и штети 2-10 поена
PULSAR_1_DETAIL   | Снажна модификација мотора која генерише изненадни сферни налет енергије који погађа све суседне бродове за до 5 поена оштећења, +1 за сваки брод.


//
// Engine techs
//
ENGINE_0_NAME    | Ретро Мотори 
ENGINE_0_DETAIL  | Покреће бродове хипербрзином %1, и омогућава максимало маневрисање класе I у борби.
ENGINE_0_ITEM    | Ретро
ENGINE_0_ITEM2   | Класа 1
ENGINE_0_BRIEF   | Хипербрзина 1  Одб %1
ENGINE_0_BRIEF2  | Борбена Брзина %1

ENGINE_1_NAME    | Нуклеарни Мотори 
ENGINE_1_DETAIL  | Покреће бродове хипербрзином %1, и омогућава максимало маневрисање класе II у борби.
ENGINE_1_ITEM    | Нуклеарни
ENGINE_1_ITEM2   | Класа 2
ENGINE_1_BRIEF   | Хипербрзина 2  Одб %1
ENGINE_1_BRIEF2  | Борбена Брзина %1

ENGINE_2_NAME    | Под-Просторни Погон 
ENGINE_2_DETAIL  | Покреће бродове хипербрзином %1, и омогућава максимало маневрисање класе III у борби.
ENGINE_2_ITEM    | ПодПросторни
ENGINE_2_ITEM2   | Класа 3
ENGINE_2_BRIEF   | Хипербрзина 3  Одб %1
ENGINE_2_BRIEF2  | Борбена Брзина %1

ENGINE_3_NAME    | Фузиони Погон 
ENGINE_3_DETAIL  | Покреће бродове хипербрзином %1, и омогућава максимало маневрисање класе IV у борби.
ENGINE_3_ITEM    | Фузиони
ENGINE_3_ITEM2   | Класа 4
ENGINE_3_BRIEF   | Хипербрзина 4  Одб %1
ENGINE_3_BRIEF2  | Борбена Брзина %1

ENGINE_4_NAME    | Импулс Мотори 
ENGINE_4_DETAIL  | Покреће бродове хипербрзином %1, и омогућава максимало маневрисање класе V у борби.
ENGINE_4_ITEM    | Импулс
ENGINE_4_ITEM2   | Класа 5
ENGINE_4_BRIEF   | Хипербрзина 5  Одб %1
ENGINE_4_BRIEF2  | Борбена Брзина %1

ENGINE_5_NAME    | Јонски Погон 
ENGINE_5_DETAIL  | Покреће бродове хипербрзином %1, и омогућава максимало маневрисање класе VI у борби.
ENGINE_5_ITEM    | Јонски
ENGINE_5_ITEM2   | Класа 6
ENGINE_5_BRIEF   | Хипербрзина 6  Одб %1
ENGINE_5_BRIEF2  | Борбена Брзина %1

ENGINE_6_NAME    | Анти-Материјски Мотори
ENGINE_6_DETAIL  | Покреће бродове хипербрзином %1, и омогућава максимало маневрисање класе VII у борби.
ENGINE_6_ITEM    | Анти-Материјски
ENGINE_6_ITEM2   | Класа 7
ENGINE_6_BRIEF   | Хипербрзина 7  Одб %1
ENGINE_6_BRIEF2  | Борбена Брзина %1

ENGINE_7_NAME    | Међу-Фазни Погон
ENGINE_7_DETAIL  | Покреће бродове хипербрзином %1, и омогућава максимало маневрисање класе VIII у борби.
ENGINE_7_ITEM    | Међу-Фазни
ENGINE_7_ITEM2   | Класа 8
ENGINE_7_BRIEF   | Хипербрзина 8  Одб %1
ENGINE_7_BRIEF2  | Борбена Брзина %1

ENGINE_8_NAME    | Хипер Погон
ENGINE_8_DETAIL  | Покреће бродове хипербрзином %1, и омогућава максимало маневрисање класе IX у борби.
ENGINE_8_ITEM    | Хипер
ENGINE_8_ITEM2   | Класа 9
ENGINE_8_BRIEF   | Хипербрзина 9  Одб %1
ENGINE_8_BRIEF2  | Борбена Брзина %1


//
// Fuel Range techs
//
FUELRANGE_0_NAME   | Горивне Ћелије
FUELRANGE_0_DETAIL | Резерве горива омогућавају бродовима да се удаље до %1 светлосних година од колонизованих планета .

FUELRANGE_1_NAME   | Хидрогенске Горивне Ћелије
FUELRANGE_1_DETAIL | Резерве горива омогућавају бродовима да се удаље до %1 светлосних година од колонизованих планета .

FUELRANGE_2_NAME   | Деутеријумске Горивне Ћелије
FUELRANGE_2_DETAIL | Резерве горива омогућавају бродовима да се удаље до %1 светлосних година од колонизованих планета .

FUELRANGE_3_NAME   | Иридијумске Горивне Ћелије
FUELRANGE_3_DETAIL | Резерве горива омогућавају бродовима да се удаље до %1 светлосних година од колонизованих планета .

FUELRANGE_4_NAME   | Доломитске Crystals
FUELRANGE_4_DETAIL | Резерве горива омогућавају бродовима да се удаље до %1 светлосних година од колонизованих планета .

FUELRANGE_5_NAME   | Уридијумске Горивне Ћелије
FUELRANGE_5_DETAIL | Резерве горива омогућавају бродовима да се удаље до %1 светлосних година од колонизованих планета .

FUELRANGE_6_NAME   | Рејџакс II Горивне Ћелије
FUELRANGE_6_DETAIL | Резерве горива омогућавају бродовима да се удаље до %1 светлосних година од колонизованих планета .

FUELRANGE_7_NAME   | Трилитијумски Кристали
FUELRANGE_7_DETAIL | Резерве горива омогућавају бродовима да се удаље до %1 светлосних година од колонизованих планета .

FUELRANGE_8_NAME   | Торијумске Ћелије
FUELRANGE_8_DETAIL | Резерве горива омогућавају бродовима да се крећу на било којој удаљености од колонизованих планета.


//
// Future Computer techs
//
FUTURECOMP_0_NAME    | Будући Рачунари I
FUTURECOMP_0_DETAIL  | Општа Побољшања Рачунарских Технологија.

FUTURECOMP_1_NAME    | Будући Рачунари II
FUTURECOMP_1_DETAIL  | Општа Побољшања Рачунарских Технологија.

FUTURECOMP_2_NAME    | Будући Рачунари III
FUTURECOMP_2_DETAIL  | Општа Побољшања Рачунарских Технологија.

FUTURECOMP_3_NAME    | Будући Рачунари IV
FUTURECOMP_3_DETAIL  | Општа Побољшања Рачунарских Технологија.

FUTURECOMP_4_NAME    | Будући Рачунари V
FUTURECOMP_4_DETAIL  | Општа Побољшања Рачунарских Технологија.

FUTURECOMP_5_NAME    | Будући Рачунари VI
FUTURECOMP_5_DETAIL  | Општа Побољшања Рачунарских Технологија.

FUTURECOMP_6_NAME    | Будући Рачунари VII
FUTURECOMP_6_DETAIL  | Општа Побољшања Рачунарских Технологија.

FUTURECOMP_7_NAME    | Будући Рачунари VIII
FUTURECOMP_7_DETAIL  | Општа Побољшања Рачунарских Технологија.

FUTURECOMP_8_NAME    | Будући Рачунари IX
FUTURECOMP_8_DETAIL  | Општа Побољшања Рачунарских Технологија.

FUTURECOMP_9_NAME    | Будући Рачунари X
FUTURECOMP_9_DETAIL  | Општа Побољшања Рачунарских Технологија. 


//
// Future Construction techs
//
FUTURECONST_0_NAME    | Будућа Конструкција I
FUTURECONST_0_DETAIL  | Општа Побољшања Технологија Конструкције.

FUTURECONST_1_NAME    | Будућа Конструкција II
FUTURECONST_1_DETAIL  | Општа Побољшања Технологија Конструкције.

FUTURECONST_2_NAME    | Будућа Конструкција III
FUTURECONST_2_DETAIL  | Општа Побољшања Технологија Конструкције.

FUTURECONST_3_NAME    | Будућа Конструкција IV
FUTURECONST_3_DETAIL  | Општа Побољшања Технологија Конструкције.

FUTURECONST_4_NAME    | Будућа Конструкција V
FUTURECONST_4_DETAIL  | Општа Побољшања Технологија Конструкције.

FUTURECONST_5_NAME    | Будућа Конструкција VI
FUTURECONST_5_DETAIL  | Општа Побољшања Технологија Конструкције.

FUTURECONST_6_NAME    | Будућа Конструкција VII
FUTURECONST_6_DETAIL  | Општа Побољшања Технологија Конструкције.

FUTURECONST_7_NAME    | Будућа Конструкција VIII
FUTURECONST_7_DETAIL  | Општа Побољшања Технологија Конструкције.

FUTURECONST_8_NAME    | Будућа Конструкција IX
FUTURECONST_8_DETAIL  | Општа Побољшања Технологија Конструкције.

FUTURECONST_9_NAME    | Будућа Конструкција X
FUTURECONST_9_DETAIL  | Општа Побољшања Технологија Конструкције. 


//
// Future Force Field techs
//
FUTUREFORCE_0_NAME    | Будућа Поља Силе I
FUTUREFORCE_0_DETAIL  | Општа Побољшања Технологија Поља Силе.

FUTUREFORCE_1_NAME    | Будућа Поља Силе II
FUTUREFORCE_1_DETAIL  | Општа Побољшања Технологија Поља Силе.

FUTUREFORCE_2_NAME    | Будућа Поља Силе III
FUTUREFORCE_2_DETAIL  | Општа Побољшања Технологија Поља Силе.

FUTUREFORCE_3_NAME    | Будућа Поља Силе IV
FUTUREFORCE_3_DETAIL  | Општа Побољшања Технологија Поља Силе.

FUTUREFORCE_4_NAME    | Будућа Поља Силе V
FUTUREFORCE_4_DETAIL  | Општа Побољшања Технологија Поља Силе.

FUTUREFORCE_5_NAME    | Будућа Поља Силе VI
FUTUREFORCE_5_DETAIL  | Општа Побољшања Технологија Поља Силе.

FUTUREFORCE_6_NAME    | Будућа Поља Силе VII
FUTUREFORCE_6_DETAIL  | Општа Побољшања Технологија Поља Силе.

FUTUREFORCE_7_NAME    | Будућа Поља Силе VIII
