//
// Dialogue that is not race-specific
//

DIPLO_TECH_REQUEST_MENU_01   | Која технологија вас занима?
ANNOUNCE_PEACE_01          | Године [year] [my_raceSka] и [your_raceSka] империја се слажу да прекину све нападе.
ANNOUNCE_PEACE_01          | [my_nameTitle] [my_name] овиме наређује да се сви напади окончају између наших империја.
ACCEPT_PEACE_01            | Слажемо се да је дошло време да окончамо наше ситне препирке.
ACCEPT_PEACE_01            | Прихватамо вашу понуду за мир. Прекините нападе на [my_raceSke] снаге, и ми ћемо престати да нападамо ваше.
ACCEPT_PEACE_01            | Уморни смо од овог бесмисленог уништавања. [my_empire] прихвата вашу понуду мира.

BREAK_PACT_01              | Шаљемо упозорење [your_empireStvu] од [my_raceIja]: наш уговор о ненападању је истекао!
ANNOUNCE_PACT_01           | Године [year] [my_empire] се обавезује да ће се придржавати уговора о ненападању и да неће нападати [your_raceSke] флоте осим ако нису у орбити наших колонија.
ACCEPT_PACT_01             | [my_empire] прихвата уговор о ненападању. Ниједна страна неће нападати туђе флоте, осим ако не орбитирају неку од туђих колонија.
ACCEPT_PACT_01             | Ако се слажете да не шаљете ваше бродове на наше колоније, [my_raceSki] народ се заклиње да неће нападати ваше бродове.
ACCEPT_PACT_01             | [my_nameTitle] [my_name] прихвата ваш предлог уговора о ненапдањз. Тако је записано и нека тако и буде!
ACCEPT_PACT_01             | Договорено, онда. Док год не нападате наше колоније, [my_empire] придржаваће се уговора о ненападању.

BREAK_ALLIANCE_01          | [my_empire] више не може да одржава савез са [your_empireStvom].
ANNOUNCE_ALLIANCE_01       | Године [year] [my_empire] и [your_empire] се договарају да склопе сазвес где неће нападати једни другима бродове или колоније.
ANNOUNCE_ALLIANCE_01       | Дакле, наш савез је искован. Ваши бродови могу посећивати наше колоније по вашој жељи и допуњавати гориво из наших база.
ACCEPT_ALLIANCE_01         | [my_nameTitle] [my_name] поздравља савез са нашим добрим пријатељем, [your_nameTitle] [your_name].
ACCEPT_ALLIANCE_01         | [my_empire] и [your_empire] данас склапа савез између наших народа. Смрт нашим непријатељима!
ACCEPT_ALLIANCE_01         | [my_nameTitle] [my_name] препознаје мудрост одлуке да склопи савез са [your_empireStvom]. Нека тако буде!

OFFER_JOINT_WAR_01         | Дошло је време да се [your_empire] и [my_empire] уједине у рату против [other_raceIja].
ACCEPT_JOINT_WAR_01        | [other_empire] мора да падне пред комбинованом моћи [my_empireStva] и [your_empireStva].
ACCEPT_JOINT_WAR_01        | Док су [my_race_plural] и [your_race_plural] уједињени, [other_race_plural] неће дуго истрајати.
ACCEPT_JOINT_WAR_01        | Године [year], [my_empire] и [your_empire] удружују снаге да би се ослободили галаксију од [other_raceSke] опасности.
COUNTER_JOINT_WAR_01       | Придружићемо вам се у рату против [other_empireStva] у замену за следећу компензацију:
RESPOND_CLOSE_EMBASSY_01   | Нека тако буде. Неће бити даљих разговора између наших империја. 

RESPOND_BREAK_TRADE_01     | Запамтићемо вам ово.
RESPOND_BREAK_TRADE_01     | Значи, [your_nameTitle] [your_name], не можете да одржите вашу реч. Нећемо вам ово заборавити.

RESPOND_BREAK_PACT_01      | Урезаћемо речи ваших прекршених уговора на ваш надгробни споменик, [your_nameTitle] [your_name].
RESPOND_BREAK_PACT_01      | [your_empire] ће се срушити под теретом сопствених прекршених обећања.

RESPOND_BREAK_ALLIANCE_01  | Прекршили сте споразум. Савез је раскинут.
RESPOND_BREAK_ALLIANCE_01  | Веома добро. Показали сте вашу злонамерност. Савез је раскинут.
RESPOND_BREAK_ALLIANCE_01  | Нису нам потребни уговори који се не поштују. Савез је раскинут.
RESPOND_BREAK_ALLIANCE_01  | Нека тако буде. Савез је раскинут.
