// race-specific variables (must start with _)
_empire                           | República Psilon, República Mentalon, República Psichon, República Cerebron, República Neuralon
GAME_OVER_REBELLION_LOSS2         | A República, em ruínas...#Parecia que o próprio destino estava determinado a impedir-te desde o começo a tua demanda. As dificuldades que vêm com a manutenção de um império interestelar e a ameaça constante de uma guerra com poderes alienígenas tinham sido difíceis de gerir, mas a derradeira prova veio quando o Conselho Galáctico escolheu sentar a raça %6 no trono do Soberano da Nova República. Sabendo que a galáxia não poderia ficar em paz com gente tão violenta à cabeça, o teu povo uniu-se em torno do ideal que haveria de ditar o seu fim.#A tua gente, dotada de uma inteligência sem par entre as outras espécies, conseguiu fabricar grandiosas e devastadoras tecnologias para seu auxílio bélico. Contudo, os poderes combinados da Nova República foram mais do que conseguirias conter e foram as tuas frotas que acabaram a arder enquanto a vantagem numérica superava a tecnológica. Agora, com o baralho do destino prestes a lançar a sua última cartada, os sobreviventes da República Psilon serão pulverizados da galáxia. Vítimas da primeira de muitas guerras por vir e sem o povo que as guiaria para um futuro mais brilhante, é improvável que esta galáxia alguma vez venha a conhecer os benefícios que a paz pode trazer...
GAME_OVER_REBELLION_WIN2          | Paz, mas a um custo terrível...#A efémera Nova República não existe mais! Com todos os teus esforços canalizados para influenciar os impérios da galáxia para uma coexistência em harmonia, foram os próprios impérios o maior obstáculo ao teu sonho de paz universal. Respondendo à tuas inúmeras tentativas diplomáticas com má-fé e traição, os teus rivais acabaram por te encurralar numa posição de que não tinhas como escapar. Agora as suas frotas, os seus planetas e os seus próprios impérios encontram-se em ruínas, pois mesmo os poderes combinados de toda a galáxia não foram suficientes para derrotar o engenho e tecnologia dos Psilones.#O coração pesa-te, apesar de tudo, e com razão. O facto de que os vossos historiadores haverão de tratar com dignidade os inimigos caídos não altera o facto de que cada uma das suas culturas irrepetíveis foi arrasada, sem chance de darem o seu contributo para o futuro. A tua gente está a salvo, Alto Conselheiro, e a paz será a única filosofia adotada para este futuro - isto é, pelo menos até que o teu alcance se expanda para lá da galáxia e para o que quer que vos aguarde no desconhecido...
GAME_OVER_REBEL_ALLIANCE_WIN2     | Paz, mas a que custo...?#Há muito tempo atrás, o teu povo olhava o céu estrelado com a esperança nos seus corações, e toda a raça se unia em torno do sonho de criar um grande império que promovesse a harmonia entre os seus vizinhos celestiais. Agora que a jornada chega ao fim, dão o vosso objetivo por concretizado, mas de um modo para vocês inesperado e que tentaram, a todo o custo, impedir. Uma federação galáctica pode ter sido formada, mas a decisão de nomear um chefe violento para o posto mais elevado obrigou-vos a combater pela paz uma última vez. Foi com valentia que navegaste contra a corrente, declarando a guerra ao regime despótico e, contra todas as probabilidades, vencendo.#A sorte acabou a sorrir-vos neste esforço quando outros se sentiram inspirados por tamanha bravura e pela bonança que a vitória prometia, não permitindo que lutassem sós. Os vossos aliados combatiam com um furor que era desconcertante de tão zeloso, e juntos conquistaram a paz de uma vez por todas, esmagando aqueles que, de outro modo, teriam afundado a galáxia numa eternidade de conflito. Uma nova era tem início, Alto Conselheiro, e só podes esperar que aqueles que escolheram costruí-la contigo optem por aderir aos seus princípios por quanto tempo o teu povo também o fizer...
GAME_OVER_COUNCIL_WIN2            | Paz, finalmente - para o benefício de todos!# Finalmente, a tua demanda chegou à sua gloriosa conclusão! Os desafios com que te deparaste nos longos anos que sucederam à vossa primeira investida pelo espaço foram mais complicados do que poderias alguma vez imaginar. Embora o teu povo já soubesse há muito que a coexistência pacífica é a única filosofia verdadeira, os grandiosos impérios que foram encontrando na vossa jornada precisaram de ser persuadidos. Recorrendo a diplomacia magistral e exibindo uma paciência notável, foste bem-sucedido nas tuas tentativas e agora és o senhor indisputável desta galáxia.#Um novo teste vai ter início. Com a República Psilon a assumir a liderança da galáxa, é a vossa civilização que estabelecerá o exemplo que todas as outras seguirão. Aguardam-vos mais dificuldades, à medida que as velhas tensões e diferenças culturais vão ressurgindo para limitar a paz que tanto batalharam por atingir. Porém, sabes que, desde que os Psilones se mantenham firmes nos seus ideais, nenhuma criatura viva desta galáxia alguma vez terá de reviver os horrores da guerra!
GAME_OVER_COUNCIL_MILITARY_WIN2   | Paz, enfim - mas agridoce...#Esperavas que a tua tomada de posse como Soberano da Nova República fosse assinalar um novo começo para a galáxia, no qual a violência e a guerra resultariam na paz e na prosperidade. Porém, as tuas esperanças rapidamente se dissiparam quando os habitantes mais viciosos da galáxia se insurgiram para rejeitar a tua governação, mergulhando todos os impérios conhecidos para mais uma guerra terrível. Vendo a última chance de paz a extinguir-se diante dos teus olhos, tomaste a única decisão que podias: responder à agressão com todas as forças da Nova República - e, juntos, tu e os teus aliados enviaram as vossas frotas para restaurar a ordem da galáxia.#Com os rebeldes reduzidos a cinzas, a paz pode finalmente tomar o seu lugar. É triste que tantas vozes se tenham autonegado os direitos de ajudar a moldar o futuro luminoso que se estende em frente, mas não podes dedicar muito tempo à mágoa que te pesa no coração. Eles escolheram o seu destino e esse destino foi-lhes entregue. Agora, Alto Conselheiro, a nova era nasce contigo no comando, com tanto trabalho ainda para fazer...
GAME_OVER_COUNCIL_MILITARY_LOSS2  | A Nova República, em ruínas...#Um destino terrível abate-se sobre vós. Mesmo quando a vossa demanda chegava ao fim e estavam prestes a colher os frutos do trabalho árduo, o sonho da federação pacífica de impérios foi-vos arrancado das mãos. E mesmo com muitos no Conselho Galáctico desejando a harmonia e a prosperidade e vendo que vocês eram os destinados a guiar a galáxia para um tal futuro, uma vil rebelião tomou forma quando os que eram mais inclinados para a violência se recusaram a pôr de lado a sua necessidade primária de selvageria. Contra os teus próprios ideais, guiaste as forças da Nova República na direção desta ameaça mas, contra tamanha força bruta, não conseguiste lograr a vitória.#Agora a galáxia encontra-se imensamente mais vazia do que antes, com a tua nobre e orgulhosa civilização eliminada por inteiro. Os inimigos troçam dos vossos princípios como fracos e idealistas e sabes que também a História será grosseira face à vossa derrota. Aqueles que permanecem, estremecerão à sombra da tirania e da guerra e a violência será rainha em vez da paz. Este era o desfecho que menos querias para tão longa e difícil batalha - e para ti, pelo menos, a narrativa termina de um modo insuportável...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | o intelecto inigualável dos Psilons
GAME_OVER_REBELLION_LOSS3         | o profundo desejo de paz dos Psilons
