// race-specific variables (must start with _)
_empire                           | Colónia Klackon, Colónia Klackant, Colónia Klockan, Colónia Arthropon, Colónia Coleopteron
GAME_OVER_COUNCIL_LOSS2           | A tua aventura chega ao fim... por agora.#Não era este o desfecho que pretendias para a tua odisseia por um semelhante num mar de estrelas. Conquanto tenhas conhecido muitas estranhas e fascinantes criaturas no decorrer da tua busca, também encontraste muitas culturas perversas e simplesmente mesquinhas. Infelizmente, é o líder da mais insofrível de todas que agora se senta no trono do Soberano da Nova República. Tens dúvidas de que este líder venha a ser gentil para contigo - e toda a prova de que necessitas para corroborar um tal medo reside nas vossas interações passadas com o dito alienígena.#O teu único desejo era o de encontrar outro que fosse tão especial como tu. Mas agora, só te resta aguardar, submissa, os desígnios de um poder maior. Pedes apenas que esse %5 te deixe em paz, pois se eles assim o ditarem, a força combinada da galáxia inteira poderá abater-se sobre ti.
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | A tua aventura chega ao fim... por agora.#Vai ter início uma nova era para os Klackones, com o vosso fiél aliado, %5, prontos para liderar a Nova República rumo a um futuro glorioso. Embora sejam muitos os aspetos que vos diferenciam, estes teus amigo olha-te com interesse e compaixão e a tua confiança pode repousar em que ele te permitirá prosseguir com a tua demanda assim que o trabalho nesta aliança estiver terminado. Vai demorar muito até que espécies tão díspares atinjam uma coexistência harmoniosa, mas tu sabes que %8 facilitará a tarefa.#Este desfecho não te deixa nada mais além de uma sensação contentamento. Por outro lado, as manhas do jogo político nunca te entusiasmaram muito e dás-te como satisfeita por os teus amigos te retirarem, permanentemente, um tamanho fardo dos ombros. Tudo o que desejavas era encontrar um espírito como o teu algures nesta galáxia. Quem sabe um dia...
GAME_OVER_REBELLION_LOSS2         | Parece que te aguardava um final sinistro.#Estavas só no princípio e permaneces só no fim. Incapaz de atingir a grande meta da tua demanda, saltaste de civilização em civilização novas até que as mais visionárias de entre elas se uniram para formar a Nova República. Pressentindo uma conclusão prematura da tua jornada e com %5 tomando as rédeas da liderança, escolheste lutar contra esse destino no lugar de simplesmente te submeteres a ele. Não foi o primeiro erro que cometeste, mas acabaria por ser, tristemente, o último.#Agora, com %8 percorrendo a galáxia, dás graças, com o teu derradeiro suspiro, por a morte ao menos trazer o fim do teu sofrimento. Se tivesses encontrado outra como tu, alguém que compreendesse quem e o que tu és, talvez tivessem podido inverter o curso do destino pegando nas mesmas armas...
GAME_OVER_REBELLION_WIN2          | A tua aventura chega ao fim... por agora.#Opondo-se aos teus desejos mais profundos, a galáxia decidiu contra a tua ascenção, obrigando-te a retribuir apropriadamente. Incapaz de aceitar a governação xenofóbica de %5, pegaste em armas sozinha para te defenderes, e à tua demanda, do seu reinado pavoroso. E sabias que aqueles que haviam sido manipulados pelos tiranos hipócritas provavelmente se uniriam contra ti, mas não aceitarias que a continuação da tua demanda fosse posta causa sob nenhuma circunstância. Então, foi com tristeza que esmagaste todos os que te fizeram frente.#Se ao menos estas raças não tivessem cedido ao medo e ao ódio pelo diferente, talvez tivessem podido coexistir pacificamente contigo. Mas este não é um resultado completamente desanimador, pois guardarás uma história emocionante para partilhares com o objeto da tua busca, se alguma vez o encontrares...
GAME_OVER_REBEL_ALLIANCE_WIN2     | A tua aventura chega ao fim... por agora.#Tu já sabias que isto aconteceria desde a primeira reunião do Conselho Galáctico. Apesar dos teus avisos aos outros impérios que habitavam a galáxia, o vil traidor %5 conseguiu tomar o poder da Nova República, ameaçando infetar a galáxia com a sua xenofobia atroz. Lutaste corajosamente contra ele e, embora muitos tenham sucedido nas suas tentativas de te enfrentar, acabaste sempre por conseguir defender os teus interesses.#Talvez o mais feliz tenha sido o auxílio recebido dos teus amigos nesta guerra final. Eles foram sábios para ver o perigo e compassivos para te ajudar e ficaste contente por não teres de travar esta luta sozinha. Agora poderão atingir uma coexistência verdadeiramente pacífica e partilhar os recursos da galáxia. No futuro não muito distante, talvez te aventures pelo espaço ainda mais profundo, deixando esta galáxia na esperança de encontrar as formas de vida que idealizas há muito, muito tempo...
GAME_OVER_COUNCIL_WIN2            | Não previste este desfecho para a tua aventura.#Descobriste muito desde que te aventuraste para fora do teu velho mundo natal pela primeira vez em busca de uma consciência como a tua. Embora ainda tenhas esse sonho para preencher, os conhecimentos e amizades que ganhaste daqueles com que te cruzaste acabam por ser doces recompensas. Os teus aliados não só superaram o seu receio do diferente, como escolheram eleger-te Soberano da Nova República. Um futuro que nunca imaginaste para ti estende-se agora à tua frente - e para ele guiarás os teus novos amigos com toda a paciência e confiança que depositaram em ti.#Quem sabe se um dia não partes para uma nova demanda, na esperança de encontrar alguém que exista como tu. Mas há muito a fazer por agora e a tua investigação terá de esperar até que todo esse trabalho esteja terminado. Quando estiver, poderás até descobrir que esse teu impulso visceral diminuiu - afinal, pela primeira vez na tua longa vida, não estás só.
GAME_OVER_COUNCIL_MILITARY_WIN2   | Não previste este desfecho para a tua aventura.#Finalmente, dás as tuas batalhas por terminadas. Depois de assumires o cargo de Soberano da Nova República, conseguiste que todas as formas de vida conscientes se sentassem numa távola redonda da amizade - isto é, até que uma rebelião penosamente mal-preparada se formou contra ti. Movidos pelo medo e pela xenofobia por aquilo que tu és, estes que te tentaram derrubar não podiam nem imaginar a complexidade da tua mente singular nem a fúria dos teus aliados na defesa da República. Foram aniquilados. Chegando a todos os mundos que agora são teus, a paz invadirá a galáxia como a água que corre pelos leitos dos rios até aos oceanos.#Tu e os teus aliados dividem os territórios dos rebeldes entre vocês, e o teu pensamento foge, por momentos, para a missão que te fez deixar o conforto do planeta natal há já tanto tempo. É verdade que nunca conheceste o objeto da tua procura e que, em muitos aspetos, permaneces sozinha no universo. Mas é com entusiasmo que te apercebes de que, com os amigos que cultivaste pelo caminho, nunca mais estarás só.
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Parece que te aguardava um final sinistro.#Ninguém te pode censurar por quereres levar a galáxia à paz como Soberano da Nova República. Ninguém te pode censurar por dares o teu melhor para unir tantas civilizações com diferenças gigantescas. Mas apesar dos teus melhores esforços, a rebelião que se ergueu contra ti foi capaz, não só de fomentar, mas de provocar o teu derrube enquanto líder e esmagar a Nova República com todo o poder que lhe estava ao alcance. É possível que os teus aliados, há muito falecidos, se tenham arrependido da sua eleição antes de os seus impérios ruírem em pó e cinzas diante dos seus olhos. Pelo menos, não terás de suportar as suas elegias, já que as vozes foram para sempre silenciadas.#Os últimos dos teus corpos preparam-se para enfrentar o fim nos esconderijos que escavaram tentando escapar aos inimigos. Sem comida nem água, o tempo está a contar. Se tivesses conseguido encontrar outra como tu, alguém que te compreendesse de verdade e que lutasse a teu lado com a mesma determinação que terias tido para com ela, o desfecho teria sido diferente? Talvez. Enfim, jamais saberás...


// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | a indefetível mente única dos Klackons
GAME_OVER_REBELLION_LOSS3         | as hordas desalmadas de Klackons
