// race-specific variables (must start with _)
_empire                           | Сакранска Конклава, Рептаранска Конлава, Сауранска Конлава, Рапторанска Конлава, Тајранска Конклава
GAME_OVER_REBELLION_WIN2          | Спас свих светова је коначно на помолу!#Стигао је час Сакранске Конклаве! Премостили сте сваку препреку са којом сте се суочили у изградњи своје међузвездане империје, не заборављајући да је ваша прва дужност била заштита природног сјаја светова које заузели. Свакоме ко се усудио да се успротиви је убрзо указана грешка у њиховом избору, а када је [leader_raceSka] раса добила вођство Нове Републике, одлучили сте да на најдиректнији могући начин покажете целој галаксији колико је погрешан тај избор.#Нема више непријатеља који би вам се могли супротставити и нема више будала који би могли наштетити планетама које ви чувате. Ваш народ може да издвоји време за проналажење решења за еколошке загонетке које ће им сваки свет представити. А када под вашом руком водиљом цела галаксија постигне савршену хармонијом са природом, бићете спремни да узмете под заштиту и светове других галаксија. Живела Сакранска Конклава!
GAME_OVER_REBEL_ALLIANCE_WIN2     | Спас свих светова ја коначно на видику...#Није погрешно рећи да је овакав низ догађаја био изненађење. У почетку се чинило да су мирна решења међу-империјалних спорова најбољи начин за спречавање непотребне штете на чудесним планетама које чине ову галаксију. Међутим, није било другог начина осим рата, када је Галактички савет одабрао другог који ће водити Нову Републику. Подигли сте заставу у побуни против читавог система и коцка је бачена која ће одлучити судбину галаксије.#Неочекивано, пронашли сте друге који су били спремни да се заузму за ваш циљ и ослободе галаксију од презирног угњетавања. Они који су се борили на вашој страни показали су се једнако жилави као и ваш народ, и заједно сте избрисали лажни поредак и инсталирали нови систем у галаксији у којем ће добробит свих планета бити најбитнији циљ. А ако се ваши савезници у будућности одлуче да не испоштују тај циљ, ви знате како да се ефикасно супротставите њиховим тактикама и стратегијама. Заиста постоји велика срећа у знању да ће под вашом управом све планете достићи свој пун потенцијал, без обзира на све...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Спас свих светова ја коначно на видику...#Ово је дефинитивно био најбољи исход којем сте се могли надати с обзиром на околности. Од својих првих сусрета са другим империјама знали сте да ће их њихови разни недостаци спречити да икада препознају истину ваше филозофије. Уместо, одлучили сте да изградите мостове између својих људи и [leader_raceSke] расе и помогнете им да дођу до положаја који би био повољан за ваше планове. Сада они седе на престолу Нове Републике и као њихови најближи поверљиви људи, Сакра су у положају коју могу да искористе за своју добит.#Наставићете да утичете на своје [leader_raceSke] савезнике како би осигурали блаженство свих светова у Републици. Ако нека тврдоглавија империја пожели да вас омете ваше планове, имате пуно поверења да ћете с њима моћи да се лако носите. Јачина је ваше везе са [leader_raceSkom] расом то осигурава, и тако исто ћете осигурати да планете остану безбедне од сада и заувек...
GAME_OVER_COUNCIL_WIN2            | Спас свих светова је коначно на помолу!#Постигли сте победу за којом су ваши људи чезнули од када су се први пут винули у космос. Проналазак чудесних светова са необичним екосистемима показао се и као награда и као изазов на који ваш је народ могао да се усредсреди. Међутим, дипломатски послови су се показали много деликатнијим задатком за ваш интелект. Али на крају свега, стојите на највишем положају власти: ви и само ви сте сада Господар Нове Републике.#Користећи свој положај, постараћете се да се са сваком планетом у галаксији поступа с поштовањем и пажњом. Ако било која империја у републици крене против овог гвозденог закона у покушају да оствари неке своје бедне циљеве, сада имате на располагању галактичку војску која ће им брзо показати где им је место. А када су ови светови усавршени, пред вама је будућност истраживања других галаксија и доношење вашег благословеног вођства световима који леже у њима. Само напред, Примарни Магистре, јер је твој посао тек почео...
GAME_OVER_COUNCIL_MILITARY_WIN2   | Спас свих светова је коначно на помолу!#Иако не без препрека, ваша воља је постала неупитна у томе како ће обликовати будућност галаксије. Није био мали подвиг да постанете Господар Нове Републике, али успели сте да се прилагодите супарничким империјама и њиховим суптилним махинацијама. Када су неки чланови републике одлучили да подстакну побуну како би задржали слободу да уништавају њихове светове, требало вам је мало времена да закључите да они морају бити истребљени.#Сада побуњеници служе за пример свима онима који ће своје личне жеље покушати да ставе испред добробити својих планета. Побуњеници су вам послужили на начин који нисте предвидели: уз остатак галаксије уједињен против заједничког непријатеља, сви су сада савитљивији да поклекну пред вашом вољом док уживају у сјају заједничке победе. Ово је време да кренете напред са својим плановима, и без обзира да ли су они који су вам потчињени способни да разумеју зашто, у свом срцу знате да ће вам сама галаксија захвалити...
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Судбина свих светова је запечаћена...#Катастрофа је задесила Нову Републику пре него што је уопште остварена. Док су се ваша мудрост и саосећање према природним окружењима свих светова шириле кроз интергалактичке империје, било вам је јасни да ћете ви бити позвани да водите галаксију када се уједини под једним заставом. Али убрзо након стизања на овај нови престо над престолима, побуна је почела да куља и на крају се и десила. Док су се линије цртале у песку, ви и они које сте водили сте веровали да ће вас супериорни бројеви и снага довести до лаке победе. Изгледа да вас је и та арогантност одвела у пропаст.#Они који су се побунили против вас имали самопоуздање у њихове способности, а то самопоуздање је резултирало распадом ваше империје. Сада се цела Нова Република сломила, свака њена флота уништена и сваки њен свет су освојили они који су тражили власт за себе без обзира на цену. Побуњеници ће сада водити галаксију у било коју будућност која одговара њиховим девијантним махинацијама, а док живот почиње да напушта ваше тело, надате се само да ће планетама које су освојили показати милост коју вама нису...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | непоколебљиви нагон Сакрана захвата
GAME_OVER_REBELLION_LOSS3         | олошка посвећеност Сакрана
