// race-specific variables (must start with _)
_empire                           | Мршански Клан, Пршански Клан, Мјаушански Клан, Канџански Клан, Хишански Клан
MAIN_ADVISOR_TRANSPORT            | Заузели смо нову територију на %1 систему. Што више наших транспортујемо са %3, брже ћемо наћи плен овог света.
MAIN_ADVISOR_DIPLOMACY            | Контактирали смо туђинску расу! Да ли ће они бити одважни непријатељи, или ћемо лако преотети њихово благо?
MAIN_ADVISOR_SHIP_ENGINE          | Пронашли смо начин да унапредимо наше моторе и убрзамо наше бродове! Ако их уградимо у наше моделе бродова, наши препади на непријатељске светове постаће још ефикаснији!
MAIN_ADVISOR_RALLY_POINTS         | Кане! Пред нама је рат! Поглавари ће испоштовати своје обећање да сједине своје снага са вашима, тако да можете да поставите тачку за окупљање да би сте им показали где да пошаљу своје флоте!
MAIN_ADVISOR_MISSILE_BASES        | Наши светови на ободима су рањиви на непријатељске нападе! Направимо ракетне базе како бисмо спречили да падну у непријатељске руке.
MAIN_ADVISOR_SHIP_WEAPON          | Успели смо да развијемо нова моћна оружја за наше бродове. Сигурно ће проузроковати пометњу међу снагама наших непријатеља кад их укључимо у наше моделе бродова.
MAIN_ADVISOR_COUNCIL              | Ускоро ће се састати народи, али кажу да је то за дипломатију, а не за рат. Чудно зар не? Ипак, требало би да присуствујемо овом "Галактичком Савету", ако ни због чега другог, да би примирили нервозне империје.
MAIN_ADVISOR_REBELLION            | Да ли се осећаш лоше, Кан? Дошло је до побуне на %1 систему, и још нисте наредили да је угушимо.
MAIN_ADVISOR_RESIST_COUNCIL       | Да ли су мислили да ћемо једноставно лећи и пустити их да тако успоставе кукавички мир над галаксијом? Почнимо с препадима, Кане: наше људе сврбе дланови, биће блага!
MAIN_ADVISOR_COUNCIL_RESISTED     | Ти бунтовници и будале одбијају нашу пресуду! Покажимо им нашу изреку: снажни узимају, слаби дају! 

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Ваша драгоцена блага су сада заувек изгубљена...#Стравичне флоте поглаварских ратника које су ударале попут фантомских муња су некада застрашивале читаве цивилизације да се не усуде да путују ван дома. На вашем врхунцу, узели сте богатсва читавих цивилизација и додали их у гомиле које су садржавале реликвије из стотине светова. Али изгледа да су ваши људи кроз лудост, ароганцију, похлепу или комбинацију свега тога коначно нашли непријатеље који су се показали да нису мачји кашаљ. А када су ови непријатељи кренули у офанзиву, били сте немоћни да спречите судбину која вас је сада задесила.#Пуке гласине о надолазећој флоти Мршана је некада тресла страхом читаве звездане системе. Сада су ваши људи избрисани из ове галаксије, а остале су само приче о духовима за плашење мале деце. А ваша драгоцена блага, узета из толико светова, украдена су и смештена у богате домове и музеје: сада постоје као реликвије далеке прошлости, баш као и ваши људи...
GAME_OVER_MILITARY_WIN2           | Блага ове галаксије вам стоје на располагању!#Ове ноћи цела површина вашег матичног света тутња слављем врхунске победе вашег народа. Јер ова ноћ је прва у новом добу, где Мршански поглавари сами доминирају галаксијом. Оно што је некад почело као једноставни напади за плен и репутацију, на крају је постала кампања огромних размера која је обухватила планете, звездане системе и на крају целину познате галаксије. Упркос малим шансама, свака друга империја је пала пред силином ваше жестине и моћи.#Са слабијим ривалима који су падали један по један пред вама, ваш народ није видео потребу за савезницима. Избегавајући политичке заврзламе и грозну муку дипломације, заузели сте и последње упориште које је стајало против вас, а плен хиљада светова сада је ваш. А када вам ова галаксија да све што има, тешко онима који пребивају у звездама ван ње. Они ће се трести од страха при вашем доласку, а њихова блага ће такође бити ваша...
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Блага ове галаксије припадају вама, и вашим савезницима...#Ваши напади су коначно донели блиставе, неизмерно вредне плодове. Од вашег првог уласка у дипломатију, постало је очигледно да ваша поносна култура никада неће моћи мирно да коегзистира са онима који су имали чудесна блага, а нису имали довољно снаге да их сачувају. Знали сте да ће ратови бити неизбежни. Изненађујуће је било да сте у дубинама свемира пронашли друге који су имали не само снагу да одбране свој плен, већ и показали интерес да попуне своје ковчеге.#Заједно сте, са вашим савезницима, водили ратове о којима ће се говорити у легендама до краја времена. Делили сте подједнако муке освајања и срећу богаћења. Док тела ваших слабих непријатеља леже скрхана поред пута који вас води у светлу будућност, сада је само преостало да поделите плен и уживате у узбуђењима победе. Али реч упозорења, Златни Кане: без обзира на то колико су се ваши савезници одлучно борили поред вас, они чији је поглед уперен ка злату се лако могу окренути против својих бивших пријатеља, када им понестане непријатеља на којима се могу богатити...
GAME_OVER_COUNCIL_LOSS2           | Напади и начин вашег живота изненадно су дошли крају...#Највећа претња култури вашег народа је коначно реализована. Након небројених година истраживања свемира и освајања звезда, различите империје које живе у овој галаксији су одлучили да прекину са завадама и сједине се у нови ентитет који називају Нова Република. И како свака нова ера заслужује новог вођу, Галактички Савет је изабрао једног да их води у ово ново доба. Довољно је рећи да вас нису изабрали.#Иако сте дали све од себе у дипломатији, складни суживот никада није био адут вашег народа. Неповерење које је произашло из ваших сталних напада и старих рана које сте нанели другима проузроковало је да ваш дипломатски положај у Савету постане неповратно оцрњен. Уз осигурано јединство галаксије које је сада незаобилазно, ваши напади за благо и славу сада су трајно завршени. Ваш народ се мора прилагодити овом новом добу, или умрети покушавајући то учинити...
GAME_OVER_REBELLION_LOSS2         | Ваша драгоцена блага су сада заувек изгубљена...#Дани кад је ваш народа пљачкао ову галаксију и убирао чудновата блага су дошли крају. Формирањем Нове Републике и уједињењем галаксије под заставом [leader_raceSke] расе, знали сте да ће свети обреди културе вашег народа бити осуђени на пропаст ако се не побуните против доласка овог новог изгубљеног доба. Али, било због слепе послушности према свом новом господару или због страха од вашег народа и репутације коју су стекли широм галаксије, сами сте се борили против ове побуне.#Ваши ривали су знали да не могу сами да се боре против војске Мршана и да победе и место тога су удружили своје ресурсе и флоте док су стајали раме уз раме против ваше побуне. Иако су се ваши људи борили са легендарном упорношћу која је побуђивала страх широм галаксије, ни они ни ви нисте могли да се надате да ћете надмашити удружене снаге Нове Републике. Сада се ваша побуна жалосно завршава, а победницима остаје само да преузму ваша блага за себе...
GAME_OVER_REBELLION_WIN2          | Блага ове галаксије вам стоје на располагању!#Напокон је дошло је време поглавара. Од самог почетка вашег доласка у неистражену галаксију, сусретали сте се са свемирским цивилизацијама које су своје тражиле да испуне своје циљеве међу морем звезда. Ипак, упркос њиховој напредној култури и технолошким иновацијама, сви су сада пали пред вашом ненадмашном жестином. У почетку сте били задовољни да пустите ове цивилизације да наставе својим путем, дајући вашем народу бескрајне изворе за освајање разних блага која одузимају дах. Али када су одлучили да оснују нови савез у несумњивом покушају да спрече ваш народ да настави свој начин живота, ви сте дали једини одговарајући одговор свакоме ко би се усудио да вам се супротстави.#Својом лукавошћу, вештином и упорношћу на бојном пољу против флота супарничких империја, ваша побуна против новог галактичког поретка завршила је потпуном и комплетном победом. Блага хиљада светова стоје пред вама небрањена, јер они који су их чували су уклоњени вашим властитим рукама. Узми их, Златни Кане! Додајте их у своју ризницу и припремите своје људе за блага која леже у другим галаксијама...
GAME_OVER_REBEL_ALLIANCE_WIN2     | Блага ове галаксије припадају вама, и вашим савезницима...#Била је лака одлука подићи заставу и побунити се против Нове Републике. Знали сте да је галаксија снисходљиво гледала на ваше људе и њихов начин живота. Док су се шириле приче читавом галаксијом о вашој борилачкој моћи и вашим застрашујућим препадима на супарничке империје, знали сте да ће вам уједињени галактички поредак представљати непремостиву претњу када се формира. Као прави вођа из легенди вашег древног народа, деловали сте брже него што су други могли да предвиде и ударили сте против овог поретка у отвореном рату. А кад сте то учинили, спречили сте своје непријатеље да нађу упориште које би им требало да надвладају флоте поглавара.#На ваше велико задовољство нашли сте друге незадовољне обликовањем будућности, и у замену за мали део плена, створили сте нови савез који вам је помогао да утврдите доминацију над бедно неприпремљеним снагама које су се окупиле против вас. Ваши супарници су потпуно избрисани, а савезници које сте створили неће имати шансе против ваше моћи ако икада престану бити корисни за вас. Сада је остало само да узмете оно за шта сте се толико борили...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Ваш плен ће у овом новом добу бити на сигурном...#Никога није изненадило што Галактички Савет није успео да увиди вашу еминенцију и што је одбио да вам додели вођство Нове Републике. Ваши напади на друге империје су ваш народ учинили непопуларним и мало је оних који су спремни да се осврну на ваше културне норме да би разумели ваш народ на смисленом нивоу. Било да је у питању била наивност или осећај искрености који су придобили толико других раса, успели сте да пронађете заједнички језик са [leader_raceSkom] расом, а знајући да би то био најбољи потез за ваш народ, помогли сте да буду изабрани за вођу наредне ере.#У знак захвалности успели сте да обезбедите сигурност свог плена без потребе да плаћате репарације онима од којих сте их узели захваљујући великодушности ваших [leader_raceSkih] савезника. Посредујући овај мир, невољно сте се сложили да окончате своје нападе и сада морате наћи нове начине да испуните жеље својих људи. Али ово је сигурно боље од будућности сигурног уништења са којим бисте се суочили да сте се одлучили на побуну против свог савезника...
GAME_OVER_COUNCIL_WIN2            | Ова галаксија и њена блага припадају вама и само вама!#Напокон је дошао највећи дан у историји вашег народа: Златни Кан је постао Господар Нове Републике. Од самог почетка, ваши људи су себи створили застрашујућу репутацију насилних нападача. Иако су у прошлости многи протестовали против вас, сви су гласови утихнули када је Галактички савет препознао вашу непремостиву снагу. Сигурно се неке од империја које су вам помогле у избору надају да ће постати искрени пријатељи вашег народа, али знате да је већина оних који су вас овде поставили то учинили из страха да не изазову ваш бес. А не бисте желели да то буде другачије!#Од овог дана па надаље, све империје у Новој републици ће вам плаћати данак. А за злочин покушаја да вам се супротставе у Галактичком Савету, империје које су гласале против вашег крунисања ће заувек бити подвргнуте нападима вашег народа, и никада више неће имати моћ која би им била потребна да се дигну против вас. Галаксија припада Мршанима и остаће вам подређена до самог краја времена. Поздравите ново доба и поздравите Златног Кана!
GAME_OVER_COUNCIL_MILITARY_WIN2   | Блага ове галаксије припадају вама, и вашим савезницима...#Сада ваша величанствена владавина може започети. Легендарно јунаштво вашег народа на бојном пољу и приче о страшним препадима које сте извршили довели су до тога да сте постали Господар Нове Републике. Али иако су се многи плашили да не разбуде ваш гнев и подвргнули вашим жељама, ипак је било оних превише глупих да схвате вашу праву моћ. Жељни да преузму власништво над својим благом и да га додају својим растућем мноштву, ваш народ је кренуо да сруши побуну и преузме своје награде, овог пута уз подршку целокупне уједињене војске Нове Републике којом ви сада владате.#Побуна је била готова пре него што је и започела, а војске узурпатора поражене су уз минималан напор. Са њиховим прикупљеним благом, Мршани претурају по плену, избацујући смеће које ће се дати као награда мањим империјама које вам служе. Будући да побуњеници служе као пример онога што се дешава када сте незадовољни, мало је разлога да верујете да ће се било који ривал икада више иступити из редова. Усмерите сада своју пажњу на друге галаксије, јер је у њима плен који беспомоћно чека на лов и још светлуцавије благо које ћете додати вашој колекцији...
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Ваша драгоцена блага су сада заувек изгубљена...#Иако сте у почетку успели да употребите страх да срушите неслагање својих ривала и постанете Господар Нове Републике, било је довољно храбрих да вам се супротставе и будућности коју сте замислили. Ваш народ је био поносан и снажан, окићен пленом безбројних препада и жељан да стекне још блага из још једног освајања. Али они нису видели, или нису могли да виде опасност коју је побуна представљала и непоколебљиву храброст коју су побуњеници показали која се показала као узрок вашег краја.#Иако сте имали супериорне бројеве флота због оних које сте потчинили, нисте успели да спречите да устанак дестабилизује републику и збаци вас са трона. Прво су пали ваши потчињени, а убрзо и ваши људи. Изгледа да се на крају галаксија сама определила за будућност коју сте планирали. На крају крајева, шта је воља једног народа, ма колико јак био, против несаломиве руке судбине...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | незаситна похлепа Мршана прождире
GAME_OVER_REBELLION_LOSS3         | пожуда за благом Мршана
