//
// Dialogue that is not race-specific
//

DIPLO_TECH_REQUEST_MENU_01   | Какие технологии Вас интересуют?
DECLINE_SKIRMISH_01        | Вы уничтожили наш флот. Мы не принимаем Ваше предложение.

DECLINE_ATTACK_01          | Ваше необоснованное нападение на систему [system] лишает Вас возможности торговаться.
DECLINE_ATTACK_01          | Мы не забыли нападение на колонию в системе [system]. Мы не согласимся ни при каких обстоятельствах.

DECLINE_INVASION_01        | Наш народ не хочет иметь дело с палачами системы [system]. В первую очередь возместите ущерб.
DECLINE_INVASION_01        | На Вашей совести кровь мертвых колонистов системы [system]. Мы не можем принять Ваше предложение.
DECLINE_INVASION_01        | Убитые Вами обитатели системы [system] взывают о возмездии. Мы слышим их лучше, чем Ваше предложение.

DECLINE_BIOWEAPONS_01      | [my_race_plural] не будут заключать никаких сделок с расой, которая пользует биологическое оружие.
DECLINE_BIOWEAPONS_01      | Мы не можем иметь дело с безумцами, применяющими биологическое оружие.
DECLINE_BIOWEAPONS_01      | Вы используете оружие, причиняющее невыразимые страдания невинным колонистам. Мы отказываемся иметь дело с таким безумием.
DECLINE_BIOWEAPONS_01      | Боги ненавидят тех, кто уничтожал бы планеты с помощью биологического оружия. Мы не можем этого допустить.
DECLINE_BIOWEAPONS_01      | Крики убитых Вашим биологическим оружием громче Вашего предложения.

DECLINE_TECH_TRADE_01      | У Вас нет интересующей нас технологии.
DECLINE_TECH_TRADE_01      | Нам не нужны игрушки [your_race_plural_rod].
DECLINE_TECH_TRADE_01      | Ваши примитивные изобретения нас не интересуют.
DECLINE_TECH_TRADE_01      | Мы далеко обогнали Ваши технологии.
DECLINE_TECH_TRADE_01      | [your_nameTitle] [your_name], нам не нужно то, что предлагают нам Ваши ученые.
DECLINE_TECH_TRADE_01      | Ваши технологии не представляют для нас никакого интереса.

OFFER_TECH_EXCHANGE_01     | [your_empire] нуждается в технологии [tech]. Возможно, Вы захотите обменять её на одну из наших технологий.
OFFER_TECH_EXCHANGE_01     | [your_empire_dativs] известно, что вы разработали технологию [tech]. Можем ли мы предложить вам взамен одну из наших технологий?
OFFER_TECH_EXCHANGE_01     | [your_nameTitle] [your_name] [your_empire_rodit] желает получить технологию [tech]. Обменяете ли Вы её на одну из наших?
OFFER_TECH_EXCHANGE_01     | Вся раса [your_race_plural_rod] трепещет перед научными чудесами технологии [tech]. Что мы можем предложить Вам взамен?

ACCEPT_TECH_EXCHANGE_01    | Отлично. [my_nameTitle] [my_name] согласен обменять технологию [my_race_plural_rod] [techGiven] на технологию [techReceived].
ACCEPT_FINANCIAL_AID_01    | [my_nameTitle] [my_name] принимает Ваш подарок [amt] МК.
ACCEPT_TECHNOLOGY_AID_01   | [my_nameTitle] [my_name] принимает Ваш подарок - технологию [tech].

BREAK_TRADE_01             | Граждане [my_empire_rodit] больше не имеют желания получать товары от [your_empire_rodit].
ANNOUNCE_TRADE_01          | Начиная с [year], [my_empire] и [your_empire] соглашаются торговать на [amt] МК в год.

ANNOUNCE_PEACE_01          | В году [year], [my_empire] и [your_empire] соглашаются прекратить все военные действия.
ANNOUNCE_PEACE_01          | [my_nameTitle] [my_name] с этого момента приказывает прекратить все военные действия между нашими империями.
ACCEPT_PEACE_01            | Мы согласны, что пришло время положить конец нашим мелким спорам.
ACCEPT_PEACE_01            | Мы принимаем Ваше предложение мира. Прекратите военные действия против нас, и мы сделаем то же самое.
ACCEPT_PEACE_01            | Мы устали от этого бессмысленного разрушения. Мы принимаем Ваше предложение мира.

BREAK_PACT_01              | Предупреждение [your_empire_dativs]: наш Пакт о Ненападении разорван!
ANNOUNCE_PACT_01           | В году [year], [my_empire] обязуется соблюдать Пакт о Ненападении, и не атаковать флоты [your_race_plural_rod], если они не находятся на орбите одной из наших колоний.
ACCEPT_PACT_01             | [my_empire] принимает Пакт о Ненападении. Ни одна из наших империй не будет атаковать флоты другой империи, при условии, что он не войдет на орбиту её колонии.
ACCEPT_PACT_01             | Если Вы согласны не отправлять корабли на орбиты наших колоний, [my_empire] клянется не нападать на них.
ACCEPT_PACT_01             | [my_nameTitle] [my_name] принимает предложенный Вами Пакт о Ненападении. Так написано, так пусть и будет!
ACCEPT_PACT_01             | Договорились. Пока Вы не будете нападать на наши колонии, мы будем соблюдать Пакт о Ненападении.

BREAK_ALLIANCE_01          | [my_empire] больше не может поддерживать Союз с [your_empire_tvor].
ANNOUNCE_ALLIANCE_01       | В году [year], [my_empire] и [your_empire] заключили Союз, по условиям которого ни один из его членов не будет нападать на флоты или колонии других членов.
ANNOUNCE_ALLIANCE_01       | Итак, наш Союз создан. Ваши корабли могут посещать наши колонии и получать топливо с наших баз.
ACCEPT_ALLIANCE_01         | [my_nameTitle] [my_name] приветствует Союз со своими хорошими друзьями - [your_race_plural_tvor].
ACCEPT_ALLIANCE_01         | Сегодня [my_empire] и [your_empire] заключили Союз друг с другом. Смерть нашим врагам!
ACCEPT_ALLIANCE_01         | [my_nameTitle] [my_name] видит мудрость в заключении Союза с [your_empire_tvor]. Быть по сему!

OFFER_JOINT_WAR_01         | Пришло время [your_empire_dativs] и [my_empire_dativs] объединиться в войне против [other_race_plural_rod].
ACCEPT_JOINT_WAR_01        | Раса [other_race_plural_rod] должна пасть перед объединенной мощью [my_race_plural_rod] и [your_race_plural_rod].
ACCEPT_JOINT_WAR_01        | Теперь, когда [my_race_plural] и [your_race_plural] стали союзниками, дни [other_race_plural_rod] сочтены.
ACCEPT_JOINT_WAR_01        | В году [year], [my_empire] и [your_empire] объединяют усилия, чтобы избавить Галактику от угрозы [other_race_plural_rod].
COUNTER_JOINT_WAR_01       | Мы согласны присоединиться к Вам в Вашей войне против [other_empire_rodit] в обмен на следующую компенсацию:

RESPOND_BREAK_TRADE_01     | Мы запомним это.
RESPOND_BREAK_TRADE_01     | Мы видим, [your_nameTitle] [your_name], что Вы не держите свое слово. Мы этого не забудем.

RESPOND_BREAK_PACT_01      | Слова нарушенных Вами договоров будут высечены на Вашем надгробном камне, [your_nameTitle] [your_name].
RESPOND_BREAK_PACT_01      | [your_empire] рухнет под тяжестью своих невыполненных обещаний.

RESPOND_BREAK_ALLIANCE_01  | Вы нарушили договор. Союз разорван.
RESPOND_BREAK_ALLIANCE_01  | Хорошо. Ваши истинные намерения проявились. Союз разорван.
RESPOND_BREAK_ALLIANCE_01  | Нам не нужны договоры, которые не соблюдаются. Союз разорван.
RESPOND_BREAK_ALLIANCE_01  | Быть по сему. Союз разорван.
