

//
// Armor techs
// 
ARMOR_0_NAME     | Titánpáncél

DEFLECTOR_7_NAME      | VII. osztályú terelőpajzsok
DEFLECTOR_7_ITEM      | VII. osztály
DEFLECTOR_7_BRIEF     | Elnyel 7 találatot
DEFLECTOR_7_DETAIL    | Elnyeli az összes támadás 7 pontját.

DEFLECTOR_8_NAME      | IX. osztályú terelőpajzsok
DEFLECTOR_8_ITEM      | IX. osztály
DEFLECTOR_8_BRIEF     | Elnyel 9 találatot
DEFLECTOR_8_DETAIL    | Elnyeli az összes támadás 9 pontját.

DEFLECTOR_9_NAME      | XI. osztályú terelőpajzsok
DEFLECTOR_9_ITEM      | XI. osztály
DEFLECTOR_9_BRIEF     | Elnyel 11 találatot
DEFLECTOR_9_DETAIL    | Elnyeli az összes támadás 11 pontját.

DEFLECTOR_10_NAME     | XIII. osztályú terelőpajzsok
DEFLECTOR_10_ITEM     | XIII. osztály
DEFLECTOR_10_BRIEF    | Elnyel 13 találatot
DEFLECTOR_10_DETAIL   | Elnyeli az összes támadás 13 pontját.

DEFLECTOR_11_NAME     | XV. osztályú terelőpajzsok
DEFLECTOR_11_ITEM     | XV. osztály
DEFLECTOR_11_BRIEF    | Elnyel 15 találatot
DEFLECTOR_11_DETAIL   | Elnyeli az összes támadás 15 pontját.


//
// Displacement tech
//
DISPLACEMENT_0_NAME   | Elmozdítóeszköz
DISPLACEMENT_0_BRIEF  | Az összes ellenséges támadásnak az egyharmada mellélő.
DISPLACEMENT_0_DETAIL | A felszerelt hajókat véletlenszerűen helyezi ki és be a normál térből, lehetővé téve számukra, hogy elkerüljék az összes nem-területi fegyver támadásának egyharmadát.


//
// ECM Jammer tech
//
// this is the entry on Ship Design for selecting no ECM Jammer
ECMJAMMER_0_NAME      | 
ECMJAMMER_0_ITEM      | 
ECMJAMMER_0_BRIEF     | Rakétavédelem 0
ECMJAMMER_0_DETAIL    | 

ECMJAMMER_1_NAME      | EEI Zavaró Szint I
ECMJAMMER_1_ITEM      | Zavaró I
ECMJAMMER_1_BRIEF     | Rakétavédelem 1
ECMJAMMER_1_DETAIL    | 1 szintet ad hozzá az ellenséges rakétatámadások elleni védelemhez.

ECMJAMMER_2_NAME      | EEI Zavaró Szint II
ECMJAMMER_2_ITEM      | Zavaró II
ECMJAMMER_2_BRIEF     | Rakétavédelem 2
ECMJAMMER_2_DETAIL    | 2 szintet ad hozzá az ellenséges rakétatámadások elleni védelemhez.

ECMJAMMER_3_NAME      | EEI Zavaró Szint III
ECMJAMMER_3_ITEM      | Zavaró III
ECMJAMMER_3_BRIEF     | Rakétavédelem 3
ECMJAMMER_3_DETAIL    | 3 szintet ad hozzá az ellenséges rakétatámadások elleni védelemhez.

ECMJAMMER_4_NAME      | EEI Zavaró Szint IV
ECMJAMMER_4_ITEM      | Zavaró IV
ECMJAMMER_4_BRIEF     | Rakétavédelem 4
ECMJAMMER_4_DETAIL    | 4 szintet ad hozzá az ellenséges rakétatámadások elleni védelemhez.

ECMJAMMER_5_NAME      | EEI Zavaró Szint V
ECMJAMMER_5_ITEM      | Zavaró V
ECMJAMMER_5_BRIEF     | Rakétavédelem 5
ECMJAMMER_5_DETAIL    | 5 szintet ad hozzá az ellenséges rakétatámadások elleni védelemhez.

ECMJAMMER_6_NAME      | EEI Zavaró Szint VI
ECMJAMMER_6_ITEM      | Zavaró VI
ECMJAMMER_6_BRIEF     | Rakétavédelem 6
ECMJAMMER_6_DETAIL    | 6 szintet ad hozzá az ellenséges rakétatámadások elleni védelemhez.

ECMJAMMER_7_NAME      | EEI Zavaró Szint VII
ECMJAMMER_7_ITEM      | Zavaró VII
ECMJAMMER_7_BRIEF     | Rakétavédelem 7
ECMJAMMER_7_DETAIL    | 7 szintet ad hozzá az ellenséges rakétatámadások elleni védelemhez.

ECMJAMMER_8_NAME      | EEI Zavaró Szint VIII
ECMJAMMER_8_ITEM      | Zavaró VIII
ECMJAMMER_8_BRIEF     | Rakétavédelem 8
ECMJAMMER_8_DETAIL    | 8 szintet ad hozzá az ellenséges rakétatámadások elleni védelemhez.

ECMJAMMER_9_NAME      | EEI Zavaró Szint IX
ECMJAMMER_9_ITEM      | Zavaró IX
ECMJAMMER_9_BRIEF     | Rakétavédelem 9
ECMJAMMER_9_DETAIL    | 9 szintet ad hozzá az ellenséges rakétatámadások elleni védelemhez.

ECMJAMMER_10_NAME     | EEI Zavaró Szint X
ECMJAMMER_10_ITEM     | Zavaró X
ECMJAMMER_10_BRIEF    | Rakétavédelem 10
ECMJAMMER_10_DETAIL   | 10 szintet ad hozzá az ellenséges rakétatámadások elleni védelemhez.


//
// Ecological Restoration techs
//
ECORESTORATION_0_NAME   | Ökológiai rehabilitáció
ECORESTORATION_0_DETAIL | Eltávolítja az ipari hulladék 2 egységét 1 EK-ért.

ECORESTORATION_1_NAME   | Tökéletesített ökológiai rehabilitáció
ECORESTORATION_1_DETAIL | Eltávolítja az ipari hulladék 3 egységét 1 EK-ért.

ECORESTORATION_2_NAME   | Továbbfejlesztett ökológiai rehabilitáció
ECORESTORATION_2_DETAIL | Eltávolítja az ipari hulladék 5 egységét 1 EK-ért.

ECORESTORATION_3_NAME   | Fejlett ökológiai rehabilitáció
ECORESTORATION_3_DETAIL | Eltávolítja az ipari hulladék 10 egységét 1 EK-ért.

ECORESTORATION_4_NAME   | Teljes ökológiai rehabilitáció
ECORESTORATION_4_DETAIL | Eltávolítja az ipari hulladék 20 egységét 1 EK-ért.


//
// Energy Pulsar techs
//
PULSAR_0_NAME     | Energiapulzár
PULSAR_0_BRIEF    | Kibővül, hogy 1-5 értékű kárt okozzon
PULSAR_0_DETAIL   | Egy jelentős meghajtó módosítás, amely hirtelen egy gömb alakú energiamezőt generál, az összes szomszédos hajóban legfeljebb 5 értékű kárt okozván, +1 minden második hajóért.

PULSAR_1_NAME     | Ionpulzár
PULSAR_1_BRIEF    | Kibővül, hogy 2-10 értékű kárt okozzon
PULSAR_1_DETAIL   | Egy erőteljes meghajtó módosítás, amely képes egy gömb alakú energiamező létrehozására, az összes szomszédos hajóban legfeljebb 10 értékű kárt okozván, +1 minden támadó hajóért.


//
// Engine techs
//
ENGINE_0_NAME    | Retromeghajtók
ENGINE_0_DETAIL  | A hajókat a következő Warp gyorsasággal futtatja: %1, és lehetővé teszi az I. osztályú maximális irányíthatóságot a harcban.
ENGINE_0_ITEM    | Retrók
ENGINE_0_ITEM2   | 1. osztály
ENGINE_0_BRIEF   | Warp 1  Véd %1
ENGINE_0_BRIEF2  | Harci sebesség %1

ENGINE_1_NAME    | Nukleáris meghajtók
ENGINE_1_DETAIL  | A hajókat a következő Warp gyorsasággal futtatja: %1, és lehetővé teszi az II. osztályú maximális irányíthatóságot a harcban.
ENGINE_1_ITEM    | Nukleáris
ENGINE_1_ITEM2   | 2. osztály
ENGINE_1_BRIEF   | Warp 2  Véd %1
ENGINE_1_BRIEF2  | Harci sebesség %1

ENGINE_2_NAME    | SzubFény meghajtók
ENGINE_2_DETAIL  | A hajókat a következő Warp gyorsasággal futtatja: %1, és lehetővé teszi az III. osztályú maximális irányíthatóságot a harcban.
ENGINE_2_ITEM    | SzubFény
ENGINE_2_ITEM2   | 3. osztály
ENGINE_2_BRIEF   | Warp 3  Véd %1
ENGINE_2_BRIEF2  | Harci sebesség %1

ENGINE_3_NAME    | Fúziós meghajtók
ENGINE_3_DETAIL  | A hajókat a következő Warp gyorsasággal futtatja: %1, és lehetővé teszi az IV. osztályú maximális irányíthatóságot a harcban.
ENGINE_3_ITEM    | Fúzió
ENGINE_3_ITEM2   | 4. osztály
ENGINE_3_BRIEF   | Warp 4  Véd %1
ENGINE_3_BRIEF2  | Harci sebesség %1

ENGINE_4_NAME    | Impulzusmeghajtók 
ENGINE_4_DETAIL  | A hajókat a következő Warp gyorsasággal futtatja: %1, és lehetővé teszi az V. osztályú maximális irányíthatóságot a harcban.
ENGINE_4_ITEM    | Impulzus
ENGINE_4_ITEM2   | 5. osztály
ENGINE_4_BRIEF   | Warp 5  Véd %1
ENGINE_4_BRIEF2  | Harci sebesség %1

ENGINE_5_NAME    | Ionmeghajtók
ENGINE_5_DETAIL  | A hajókat a következő Warp gyorsasággal futtatja: %1, és lehetővé teszi az VI. osztályú maximális irányíthatóságot a harcban.
ENGINE_5_ITEM    | Ion
ENGINE_5_ITEM2   | 6. osztály
ENGINE_5_BRIEF   | Warp 6  Véd %1
ENGINE_5_BRIEF2  | Harci sebesség %1

ENGINE_6_NAME    | Antianyag-meghajtók
ENGINE_6_DETAIL  | A hajókat a következő Warp gyorsasággal futtatja: %1, és lehetővé teszi az VII. osztályú maximális irányíthatóságot a harcban.
ENGINE_6_ITEM    | Antianyag
ENGINE_6_ITEM2   | 7. osztály
ENGINE_6_BRIEF   | Warp 7  Véd %1
ENGINE_6_BRIEF2  | Harci sebesség %1

ENGINE_7_NAME    | Térválasztó meghajtók
ENGINE_7_DETAIL  | A hajókat a következő Warp gyorsasággal futtatja: %1, és lehetővé teszi az VIII. osztályú maximális irányíthatóságot a harcban.
ENGINE_7_ITEM    | Térválasztó
ENGINE_7_ITEM2   | 8. osztály
ENGINE_7_BRIEF   | Warp 8  Véd %1
ENGINE_7_BRIEF2  | Harci sebesség %1

ENGINE_8_NAME    | Hipermeghajtók
ENGINE_8_DETAIL  | A hajókat a következő Warp gyorsasággal futtatja: %1, és lehetővé teszi az IX. osztályú maximális irányíthatóságot a harcban.
ENGINE_8_ITEM    | Hiper
ENGINE_8_ITEM2   | 9. osztály
ENGINE_8_BRIEF   | Warp 9  Véd %1
ENGINE_8_BRIEF2  | Harci sebesség %1


//
// Fuel Range techs
//
FUELRANGE_0_NAME   | Üzemanyagcellák
FUELRANGE_0_DETAIL | Az üzemanyagtartalékok lehetővé teszik a hajók számára, hogy akár %1 fényévet is eltávolodjanak a gyarmatbolygóktól.

FUELRANGE_1_NAME   | Hidrogén üzemanyagcellák
FUELRANGE_1_DETAIL | Az üzemanyagtartalékok lehetővé teszik a hajók számára, hogy akár %1 fényévet is eltávolodjanak a gyarmatbolygóktól.

FUELRANGE_2_NAME   | Deutérium üzemanyagcellák
FUELRANGE_2_DETAIL | Az üzemanyagtartalékok lehetővé teszik a hajók számára, hogy akár %1 fényévet is eltávolodjanak a gyarmatbolygóktól.

FUELRANGE_3_NAME   | Irídium üzemanyagcellák
FUELRANGE_3_DETAIL | Az üzemanyagtartalékok lehetővé teszik a hajók számára, hogy akár %1 fényévet is eltávolodjanak a gyarmatbolygóktól.

FUELRANGE_4_NAME   | Dotomitkristályok
FUELRANGE_4_DETAIL | Az üzemanyagtartalékok lehetővé teszik a hajók számára, hogy akár %1 fényévet is eltávolodjanak a gyarmatbolygóktól.

FUELRANGE_5_NAME   | Urídium üzemanyagcellák
FUELRANGE_5_DETAIL | Az üzemanyagtartalékok lehetővé teszik a hajók számára, hogy akár %1 fényévet is eltávolodjanak a gyarmatbolygóktól.

FUELRANGE_6_NAME   | Reajax II üzemanyagcellák
FUELRANGE_6_DETAIL | Az üzemanyagtartalékok lehetővé teszik a hajók számára, hogy akár %1 fényévet is eltávolodjanak a gyarmatbolygóktól.

FUELRANGE_7_NAME   | Trilítumkristályok
FUELRANGE_7_DETAIL | Az üzemanyagtartalékok lehetővé teszik a hajók számára, hogy akár %1 fényévet is eltávolodjanak a gyarmatbolygóktól.

FUELRANGE_8_NAME   | Tóriumcellák
FUELRANGE_8_DETAIL | Az üzemanyagtartalékok lehetővé teszik a hajók számára, hogy akármekkora távolsára eltávolodjanak a gyarmatbolygóktól.


//
// Future Computer techs
//
FUTURECOMP_0_NAME    | A jövő számítógépe I
FUTURECOMP_0_DETAIL  | Általános számítógéptechnikai fejlesztések.

FUTURECOMP_1_NAME    | A jövő számítógépe II
FUTURECOMP_1_DETAIL  | Általános számítógéptechnikai fejlesztések.

FUTURECOMP_2_NAME    | A jövő számítógépe III
FUTURECOMP_2_DETAIL  | Általános számítógéptechnikai fejlesztések.

FUTURECOMP_3_NAME    | A jövő számítógépe IV
FUTURECOMP_3_DETAIL  | Általános számítógéptechnikai fejlesztések.

FUTURECOMP_4_NAME    | A jövő számítógépe V
FUTURECOMP_4_DETAIL  | Általános számítógéptechnikai fejlesztések.

FUTURECOMP_5_NAME    | A jövő számítógépe VI
FUTURECOMP_5_DETAIL  | Általános számítógéptechnikai fejlesztések.

FUTURECOMP_6_NAME    | A jövő számítógépe VII
FUTURECOMP_6_DETAIL  | Általános számítógéptechnikai fejlesztések.

FUTURECOMP_7_NAME    | A jövő számítógépe VIII
FUTURECOMP_7_DETAIL  | Általános számítógéptechnikai fejlesztések.

FUTURECOMP_8_NAME    | A jövő számítógépe IX
FUTURECOMP_8_DETAIL  | Általános számítógéptechnikai fejlesztések.

FUTURECOMP_9_NAME    | A jövő számítógépe X
FUTURECOMP_9_DETAIL  | Általános számítógéptechnikai fejlesztések.


//
// Future Construction techs
//
FUTURECONST_0_NAME    | Jövőbeli építészet I
FUTURECONST_0_DETAIL  | Általános építészettechnikai fejlesztések.

FUTURECONST_1_NAME    | Jövőbeli építészet II
FUTURECONST_1_DETAIL  | Általános építészettechnikai fejlesztések.

FUTURECONST_2_NAME    | Jövőbeli építészet III
