// race-specific variables (must start with _)
_empire                           | Клаконска Унија, Клакантска Унија, Клоканска Унија, Артропонска Унија, Колеоптеронска Унија
TECH_ALLOCATE_MISSILE_BASES       | Да ли бих требало да повећам потрошњу на одбрану у свим мојим колонијама за унапређење ракетних база?
TECH_ALLOCATE_FACTORIES           | Да ли бих требало да повећам потрошњу на индустрију у свим мојим колонијама за унапређење фабричких контрола
TECH_ALLOCATE_CLEAN_WASTE         | Да ли бих требало да смањим потрошњу на екологију у свим мојим колонијама на ниво који је неопходан да буду чисте?
TECH_ALLOCATE_ENRICH_SOIL         | Да ли бих требало да повећам потрошњу на екологију у свим мојим колонијама са стандардним окружењем да бих започео тераформирање.
TECH_ALLOCATE_ATMOSPHERE          | Да ли бих требало да повећам потрошњу на екологију у свим мојим колонијама са неприступачним окружењем да бих започео тераформирање.
TECH_ALLOCATE_TERRAFORM           | Да ли бих требало да повећам потрошњу на екологију у свим мојим колонијама да бих започео тераформирање.

NOTICE_ESPIONAGE_TITLE            | Инфилтрирао сам [alien_raceSku] базу.
NOTICE_ESPIONAGE_FRAME_TITLE      | Успео сам да окривим другу расу за крађу.

SHIP_COMBAT_TITLE_DESC            | Сусрео сам непријатељску флоту која припада [alien_raceSkoj] раси.

SABOTAGE_FACTORIES_RESULT         | Уништио сам %1 фабрика.
SABOTAGE_BASES_RESULT             | Уништио сам %1 ракетних база.
SABOTAGE_REBELS_RESULT            | Подстакао сам %1 побуњеника.
SABOTAGE_REBELS_TOTAL             | Подстакао сам %1 побуњеника. Немир је тренутно на %2%.
SABOTAGE_REBELS_REVOLT            | Покренуо сам побуну!

COUNCIL_CAST_PROMPT               | Морам да изаберем (%1 гласова)...

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Задесила те је стравична судбина.#На почетку твог пута у непознато, винуо си се у свемир уз наду да ћеш наићи на други облик живота, јединствен колико и ти. Нажалост, тај твој сан остаје неиспуњен до твог последњег дана. Не само да су се друге интелигентне форме живота показале потпуно другачије од тебе, него су такође показале да су насилне и равнодушне ка вашој потрази. Управо то насиље је уништило све твоје наде и сви твоји светови су сада у рукама оних који су вас мрзели од тренутка твојег првог сусрета.#Свако од твојих тела сада лежи сломљено и беживотно тамо где је убијено, од твојег матичног света до твојих најудаљенијих бивших колонија. Док последњи дах напушта твоје последње преостало смртно постојање, схваташ да ће свемир заувек изгубити свој најуникатнији облик живота...
GAME_OVER_MILITARY_WIN2           | Твоја потрага је стигла крају... за сада.#Уз велике наде, сањао си да ћеш пронаћи другу свест попут твоје негде у дубинама свемира. Иако си упознао разне облике интелигенције, постало је очигледно да ниједан од њих није сличан јединствености коју ти поседујеш. И шта још горе: и страху од онога што нису разумели, напали су те, и тиме изазвали страховит одзив твојег, и твојих небројених тела која настањујеш. Тешка срца их ликвидираш, и са још тежим срцем схваташ да си једини преостали облик интелигенције која насељава ову галаксију.#Ипак, није све изгубљено. Иако ове туђинске расе, са својим јединственим облицима бића, нису дале одговор твојој потрази, сада схваташ да постоји читав универзум који треба истражити. Преостало је само да се прошириш у сваки кутак ове галаксије и започнеш потрагу испочетка...
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Твоја потрага је стигла крају... за сада.#Испуњава те прекомерна туга због дела која на која си био приморан. У потрази за сродством међу планетама ове галаксије, само си наишао на мноштво неуких бића која су се обрушила на тебе само због тога што си различит. Кад су се њихове речи претвориле у насиље, ударили сте на их да би одбранили себе и своје интересе, надајући се све време да ће они видети грешку свог пута и увидети колико сте јединствен облик живота. Твоје наде су на крају потонуле, а сви који су се о вас огрешили насиљем су заувек ућуткани.#Али има разлога срећи, древни! Иако ниси успео да пронађеш свест сличну твојој, успео си да стекнеш верне савезнике пре него што се твој пут завршио. Једно је сигурно, барем те сматрају једнаким пријатељем као и ти њих. Ако се поново појави чежња да откријеш да ли си заиста јединствен у свемиру, можеш да кренеш у друге галаксије кад год пожелиш. Али за сада, можеш да се опустиш и уживаш у осећају дружења који си пронашао и уживати у свим благодатима које ће то дружење несумњиво донети.
GAME_OVER_COUNCIL_LOSS2           | Твоја потрага је стигла крају... за сада.#Твоја потрага за себи сроднима кроз океан звезда ти није донео крај какав си желео. Иако си у тој потрази упознао разне необичне и чудновате народе, такође си и срео многе подле и злураде културе. Авај, најнеподношљивији с којим си се сусрео сада је Господар Нове Републике. Сумњаш да ће вам овај нови вођа бити наклоњен, а сви неопходни докази за тај страх се налазе у претходим односима са тим туђинским вођом.#Све што си желео било је да нађеш другог који је јединствен попут тебе. Сада можеш само да чамиш, потчињен под силином веће моћи од твоје. Само се молиш да те [leader_name] остави на миру, јер ако они тако одлуче, читава моћ галаксије биће уперена против тебе...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Твоја потрага је стигла крају... за сада.#Ново доба за Клаконе треба да започне, а твоји верни пријатељ, [leader_name], сада је спреман да води Нову Републику напред у светлу будућности. Иако различити од тебе у многим аспектима, твоји пријатељи те сматрају занимљивим и имају разумевање за тебе. Ти у њих имаш поверење да ти омогуће да наставак мисије након завршетка рада на овом новом савезу. Много ће бити потребно да такве различите врсте постигну хармоничан суживот, али знате да ће %8 то извршити.#Овакав исход ти пружа задовољство. Ионако никада ниси много марио за замршеност политичких маневрисања и драго ти је што ће твој пријатељ заувек преузети такав терет. Све што си прижељкивао било је пронаћи душу попут твоје негде у овој галаксији. Можда, једног дана, се баш то и догоди...
GAME_OVER_REBELLION_LOSS2         | Задесила те је стравична судбина.#У почетку си био сам, и сада на самом крају, и даље стојиш сам. Немоћан да постигнеш крајњи циљ своје мисије, таласи су те носили да сусретнеш разне необичне цивилизације, све док су оне које су биле промишљеније од тебе нису удружиле да формирају Нову Републику. Осећајући да ће твоја мисија достићи превремени крај, док је [leader_name] преузео плашт вођства,  уместо да се послушно предаш, одлучио си да се бориш против такве судбине. То није била прва грешка коју си починио на свом путовању, али показала се, на жалост, као последња.#Сада док %8 галаксијом, у својим последњим моментима у себи размишљаш да ли ће те бар твоја смрт лишити брига. Да си бар могао да пронађеш још једног сличног себи, или бар некога ко разуме ко си и шта си, можда би се твоја судбина другачије одиграла да сте могли да се заједно прихватите оружја.
GAME_OVER_REBELLION_WIN2          | Твоја потрага је стигла крају... за сада.#Упркос твојим највећим жељама, галаксија се уздигла против тебе, и натерала те да им то вратиш истом мером. Није било могуће за тебе да прихватиш вођство ксенофобичног владара [leader_name], и сам си се прихватио оружја да би одбранио себе и своју мисију од њихове ужасне владавине. Знао си да они који су били изманипулисани од стране ових лицемерних тиранина највероватније се теби успротивити, али наставак твоје мисије није могао да буде угрожен, невезано за околности. И тако, тужног срца, смрвио си све који су ти се успротивили.#Да је било која од ових раса превазишла свој страх и мржњу од непознатог, можда би једног дана могли да имају миран суживот. Али није све тако црно, јер ћеш бар моћи да испричаш ову мучну причу онима који су циљ твоје потраге, уколико икада успеш да их пронађеш.
GAME_OVER_REBEL_ALLIANCE_WIN2     | Твоја потрага је стигла крају... за сада.#Знао си да ће се ово десити још од првог сусрета Галактичког Савета. Упркос твојим упозорењима ка другим империјама које настањују ову галаксију, издајнички и подли [leader_name] је успео да стигне на чело Нове Републике, и претио да инфицира читаву галаксију њиховом подлом ксенофобијом. Храбро си се борио против њих, и иако су многи изабрали да стану на страну твојих противника, на крају си успео да одбраниш своје интересе.#Можда је најсретнија ствар у целој причи подршка коју си добио од твојих пријатеља у овом коначном рату. Довољно мудри да схвате опасност и довољно племенити да ти пруже подршку, сретан си што ниси морао да се бориш сам. Сада можеш да постигнеш заиста миран суживот, и да делиш са њима благодети ове галаксије. Ускоро ћеш се можда наћи у још дубљем свемиру, и напустити галаксију у нади да ћеш се срести са оним кога тражиш јако, јако дуго...
GAME_OVER_COUNCIL_WIN2            | Твоја потрага је стигла неочекиваном крају.#Много си открио откако си први пут кренуо из свог древног завичаја у потрази за другом свести попут твоје. Иако тај сан још ниси испунио, знање и пријатељство које си стекао од нових познаница се показало као слатка награда. Твоји савезници не само да су преовладали страх од твоје уникантности, већ су вас изабрали за Господара Нове Републике. Будућност какву никада ниси очекивао лежи пред тобом, и водићеш твоје нове пријатеље у сутрашњицу са свим стрпљењем и поверењем које су и они теби указали.#Можда ћеш једног дана поново кренути у потрагу за неким ко постоји на исти начин као и ти. Међутим, још те чека  много посла и твоја потрага ће морати да сачека док се тај посао не заврши. А када се заврши, можда ће твоја исконска чежња бити знатно умањена. На крају крајева, први пут у свом дугом животу више ниси сам.
GAME_OVER_COUNCIL_MILITARY_WIN2   | Твоја потрага је стигла неочекиваном крају.#Напокон, твоје битке су дошле крају. Након преузимања позиције Господара Нове Републике, успео си да окупиш све више форме живота ове галаксије да пријатељски седну за исти сто. Макар је било тако, док се жалосна неприпремљена побуна уздигла против тебе. Основана на ксенофобији и страха од онога шта си ти, побуна није могла да схвати ни снагу твог једноумља, ни жестину твојих савезника у одбрани републике. Они су смрвљени, и река мира ће потећи галаксијом, као вода која се улива у океане многобројних светова који су сада твоји.#Док ти и твоји савезници делите територије побуњеника, твој ум се на кратко подсећа мисије која те је винула из твојег дома веома давно. Истина је, никада ниси нашао оно за чиме си трагао, и у многим аспектима си остао усамљен. Али срећа надолази уз схватање да са савезницима које си стекао на овом путу, никада више нећеш бити заиста сам.
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Задесила те је стравична судбина.#Нико не може да те криви због твоје наде да ћеш једног дана довести галаксију до мира као Господар Нове Републике. Нико не може да те криви за то што си дао све од себе да спојиш изузетно разнолике цивилизације. Али упркос свим твојим напорима, побуна која се подигла против тебе није само успела да те уздрма, већ да те лиши позиције водства и смрвио Нову Републику, и сву снагу која је успела да сакупи. Пре него што су се њихове империје претвориле у прах, твоји савезници, сада већ одавно мртви, можда су се покајали то што су изабрали тебе да их водиш. Бар не можеш да чујеш њихово јадиковање, сада су њихови гласови заувек утихнули.#Последња од твојих тела се спремају за сусрет са судбином, у сколништима која су ископали да би се сакрили од твојих непријатеља. Без хране и воде, није им остало пуно времена. Да си само пронашао другог попут себе, некога ко те потпуно разуме и ко би се борио уз тебе са једнаком истрајношћу, видели би они. Да ли би се ствари завршиле другачије? Можда. Авај, ипак никада нећеш сазнати...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | непогрешиво једноумље Клакона
GAME_OVER_REBELLION_LOSS3         | бездушне хорде Клакона доминирају
