// race-specific variables (must start with _)
_empire                           | Сајлон Република, Менталон Република, Сајкон Република, Сереброн Република, Неуралон Република
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | Сајлонски Саветник
MAIN_ADVISOR_BUTTON_OK            | Отпусти
MAIN_ADVISOR_SCOUT                | Врховни Одборниче, наша истраживачка флота је спремна. Да ли сматрате да је најразумније да ускоро пронађемо нови свет и тамо направимо ново насеље? 
MAIN_ADVISOR_TRANSPORT            | Основана је наша нова колонија. Савет сада расправља о томе колико би требало да наших људи тамо пошаљемо транспортерима, ако бисмо уопште требали послати било кога.
MAIN_ADVISOR_DIPLOMACY            | Из свемирских дубина појавила се потпуно нова цивилизација! Молимо се да преферирају мирну коегзистенцију насупрот насиљу.
MAIN_ADVISOR_SHIP_ENGINE          | Наши научници су непрекидно напредовали у технологији наших бродских мотора. Представници су сада пред Већем и нуде сугестије како их најбоље искористити.
MAIN_ADVISOR_RALLY_POINTS         | Нажалост, Република се сада налази усред рата. Веће мора да одлучи о тачки окупљања за наше флоте како би смо осигурали безбедност наших колониста.
MAIN_ADVISOR_MISSILE_BASES        | Уместо да гомиламо ратне флоте, можемо да изградимо одбрамбене ракетне базе на нашим колонијама како бисмо их заштитили од инвазије. Веће жели да чује ваше мисли о којим би световима највише користило присуство ових база.
MAIN_ADVISOR_SHIP_WEAPON          | Веће је у жестокој расправи о најновијем пројектирању бродског наоружања. Неки желе да оружје буде уништено одмах, али можда ћемо желети да променимо моделе бродова као чисто проактивну меру.
MAIN_ADVISOR_COUNCIL              | Ускоро ће бити радостан сусрет највећих и најмоћнијих народа галаксије. Требали би да присуствујемо овом Галактичком Савету и послушамо наше мудре небеске комшије.
MAIN_ADVISOR_REBELLION            | Да становништво %1 система одлучи да овако решава неслагање је крајње збуњујуће. Веће вам је дало слободно време да бисте ово што пре решили, пре него што проблем стигне до њих.
MAIN_ADVISOR_RESIST_COUNCIL       | Мучи ме што сви наши напори су нас довели до овог рата, али ако је једина алтернатива потчињавање овом ратнохушкачком савету, не видим други избор за наш народ!
MAIN_ADVISOR_COUNCIL_RESISTED     | Зар вас ово не растужује кад видите да други тако жестоко одбацују мир? Са челичном одлучношћу, Врховни Одборниче: ово ће бити последњи рат који ће ова галаксија икада видети!


// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Република је у рушевинама...#Некада су ваши људи сањали о уједињеној галаксији и нису желели ништа више од просперитета и мирног суживота за све. Али горка истина је да нису сви делили тај ваш сан, а непријатељи са незамисливом снагом су усмерили све своје напоре ка насилном освајању. Манипулишући жељама вашег народа да спрече ваше противљење, користили су своје ратне машине да задају један разоран ударац за другим, а ви сте на крају били немоћни да се браните од њих.#Ратни таласи су вас преплавили док последње упориште Републичких снага пада пред непријатељем. Да је ваш народ био мање спреман да дозволе да их супарници надмаше у војној снази, да ли би на крају ваша судбина била другачија? Док ваши непријатељи руше улаз у тврђаву која је ваше последње упориште, ваше последње мисли постају мрачне док схватате да никада нећете сазнати одговор...
GAME_OVER_MILITARY_WIN2           | Мир, по најстрашнијој цени...#Ужасна цена је плаћена да би се остварили снови Републике. Како су ваши небески суседи постали насилни и бескомпромисни, били сте присиљени да бирате између сигурности свог народа и потпуног уништења. Кроз бројне расправе у одајама Већа направили сте ужасан избор: винути своје флоте у жариште рата и молити се да ће ваш народ преживети. Резултат је био горко сладак: иако су ваши људи изашли као победници, учинили су то по цену свих осталих интелигентних живота у галаксији.#Док последњи трагови сукоба одзвањају тишином свемира, спокојство обузима галаксију док нова ера мира започиње. Народ Салонске Републике, раширен по бројним световима, заједно гледа у небо на крају овог последњег великог рата, али се не могу чути овације или звуци славља. Велика туга захвата ваше срце у овом часу, јер схватате да док галаксија никада више неће знати страхоте рата, неће ни знати радости разноликости коју сам живот доноси...
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Мир, али по огромној цени#Док је ваш народ ширио поруку мира по галаксији, сусрели сте се  са бројним расама којима су ваше дипломате слале ваше поруке. Иако су неки одговорили на ваше предлоге обманама и насиљем, било је оних који су их усрдно саслушали и с временом почели да деле ваше ставове. Линије су биле повучене, и они који су одговорили на ваш позив изабрали су да вам буду савезници у овој борби и заједно сте преживели олују великог рата. Иако је ваш народ био приморан да делује против својих најсветијих и најдражих принципа, на крају је постигнута победа, а сада ваши савезници могу да учествују у плодовима благостања које само мир може донети.#Иако постоји огромна туга у одузимању толико живота и брисању живих цивилизација, у свом срцу знате да је било неопходно доћи до овог последњег поглавља у историји вашег народа: последњи велики рат који ће ова галаксија икада знати је дошао крају и мир ће коначно завладати. Хоће ли тај мир трајати заувек или не, зависи од верности савезника које сте на том путу склопили...
GAME_OVER_COUNCIL_LOSS2           | Коначно мир, без обзира на цену...#Коначно долази прави тест ваше одлучности. Галактички Савет је обзнанио своје намере и упркос вашој непоколебљивој жељи да мир буде водећа сила у галаксији, Господар Нове Републике ипак неће бити Сајлон. Иако су бесне расправе трајале у одајама сената, успели сте да се коначно договорите. Одлучили сте да препустите вођство [leader_empireStvu]. Али сви ваши односи с овом империјом су показали да су опасна раса и немате сумњи да ће вођа Нове Републике  одржавати мир само док то одговара њиховим циљевима.#А шта ће република ако се догоди рат? Шта ће учинити ако њено постојање више не одговара плановима галаксије којој се сада покорава? То ће бити пут којим ће ваш народ морати да хода у будућности и одлуке коју сте сада донели ће се или сматрати одлукама које су одржале сан о миру, или одлуке које су заувек запечатиле њихову судбину...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Мир, мада не онакав какав сте желели...#Одлука Галактичког Савета да гласа против вас као њиховог вође није наишла на одушевљење Сајлонаца. Срећом, били сте довољно мудри да предвидите овај резултат и спретно маневришете како бисте избегли далеко гори исход од оног који је настао: уместо вас, [leader_raceSka] раса ће одређивати будућност целе галаксије.#Док свиће сунце Ментара, и док ви устајете заједно са њим првог дана овог новог галактичког поретка, још увек се осећате победоносно због начина на који сте успели да управљате овим догађајима да бисте постигли овакав исход. Ваши савезници су се показали довољно мудри за овај задатак, и премда нико не гаји толико љубави према миру као ваш народ, надате се да некако можете веровати %8 да постигне ваш крајњи циљ...
GAME_OVER_REBELLION_LOSS2         | Република је у рушевинама...#Чинило се да се судбина окренула против ва од самог почетка. Потешкоће које потичу од одржавања свемирске империје и сталне претње ратом од стране туђинских сила показале су се довољно тешким, али последњи тест који се једноставно није могао игнорисати дошао је када је Галактички Савет одабрао вођу ратнохушкачке [leader_raceSke] расе као Господара Нове Републике. Знајући да галаксија не може остати у миру са тако насилним народом на челу, ваш народ је остао јединствен и корачао путем који их је на крају одвео у пропаст.#Ваш народ је поседовао интелигенцију без премца и створио је чудесне и разорне технологије која им је помагала у рату. Међутим, комбинована моћ Нове Републике је била је превелик залогај за вас, и на крају су ваше флоте изгореле пошто су се супериорни бројеви показали више него довољан одговор на вашу супериорну технологију. Сада, док се точак судбине припрема за свој коначни заокрет, последњи остаци Сајлонске Републике ускоро ће бити избрисани из галаксије. Жртва у првом од многих ратова који долазе, а без вашег народа који ће их водити у светлију будућност, мало је вероватно да ће ова галаксија икада знати за благодети које прави мир може донети...
GAME_OVER_REBELLION_WIN2          | Мир, али по ужасној великој цени...#Краткотрајне Нове Републике више нема! Иако су сви ваши напори настојали усредсреде империје ове  галаксије коегзистирају у хармонији, те исте империје су се показале као највећа препрека у остварењу вашег сна о миру. Ваши бројни покушаји дипломатије су наилазили на неверство и обмане, ваши супарници су вас ставили у позицију из које сте могли да изађете само једним начином. Сада су њихове флоте, њихови светови и њихове империје у рушевинама, јер чак ни комбинована снага читаве галаксије није могла парирати супериорном интелекту и технолошкој моћи Сајлона.#Ипак, на вашим раменима и даље стоји терет. Иако ће ваши историчари без сумње бити срдачни у опхођењу са вашим бившим непријатељима, то не мења чињеницу да је свака од ових јединствених култура избрисана, без могућности да заједно учествују у обликовању будућности. Ако ништа друго, Врховни Одборниче, ваш народ је на сигурном, а мир ће бити једина догма која ће постојати у будућности. Наравно, то ће бити тако све док се ваш домет не прошири даље од ове галаксије и до онога што вас чека у непознатом...
GAME_OVER_REBEL_ALLIANCE_WIN2     | Мир, али по високој цени...#Давно су ваши људи гледали у ноћно небо са надом у боље сутра, а цела ваша раса била је уједињена у потрази за стварањем масивне свемирске империје која би складно постојала са својим небеским суседима. Како се ваша кампања приводи крају, остварили сте свој сан на начин који нисте очекивали и на начин који сте се трудили да спречите. Иако је основана нова галактичка империјална федерација, одлука о именовању насилног вође на њихов највиши положај приморала вас је да се последњи пут борите за мир. Храбро сте стали пред непријатељски талас и објавили рат против овог деспотског режима и упркос малим шансама сте успели.#Судбина вам се насмешила у овом подухвату, јер су многи други били инспирисани вашом храброшћу и смиреношћу, и у овој борби нисте стајали сами. Ваши савезници борили су се са жестином која узнемиривала противнике, а заједно сте успели да уништите све оне који би галаксију заронили у вечни рат и донели сте вечни мир овој галаксији. Сада започиње нова ера, Врховни Одборниче, и ви се надате да ће се они који су одлучили да стварају нову будућност са вама одлучити да се придржавају нових принципа све док ваш народ постоји...
GAME_OVER_COUNCIL_WIN2            | Напокон мир, на добробит свих!#Коначно, ваша мисија се величанствено завршила! Искушења са којима сте се сусретали током дугих година од поласка у свемир показала су се тежим него што сте очекивали. Иако је ваш народ већ одавно знао да је миран суживот једини истински пут, било је неопходно убедити моћне империје са којима сте се сусретали на свом путовању. Кроз стручну дипломатију и монументално стрпљење успели сте у својим подухватима и сада сте несметано на позоцији Господара ове галаксије.#Сада започиње нови тест. Како Сајлонска Република преузима вођство галаксије, ваша цивилизација ће бити пример за свима осталима који следују. У будућности ће вас чекати још потешкоћа јер ће старе напетости и културне разлике испливати на површину и нарушити мир за који сте толико напорно радили. Али знате да све док ваш народ остане непоколебљив у својој визији, ниједно живо биће у овој галаксији никада више неће морати да искуси ратне страхоте!
GAME_OVER_COUNCIL_MILITARY_WIN2   | Напокон мир, иако је горко-сладак...#Једном када сте преузели вођство Нове Републике, надали сте се да ће то означити нови почетак галаксије у којој ће насиље и рат уступити место миру и просперитету. Међутим, ваше наде су убрзо потонуле, јер су се најзлобнији становници галаксије подигли против ваше владавине и гурнули све познате империје у још један ужасан рат. Видевши како вам последња шанса за мир измиче пред очима, донели сте једину одлуку коју сте могли: да пуном снагом Нове Републике изађете у сусрет њиховој агресији и заједно сте ви и ваши савезници послали своје флоте да поново успоставе ред у галаксији.#Са комплетно разореним побуњеницима, мир коначно може да добије праву шансу. Тужно је што је толико њих ускратило себи право да помогне у обликовању блиставе будућности која је пред нама, али не можете много времена потрошити на тугу која вам тешко пада на срце. Они су изабрали своју судбину и ви сте им њихову судбину остварили. Врховни Одборниче, нова ера свиће са вама на челу. Преостало је још много посла...
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Нова Република је у рушевинама...# Стравична судбина вас је задесила. Таман кад се ваша мисија коначно приводила крају и кад сте хтели да уберете плодове свог дугог труда, ваш сан о мирној федерацији империја вам је отет. Иако су многи у Галактичком савету прижељкивали хармонију и просперитет и видели да је вама суђено да поведете галаксију у такву будућност, појавила се гнусна побуна јер они који су били најсклонији насиљу нису били спремни да оставе по страни своју исконску потребу за дивљачком свирепошћу. Против сопствених идеала, водили сте снаге Нове Републике у сусрет овој претњи, а против тако велике силе нисте могли да однесете победу.#Сада је галаксија много празнија него што је била раније, и ваша поносна и племенита цивилизација је у потпуности избрисана. Док се ваши непријатељи ругају вашим принципима као слабим и идеалистичким, и ви знате да ће историја бити подједнако немила према вашем неуспеху. Они који остану ће се трести од страха од тираније и рата, а насиље ће владати уместо мира. Ово је крај који сте најмање желели у овој дугој и тешкој борби, а бар за вас је прича дошла до најжалоснијег краја...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | неупоредиви интелект Сајлона надмашује
GAME_OVER_REBELLION_LOSS3         | непопустљива жеља Сајлона
