// race-specific variables (must start with _)
_empire                           | Ханството Мършан, Ханството Пършан, Ханството Мяушан, Ханството Ноктшан, Ханството Писшан
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Плячката от тази галактика е за вас и вашите съюзници...#Вашите нападения най-накрая дадоха блестящи ценни съкровища надвхърляйки всякакви очаквания. От първите ви стъпки в дипломацията стана очевидно, че вашата горда култура никога няма да може да съжителства мирно с онези, които държат такива чудни съкровища, без да има сили да ги защити. Знаехте, че войните ще бъдат неизбежни. Но изненадващо открихте други в дълбините на космоса, които не само имаха сили да защитят собствената си плячка, но и интерес да добавят и към собствената си каса.#Заедно вие и вашите съюзници водехте войни, за които ще се говори в легендата до самия край на времето. Споделяли сте в завоевания и богатства. Докато телата на вашите крехки врагове лежат счупени по пътя към бъдещето, трябва само да разделите плячката и да се насладите на тръпката на победата. Но едно предупреждение, Златен хан: колкото и упорито да се бият съюзниците ти до теб, онези, които имат око за злато, могат да насочат погледа си към приятелите си, когато няма повече врагове със съкровище...
GAME_OVER_COUNCIL_LOSS2           | Нападенията ви и начинът ви на живот внезапно приключиха...#Най-голямата заплаха за културата на вашия народ най-накрая е осъзната. След безброй години изследване на космоса и завладяване на звездите, различните империи, които съставляват тази галактика, са решили да се откажат от враждата от миналото и да се обединят в едно съвместно съжителство, което те наричат ​​Нова република. И тъй като всички нови епохи заслужават нови лидери, Галактическият съвет избра един, който да ги насочи към тази нова епоха. Достатъчно е да се каже, че те не са избрали вас.#Въпреки че сте се постарали с всики сили в дипломацията, хармоничното съжителство никога не е било силната страна на вашите хора. Недоверието, което идваше от постоянните ви нападения и старите рани, нанасяни над подчинените ви, накара вашето дипломатическо положение сред съвета да бъде необратимо опетнено. С единството на галактиката вече сигурно, което не можете да се надявате да заобиколите, вашите атаки за съкровища и слава сега са приключили завинаги. Вашите хора трябва да се адаптират към тази нова епоха или ще умрат, опитвайки се да го направят...
GAME_OVER_REBELLION_LOSS2         | Скъпоценните ви съкровища са вече незащитени...#Дните на вашите хора, грабещи тази галактика от най-чудните й съкровища, са приключили. С образуването на Новата република и обединяването на галактиката под знамето на расата% 6, вие знаехте, че свещените традиции на културата на вашия народ ще бъдат обречени, ако не се бунтувате срещу идването на тази заблудена нова епоха. Но независимо дали в сляпо подчинение към новия си господар или страхът от твоя народ и репутацията, която са спечелили в цялата галактика, ти се бори сам с този бунт.#Съперниците ти знаеха, че не могат сами да се бият с армиите на Мършан и да си тръгнат победоносно и така вместо това обединиха ресурсите си и флота си, докато стояха рамо до рамо срещу вашия бунт. Въпреки че вашите хора се бориха с легендарната упоритост, която вдъхваше страх в цялата галактика, нито те, нито вие можехте да се надявате да надвиете обединените сили на Новата република. Сега вашият бунт стига до най-злощастния край и всичко, което остава на победителите, е да поискат плячката само за себе си...
GAME_OVER_REBELLION_WIN2          | Съкровищата на тази галактика са ваши за вземане!#Времето на ханствата най-после започна. Още в самото начало на нахлуването ви в неизследваната галактика, вие срещнахте космически цивилизации, които търсеха свои цели сред морето от звезди. И все пак въпреки тяхната напреднала култура и технологични иновации, всички сега са паднали пред вас и вашата несравнима свирепост. Първоначално бяхте повече от доволен да оставите тези цивилизации да продължат, както бяха, давайки на хората безкрайни източници на спиращо дъха съкровище. Но когато те решиха да сформират нов съюз в това, което несъмнено беше опит да попречи на хората ви да продължат своя начин на живот, вие взехте единствения отговор, подходящ за онези, които биха посмели да ви се противопоставят.#С вашата хитрост, умение и упоритост, бойното поле, вашият бунт срещу новия галактически ред завърши с пълна победа. Плячката на хиляди светове лежи свободна и незащитена, защото онези, които са я пазили, са били отстранени от пътя, със собствените ви ръце. Вземи ги, Златен хан! Радвайте се и подгответе хората си за плячката, която лежи в галактики отвъд ...
GAME_OVER_REBEL_ALLIANCE_WIN2     | Плячката от тази галактика е за вас и вашите съюзници...#Беше лесно решение да издигнете знамето си в бунт срещу Новата република. Знаете, че галактиката не мисли много за вашите хора и за начина им на живот. Докато историите за вашето бойно майсторство и ужасяващите атаки, които извършвахте в съперничещи империи, се разпространяваха из цялата галактика, вие знаехте, че обединеният галактически ред ще представлява непреодолима заплаха за вас, след като се формира. Подобно на истински лидер от легендите на древните ви хора, вие действахте по-бързо, отколкото другите можеха да очакват, и удряхте срещу този ред в открита война. И когато го направихте, попречихте на враговете си да намерят опората, която им е необходима, за да затрупат флотите на ханството.#За ваше голямо удоволствие открихте други, недоволни от формата, която бъдещето започва да приема, и в замяна на малък дял от плячката, вие създадохте нов съюз, който ви помогна да утвърдите надмощие над ужасно зле подготвените сили, които се събраха срещу вас. Съперниците ви са напълно заличени и съюзниците, които сте създали, няма да имат никакъв шанс срещу вашата сила, ако някога престанат да ви бъдат полезни. Сега остава само да вземете това, за което сте се борили толкова силно...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Вашата плячка поне ще бъде в безопасност в тази нова епоха...#Никого не шокира, това че Галактическият съвет няма да разбере вашето величие и отказва да ви даде ръководството над Новата република. Нападенията ви в други империи направиха хората ви непопулярни и малцина са готови да погледнат вашите културни норми, за да разберат хората ви на наистина значимо ниво. Но независимо дали чрез наивността или чувството за истинност, които са спечелили други толкова много хора за тяхната кауза, вие успяхте да намерите общ език с расата% 6 и знаейки, че това ще бъде най-добрият ход за вашите хора.#В знак на благодарност и благодат сте успели да осигурите сигурността на плячката си, без да е необходимо да плащате репарации на онези, от които сте ги взели, благодарение на щедростта на вашите съюзници% 6. Посредством този мир вие неохотно се съгласихте да прекратите атаките си и сега трябва да проучите нови пътища, за да овладеете желанията на хората си. Но със сигурност това е по-добро от бъдещето на сигурно унищожение, с което ще се сблъскате, ако сте избрали да се бунтувате срещу своя съюзник...
GAME_OVER_COUNCIL_WIN2            | Тази галактика и нейните съкровища принадлежат само на вас!#Най-великият ден в историята на вашия народ най-накрая дойде: Златният хан стана Господарят на Новата република. Още от самото начало вашите хора си направиха ужасяваща репутация като насилници. Въпреки че в миналото срещу вас бяха издавани много викове, всички гласове замлъкват, когато Галактическият съвет разпознава вашата непреодолима сила. Със сигурност някои от империите, които са ви помогнали да ви изберат, се надяват да станат истински приятели на вашия народ, но знаете, че по-голямата част от онези, които са ви поставили тук, са го направили от страха да не ви събудят гнева. И това ви радва!#От този ден нататък всички империи в Новата република ще ви отдадат почит. И за престъплението да се опитват да ви се противопоставят в залите на съвета, империите, които са гласували против вашето възнесение, завинаги ще бъдат обект на атаки на вашите хора. Галактиката принадлежи на Мършан и тя ще продължи да ви бъде подчинена до самия край на времето. Приветствайте новата епоха и поздравете Златния хан!
GAME_OVER_COUNCIL_MILITARY_WIN2   | Плячката от тази галактика е за вас и вашите съюзници...#Сега вашето славно царуване наистина може да започне. Легендарната сила на вашите хора на бойното поле и историите за ужасните атаки, които извършихте, доведоха до това да станете Господар на Новата република. Но въпреки че мнозина се страхуваха да не събудят гнева ви, все пак имаше и такива, които са твърде глупави, за да бъдат разклатени от вашите прояви на сила. С нетърпение да поемат собствеността върху своето съкровище и да го добавят към нарастващите си орди, вашите хора се втурнаха, за да смажат бунта и да получат своите награди, този път с подкрепата на цялата обединена армия на Новата република, която сега управлявате.#Бунтът приключи още преди да започне и армиите на узурпаторите са победени с минимални усилия. Събрали съкровищата си, Мършан минава през плячката, изхвърляйки боклука, за да се даде като награда за по-малките империи, които ви служат. Тъй като бунтовниците служат като пример за това, което се случва, когато сте недоволни, нямате очаквания  някой съперник някога да се изяви отново. Насочете вниманието си сега към други галактики, тъй като те имат плячка, която чака да бъде ловена, и още по-блестящи съкровища, които да добавите към вашата колекция...
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Скъпоценните ви съкровища са вече незащитени...#Въпреки че първоначално успяхте да използвате страха, за да смажете несъгласието на вашите съперници и да станете господар на новата република, имаше достатъчно смели войни, които да застанат срещу вас и бъдещето, което сте си представяли. Вашите хора бяха горди и силни, украсени с плячката от безброй атаки и нетърпеливи да спечелят още съкровища от друго неизбежно завоевание. Но те не видяха или не можаха да видят опасността, която представлява бунтът, и непоколебимата смелост, която бунтовниците проявяват, ще се окаже вашият край.#Не успяхте да спрете въстанието да дестабилизира републиката и да ви свали от трона. Първо вашите подчинени паднаха, последвани скоро от вашите хора. Изглежда, че в крайна сметка самата галактика е избрала срещу бъдещето, което сте планирали. В крайна сметка каква е волята на един народ, колкото и да е силен, срещу неукротимата ръка на съдбата...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | ненаситната алчност на н Мършан поглъща
GAME_OVER_REBELLION_LOSS3         | алчността за съкровища на Мършан
