// race-specific variables (must start with _)
_empire                           | Меклар Доминион, Меканар Доминион, Кибернар Доминион, Диджитар Доминион, Технар Доминион
MAIN_ADVISOR_RESIST_COUNCIL       | Новият лидер на Галактическия съвет е заплаха за целите на Доминиона. Мобилизирайте всички сили, за да елиминирате лидера и съюзниците
MAIN_ADVISOR_COUNCIL_RESISTED     | Бунт от слаби вражески видове. Доминион сега управлява галактиката. Изпратете всички флоти, за да заглушите несъгласните. 

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Съдбата тежко ви напомни, че не сте безсмъртни...#Вашата мечта лежи неосъществена, тъй като вашата цивилизация лежи в разруха. Извънземните форми на живот, които съставляваха съперничещите империи, бяха по-силни от това, с което можехте да се сравните, въпреки непреодолимо превъзхождащата ви биотехнология. Въпреки многократните ви твърдения, че хората ви не търсят нищо повече от това да бъдат оставени сами в търсенето на технология за удължаване на живота, вашите съперници са направили всичко възможно, за да осуетят амбициите ви на всяка крачка. Независимо дали са направени от страх, за спорт или може би без никаква причина, те избраха да ви възпрепятстват и сега вашите хора си отидоха завинаги.#В друго време, в друга реалност, вашите хора щяха да намерят безсмъртието, което търсеха и създаването на народ, който може да изпита радостта от споделения вечен живот. И в онази вечност, в тази реалност, когато времето вече не беше техен господар, мекларите щяха да отключат тайните на Вселената и самото съществуване. В тази реалност обаче вашите хора вече не са, и Мейнфрейм лежи разбит в дълбините на Меклон...
GAME_OVER_MILITARY_WIN2           | Няма повече пречки в търсенето на безсмъртието!#Всичко, което вашият вид искаше, беше да бъдете оставени сами да преследвате мечтите си за вечен живот. От преди векове, когато започнахте използването на механични тела, само това беше движещият фактор в основата на цивилизацията на Меклар. Но за Мейнфрейм стана очевидно, че тези извънземни форми на живот, които сте срещнали в търсенето си, представляват заплаха за това, което хората ви се надяват да постигнат. Винаги, когато е взето решение за война, военните ви се мобилизират без колебание, като поразяват враговете си един по един, докато никой не остане.#Без съперници, които да ви разсейват или да съхраняват тайни знания за себе си, вие вече сте свободни да постигнете крайната си цел. Цялата тази галактика е пълна с ресурси, които ще ви позволят да намерите отговора, който търсите, докато разпространявате цивилизацията си до всеки ъгъл в преследване на мечтата си. И когато вашите хора най-накрая приключат това, което са се замислили отдавна, цялата тази галактика и нейните плодове ще бъдат ваши, за да се наслаждавате завинаги...
GAME_OVER_MILITARY_ALLIANCE_WIN2  | След елиминирането на враговете ви вече можете да се съсредоточите върху безсмъртието...#""Какво накара тези същества да водят война срещу нашия народ?" Това е въпросът, който си задава Мейнфрейм. Защото и всички умове на мекларите са озадачени защо привидно интелигентните създания биха действали, за да ускорят неизбежната си смърт, като се изправят срещу вашите сили. И както беше предсказано от висшия интелект, който командва вашето общество, те също паднаха.#За щастие, не всички бяха толкова глупави, че да мислят, че са в състояние да ви попречат да постигнете целите си за безсмъртие. Успяхте да създадете съюзници, които ви помагаха във войните, и направихте гибелта на вашите врагове още по-сигурна. Щастливи сте да разделите ресурсите и тайните на тази галактика с тези, които са ги спечелили заедно с вас. И когато дойде денят, в който хората ви постигнат целта си за вечен живот, може би ще се радвате да споделите това и със своите съюзници...
GAME_OVER_COUNCIL_LOSS2           | Търсенето ви е в сериозна опастност...#Съперниците ви са ви осуетили, без дори да са знаели, че са го направили. Създаването на единна република на междузвездните империи и походът към бъдещето заедно под едно знаме беше най-логичният начин за осигуряване на мир в цялата галактика. Но вероятността хората да могат да открият ключа към истинското безсмъртие е намалена почти до нула, тъй като обвързването на бюрокрацията сега със сигурност ще възпрепятства всеки ваш напредък. Когато някога сте имали възможността просто да елиминирате вид, който е настоявал да се превърне в пречка, вие не смеете да го направите сега и рискувате да навлечете гнева на цялата галактика върху себе си. Вашата позиция с расата% 6, които станаха избраните лидери на тази Нова република. Всеки ваш ход, който ги ядосва, несъмнено ще усложни вашите схеми. Когато малка обида може да доведе до затрудняване на свободата ви на движение и информация на територията на републиката, повишаването на достатъчното им ярост със сигурност ще доведе до изчезване за вас и вашите хора...
GAME_OVER_REBELLION_LOSS2         | Съдбата тежко ви напомни, че не сте безсмъртни...#Това е най-тежката несправедливост, която вашият народ сега трябва да изтърпи. Мейнфрейм, мъдър отвъд всички нива на разбиране и притежаващ интелигентност извън всякаква мярка, беше решил, че изкачването на расата% 6 като владетели на Новата република ще откаже на мекларите способността да изпълнят някога крайната си цел. За да предотвратите това, ви беше наредено да организирате открит бунт срещу цялата галактика, за да защитите бъдещето си. Въпреки че Мейнфрейм не ви даваше несигурност, че резултатът вероятно ще бъде слаб, това беше предпочитана съдба пред бъдещето под петата на новите ви господари.#Сега единственото безсмъртие, което Меклар някога ще има, е това, което се дава на тези, които са записани в историята. Вашите знания и технология ще бъдат отворени за всички, за да ги видят и използват за свои собствени цели, а в бъдеще дори един от вашите официални съперници може да успее там, където сте се провалили, и да отключи тайните на безсмъртието...
GAME_OVER_REBELLION_WIN2          | Няма повече пречки в търсенето на безсмъртието!#Мейнфрейм отново предостави прозрението, от което се нуждаете, за да осигурите съществуването на хората си. Когато извънземните, известни като "% 6", станаха владетели на Новата република, Mainframe знаеше, че за вашата цивилизация не съществува бъдеще под петата на такава потискаща и отмъстителна империя. Въпреки че хората ви знаеха, че има малка вероятност за победа срещу обединените флоти на галактиката, те с радост тръгнаха напред във война, вярвайки преди всичко в мъдростта на вашия древен оракул. С енергичност и решителност мекларите се бориха дълго и упорито и сега най-накрая победиха.#Никой не остава, който е способен да осуети или дори да попречи на вашите хора в стремежа им към безсмъртие. Знанията на вашите паднали съперници скоро ще бъдат извлечени, изучени и използвани или изхвърлени, както сметнете за добре. Всеки свят в тази галактика е ваш за вземане, както и всички тайни, които те съдържат. Въпрос на време е самото време вече да няма значение, защото в много близко бъдеще вашите хора ще се научат да мамят смъртта и да живеят вечно..
GAME_OVER_REBEL_ALLIANCE_WIN2     | След елиминирането на враговете ви вече можете да се съсредоточите върху безсмъртието...#Вие и вашите съюзници сте променили хода на историята. Когато порочната и злобна раса% 6 стана Господарите на Новата република, вие знаехте, без дори да се налага да се консултирате с главния кадър, че вашите хора са в най-голямата опасност. Маршалирайки флотите си, за да нападнат заплахата% 6 и онези, които бяха до тях, вие прозвучахте за бунт, който отекна в галактиката. Още преди войната дори да започне, призивът отекна сред истинските ви съюзници, тъй като само те бяха достатъчно мъдри, за да видят накъде ще доведе бъдещето. С спечелената война вече можете да преследвате безсмъртие в мир. С удоволствие ще оставите съюзниците си сами да се надяват, че те с радост ще им върнат услугата. Ако решат да не го правят, независимо дали сега или в бъдеще, призивът за война може да бъде чут отново в галактиката ...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Загубихте трона, но продължавате с търсенето си...#Малко биха могли да се надяват да разберат колко дълбоко копнеят хората ти да постигнат безсмъртие. Откакто за пръв път срещнахте други цивилизации, които притежаваха способността да пътуват сред звездите, бяхте смятан за странен, ако не и опасен, от всички, с които се сблъскахте. Единственото изключение от невежеството на вашите съперници е расата% 6, която ви е гледала с уважението, което заслужава вашата горда и древна култура. Сега те носят тежестта на Господаря на Новата република, а вашите хора ще извлекат ползите.#Чрез внимателна дипломация и прикриване на вашите намерения, вие вярвате, че ще бъде просто да се поддържат хармонични отношения с новия владетел на галактиката, и по този начин ще осигурите не само бъдещето на цивилизацията Меклар, но и бъдещето на вашите търсения. С Mainframe, който да ви насочва и подкрепата на вашите хора, нищо не би могло да се обърка...
GAME_OVER_COUNCIL_WIN2            | Няма повече пречки в търсенето на безсмъртието!#Мекларите вече са се появили като господари на тази галактика! Вашият народ винаги е бил най-решителният от всички империи, които са тръгнали да завладяват звездите. Сега тяхното търпение ги е довело до това бъдеще, в което техните желания ще оформят бъдещето на тези безброй звезди. Стремежът ви към безсмъртие е абсолютен и сега, когато ръководите Новата република без опора, всички ресурси на тази галактика вече са на ваше разположение.#Най-великите умове на подчинените империи ще бъдат използвани добре за разкриване на тайните, които ще доведат към вечен живот за твоя народ. Дори и най-агресивният от бившите ви съперници ще бъде подчинен от заплахата от силата, която сега бихте могли да внесете срещу тях. С Мейнфрейм, който да ви насочва и решителността на вашите хора е по-силна от всякога, можете да бъдете сигурни без съмнение, че безсмъртието вече се е превърнало в неизбежност! 
GAME_OVER_COUNCIL_MILITARY_WIN2   | Няма повече пречки в търсенето на безсмъртието!#Най-накрая тази дребна дипломация приключва. Твърде дълго сте били принудени да търпите монотонността в отношенията с по-малки видове и техните тривиални мотивации. Надявахте се, че ще бъде завършено, когато станахте господар на новата република, което ви позволява да прекарвате по-малко време с подробностите за успокояване на съперниците си и повече време, фокусирайки се върху търсенето на безсмъртие. Но животът рядко е подреден и разбира се е имало глупаци, които са отхвърляли вашето възнесение и са се надигали срещу вас. За щастие, вие знаехте как да сложите край на тези разсейващи фактори веднъж завинаги.#С еднозначна ярост насочихте своите флоти и тези на съюзниците си, за да премахнете бунта без предразсъдъци. Докато световете на враговете ви падаха на свой ред, вие се приближихте толкова много до това, че можете свободно да преследвате крайната си мечта. Сега, когато бунтът приключи, вие сте твърде щастливи да позволите на съюзниците си да се опитват да постигнат каквито и да са оскъдни цели. Ще бъдете твърде заети, в търсенето на безсмъртие, за да се притеснявате за тях така или иначе!
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Съдбата тежко ви напомни, че не сте безсмъртни...#Събитията, които ви доведоха до този момент, бяха толкова непредвидими, че дори Мейнфрейм не го счете за осъществим резултат. Всяка стъпка от плана ви беше минала точно както предвиждаше Мейнфрейм, от благоприятната ви дипломатическа позиция сред империите на галактиката до получаването на позицията на господар на Новата република. Достатъчно силен, за да предизвика бунт, винаги е бил вероятен и когато някой започне да се формира, не сте изненадани. Това, което не успяхте да осъзнаете и не реагирахте, беше огромната сила, която притежаваше бунтът, и сега цената е ваша, която трябва да платите. Ти беше безсилен преди бунта, който си вярвал, че можеш да смажеш. Докато вашата империя се разпадаше около вас, мечтите на вашите хора за постигане на вечно дълголетие умираха заедно с тях. И както вашите съюзници паднаха на ваша страна, така и техните надежди и мечти за мирно бъдеще за всички...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | механичната точност на поглъщащия Меклар
GAME_OVER_REBELLION_LOSS3         | студената безчувственост на мекларите
