// race-specific variables (must start with _)
_empire                           | Конклав Саакра, Конклав Рептаран, Конклав Сауран, Конклав Раптаран, Конклав Рептолан
MAIN_ADVISOR_SCOUT                | Нарешті ми можемо почати вдосконалювати середовища інших світів! Прем'єр-магістре, настав час розвідувати космос й колонізувати планети!
MAIN_ADVISOR_TRANSPORT            | Нарешті! Перша колонія Саакра була створена! Але ж для вирішення загадок тієї планети потрібно більше персоналу. Лише так ми зможемо вдосконалити планету %1!
MAIN_ADVISOR_DIPLOMACY            | Ми зустріли істот, які здатні до космічних польотів. Ми ще не впевнені, як саме вони ставляться до своїх планет. Саме тому ми повинні з обережністю розпочати з ними діалог. 
MAIN_ADVISOR_SHIP_ENGINE          | Новий дизайн суднових двигунів був розроблений! Це відкриває безліч можливостей усіх Саакра галактики. Залишилось лише переглянути креслення кораблів...
MAIN_ADVISOR_RALLY_POINTS         | Ми відчуваємо "дискомфорт" у наших відносинах з нашими сусідами... Для захисту наших планет, я рекомендую встановити пункти збору. Це є важливим кроком в організації нашого флоту.
MAIN_ADVISOR_MISSILE_BASES        | Мені болюче пропонувати забруднять планети, але для їх захисту нам необхідні ракетні бази. Ймовірно це єдине рішення...
MAIN_ADVISOR_SHIP_WEAPON          | Ми відкрили новий вид корабельної зброї. Її використання допоможе нам знищувати кораблі ворогів ще ефективніше. Ми неодмінно повинні застосувати цю технологію у майбутньому будівництві нашого флоту. 
MAIN_ADVISOR_COUNCIL              | Інші імперії запропонували скликати засідання, в якому ми вважаємося членом Галактичної Ради. Це дасть нам можливість більше впливати на інших, а тому і на їх планети.
MAIN_ADVISOR_REBELLION            | Магістре! На планеті %1 розпочалось повстання. Хтозна, в чому причина, але є лише одно розв'язання цієї проблеми!
MAIN_ADVISOR_RESIST_COUNCIL       | Ні! Ми не підкоримося, так? Ми воюватимемо за всіх Саакра та усі планети Всесвіту! Я і не можу уявити альтернативу...
MAIN_ADVISOR_COUNCIL_RESISTED     | Ці нікчемні повстанці! Ми благородно терпіли їх існування, а вони лише прагнуть бунтувати й заважати нам? Накажіть нам знищити їх, Магістре. Накажіть нас звільнити їх планети.
 

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Жахлива доля світів галактики...#Колись ви вселяли надію у свій народ. Колись ви були символом нового віку та нових можливостей. Але ж не тепер. Тепер ви лише нагадування про катастрофу, якою було ваше правління. Ви вирішили до зірок з турботою й допитливістю, очікуючи знайти нові загадки та унікальні екосистеми. І, хоч ваш пошук був успішний, вас оточували вороги, чий голод й жадібність вели вас до трагедії. Вони захоплювали території й експлуатували їх, не замислюючись о їх екології. А зовсім скоро не залишилось жодної не колонізованої планети...#Їх голод звернувся до вас. Їх жадібність змусила їх діяти. Безжальні істоти завойовували колонії й знищували весь той результат турботи Саакра. Але весь жах був лише попереду: незабаром вони дійшли до Сссла, смарагду Конклаву і результату століть роботи вашого народу. Екосистема, яку вдосконалювали покоління Саакра, була знищена вже через декілька днів окупації. Хто ж винен у настільки жахливій долі вашого народу? Але це навряд чи важливо зараз... Ви скоро помрете, а гармонія у всесвіті вже назавжди втрачена...
GAME_OVER_MILITARY_WIN2           | Вдосконалення Галактики нарешті завершилось!#Перемога! Саме її ви здобули для себе, свого народу та усіх планет Галактики. Ви отримали місце прем'єр-магістра Конклаву, пообіцявши здобути вдосконалення усіх планет Галактики. І саме ви вели свій народ у космос, саме ви були напередодні будівництва біокуполів та розгадок екосистем. Не у багатьох були страхи й сумніви, коли вони побачили ваших майбутніх ворогів, бо довіра, яку ви вже здобули собі, говорила за вас. Ваші супротивники ж не побачили вашої мудрості, вони не розуміли важливість вдосконалення екології.#З часом, їх загрозу ви вже не могли терпіти. Вони змусили вас стати їхнім катом, тим самим лише закріпивши свою долю. Тепер у вас вже є століття. НІ! Тисячоліття, щоб виправити ту шкоду, яку вони завдали, а далі й вдосконалити увесь доступний простір. Бо Галактика це річка, а кожна планета — її приток. Потрібні лише час і ресурси, яких у вас багато. Ви вже можете побачити плоди своєї праці: той золотий вік, який ви привели, триватиме до кінця часів...
GAME_OVER_MILITARY_ALLIANCE_WIN2  | Вдосконалення Галактики нарешті почалось...#Хоч це й не та перемога, якої ви найбільш бажали, ви не можете заперечувати, що ви радієте результату, якого ви здобули. Ви знали, що в цій галактиці будуть інші раси, які просто розглядатимуть свої планети як ресурси для використання. Але ж ваш народ був готовий боротися й захищати кожну планету, якою б маленькою вона не була. Тепер же, коли ваші вороги перетворилися на пил, ви розумієте, що делікатний баланс кожної екологічної системи ніколи не підкорятиметься примхам тих, хто хоче завдати їм шкоди.#Саме тому ви радієте, що у минулому коло вас були союзники, міць яких допомогла знищувати ворогів й звільняти планети. Вони знайшли той сенс у вашій мудрості й з повагою прислухалися до послання, яке ви створили. Чи були у них свої інтереси в тих битвах? Безсумнівно! Але ж вони розуміють важливість дружби й майбутнього у мирі. Може це через страх, але ж вони не будуть воювати з вами. І це дуже добре, бо ще багато часу пройде, перш ніж екосистеми всіх планет прийдуть у норму, перш ніж ви вдосконалите їх...
GAME_OVER_COUNCIL_LOSS2           | Жахлива доля світів галактики...#Махінації ваших ворогів привели до вашого безсилля. Коли ви тільки розпочинали свою подорож серед зірок, коли тільки починали вдосконалювати планети, ви вже тоді бачили, що деякі з них будуть під контролем і владою інших імперій. Ви зрозуміли, що вам необхідна дипломатія для того, щоб розгадати головоломки тих світів. Ви наївно полягали, що зможете привести зміни, принести свою філософію до всіх імперій у галактиці. Але ж це було лише помилкою. Ваша влада в Галактичної Раді не здобула результатів, а далі...#Вона розпалась й сформувалась ця "Нова Республіка" під керівництвом [leader_empire2]. Та ви знаєте на що вони здатні! Ви ще ніколи не бачили бруднішої раси у Всесвіті. Але ж ви не змогли переконати інших в цьому... Ця помилка, безперечно, буде шкодувати вам усього прогресу в вдосконаленні планет і, може, назавжди зруйнує всі секрети у галактиці... Ви можете лише сподіватися, що нове керівництво буде милосердним до вашого народу. Не тільки заради них, а й заради кожної окремої планети в галактиці...
GAME_OVER_REBELLION_LOSS2         | Жахлива доля світів галактики...#Ваша завзятість та ідеалізм привели вас до цього... Ваші вороги розгромили ваші армії й захопили ваші планети. Тепер же, безсумнівно, екосистеми будуть зруйновані, а ваші вдосконалення планет забуті. Колись ви наївно полягали, що, граючи в їхні політичні ігри, ви зможете похитнути їхнє мислення, щоб воно більше відповідало вашій філософії. Але, коли злобна раса [leader_race_plural2] захопила усю владу Нової Республіки, не було сумнівів про те, що мирні переговори та співіснування вже неможливі. Заради себе і планет, які ви захищали, ви взяли рушниці та пішли у бій. Ви справді були впевнені, що перемога можлива...#Але ж ви пізнали поразку... Захищаючи ваші ідеали, ви загинули. А ця поразка буде трагедією не лише для всього народу Саакра, але й для всієї Галактики, чий найбільший захисник був знищений...
GAME_OVER_REBELLION_WIN2          | Нарешті планети Галактики  будуть врятовані!#Цей момент, момент реалізації, що ви здобули перемогу, що знищили усіх тих, хто заважав вам і вважався загрозою екосистемам Галактики... Його вже не забути... Ви подолали кожну перешкоду, з якою стикалися під час будови своєї міжзоряної імперії, жодного разу не забувши про свій найголовніший обов’язок — захищати природну пишність світів, які ви вважали своїми. Кожному, хто наважився виступити проти вас, швидко показали помилку їхніх шляхів, і коли [leader_race_plural2] загарбали владу в Новій Республіці, ви були змушені довести, яку помилку вони здійснили.#Там тепер вже немає ворогів, які б протистояли вашій волі, і немає живих дурнів, здатних завдати шкоди планетам, які ви охороняєте. Ваші люди можуть не поспішаючи шукати рішення екологічних головоломок, які представить їм кожен світ. І коли вся галактика отримає ідеальну природну гармонію під вашим керівництвом, ви будете готові взяти під свій захист і світи інших галактик. Хай процвітає Конклав Саакра!
GAME_OVER_REBEL_ALLIANCE_WIN2     | Ви скоро вдосконалите усі планети...#Ви здивовані тим, як склалася доля. Спочатку мирне вирішення суперечок між імперіями здавалося найкращим способом запобігання непотрібної шкоди дивовижним планетам Галактики. Однак у вас не було іншого вибору, окрім війни, коли Галактична Рада обрала ворога природи, щоб очолювати Нову Республіку. Ви підняли прапор повстання проти цієї системи, і були готові загинути заради перемоги.#Але ж ви були здивовані, зустрівши інші імперії, що бажають приєднатися до вас та звільнити Галактику від тиранії. Ті, хто воював на вашому боці, виявилися такими ж завзятими, як і ваш народ, і разом ви знищили хибний порядок і встановили нову систему для галактики, в якій добробут усіх планет буде найбільшою турботою. І, якщо ваші союзники вирішать у майбутньому відійти від цього напрямку, ви володієте знаннями про те, як ефективно битися і навіть знищувати їх. Дійсно, тепер ви впевнені, що кожна планета досягне свого потенціалу під вашим керівництвом, незважаючи ні на що...
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Ви скоро вдосконалите усі планети...#Воістину, це був найкращий результат, на який ви могли сподіватися в вашій ситуації. З перших зустрічей з іншими імперіями ви розуміли, що їх різноманітні недоліки завадять їм коли-небудь побачити істину у вашій філософії. Попри це ви вирішили побудувати мости між Саакра та расою [leader_race_plural2] і допомогти їм здобути позицію, вигідну вам і вашому народу. Тепер їх лідер вважається великим Правителем Нової Республіки, і, як їхні найближчі довірені особи, Саккра готові пожинати плоди цього товариства.#Ваш план простий: впливати на свого союзника [leader_race4], щоб забезпечити вдосконалення кожної планети в Республіці. А якщо більш уперта імперія прагне перешкодити вашій волі, у вас є друг, який допоможе і підтримає вас. І саме так ви гарантуватимете, що планети залишаться в безпеці відтепер і назавжди...
GAME_OVER_COUNCIL_WIN2            | Нарешті планети Галактики будуть врятовані!#Ви досягли перемоги, до якої ваші люди прагнули з часів першої подорожі у космос. Зустріч із дивними світами з їх дивовижними екологіями виявилася найголовнішою подією століття: усі Саакра завжди міркували, як і коли вона станеться. Однак ні ви, ні ваш народ ніколи не бажали зустріти інших істот, а коли все ж таки зустріли, не знали, як саме займатися цією новою дипломатією. Але ж, як екосистеми, за якими ви спостерігали, ви швидко адаптувались й зовсім скоро ви знайшли собі лояльних союзників, які розуміли й діяли за вашою філософією.#Тепер же ви маєте найвищу позицію авторитету в Галактиці. Тепер, як Майстер Нової Республіки, ви гарантуєте, що до кожної планети будуть ставитись з повагою та дбайливістю. А якщо хтось з ваших васалів піде проти вашої волі заради своїх мізерних цілей, ви матимете найбільшу армію Галактики, яка безсумнівно знищить ворога. Тепер вам залишається лише замислюватись о подоланні нового бар'єру вашої цивілізації: міжгалактичного польоту і подальшого дослідження головоломок планет. Ой, Великий Магістре, ваша робота ще тільки розпочалась... 
GAME_OVER_COUNCIL_MILITARY_WIN2   | Нарешті планети Галактики будуть врятовані!#Ваше минуле було не без невдач, але ж тепер ви здобули собі владу над усією Галактикою. Наскільки складно було здобути собі місце Правителя Нової Республіки, настільки й було перебороти ворогів, що протистояли вашому правлінню. Але ж навіть це було лише перегородою на путі до здобуття абсолютної влади найголовнішого захисника кожної планети Галактики. Бо зовсім скоро почнеться ваша справжня робота: вам буде треба розробити перші двигуни для міжгалактичного польоту та зустріти ще більше неймовірних головоломок планет.#Так! Можна годинами міркувати про те, що ті повстанці в минулому лише закріпили вашу владу, лише зробили задачу вдосконалення планет легшою. Так! Можна й згадувати своїх союзників, що залишались лояльними до самого кінця, допомагаючи в час війни й миру. Але ж зараз на це немає часу: ви маєте багато роботи попереду, Великий Магістре...
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Жахлива доля світів Галактики...#Катастрофа впала на Нову Республіку! Багато хто вважає, що саме ваша мудра філософія захисту планет привела її в той хаос, який ви бачите. Так! Ваша дипломатичність подарувала вам правління, місце найвищого престолу, але ж ваша недосвідченість і нездатність воювати подарувала вам лише поразку. Ви бачили той бунт, який формувався з вашим приходом до влади, та ви його недооцінили. Хоч у вас і був великий флот, хоч поза вами стояли ваші васали, ви ігнорували ворожу загрозу, ви дозволили їм захоплювати себе, поки ви будували й покращували біокупола. І незабаром... Було надто пізно захищатися...#Тепер вся Нова Республіка розбита, кожен її флот зруйнований і кожен її світ завойований тими, хто шукав влади для себе незалежно від тої ціни, яку їм треба виплатити. Повстанці тепер поведуть галактику в жахливе майбутнє, що відповідає їхнім власним викривленим задумам. Коли життя почне покидати ваше тіло, ви тільки сподіваєтесь, що вони покажуть планетам, які вони підкорять, милосердя, яке вони відмовились показати вам...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | the unwavering drive of the Sakkra engulfs
GAME_OVER_REBELLION_LOSS3         | the ecological devotion of the Sakkra
