// race-specific variables (must start with _)
_empire                           | Імперія Булраті, Імперія Ведмерів, Імперія Гризлар, Імперія Урсул, Імперія Павраті
GAME_OVER_COUNCIL_ALLIANCE_WIN2   | Лють вашого народу була заспокоєна.#Минуло багато часу з початку підкорення зірок Булраті. Ви діяли рішуче, бажаючи допомогти свому народові знайти своє місце у холодному космосі. Ви здобували перемогу за перемогою для свого народу, забезпечуючи їм світле майбутнє. Наперекір цьому, ваша надія побачити себе лідером Галактики не відповідала реаліям.#Але це не можна назвати поразкою: тепер довірений союзник Імперії очолює галактичний трон, переконавши інших, що їх погляд на майбутнє є правильним. Хоча ваші люди прагнуть бачити вас правителем цього нового майбутнього, ви знаєте, що добре вибрали своїх союзників: разом із ними ви забезпечите своєму народові місце в майбутньому цієї галактики, незалежно від того, яке саме майбутнє це буде...
GAME_OVER_REBELLION_LOSS2         | Лють твого народу була погашена.#Настав кінець останньої війни цієї галактики. Ви вели важку боротьбу, зі сміливістю та люттю ваш народ йшов за вами, але врешті-решт перемоги, що здобувались вашими ворогами, були вашими поразками. Сила, з якою воював ваш народ бачилась іншими імперіями, як загроза, яку треба усунути. Об'єднані проти вас, ваші супротивники узурпували владу Нової Республіки. Трепет, який викликало те чудовисько, яке сиділо на троні, неможливо описати. Суміш жаху і відчаю можливо?#Але навіть тоді ви розуміли, що битися треба. Що життя при владі тої істоти гірше за смерть. І згоден був ваш народ, бо підтримав вас та готовився до битви. Але історія не любить героїв. Не любить красивих історій і героїчних балад. Історія любить лише переможців, а ви - не один з них...
GAME_OVER_REBELLION_WIN2          | Лють вашої імперії панує галактикою!#Нарешті ви прийшли туди, де вас чекала доля: повне знищення інших рас галактики! Ваша неперевершена лють виявилася надзвичайною для ваших ворогів, що в безглуздих спробах об'єдналися проти вас. Вони сподівалися, що їхньої об’єднаної сили буде достатньо, щоб вас знищити, вони бачили в вас здобич, коли ви були хитрим хижаком. Їхні дурні ідеали привели їх до гибелі, де ви показали, наскільки марними виявились їхні амбіції.#Тепер, Великий Ієрарху, ця галактика ваша. Остання битва вже позаду і ви її переможець! Тепер ваш народ може насолоджуватися багатствами цієї  в повній безпеці. А коли ці багатства закінчаться, можливо, настане час підкорити сусідні галактики...
GAME_OVER_REBEL_ALLIANCE_WIN2     | Ніхто не посміє протистояти вашій люті.#Сонце сходить на колишній Новій Республіці з початком нової ери, де ви займаєте місце, визначене вам долею. Дії ваших ворогів було легко передбачити - їхній страх об'єднав їх, а параноя зробила з них легку здобич. Ваш бунт був справедливим: безглуздо очікувати підкорення великої раси воїнів її ворогами. Ви стверджували, що тих, хто виступає проти вас чекає повне знищення, не зважаючи на їх кількість. Ви довели правдивість ваших слів, коли здобули беззастережну перемогу!#Але ж ви милосердний лідер! Ті мудрі істоти, що поєдналися з вами у битві проти ваших безчесних ворогів, насолоджуватимуться плодами щедрого майбутнього, а їх мужність буде шануватися по всій новій Імперії. Вони є живим свідченням вашого милосердя, і ніколи більше у них не буде того, кого слід боятися. Це, звичайно, поки вони зберігають свою вірність Імперії Булраті...
GAME_OVER_COUNCIL_WIN2            | Лють вашої імперії панує галактикою!#Галактика й всі її мешканці тепер підкорилися вам. З початку міжзоряної кампанії, коли ви тільки зустрічали своїх майбутніх ворогів та союзників, ви досягали неймовірних успіхів, як у битві, так і у дипломатії. Ті, хто наважився виступити проти вас, недооцінили вашу силу та лють. Ви виправили помилку в їхньому мисленні, знищивши їх. Але ж ті, хто залишився, бачили не лише силу, якої слід боятися, але й інтелект, що вимагав їх поваги. Саме це змусило їх зрозуміти що ви - найкращий кандидат в лідери для новоствореної Нової Республіки.# З цього й почалась нова ера, де Великий Ієрарх створюватиме майбутнє не тільки для свого народу, а й для усієї галактики. Куди саме приведе мудрість король-філософа Нової Республіки покаже лише час. Лише одне є напевно: нема нікого, хто б виступив проти вас, - ваша сила назавжди забезпечить мир у всіх куточках галактики. Слава Новій Республіці та слава Великому Ієрарху Імперії Булраті!
GAME_OVER_COUNCIL_MILITARY_WIN2   | Ніхто не посміє протистояти вашій люті.#Нова ера миру повинна була розпочатися, коли ви зійшли на трон Нової Республіки. Бо хоч й більшість імперій бачили в вас великого лідера здатного вести їх в майбутнє, були й дурні, що вважали себе сильнішими й мудрішими за демократично обраного володаря галактики. З великою позицією Господаря Нової Республіки прийшло й велике випробування: загасити бунт тих, хто хоче підірвати ваше правління й знищити вас й ваших васалів. Саме ваші швидкі й рішучі дії не тільки придушили повстання, але й закріпили вашу позицію лідера.#Бо, відтепер, вороги Імперії Булраті є й ворогами усієї галактики. Повстання, зламане й переможене об'єднаною могутністю цивілізацій, слугуватиме попередженням для тих, хто загрожуватимуть Новій Республіці: цією галактикою править наймогутніший король з усіх відомих. Довго нехай ти царюєш, Великий Ієрарху, і нехай Нова Республіка процвітає під твоєю сталевою волею!
GAME_OVER_COUNCIL_MILITARY_LOSS2  | Лють вашого народу була загашена.#На жаль, настав похмурий день для імперії та її союзників. Після століть завоювань й будівництва майбутнього своєї імперії, ви досягли своєї мети та були короновані лідером Галактики. Але, коли ви вважали, що найбільші труднощі вже позаду, група повстанців під керівництвом ваших ворогів зростала і завойовувала підтримку. Навіть тоді вона була незначною і, вам здавалося, приреченою на провал перед вашим об’єднаним союзом могутніх імперій. Попри все, ці повстанці володіли хитрістю, якої ви не очікували, і використовували її, щоб протистояти вашій винятковій силі на кожному кроці. Ваші невмілі союзники виявилися марними у формуванні оборони, і до того, як вона справді була втілена в життя, мрія про Нову Республіку була такою ж мертвою, як і цивілізації, з яких вона колись складалася.#Тепер майбутнє лежить в руках підступних і жадібних повстанців. Але ж без вашої мудрості, яка вела б їх, їх безглуздість, безперечно, приведе їх до найжахливішого кінця...

// This text is the %8 variable in some of the game over text... when this race wins the game
GAME_OVER_ALLIANCE_WIN3           | the unmatched fury of the Bulrathi
GAME_OVER_REBELLION_LOSS3         | the unbridled fury of the Bulrathi dominates
