

//
// Armor techs
// 
ARMOR_0_NAME     | Armure en Titane
COMPUTER_9_DETAIL  | Augmente la précision de l'arme au niveau 9.

COMPUTER_10_NAME   | Ordinateur de Combat Mark X
COMPUTER_10_ITEM   | Mark X
COMPUTER_10_BRIEF  | Niveau d'attaque X
COMPUTER_10_DETAIL | Augmente la précision de l'arme au niveau 10.

COMPUTER_11_NAME   | Ordinateur de Combat Mark XI
COMPUTER_11_ITEM   | Mark XI
COMPUTER_11_BRIEF  | Niveau d'attaque XI
COMPUTER_11_DETAIL | Augmente la précision de l'arme au niveau 11.


//
// Battle Suit techs for ground combat
// 
// this is for default, no-bonus armor that player starts with
BATTLESUIT_0_NAME    | Armure
BATTLESUIT_0_DETAIL  |

BATTLESUIT_1_NAME    | Tenues de Combat
BATTLESUIT_1_DETAIL  | Une armure qui non seulement protège mais renforce également la force. Ajoute 10 à tous les jets de combat au sol.

BATTLESUIT_2_NAME    | Exosquelette Blindé
BATTLESUIT_2_DETAIL  | Des tenues mobiles avancées qui non seulement augmentent la puissance et augmentent les défenses, mais offrent également un vol limité aux troupes au sol. Ajoute 20 à tous les jets de combat au sol.

BATTLESUIT_3_NAME    | Armure de Force 
BATTLESUIT_3_DETAIL  | Combine une grande mobilité, un vol anti-gravité et un blindage lourd pour former l'armure la plus avancée disponible pour les troupes au sol. Ajoute 30 à tous les jets de combat au sol.


//
// Energy Focus techs for beam weapons
// 
BEAMFOCUS_0_NAME    | Concentration à haute énergie
BEAMFOCUS_0_BRIEF   | Ajoute +3 à la portée des armes énergétiques
BEAMFOCUS_0_DETAIL  | Augmente la portée de tir de toutes les armes à énergie de trois.

BEAMFOCUS_1_NAME    | Interface Oracle
BEAMFOCUS_1_BRIEF   | Concentrez les armes à faisceau, divisez par deux le bouclier de l'ennemi
BEAMFOCUS_1_DETAIL  | Coordonne toutes les attaques d'armes à faisceau en une rafale simultanée de tir concentré, réduisant de moitié la force du bouclier de l'ennemi.


//
// Biological antidote techs 
// 
BIOANTIDOTE_0_NAME    | Antidote aux toxines biologiques
BIOANTIDOTE_0_DETAIL  | Réduit les pertes causées par les armes biologiques de 1M par attaque.

BIOANTIDOTE_1_NAME    | Antidote universel
BIOANTIDOTE_1_DETAIL  | Réduit les pertes causées par les armes biologiques de 2M par attaque.


//
// Biological weapon techs 
// 
BIOWEAPON_0_NAME     | Spores de la mort
BIOWEAPON_0_BRIEF    | Arme biologique
BIOWEAPON_0_DETAIL   | Des armes biologiques horribles capables de réduire les populations planétaires maximales de 1M par attaque.

BIOWEAPON_1_NAME     | Virus du Malheur
BIOWEAPON_1_BRIEF    | Arme biologique
BIOWEAPON_1_DETAIL   | Ded redoutables armes biologiques capables de réduire les populations planétaires de 2M par attaque.

BIOWEAPON_2_NAME     | Terminateur Bio
BIOWEAPON_2_BRIEF    | Arme biologique
BIOWEAPON_2_DETAIL   | Des armes biologiques abominables capables de réduire les populations planétaires de 3M par attaque.

//
// Black Hole Generator tech
//
BLACKHOLE_0_NAME     | Générateur de trous noirs
BLACKHOLE_0_DETAIL   | Crée un champ sous-espace qui déforme l'espace normal, créant un trou noir qui détruit 25 % à 100 % des navires ennemis ou des bases de missiles, moins 2 % par Classee de bouclier.


//
// Bomb weapon tech
//
BOMB_0_NAME     | Bombe nucléaire
BOMB_0_BRIEF    | Attaques au sol uniquement
BOMB_0_DETAIL   | Des bombes qui explosent et causent 3 à 12 points de dégâts sur des cibles au sol uniquement.

BOMB_1_NAME     | Bombe à fusion
BOMB_1_BRIEF    | Attaques au sol uniquement
BOMB_1_DETAIL   | Des bombes qui explosent et causent 5 à 20 points de dégâts sur des cibles au sol uniquement.

BOMB_2_NAME     | Bombe anti-matière
BOMB_2_BRIEF    | Attaques au sol uniquement
BOMB_2_DETAIL   | Des bombes qui explosent et infligent 10 à 40 points de dégâts contre des cibles planétaires uniquement.

BOMB_3_NAME     | Bombe Oméga-V
BOMB_3_BRIEF    | Attaques au sol uniquement
BOMB_3_DETAIL   | Des bombes qui explosent et causent 20 à 50 points de dégâts sur des cibles au sol uniquement.

BOMB_4_NAME     | Bombe à neutronium
BOMB_4_BRIEF    | Attaques au sol uniquement
BOMB_4_DETAIL   | Des bombes qui explosent et causent 40 à 70 points de dégâts sur des cibles au sol uniquement.


//
// Cloaking tech
//
CLOAK_0_NAME     | Bouclier occulteur
CLOAK_0_BRIEF    | Rend le navire presque invisible
CLOAK_0_DETAIL   | Les vaisseaux rendus sont presque invisibles jusqu'à ce qu'ils attaquent, améliorant leurs défenses de +5. Les navires doivent se dévoiler pour attaquer et se recouvrent automatiquement à chaque tour pendant lequel ils n'attaquent pas.


//
// Cloning tech
//
CLONE_0_NAME     | Clonage
CLONE_0_DETAIL   | Permet aux colons bio-conçus d'être cultivés à un taux de 1M par 10 BC.

CLONE_1_NAME     | Clonage avancé
CLONE_1_DETAIL   | Permet aux colons bio-conçus d'être cultivés à un taux de 1M par 5 BC.


//
// Combat Transporter tech
//
COMBATTRANSPORT_0_NAME     | Transporteurs de combat
COMBATTRANSPORT_0_DETAIL   | Les transports équipés de ces dispositifs ont 50 % de chances de se téléporter sur les surfaces ennemies avant de pouvoir être attaqués par des navires et des bases de défense antimissile ennemis.


//
// Control Environment tech
//
CONTROLENV_0_NAME    | Environnement Normal Contrôlé
CONTROLENV_0_ITEM    | Base de colonie standard
CONTROLENV_0_BRIEF   | Allows Normal Planet Landings
CONTROLENV_0_DETAIL  | Permits the colonization of standard planets.

CONTROLENV_1_NAME    | Environnement stérile contrôlé
CONTROLENV_1_ITEM    | Base de colonie stérile
CONTROLENV_1_BRIEF   | Autorise les atterrissages sur des planètes stériles
CONTROLENV_1_DETAIL  | Permet la colonisation des planètes stériles et moins hostiles.

CONTROLENV_2_NAME    | Environnement toundra contrôlé
CONTROLENV_2_ITEM    | Base de colonie toundra
CONTROLENV_2_BRIEF   | Autorise les atterrissages sur des planètes tundra
CONTROLENV_2_DETAIL  | Permet la colonisation des planètes toundra et moins hostiles.

CONTROLENV_3_NAME    | Environnement mort contrôlé
CONTROLENV_3_ITEM    | Base de la colonie morte
CONTROLENV_3_BRIEF   | Autorise les atterrissages sur des planètes mortes
CONTROLENV_3_DETAIL  | Permet la colonisation des planètes mortes et moins hostiles.

CONTROLENV_4_NAME    | Environnement inferno contrôlé
CONTROLENV_4_ITEM    | Base de la colonie inferno
CONTROLENV_4_BRIEF   | Autorise les atterrissages sur des planètes inferno
CONTROLENV_4_DETAIL  | Permet la colonisation des planètes inferno et moins hostiles.

CONTROLENV_5_NAME    | Environnement toxique contrôlé
CONTROLENV_5_ITEM    | Base de colonie toxique
CONTROLENV_5_BRIEF   | Autorise les atterrissages sur des planètes toxiques
CONTROLENV_5_DETAIL  | Permet la colonisation des planètes toxiques et moins hostiles.

CONTROLENV_6_NAME    | Environnement irradié contrôlé
CONTROLENV_6_ITEM    | base de colonie irradiée
CONTROLENV_6_BRIEF   | Permet les atterrissages sur des planètes irradiées
CONTROLENV_6_DETAIL  | Permet la colonisation des planètes irradiées et moins hostiles.


//
// Deflector Shield tech
//
// this is the entry on Ship Design for selecting no deflector shield
DEFLECTOR_0_NAME      | 
DEFLECTOR_0_ITEM      |   
DEFLECTOR_0_BRIEF     |  
DEFLECTOR_0_DETAIL    | 

DEFLECTOR_1_NAME      | Boucliers déflecteurs de Classee I
DEFLECTOR_1_ITEM      | Classee I
DEFLECTOR_1_BRIEF     | Absorbe 1 coup
DEFLECTOR_1_DETAIL    | Absorbe 1 point de dégâts de toutes les attaques.

DEFLECTOR_2_NAME      | Boucliers déflecteurs de Classee II
DEFLECTOR_2_ITEM      | Classee II
DEFLECTOR_2_BRIEF     | Absorbe 2 coup
DEFLECTOR_2_DETAIL    | Absorbe 2 points de dégâts de toutes les attaques.

DEFLECTOR_3_NAME      | Boucliers déflecteurs de Classee III
DEFLECTOR_3_ITEM      | Classee III
DEFLECTOR_3_BRIEF     | Absorbe 3 coup
DEFLECTOR_3_DETAIL    | Absorbe 3 points de dégâts de toutes les attaques.

DEFLECTOR_4_NAME      | Boucliers déflecteurs de Classee IV
DEFLECTOR_4_ITEM      | Classee IV
DEFLECTOR_4_BRIEF     | Absorbe 4 coup
DEFLECTOR_4_DETAIL    | Absorbe 4 points de dégâts de toutes les attaques.

DEFLECTOR_5_NAME      | Boucliers déflecteurs de Classee V
DEFLECTOR_5_ITEM      | Classee V
DEFLECTOR_5_BRIEF     | Absorbe 5 coup
DEFLECTOR_5_DETAIL    | Absorbe 5 points de dégâts de toutes les attaques.

DEFLECTOR_6_NAME      | Boucliers déflecteurs de Classee VI
DEFLECTOR_6_ITEM      | Classee VI
DEFLECTOR_6_BRIEF     | Absorbe 6 coup
DEFLECTOR_6_DETAIL    | Absorbe 6 points de dégâts de toutes les attaques.

DEFLECTOR_7_NAME      | Boucliers déflecteurs de Classee VII
DEFLECTOR_7_ITEM      | Classee VII
DEFLECTOR_7_BRIEF     | Absorbe 7 coup
DEFLECTOR_7_DETAIL    | Absorbe 7 points de dégâts de toutes les attaques.

DEFLECTOR_8_NAME      | Boucliers déflecteurs de Classee IX
DEFLECTOR_8_ITEM      | Classee IX
DEFLECTOR_8_BRIEF     | Absorbe 9 coup
DEFLECTOR_8_DETAIL    | Absorbe 9 points de dégâts de toutes les attaques.

DEFLECTOR_9_NAME      | Boucliers déflecteurs de Classee XI
DEFLECTOR_9_ITEM      | Classee XI
DEFLECTOR_9_BRIEF     | Absorbe 11 coup
DEFLECTOR_9_DETAIL    | Absorbe 11 points de dégâts de toutes les attaques.

DEFLECTOR_10_NAME     | Boucliers déflecteurs de Classee XIII
DEFLECTOR_10_ITEM     | Classee XIII
DEFLECTOR_10_BRIEF    | Absorbe 13 coup
DEFLECTOR_10_DETAIL   | Absorbe 13 points de dégâts de toutes les attaques.

DEFLECTOR_11_NAME     | Boucliers déflecteurs de Classee XV
DEFLECTOR_11_ITEM     | Classee XV
DEFLECTOR_11_BRIEF    | Absorbe 15 coup
DEFLECTOR_11_DETAIL   | Absorbe 15 points de dégâts de toutes les attaques.


//
// Displacement tech
//
DISPLACEMENT_0_NAME   | Dispositif de déplacement
DISPLACEMENT_0_BRIEF  | 1/3 de toutes les attaques ennemies ratent
DISPLACEMENT_0_DETAIL | Déplace aléatoirement les vaisseaux équipés dans et hors de l'espace normal, leur permettant d'éviter 1/3 de toutes les attaques d'armes hors zone.

//
// ECM Jammer tech
//
// this is the entry on Ship Design for selecting no ECM Jammer
ECMJAMMER_0_NAME      | 
ECMJAMMER_0_ITEM      | 
ECMJAMMER_0_BRIEF     | Défense antimissile 0
ECMJAMMER_0_DETAIL    | 

ECMJAMMER_1_NAME      | Brouilleurs(ECM) Mark I
ECMJAMMER_1_ITEM      | Brouilleur I
ECMJAMMER_1_BRIEF     | Déf. missiles 1
ECMJAMMER_1_DETAIL    | Ajoute 1 niveau à la défense contre les attaques de missiles ennemis.

ECMJAMMER_2_NAME      | Brouilleurs(ECM) Mark II
ECMJAMMER_2_ITEM      | Brouilleur II
ECMJAMMER_2_BRIEF     | Déf. missiles 2
ECMJAMMER_2_DETAIL    | Ajoute 2 niveau à la défense contre les attaques de missiles ennemis.

ECMJAMMER_3_NAME      | Brouilleurs(ECM) Mark III
ECMJAMMER_3_ITEM      | Brouilleur III
ECMJAMMER_3_BRIEF     | Déf. missiles 3
ECMJAMMER_3_DETAIL    | Ajoute 3 niveau à la défense contre les attaques de missiles ennemis.

ECMJAMMER_4_NAME      | Brouilleurs(ECM) Mark IV
ECMJAMMER_4_ITEM      | Brouilleur IV
ECMJAMMER_4_BRIEF     | Déf. missiles 4
ECMJAMMER_4_DETAIL    | Ajoute 4 niveau à la défense contre les attaques de missiles ennemis.

ECMJAMMER_5_NAME      | Brouilleurs(ECM) Mark V
ECMJAMMER_5_ITEM      | Brouilleur V
ECMJAMMER_5_BRIEF     | Déf. missiles 5
ECMJAMMER_5_DETAIL    | Ajoute 5 niveau à la défense contre les attaques de missiles ennemis.

ECMJAMMER_6_NAME      | Brouilleurs(ECM) Mark VI
ECMJAMMER_6_ITEM      | Brouilleur VI
ECMJAMMER_6_BRIEF     | Déf. missiles 6
ECMJAMMER_6_DETAIL    | Ajoute 6 niveau à la défense contre les attaques de missiles ennemis.

ECMJAMMER_7_NAME      | Brouilleurs(ECM) Mark VII
ECMJAMMER_7_ITEM      | Brouilleur VII
ECMJAMMER_7_BRIEF     | Déf. missiles 7
ECMJAMMER_7_DETAIL    | Ajoute 7 niveau à la défense contre les attaques de missiles ennemis.

ECMJAMMER_8_NAME      | Brouilleurs(ECM) Mark VIII
ECMJAMMER_8_ITEM      | Brouilleur VIII
ECMJAMMER_8_BRIEF     | Déf. missiles 8
ECMJAMMER_8_DETAIL    | Ajoute 8 niveau à la défense contre les attaques de missiles ennemis.

ECMJAMMER_9_NAME      | Brouilleurs(ECM) Mark IX
ECMJAMMER_9_ITEM      | Brouilleur IX
ECMJAMMER_9_BRIEF     | Déf. missiles 9
ECMJAMMER_9_DETAIL    | Ajoute 9 niveau à la défense contre les attaques de missiles ennemis.

ECMJAMMER_10_NAME     | Brouilleurs(ECM) Mark X
ECMJAMMER_10_ITEM     | Brouilleur X
ECMJAMMER_10_BRIEF    | Déf. missiles 10
ECMJAMMER_10_DETAIL   | Ajoute 10 niveau à la défense contre les attaques de missiles ennemis.


//
// Ecological Restoration techs
//
ECORESTORATION_0_NAME   | Restauration écologique
ECORESTORATION_0_DETAIL | Élimine 2 unités de déchets industriels pour un coût de 1 BC.

ECORESTORATION_1_NAME   | Restauration écologique ameliorée
ECORESTORATION_1_DETAIL | Élimine 3 unités de déchets industriels pour un coût de 1 BC.

ECORESTORATION_2_NAME   | Restauration écologique renforcée
ECORESTORATION_2_DETAIL | Élimine 5 unités de déchets industriels pour un coût de 1 BC.

ECORESTORATION_3_NAME   | Restauration écologique avancée
ECORESTORATION_3_DETAIL | Élimine 10 unités de déchets industriels pour un coût de 1 BC.

ECORESTORATION_4_NAME   | Restauration écologique complète
ECORESTORATION_4_DETAIL | Élimine 20 unités de déchets industriels pour un coût de 1 BC.


//
// Energy Pulsar techs
//
PULSAR_0_NAME     | Pulsar d'énergie
PULSAR_0_BRIEF    | S'étend pour infliger 1 à 5 coups
PULSAR_0_DETAIL   | Une puissante modification du moteur qui génère une explosion d'énergie sphérique soudaine frappant tous les navires adjacents, infligeant jusqu'à 5 points de dégâts +1 pour deux navires.

PULSAR_1_NAME     | Pulsar ionique
PULSAR_1_BRIEF    | S'étend pour infliger 2 à 10 coups
PULSAR_1_DETAIL   | Une puissante modification de moteur capable de générer une rafale sphérique d'énergie phasée frappant tous les navires adjacents et infligeant jusqu'à 10 points de dégâts +1 par navire attaquant.


//
// Engine techs
//
ENGINE_0_NAME    | Moteurs rétro
ENGINE_0_DETAIL  | Déplace les vaisseaux à Distorsion %1, et permet une maniabilité maximale de Classee I en combat.
ENGINE_0_ITEM    | Rétro
ENGINE_0_ITEM2   | Classee 1
ENGINE_0_BRIEF   | Distorsion 1  Def %1
ENGINE_0_BRIEF2  | Vitesse de combat %1

ENGINE_1_NAME    | Moteurs nucléaires
ENGINE_1_DETAIL  | Déplace les vaisseaux à Distorsion %1, et permet une maniabilité maximale de Classee II en combat.
ENGINE_1_ITEM    | Nucléaire
ENGINE_1_ITEM2   | Classee 2
ENGINE_1_BRIEF   | Distorsion 2  Def %1
ENGINE_1_BRIEF2  | Vitesse de combat %1

ENGINE_2_NAME    | Propulsion conventionnelle/sous-lumière
ENGINE_2_DETAIL  | Déplace les vaisseaux à Distorsion %1, et permet une maniabilité maximale de Classee III en combat.
ENGINE_2_ITEM    | Sous-lumière
ENGINE_2_ITEM2   | Classe 3
ENGINE_2_BRIEF   | Distorsion 3  Def %1
ENGINE_2_BRIEF2  | Vitesse de combat %1

ENGINE_3_NAME    | Propulsion à fusion 
ENGINE_3_DETAIL  | Déplace les vaisseaux à Distorsion %1, et permet une maniabilité maximale de Classee IV en combat.
ENGINE_3_ITEM    | Fusion
ENGINE_3_ITEM2   | Classe 4
ENGINE_3_BRIEF   | Distorsion 4  Def %1
ENGINE_3_BRIEF2  | Vitesse de combat %1

ENGINE_4_NAME    | Moteurs d'impulsion 
ENGINE_4_DETAIL  | Déplace les vaisseaux à Distorsion %1, et permet une maniabilité maximale de Classee V en combat.
ENGINE_4_ITEM    | Impulsion
ENGINE_4_ITEM2   | Classe 5
ENGINE_4_BRIEF   | Distorsion 5  Def %1
ENGINE_4_BRIEF2  | Vitesse de combat %1

ENGINE_5_NAME    | Propulsion ionique 
ENGINE_5_DETAIL  | Déplace les vaisseaux à Distorsion %1, et permet une maniabilité maximale de Classee VI en combat.
ENGINE_5_ITEM    | Ionique
ENGINE_5_ITEM2   | Classe 6
ENGINE_5_BRIEF   | Distorsion 6  Def %1
ENGINE_5_BRIEF2  | Vitesse de combat %1

ENGINE_6_NAME    | Moteurs à l'anti-matière 
ENGINE_6_DETAIL  | Déplace les vaisseaux à Distorsion %1, et permet une maniabilité maximale de Classee VII en combat.
ENGINE_6_ITEM    | Anti-matière 
ENGINE_6_ITEM2   | Classe 7
ENGINE_6_BRIEF   | Distorsion 7  Def %1
ENGINE_6_BRIEF2  | Vitesse de combat %1

ENGINE_7_NAME    | Propulsion interphasée
ENGINE_7_DETAIL  | Déplace les vaisseaux à Distorsion %1, et permet une maniabilité maximale de Classee VII en combat.
ENGINE_7_ITEM    | Interphasée
ENGINE_7_ITEM2   | Classe 8
ENGINE_7_BRIEF   | Distorsion 8  Def %1
ENGINE_7_BRIEF2  | Vitesse de combat %1

ENGINE_8_NAME    | Propulsion hyper
ENGINE_8_DETAIL  | Déplace les vaisseaux à Distorsion %1, et permet une maniabilité maximale de Classee IX en combat.
ENGINE_8_ITEM    | Hyper
ENGINE_8_ITEM2   | Classe 9
ENGINE_8_BRIEF   | Distorsion 9  Def %1
ENGINE_8_BRIEF2  | Vitesse de combat %1


//
// Fuel Range techs
//
FUELRANGE_0_NAME   | Piles à combustible
FUELRANGE_0_DETAIL | Les réserves de carburant permettent aux vaisseaux de s'éloigner jusqu'à %1 années-lumière des planètes des colonies.

FUELRANGE_1_NAME   | Piles à combustible à hydrogène
FUELRANGE_1_DETAIL | Les réserves de carburant permettent aux vaisseaux de s'éloigner jusqu'à %1 années-lumière des planètes des colonies.

FUELRANGE_2_NAME   | Piles à combustible au deutérium
FUELRANGE_2_DETAIL | Les réserves de carburant permettent aux vaisseaux de s'éloigner jusqu'à %1 années-lumière des planètes des colonies.

FUELRANGE_3_NAME   | Piles à combustible au irridium
FUELRANGE_3_DETAIL | Les réserves de carburant permettent aux vaisseaux de s'éloigner jusqu'à %1 années-lumière des planètes des colonies.

FUELRANGE_4_NAME   | Cristaux de Dotomite
FUELRANGE_4_DETAIL | Les réserves de carburant permettent aux vaisseaux de s'éloigner jusqu'à %1 années-lumière des planètes des colonies.

FUELRANGE_5_NAME   | Piles à combustible au uridium
FUELRANGE_5_DETAIL | Les réserves de carburant permettent aux vaisseaux de s'éloigner jusqu'à %1 années-lumière des planètes des colonies.

FUELRANGE_6_NAME   | Piles à combustible Reajax II
FUELRANGE_6_DETAIL | Les réserves de carburant permettent aux vaisseaux de s'éloigner jusqu'à %1 années-lumière des planètes des colonies.

FUELRANGE_7_NAME   | Cristaux de trilithium
FUELRANGE_7_DETAIL | Les réserves de carburant permettent aux vaisseaux de s'éloigner jusqu'à %1 années-lumière des planètes des colonies.

FUELRANGE_8_NAME   | Piles de thorium
FUELRANGE_8_DETAIL | Les réserves de carburant permettent aux navires de s'éloigner de n'importe quelle distance des planètes de la colonie.


//
// Ordinateur futuriste techs
//
FUTURECOMP_0_NAME    | Ordinateur futuriste I
FUTURECOMP_0_DETAIL  | Améliorations générales de la technologie informatique.

FUTURECOMP_1_NAME    | Ordinateur futuriste II
FUTURECOMP_1_DETAIL  | Améliorations générales de la technologie informatique.

FUTURECOMP_2_NAME    | Ordinateur futuriste III
FUTURECOMP_2_DETAIL  | Améliorations générales de la technologie informatique.

FUTURECOMP_3_NAME    | Ordinateur futuriste IV
FUTURECOMP_3_DETAIL  | Améliorations générales de la technologie informatique.

FUTURECOMP_4_NAME    | Ordinateur futuriste V
FUTURECOMP_4_DETAIL  | Améliorations générales de la technologie informatique.

FUTURECOMP_5_NAME    | Ordinateur futuriste VI
FUTURECOMP_5_DETAIL  | Améliorations générales de la technologie informatique.

FUTURECOMP_6_NAME    | Ordinateur futuriste VII
FUTURECOMP_6_DETAIL  | Améliorations générales de la technologie informatique.

FUTURECOMP_7_NAME    | Ordinateur futuriste VIII
FUTURECOMP_7_DETAIL  | Améliorations générales de la technologie informatique.

FUTURECOMP_8_NAME    | Ordinateur futuriste IX
FUTURECOMP_8_DETAIL  | Améliorations générales de la technologie informatique.

FUTURECOMP_9_NAME    | Ordinateur futuriste X
FUTURECOMP_9_DETAIL  | Améliorations générales de la technologie informatique. 


//
// Construction futuriste techs
//
FUTURECONST_0_NAME    | Construction futuriste I
FUTURECONST_0_DETAIL  | Améliorations générales de la technologie de la construction.

FUTURECONST_1_NAME    | Construction futuriste II
FUTURECONST_1_DETAIL  | Améliorations générales de la technologie de la construction.

FUTURECONST_2_NAME    | Construction futuriste III
FUTURECONST_2_DETAIL  | Améliorations générales de la technologie de la construction.

FUTURECONST_3_NAME    | Construction futuriste IV
FUTURECONST_3_DETAIL  | Améliorations générales de la technologie de la construction.

FUTURECONST_4_NAME    | Construction futuriste V
FUTURECONST_4_DETAIL  | Améliorations générales de la technologie de la construction.

FUTURECONST_5_NAME    | Construction futuriste VI
FUTURECONST_5_DETAIL  | Améliorations générales de la technologie de la construction.

FUTURECONST_6_NAME    | Construction futuriste VII
FUTURECONST_6_DETAIL  | Améliorations générales de la technologie de la construction.

FUTURECONST_7_NAME    | Construction futuriste VIII
FUTURECONST_7_DETAIL  | Améliorations générales de la technologie de la construction.

FUTURECONST_8_NAME    | Construction futuriste IX
FUTURECONST_8_DETAIL  | Améliorations générales de la technologie de la construction.

FUTURECONST_9_NAME    | Construction futuriste X
FUTURECONST_9_DETAIL  | Améliorations générales de la technologie de la construction. 


//
// Champ de force futuriste techs
//
FUTUREFORCE_0_NAME    | Champ de force futuriste I
FUTUREFORCE_0_DETAIL  | Améliorations générales de la technologie des champs de force.

FUTUREFORCE_1_NAME    | Champ de force futuriste II
FUTUREFORCE_1_DETAIL  | Améliorations générales de la technologie des champs de force.

FUTUREFORCE_2_NAME    | Champ de force futuriste III
FUTUREFORCE_2_DETAIL  | Améliorations générales de la technologie des champs de force.

FUTUREFORCE_3_NAME    | Champ de force futuriste IV
