

//
// Armor techs
// 
ARMOR_0_NAME     | Titanpansar
ARMOR_6_DETAIL   | Ökar mängden skadepoäng stridsskepp och transportskepp tål med 300%. Marktruppers stridsutrustning förhöjs också i effektivitet, vilket tillägger +30 till all markstrid.


//
// Atmospheric Terraforming techs
// 
ATMOSPHERE_0_NAME      | Atmosfärisk Terraformering
ATMOSPHERE_0_DETAIL    | Omvandlar Ogästvänliga klimat till Normala klimat för en kostnad på 150 BC.

//
// Automated Repair techs
// 
AUTOREPAIR_0_NAME      | Automatiserat Reparationssystem
AUTOREPAIR_0_BRIEF     | Återställer 15% av ett skepps skadepoäng per tur i strid
AUTOREPAIR_0_DETAIL    | Överlevande skepp kan reparera upp till 15% av skeppets totala skadepoäng efter varje tur, i strid.

AUTOREPAIR_1_NAME      | Avancerad Hantering av Skada
AUTOREPAIR_1_BRIEF     | Återställer 30% av ett skepps skadepoäng per tur i strid
AUTOREPAIR_1_DETAIL    | Överlevande skepp kan reparera upp till 30% av skeppets totala skadepoäng efter varje tur, i strid.


//
// Battle Computer techs
// 
// this is the Ship Design entry for selecting no battle computer
COMPUTER_0_NAME    | 
COMPUTER_0_ITEM    |  
COMPUTER_0_BRIEF   | Precision Nivå 0
COMPUTER_0_DETAIL  |

COMPUTER_1_NAME    | Stridsdator fm/1
COMPUTER_1_ITEM    | fm/1
COMPUTER_1_BRIEF   | Precision Nivå 1
COMPUTER_1_DETAIL  | Tar precisionsprestandan för vapen till Nivå 1.

COMPUTER_2_NAME    | Stridsdator m/2
COMPUTER_2_ITEM    | m/2
COMPUTER_2_BRIEF   | Precision Nivå 2
COMPUTER_2_DETAIL  | Tar precisionsprestandan för vapen till Nivå 2.

COMPUTER_3_NAME    | Stridsdator m/3
COMPUTER_3_ITEM    | m/3
COMPUTER_3_BRIEF   | Precision Nivå 3
COMPUTER_3_DETAIL  | Tar precisionsprestandan för vapen till Nivå 3.

COMPUTER_4_NAME    | Stridsdator m/4
COMPUTER_4_ITEM    | m/4
COMPUTER_4_BRIEF   | Precision Nivå 4
COMPUTER_4_DETAIL  | Tar precisionsprestandan för vapen till Nivå 4.

COMPUTER_5_NAME    | Stridsdator m/5
COMPUTER_5_ITEM    | m/5
COMPUTER_5_BRIEF   | Precision Nivå 5
COMPUTER_5_DETAIL  | Tar precisionsprestandan för vapen till Nivå 5.

COMPUTER_6_NAME    | Stridsdator m/6
COMPUTER_6_ITEM    | m/6
COMPUTER_6_BRIEF   | Precision Nivå 6
COMPUTER_6_DETAIL  | Tar precisionsprestandan för vapen till Nivå 6.

COMPUTER_7_NAME    | Stridsdator m/7
COMPUTER_7_ITEM    | m/7
COMPUTER_7_BRIEF   | Precision Nivå 7
COMPUTER_7_DETAIL  | Tar precisionsprestandan för vapen till Nivå 7.

COMPUTER_8_NAME    | Stridsdator m/8
COMPUTER_8_ITEM    | m/8
COMPUTER_8_BRIEF   | Precision Nivå 8
COMPUTER_8_DETAIL  | Tar precisionsprestandan för vapen till Nivå 8.

COMPUTER_9_NAME    | Stridsdator m/9
COMPUTER_9_ITEM    | m/9
COMPUTER_9_BRIEF   | Precision Nivå 9
COMPUTER_9_DETAIL  | Tar precisionsprestandan för vapen till Nivå 9.

COMPUTER_10_NAME    | Stridsdator m/10
COMPUTER_10_ITEM    | m/10
COMPUTER_10_BRIEF   | Precision Nivå 10
COMPUTER_10_DETAIL  | Tar precisionsprestandan för vapen till Nivå 10.

COMPUTER_11_NAME    | Stridsdator m/11
COMPUTER_11_ITEM    | m/11
COMPUTER_11_BRIEF   | Precision Nivå 11
COMPUTER_11_DETAIL  | Tar precisionsprestandan för vapen till Nivå 11.


//
// Battle Suit techs for ground combat
// 
// this is for default, no-bonus armor that player starts with
BATTLESUIT_0_NAME    | Pansar
BATTLESUIT_0_DETAIL  |

BATTLESUIT_1_NAME    | Stridsdräkter
BATTLESUIT_1_DETAIL  | En mekanisk rustning som inte bara beskyddar, utan också förhöjer styrka. Lägger till +10 till utfall för markstrid mellan trupper.

BATTLESUIT_2_NAME    | Bepansrade Externskelett
BATTLESUIT_2_DETAIL  | Avancerade stridsdräkter som inte bara förhöjer styrka och tålighet hos marktrupper, utan också erbjuder rörlighet i form av flygförmåga och långa hopp. Lägger till +20 till utfall för markstrid mellan trupper.

BATTLESUIT_3_NAME    | Högmotoriserade Stridsdräkter
BATTLESUIT_3_DETAIL  | Kombinerar hög rörlighet, anti-gravi-flygförmåga, och multifunktionellt pansar i den mest avancerade rustning man kan erbjuda marktrupper. Lägger till 30 till utfall för markstrid mellan trupper.


//
// Energy Focus techs for beam weapons
// 
BEAMFOCUS_0_NAME    | Högenergisfokusering
BEAMFOCUS_0_BRIEF   | Höjer räckvidden på energibaserade vapen med +3
BEAMFOCUS_0_DETAIL  | Specialutrustning som förhöjer räckvidden av alla energibaserade vapen med tre.

BEAMFOCUS_1_NAME    | Gränssnitt: Orakel
BEAMFOCUS_1_BRIEF   | Koncentrera strålvapen, ½ fiendens sköldar
BEAMFOCUS_1_DETAIL  | Koordinerar alla strålvapen att skjuta i en gemensam superstråle, vilket halverar effektiviteten av sköldar som försvar.


//
// Biological antidote techs 
// 
BIOANTIDOTE_0_NAME    | Motgift mot Biotoxiner
BIOANTIDOTE_0_DETAIL  | Minskar antalet dödade av biologiska massförstörelsevapen med 1M per attack.

BIOANTIDOTE_1_NAME    | Universellt Motgift
BIOANTIDOTE_1_DETAIL  | Minskar antalet dödade av biologiska massförstörelsevapen med 2M per attack.


//
// Biological weapon techs 
// 
BIOWEAPON_0_NAME     | Dödssporer
BIOWEAPON_0_BRIEF    | Biologiskt Vapen
BIOWEAPON_0_DETAIL   | Hemska biologiska massförstörelsevapen kapabla att förminska den maximala planetära befolkningsmängden med 1M per attack.

BIOWEAPON_1_NAME     | Domedagsvirus
BIOWEAPON_1_BRIEF    | Biologiskt Vapen
BIOWEAPON_1_DETAIL   | Fasansfulla biologiska massförstörelsevapen kapabla att förminska den maximala planetära befolkningsmängden med 2M per attack.

BIOWEAPON_2_NAME     | Livsförintaren
BIOWEAPON_2_BRIEF    | Biologiskt Vapen
BIOWEAPON_2_DETAIL   | Avskyvärda biologiska massförstörelsevapen kapabla att förminska den maximala planetära befolkningsmängden med 3M per attack.

//
// Black Hole Generator tech
//
BLACKHOLE_0_NAME     | Svart-håls-generator
BLACKHOLE_0_DETAIL   | Skapar ett parallellrymdsfält som förvrider vanlig rumtid, vilket orsakar ett svart hål som förstör 25% till 100% av fientliga skepp eller missilbaser, med 2% subtraherat per nivåklass av sköldar.


//
// Bomb weapon tech
//
BOMB_0_NAME     | Atombomb
BOMB_0_BRIEF    | Endast Markattacker
BOMB_0_DETAIL   | Bomber som exploderar orsakandes 3-12 skadepoäng, begränsat till mål på marknivå.

BOMB_1_NAME     | Fusionsbomb
BOMB_1_BRIEF    | Endast Markattacker
BOMB_1_DETAIL   | Bomber som exploderar orsakandes 5-20 skadepoäng, begränsat till mål på marknivå.

BOMB_2_NAME     | Anti-Materiabomb
BOMB_2_BRIEF    | Endast Markattacker
BOMB_2_DETAIL   | Bomber som exploderar orsakandes 10-40 skadepoäng, begränsat till mål på marknivå.

BOMB_3_NAME     | Omega-5-Bomb
BOMB_3_BRIEF    | Endast Markattacker
BOMB_3_DETAIL   | Bomber som exploderar orsakandes 20-50 skadepoäng, begränsat till mål på marknivå.

BOMB_4_NAME     | Neutroniumbomb
BOMB_4_BRIEF    | Endast Markattacker
BOMB_4_DETAIL   | Bomber som exploderar orsakandes 40-70 skadepoäng, begränsat till mål på marknivå.


//
// Cloaking tech
//
CLOAK_0_NAME     | Mantelanordning
CLOAK_0_BRIEF    | Döljer skeppet till nära inpå osynlighet
CLOAK_0_DETAIL   | Döljer skeppet till nära inpå osynlighet upp till dess att det anfaller, vilket lägger till +5 till skeppets Försvar. Skepp måste avmantla för att aktivera vapen, och påmantlar automatiskt när det spenderat en tur utan att anfalla.


//
// Cloning tech
//
CLONE_0_NAME     | Kloning
CLONE_0_DETAIL   | Möjliggör biokonstruerade kolonister för produktion, av en kostnad på 10 BC per 1M.

CLONE_1_NAME     | Advancerad Kloning
CLONE_1_DETAIL   | Möjliggör biokonstruerade kolonister för produktion, av en kostnad på 5 BC per 1M.


//
// Combat Transporter tech
//
COMBATTRANSPORT_0_NAME     | Strids-transporter
COMBATTRANSPORT_0_DETAIL   | Transporter utrustade med den här tekniken har 50% chans att teleportera förbi eventuellt försvar för att nå ytan för markstrid.


//
// Control Environment tech
//
CONTROLENV_0_NAME    | Kontrollerat Klimat: Normal
CONTROLENV_0_ITEM    | Kolonibas: Standardutgåva
CONTROLENV_0_BRIEF   | Möjliggör Kolonisering av Normala Planeter
CONTROLENV_0_DETAIL  | Möjliggör kolonisering av standardplaneter.

CONTROLENV_1_NAME    | Kontrollerat Klimat: Öde
CONTROLENV_1_ITEM    | Kolonibas: Öde
CONTROLENV_1_BRIEF   | Möjliggör Kolonisering av Öde Klimat
CONTROLENV_1_DETAIL  | Möjliggör kolonisering av öde planeter.

CONTROLENV_2_NAME    | Kontrollerat Klimat: Tundra
CONTROLENV_2_ITEM    | Kolonibas: Tundra
CONTROLENV_2_BRIEF   | Möjliggör Kolonisering av Tundra-klimat
CONTROLENV_2_DETAIL  | Möjliggör kolonisering av tundra-planeter samt mindre ogästvänliga klimat.

CONTROLENV_3_NAME    | Kontrollerat Klimat: Dött
CONTROLENV_3_ITEM    | Kolonibas: Dött
CONTROLENV_3_BRIEF   | Möjliggör Kolonisering av Dött Klimat.
CONTROLENV_3_DETAIL  | Möjliggör kolonisering av döda planeter samt mindre ogästvänliga klimat.

CONTROLENV_4_NAME    | Kontrollerat Klimat: Inferno
CONTROLENV_4_ITEM    | Kolonibas: Inferno
CONTROLENV_4_BRIEF   | Möjliggör Kolonisering av Inferno-klimat.
CONTROLENV_4_DETAIL  | Möjliggör kolonisering av inferno-planeter samt mindre ogästvänliga klimat.

CONTROLENV_5_NAME    | Kontrollerat Klimat: Giftigt
CONTROLENV_5_ITEM    | Kolonibas: Giftigt
CONTROLENV_5_BRIEF   | Möjliggör Kolonisering av Giftigt Klimat
CONTROLENV_5_DETAIL  | Möjliggör kolonisering av giftiga planeter samt mindre ogästvänliga klimat.

CONTROLENV_6_NAME    | Kontrollerat Klimat: Högbestrålat
CONTROLENV_6_ITEM    | Kolonibas: Högbestrålat
CONTROLENV_6_BRIEF   | Möjliggör Kolonisering av Högbestrålat Klimat
CONTROLENV_6_DETAIL  | Möjliggör kolonisering av högbestrålade planeter samt mindre ogästvänliga klimat.


//
// Deflector Shield tech
//
// this is the entry on Ship Design for selecting no deflector shield
DEFLECTOR_0_NAME      | 
DEFLECTOR_0_ITEM      |   
DEFLECTOR_0_BRIEF     |  
DEFLECTOR_0_DETAIL    | 

DEFLECTOR_1_NAME      | Klass I Sköldteknik
DEFLECTOR_1_ITEM      | Klass I
DEFLECTOR_1_BRIEF     | Absorberar 1 skada
DEFLECTOR_1_DETAIL    | Absorberar 1 skadepoäng från alla attacker.

DEFLECTOR_2_NAME      | Klass II Sköldteknik
DEFLECTOR_2_ITEM      | Klass II
DEFLECTOR_2_BRIEF     | Absorberar 2 skada
DEFLECTOR_2_DETAIL    | Absorberar 2 skadepoäng från alla attacker.

DEFLECTOR_3_NAME      | Klass III Sköldteknik
DEFLECTOR_3_ITEM      | Klass III
DEFLECTOR_3_BRIEF     | Absorberar 3 skada
DEFLECTOR_3_DETAIL    | Absorberar 3 skadepoäng från alla attacker.

DEFLECTOR_4_NAME      | Klass IV Sköldteknik
DEFLECTOR_4_ITEM      | Klass IV
DEFLECTOR_4_BRIEF     | Absorberar 4 skada
DEFLECTOR_4_DETAIL    | Absorberar 4 skadepoäng från alla attacker.

DEFLECTOR_5_NAME      | Klass V Sköldteknik
DEFLECTOR_5_ITEM      | Klass V
DEFLECTOR_5_BRIEF     | Absorberar 5 skada
DEFLECTOR_5_DETAIL    | Absorberar 5 skadepoäng från alla attacker.

DEFLECTOR_6_NAME      | Klass VI Sköldteknik
DEFLECTOR_6_ITEM      | Klass VI
DEFLECTOR_6_BRIEF     | Absorberar 6 skada
DEFLECTOR_6_DETAIL    | Absorberar 6 skadepoäng från alla attacker.

DEFLECTOR_7_NAME      | Klass VII Sköldteknik
DEFLECTOR_7_ITEM      | Klass VII
DEFLECTOR_7_BRIEF     | Absorberar 7 skada
DEFLECTOR_7_DETAIL    | Absorberar 7 skadepoäng från alla attacker.

DEFLECTOR_8_NAME      | Klass IX Sköldteknik
DEFLECTOR_8_ITEM      | Klass IX
DEFLECTOR_8_BRIEF     | Absorberar 9 skada
DEFLECTOR_8_DETAIL    | Absorberar 9 skadepoäng från alla attacker.

DEFLECTOR_9_NAME      | Klass XI Sköldteknik
DEFLECTOR_9_ITEM      | Klass XI
DEFLECTOR_9_BRIEF     | Absorberar 11 skada
DEFLECTOR_9_DETAIL    | Absorberar 11 skadepoäng från alla attacker.

DEFLECTOR_10_NAME     | Klass XIII Sköldteknik
DEFLECTOR_10_ITEM     | Klass XIII
DEFLECTOR_10_BRIEF    | Absorberar 13 skada
DEFLECTOR_10_DETAIL   | Absorberar 13 skadepoäng från alla attacker.

DEFLECTOR_11_NAME     | Klass XV Sköldteknik
DEFLECTOR_11_ITEM     | Klass XV
DEFLECTOR_11_BRIEF    | Absorberar 15 skada
DEFLECTOR_11_DETAIL   | Absorberar 15 skadepoäng från alla attacker.


//
// Displacement tech
//
DISPLACEMENT_0_NAME   | Forcerad-Miss-Instrument
DISPLACEMENT_0_BRIEF  | 1/3 av alla inkommande attacker missar
DISPLACEMENT_0_DETAIL | Låter utrustade skepp skifta in och ut från vanlig rumstid på måfå, vilket leder till att 1/3 av alla attacker som inte är områdesdetonerande.


//
// ECM Jammer tech
//
// this is the entry on Ship Design for selecting no ECM Jammer
ECMJAMMER_0_NAME      | 
ECMJAMMER_0_ITEM      | 
ECMJAMMER_0_BRIEF     | Missilförsvar 0
ECMJAMMER_0_DETAIL    | 

ECMJAMMER_1_NAME      | ECM Störsändare fm/1
ECMJAMMER_1_ITEM      | Störsändare I
ECMJAMMER_1_BRIEF     | Missilförsvar 1
ECMJAMMER_1_DETAIL    | Lägger till +1 till Försvarsnivå mot fientliga missilangrepp.

ECMJAMMER_2_NAME      | ECM Störsändare m/2
ECMJAMMER_2_ITEM      | Störsändare II
ECMJAMMER_2_BRIEF     | Missilförsvar 2
ECMJAMMER_2_DETAIL    | Lägger till +2 till Försvarsnivå mot fientliga missilangrepp.

ECMJAMMER_3_NAME      | ECM Störsändare m/3
ECMJAMMER_3_ITEM      | Störsändare III
ECMJAMMER_3_BRIEF     | Missilförsvar 3
ECMJAMMER_3_DETAIL    | Lägger till +3 till Försvarsnivå mot fientliga missilangrepp.

ECMJAMMER_4_NAME      | ECM Störsändare m/4
ECMJAMMER_4_ITEM      | Störsändare IV
ECMJAMMER_4_BRIEF     | Missilförsvar 4
ECMJAMMER_4_DETAIL    | Lägger till +4 till Försvarsnivå mot fientliga missilangrepp.

ECMJAMMER_5_NAME      | ECM Störsändare m/5
ECMJAMMER_5_ITEM      | Störsändare V
ECMJAMMER_5_BRIEF     | Missilförsvar 5
ECMJAMMER_5_DETAIL    | Lägger till +5 till Försvarsnivå mot fientliga missilangrepp.

ECMJAMMER_6_NAME      | ECM Störsändare m/6
ECMJAMMER_6_ITEM      | Störsändare VI
ECMJAMMER_6_BRIEF     | Missilförsvar 6
ECMJAMMER_6_DETAIL    | Lägger till +6 till Försvarsnivå mot fientliga missilangrepp.

ECMJAMMER_7_NAME      | ECM Störsändare m/7
ECMJAMMER_7_ITEM      | Störsändare VII
ECMJAMMER_7_BRIEF     | Missilförsvar 7
ECMJAMMER_7_DETAIL    | Lägger till +7 till Försvarsnivå mot fientliga missilangrepp.

ECMJAMMER_8_NAME      | ECM Störsändare m/8
ECMJAMMER_8_ITEM      | Störsändare VIII
ECMJAMMER_8_BRIEF     | Missilförsvar 8
ECMJAMMER_8_DETAIL    | Lägger till +8 till Försvarsnivå mot fientliga missilangrepp.

ECMJAMMER_9_NAME      | ECM Störsändare m/9
ECMJAMMER_9_ITEM      | Störsändare IX
ECMJAMMER_9_BRIEF     | Missilförsvar 9
ECMJAMMER_9_DETAIL    | Lägger till +9 till Försvarsnivå mot fientliga missilangrepp.

ECMJAMMER_10_NAME     | ECM Störsändare m/10
ECMJAMMER_10_ITEM     | Störsändare X
ECMJAMMER_10_BRIEF    | Missilförsvar 10
ECMJAMMER_10_DETAIL   | Lägger till +10 till Försvarsnivå mot fientliga missilangrepp.


//
// Ecological Restoration techs
//
ECORESTORATION_0_NAME   | Ekologisk Återställning
ECORESTORATION_0_DETAIL | Eliminerar 2 enheter industriavfall för en kostnad av 1 BC.

ECORESTORATION_1_NAME   | Förbättrad Ekoåterställning
ECORESTORATION_1_DETAIL | Eliminerar 3 enheter industriavfall för en kostnad av 1 BC.

ECORESTORATION_2_NAME   | Effektiviserad Ekoåterställning
ECORESTORATION_2_DETAIL | Eliminerar 5 enheter industriavfall för en kostnad av 1 BC.

ECORESTORATION_3_NAME   | Avancerad Ekoåterställning
ECORESTORATION_3_DETAIL | Eliminerar 10 enheter industriavfall för en kostnad av 1 BC.

ECORESTORATION_4_NAME   | Fullständig Ekoåterställning
ECORESTORATION_4_DETAIL | Eliminerar 20 enheter industriavfall för en kostnad av 1 BC.


//
// Energy Pulsar techs
//
PULSAR_0_NAME     | Pulsvågs-enhet
PULSAR_0_BRIEF    | Expanderar i radie för 1-5 skada
PULSAR_0_DETAIL   | En effektfull enhet installerad med motorerna som explosionsartat genererar en sfärisk urladdning av energi som träffar alla intilliggande skepp samtidigt för upp till 5 skadepoäng +1 per två angripande skepp.

PULSAR_1_NAME     | Jonisk Pulsvågs-enhet
PULSAR_1_BRIEF    | Expanderar i radie för 2-10 skada
PULSAR_1_DETAIL   | En effektfull enhet installerad med motorerna som explosionsartat genererar en sfärisk urladdning av energi som träffar alla intilliggande skepp samtidigt för upp till 10 skadepoäng +1 per angripande skepp.


//
// Engine techs
//
ENGINE_0_NAME    | Retro-Motorer
ENGINE_0_DETAIL  | Förflyttar skepp i en hastighet av Warp %1, och tillåter en maximal Manövrering av klass I i strid.
ENGINE_0_ITEM    | Retro
ENGINE_0_ITEM2   | Klass 1
ENGINE_0_BRIEF   | Warp 1  Förs %1
ENGINE_0_BRIEF2  | Stridssteg %1

ENGINE_1_NAME    | Kärnkraftsmotorer
ENGINE_1_DETAIL  | Förflyttar skepp i en hastighet av Warp %1, och tillåter en maximal Manövrering av klass II i strid.
ENGINE_1_ITEM    | Kärnkraft
ENGINE_1_ITEM2   | Klass 2
ENGINE_1_BRIEF   | Warp 2  Förs %1
ENGINE_1_BRIEF2  | Stridssteg %1

ENGINE_2_NAME    | Beta-fusions-motorer
ENGINE_2_DETAIL  | Förflyttar skepp i en hastighet av Warp %1, och tillåter en maximal Manövrering av klass III i strid.
ENGINE_2_ITEM    | Betafusion
ENGINE_2_ITEM2   | Klass 3
ENGINE_2_BRIEF   | Warp 3  Förs %1
ENGINE_2_BRIEF2  | Stridssteg %1

ENGINE_3_NAME    | Fusionsmotorer
ENGINE_3_DETAIL  | Förflyttar skepp i en hastighet av Warp %1, och tillåter en maximal Manövrering av klass IV i strid.
ENGINE_3_ITEM    | Fusion
ENGINE_3_ITEM2   | Klass 4
ENGINE_3_BRIEF   | Warp 4  Förs %1
ENGINE_3_BRIEF2  | Stridssteg %1

ENGINE_4_NAME    | Impulsmotorer 
ENGINE_4_DETAIL  | Förflyttar skepp i en hastighet av Warp %1, och tillåter en maximal Manövrering av klass V i strid.
ENGINE_4_ITEM    | Impuls
ENGINE_4_ITEM2   | Klass 5
ENGINE_4_BRIEF   | Warp 5  Förs %1
ENGINE_4_BRIEF2  | Stridssteg %1

ENGINE_5_NAME    | Jon-motorer
ENGINE_5_DETAIL  | Förflyttar skepp i en hastighet av Warp %1, och tillåter en maximal Manövrering av klass VI i strid.
ENGINE_5_ITEM    | Jon
ENGINE_5_ITEM2   | Klass 6
ENGINE_5_BRIEF   | Warp 6  Förs %1
ENGINE_5_BRIEF2  | Stridssteg %1

ENGINE_6_NAME    | Anti-Materia-motorer
ENGINE_6_DETAIL  | Förflyttar skepp i en hastighet av Warp %1, och tillåter en maximal Manövrering av klass VII i strid.
ENGINE_6_ITEM    | Anti-Materia
ENGINE_6_ITEM2   | Klass 7
ENGINE_6_BRIEF   | Warp 7  Förs %1
ENGINE_6_BRIEF2  | Stridssteg %1

ENGINE_7_NAME    | Fissions-resonans-motorer
ENGINE_7_DETAIL  | Förflyttar skepp i en hastighet av Warp %1, och tillåter en maximal Manövrering av klass VIII i strid.
ENGINE_7_ITEM    | Fissionsresonans
ENGINE_7_ITEM2   | Klass 8
ENGINE_7_BRIEF   | Warp 8  Förs %1
ENGINE_7_BRIEF2  | Stridssteg %1

ENGINE_8_NAME    | Hyperdrift
ENGINE_8_DETAIL  | Förflyttar skepp i en hastighet av Warp %1, och tillåter en maximal Manövrering av klass IX i strid.
ENGINE_8_ITEM    | Hyperdrift
ENGINE_8_ITEM2   | Klass 9
ENGINE_8_BRIEF   | Warp 9  Förs %1
ENGINE_8_BRIEF2  | Stridssteg %1


//
// Fuel Range techs
//
FUELRANGE_0_NAME   | Bränsleceller
FUELRANGE_0_DETAIL | Bränslereserverna låter skepp färdas upp till %1 ljusår från koloniserade planeter.

FUELRANGE_1_NAME   | Vätebaserade Bränsleceller
FUELRANGE_1_DETAIL | Bränslereserverna låter skepp färdas upp till %1 ljusår från koloniserade planeter.

FUELRANGE_2_NAME   | Deuterium-Bränsleceller
FUELRANGE_2_DETAIL | Bränslereserverna låter skepp färdas upp till %1 ljusår från koloniserade planeter.

FUELRANGE_3_NAME   | Irridium-Bränsleceller
FUELRANGE_3_DETAIL | Bränslereserverna låter skepp färdas upp till %1 ljusår från koloniserade planeter.

FUELRANGE_4_NAME   | Dotomit-Kristaller
FUELRANGE_4_DETAIL | Bränslereserverna låter skepp färdas upp till %1 ljusår från koloniserade planeter.

FUELRANGE_5_NAME   | Uridium-Bränsleceller
FUELRANGE_5_DETAIL | Bränslereserverna låter skepp färdas upp till %1 ljusår från koloniserade planeter.

FUELRANGE_6_NAME   | Reajax II Bränsleceller
FUELRANGE_6_DETAIL | Bränslereserverna låter skepp färdas upp till %1 ljusår från koloniserade planeter.

FUELRANGE_7_NAME   | Trilithium-Kristaller
FUELRANGE_7_DETAIL | Bränslereserverna låter skepp färdas upp till %1 ljusår från koloniserade planeter.

FUELRANGE_8_NAME   | Thoriumceller
FUELRANGE_8_DETAIL | Dessa bränslereserver möjliggör fri färd utan hänsyn till distans för skepp.


//
// Framtida Datorer techs
//
FUTURECOMP_0_NAME    | Framtida Datorer I
FUTURECOMP_0_DETAIL  | Allmänna Förbättringar inom Datorteknologi.

FUTURECOMP_1_NAME    | Framtida Datorer II
FUTURECOMP_1_DETAIL  | Allmänna Förbättringar inom Datorteknologi.

FUTURECOMP_2_NAME    | Framtida Datorer III
FUTURECOMP_2_DETAIL  | Allmänna Förbättringar inom Datorteknologi.

FUTURECOMP_3_NAME    | Framtida Datorer IV
FUTURECOMP_3_DETAIL  | Allmänna Förbättringar inom Datorteknologi.

FUTURECOMP_4_NAME    | Framtida Datorer V
FUTURECOMP_4_DETAIL  | Allmänna Förbättringar inom Datorteknologi.

FUTURECOMP_5_NAME    | Framtida Datorer VI
FUTURECOMP_5_DETAIL  | Allmänna Förbättringar inom Datorteknologi.

FUTURECOMP_6_NAME    | Framtida Datorer VII
FUTURECOMP_6_DETAIL  | Allmänna Förbättringar inom Datorteknologi.

FUTURECOMP_7_NAME    | Framtida Datorer VIII
FUTURECOMP_7_DETAIL  | Allmänna Förbättringar inom Datorteknologi.

FUTURECOMP_8_NAME    | Framtida Datorer IX
FUTURECOMP_8_DETAIL  | Allmänna Förbättringar inom Datorteknologi.

FUTURECOMP_9_NAME    | Framtida Datorer X
FUTURECOMP_9_DETAIL  | Allmänna Förbättringar inom Datorteknologi. 


//
// Framtida Konstruktion techs
//
FUTURECONST_0_NAME    | Framtida Konstruktion I
FUTURECONST_0_DETAIL  | Allmänna Förbättringar inom Bygg- och Maskinteknologi.

FUTURECONST_1_NAME    | Framtida Konstruktion II
FUTURECONST_1_DETAIL  | Allmänna Förbättringar inom Bygg- och Maskinteknologi.

FUTURECONST_2_NAME    | Framtida Konstruktion III
FUTURECONST_2_DETAIL  | Allmänna Förbättringar inom Bygg- och Maskinteknologi.

FUTURECONST_3_NAME    | Framtida Konstruktion IV
FUTURECONST_3_DETAIL  | Allmänna Förbättringar inom Bygg- och Maskinteknologi.

FUTURECONST_4_NAME    | Framtida Konstruktion V
FUTURECONST_4_DETAIL  | Allmänna Förbättringar inom Bygg- och Maskinteknologi.

FUTURECONST_5_NAME    | Framtida Konstruktion VI
FUTURECONST_5_DETAIL  | Allmänna Förbättringar inom Bygg- och Maskinteknologi.

FUTURECONST_6_NAME    | Framtida Konstruktion VII
FUTURECONST_6_DETAIL  | Allmänna Förbättringar inom Bygg- och Maskinteknologi.

FUTURECONST_7_NAME    | Framtida Konstruktion VIII
FUTURECONST_7_DETAIL  | Allmänna Förbättringar inom Bygg- och Maskinteknologi.

FUTURECONST_8_NAME    | Framtida Konstruktion IX
FUTURECONST_8_DETAIL  | Allmänna Förbättringar inom Bygg- och Maskinteknologi.

FUTURECONST_9_NAME    | Framtida Konstruktion X
FUTURECONST_9_DETAIL  | Allmänna Förbättringar inom Bygg- och Maskinteknologi. 


//
